before,reverse_color,after,length,swing_to
PBBPPB,PPPPBB,PBPPPB,6,B
PPBBPB,PPPBB,BBBPBP,5,B
PPPBPP,BBBPP,PPBPBB,5,P
PPBPBB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PPBPPP,5,P
BPPPPB,PPPPPBB,PPBBPB,7,B
BPBBBP,BBBPP,PBPPBP,5,P
BPBBPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBPBBP,5,P
PBPPBP,BBBPP,BPBPPB,5,P
BBPBPP,BBBPP,PBPBBB,5,P
BBBBBP,BBBPP,PBBPBP,5,P
PPPPBP,BBBBBPP,PBBPPB,7,P
PBBBPB,PPPPBB,PBPPPB,6,B
BPBPPB,PPPPBB,PBPBBB,6,B
BPBBBP,BBBPP,PBBBBP,5,P
PPPPBB,BBBBBBPP,PBPBPB,8,P
PPBPBP,BBBBPP,BPBBBB,6,P
BBBPBP,BBBPP,PBPPPP,5,P
BBPPPB,PPPPPBB,PPBBPP,7,B
PPBBPP,BBBPP,PBBBBB,5,P
BBBPBP,BBBBBPP,PBBBBP,7,P
BBBPPP,BBBBPP,PPBPBP,6,P
PPPPPB,PPPPBB,PPPPBB,6,B
PPPPBB,PPPPBB,BPPPPP,6,B
PPPBPB,PPPBB,PBPBBB,5,B
PBBPBP,BBBBBBBPP,BPBBPP,9,P
BPBPBB,PPPPBB,PPPPPB,6,B
PBPBBP,BBBPP,PPBBPP,5,P
BBPBPB,PPPBB,BPPPBP,5,B
BPBBPP,BBBBPP,PPBPBB,6,P
PPPPBP,BBBPP,PBPBBB,5,P
BPPPBP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,BPBBPP,5,P
PPPBPB,PPPPBB,PPBBBB,6,B
BBBPPP,BBBPP,BBBBBB,5,P
BPBBBP,BBBPP,PBBPPP,5,P
PPBPBB,PPPBB,PBBPPP,5,B
BBBPBB,PPPBB,PPPBPB,5,B
PBBBBP,BBBBPP,BBPPBP,6,P
BPBPPB,PPPBB,PPPPBP,5,B
PPBPPB,PPPPPBB,BBPPBB,7,B
PPBPBB,PPPBB,PBBPPB,5,B
BBPPBP,BBBPP,BBBBBP,5,P
BPBBPB,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,BPPPBB,6,P
BBBPPB,PPPBB,BBPBBB,5,B
BPPBPB,PPPPPPPPPPBB,PPPBBB,12,B
PPPPBB,PPPBB,BPBBBP,5,B
PBBBPB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PBBBBB,5,P
PBBPBB,PPPPPPBB,PBBPPB,8,B
PPBBPB,PPPPPPBB,BBBPBB,8,B
BPBPBP,BBBBPP,BPPBBB,6,P
BPPBPP,BBBPP,PBBBBP,5,P
PBPBPP,BBBPP,PPBBPP,5,P
PBPPBP,BBBBPP,BPBPPB,6,P
PPBPPB,PPPPPBB,PBBPPP,7,B
PBBPBB,PPPBB,PBBPPP,5,B
PBBPBB,PPPPPPPBB,BPPPBP,9,B
PBPBPP,BBBPP,BPBPPB,5,P
BPBPBB,PPPPBB,PPBPPP,6,B
PBBBBP,BBBBBPP,BBPPBB,7,P
BPPBPP,BBBBPP,BPBPPB,6,P
PBPBPP,BBBPP,BPPBBP,5,P
BPBPBB,PPPPBB,BBPBPB,6,B
BBPBPB,PPPPBB,PPPBBP,6,B
PPPPBB,PPPBB,PPPPPB,5,B
BPPPBB,PPPPPBB,BBPPPP,7,B
PPBBBP,BBBBPP,BPBPBP,6,P
BBBBPB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPPBB,BBPBPP,9,B
PBBPPB,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,BBBBBP,5,P
PPPPBB,BBBBBBPP,BPBPBP,8,P
PBBPBB,PPPPPPPPPBB,PBPBBB,11,B
BPBPBB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,BPBPBP,6,B
BPBPPB,PPPPBB,PBBBBP,6,B
PPPBBP,BBBBPP,PBBBBB,6,P
BBBPPP,BBBBBPP,BPBBBP,7,P
BBBBBP,BBBBBBPP,BBPBBP,8,P
PPPBPP,BBBPP,PPBPBP,5,P
BBBPBB,PPPPPPPPBB,BBBBBP,10,B
PPBBPB,PPPBB,PPPPPB,5,B
PBBBPB,PPPPPPBB,PBPBBB,8,B
PBBPBP,BBBBPP,PBPPPB,6,P
PPPPPB,PPPPBB,PPPBBP,6,B
PPPPBB,PPPBB,PBPPBP,5,B
BBBBPP,PPPPBB,BBPPBP,6,B
PBBPPB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,PPPPPB,6,B
PPPPBB,PPPPPBB,BBPBBP,7,B
PBBBBP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,PBBBBB,5,P
BBPBPP,BBBPP,BPPBBB,5,P
BPPPBP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,BBBBBB,5,B
BBBPBB,PPPPPPBB,BPBBPB,8,B
PPBPBB,PPPPPBB,BPPBBP,7,B
BBPPBB,PPPBB,PBBPBP,5,B
PPBBPB,PPPBB,BPBPPP,5,B
PPPPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,BBBBPB,5,P
PPPBPP,BBBBBBPP,PBPBPP,8,P
PPBPBP,BBBPP,PBPBPB,5,P
PBBPBB,PPPBB,BPBBPP,5,B
BBBPBB,PPPBB,PBBPBP,5,B
PPBBPB,PPPBB,BBPPPP,5,B
PBBPBP,BBBBPP,PPBBPB,6,P
PPPBBP,BBBPP,PBPBBB,5,P
BPPPBP,BBBBPP,BBPBPB,6,P
PBBPBP,BBBBBPP,PPPPBB,7,P
BBBBPP,PPPPBB,PPBPPP,6,B
BPBPBP,BBBPP,PBBBBB,5,P
BBBPPP,BBBBBPP,BPPPBP,7,P
BBBBPB,PPPBB,BPBPBB,5,B
BBBPBP,BBBPP,BPPPBB,5,P
BBBPPB,PPPBB,PPBBPP,5,B
BBPPBB,PPPBB,PBPBBB,5,B
PBBPBP,BBBBBBPP,PPPBBP,8,P
PPPPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BPPPPP,5,B
PPPBBB,PPPPPBB,BBPPPB,7,B
PPBBBB,PPPBB,BBPPBP,5,B
PPPPPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,PPBBBP,6,P
BBPPPP,BBBPP,PPBBPP,5,P
BBPPPB,PPPPBB,BPBPPB,6,B
PBBPBP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,PPPBPP,5,B
PPPPBP,BBBBPP,BPPBBP,6,P
BPPBBP,BBBBBPP,PBPBPP,7,P
BPPBPP,BBBPP,PBBPBP,5,P
BBBBPB,PPPBB,BPPBBB,5,B
BBBPBP,BBBBBPP,PBPBBP,7,P
BPBPPB,PPPPBB,PBBPPB,6,B
PPPBPB,PPPPPPBB,PPBPPP,8,B
PBBPPB,PPPPBB,PBBPPB,6,B
BPPBBP,BBBBBBBBBPP,BBPPBP,11,P
PPBBPP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,BPBBPB,6,B
BBBPBP,BBBPP,BPBBPB,5,P
PBPBBP,BBBBBPP,BBBBBB,7,P
BBBBPP,BBBBBBPP,PBBBBB,8,P
PPBBPB,PPPPPBB,PPBPBP,7,B
BBPBPB,PPPPBB,PPBBPB,6,B
PPBBPB,PPPPBB,BPBPBB,6,B
BBPBPP,BBBBBPP,BPPPBB,7,P
BBPBPP,BBBBPP,BBPBPP,6,P
BPBBPB,PPPBB,PBPBBP,5,B
PBBPBB,PPPBB,PPBPPB,5,B
BBPBPB,PPPBB,PBPBBB,5,B
PBBPBP,BBBBBBPP,BPBBBP,8,P
BPBPPB,PPPBB,BBPPPP,5,B
PPPBPB,PPPPPBB,PPBBPB,7,B
BPPBPP,BBBBBPP,BPPPPB,7,P
PBPPPB,PPPPPBB,PBPPBP,7,B
PPBPPB,PPPBB,BPPBBB,5,B
PBBBPP,BBBPP,BBBBBB,5,P
PBBBPP,BBBBBBBPP,PBPPPP,9,P
BBPPPB,PPPPBB,BBPBPP,6,B
BBBBPB,PPPBB,PBPPPP,5,B
PBPBPP,BBBPP,BPBBPP,5,P
PBBPPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPBBBP,5,P
BBPPBP,BBBPP,PBPPBB,5,P
BPPPPB,PPPBB,BPBBPP,5,B
PPBPBP,BBBBBPP,BPBBPP,7,P
PPPBPB,PPPPPBB,BBBPPB,7,B
PPPPBB,BBBPP,BPPBPP,5,P
PPPBPB,PPPPBB,BPBBPB,6,B
PPBBBB,PPPPPBB,PPBPPP,7,B
BPBPPB,PPPBB,BBBPBB,5,B
BPBPPB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,BPPBBP,5,B
PPBBPP,BBBPP,BBPBPB,5,P
BPBPBB,PPPPBB,PPPBPP,6,B
BBPBPB,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,PBBPBP,6,P
BBPBPP,BBBBPP,PBPPPB,6,P
BBPPPB,PPPBB,BPPBPP,5,B
BPBBPP,BBBBPP,PBBBBP,6,P
BBBPPP,BBBBPP,PBBPBB,6,P
PBPPBB,PPPPBB,PPBBBB,6,B
PBPPPB,PPPBB,PBPBBB,5,B
PBBPBP,BBBPP,BPBPBP,5,P
PBBPBP,BBBBBBBBPP,BBBPPP,10,P
PPPPPB,PPPPBB,PBBBPP,6,B
PPPBBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PBPBPB,5,P
PPPBPP,BBBPP,PPPPPB,5,P
PBBBPP,PPPPPBB,BBPPBP,7,B
BPBPPB,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,BBPBPP,5,P
PPBBPB,PPPPPBB,BPBBPB,7,B
BBBBPB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,PPBBBB,5,B
PPBBPP,BBBBPP,BBBPPP,6,P
BBBBPP,BBBPP,PPBPBB,5,P
PPPBPB,PPPPBB,BPBPPB,6,B
BBPBBP,BBBPP,BBBBPP,5,P
PBBBPP,BBBBPP,BBPBBP,6,P
BBPPPB,PPPBB,BPPPPP,5,B
BPPPPB,PPPBB,PPPPPB,5,B
BPPPBB,PPPPPBB,PPPBPB,7,B
BBBPBB,PPPPBB,PBPBPB,6,B
BBPPPP,BBBPP,BBBBBP,5,P
PBBBBP,BBBBPP,BBBPBB,6,P
PBBBPB,PPPBB,BBPBPB,5,B
BPBBPB,PPPBB,PBPPBB,5,B
PPPPPB,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,BPPPPB,6,P
BBBPPB,PPPPBB,PBBPBP,6,B
BPBPPB,PPPBB,BPPBPP,5,B
BBPBPP,BBBBPP,PBBBBB,6,P
BBBPPP,BBBBBBPP,PBBBBP,8,P
BBBPPP,BBBBPP,PPPBBB,6,P
BBBBPP,PPPBB,BBPPPB,5,B
PBPPBP,BBBBPP,BPPPPB,6,P
PPPPBP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,PBBPBB,6,B
BBBPBP,BBBPP,PBPPBB,5,P
PPPBPP,BBBBBBPP,BPBBPP,8,P
PBPBPB,PPPPBB,BBBBBB,6,B
PPBPPB,PPPBB,BBPBPB,5,B
BBPBBP,BBBPP,PPPBPP,5,P
PPPPPB,PPPPPBB,PBBBPP,7,B
PPPBBP,BBBPP,PPBPBB,5,P
PPPPBP,BBBPP,PBBPPB,5,P
PBPPBP,BBBPP,BPPBBB,5,P
PPBBBP,BBBPP,BBPBPP,5,P
BBPPBB,PPPBB,PBBPPP,5,B
BBPBPB,PPPBB,BPBPBP,5,B
BBPBBP,BBBBPP,BPBBBP,6,P
PPBPBB,PPPPPBB,BBPBPP,7,B
PBPBPP,BBBPP,PPBBPB,5,P
BBPBPB,PPPPBB,BBBPBP,6,B
BPBBPB,PPPPBB,PPPBPP,6,B
BBBPBB,PPPPPBB,BPBPPB,7,B
PPBPPB,PPPPPBB,PPBPBB,7,B
PBBBPB,PPPBB,PPPBPB,5,B
PPPPPB,PPPPBB,BBBPPB,6,B
PPPPBB,BBBPP,BPPBBB,5,P
PBPBPB,PPPBB,BBPBBP,5,B
PBPBPB,PPPBB,PPPBBB,5,B
BPPPBB,PPPBB,BPPPPB,5,B
PBPBPB,PPPBB,PPBBBP,5,B
PPPPBP,BBBPP,PBBPPP,5,P
BPPPBB,PPPPBB,PPPPPB,6,B
PPPPBB,PPPPPBB,BPPPBP,7,B
PPBPBP,BBBPP,PPPBPB,5,P
BBPBPB,PPPPPPBB,PBBPBB,8,B
BPPPPB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PBPPBP,5,P
BPPBBP,BBBPP,PBBBBP,5,P
BPBPBB,PPPPPBB,PBPPBB,7,B
PBPPBP,BBBPP,PPBPPP,5,P
BPPPPB,PPPBB,BPPPPP,5,B
PPPBBB,PPPPPPPBB,BBPBBP,9,B
PBPBPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,PPPPBP,6,P
PPPPPB,PPPBB,PBPPBB,5,B
BPBBPB,PPPPBB,BPPPBP,6,B
PPPBPP,BBBPP,BPBPBB,5,P
BBBPBB,PPPBB,BPPBBB,5,B
PPPPPB,PPPBB,BPBBBP,5,B
PPBBBP,BBBPP,PPPBPB,5,P
BPPBPP,BBBBPP,BBPBPB,6,P
PBPPPB,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,PBBPPP,6,P
PBBBBP,BBBPP,BBPBPP,5,P
PPBPPB,PPPBB,BBBPBB,5,B
PPPPPB,PPPBB,BPPPPB,5,B
PPPBBB,PPPPBB,PBPPBP,6,B
BPBPPB,PPPBB,PBBPBP,5,B
PBBPBP,BBBBBPP,BBPPBP,7,P
PBBPPB,PPPBB,BBPPPP,5,B
PPPPPB,PPPPPBB,PBPBBP,7,B
PPBBBP,BBBPP,BPBPPB,5,P
BPPBPB,PPPPBB,PPBBBB,6,B
PBBBBP,BBBBPP,PBPPPB,6,P
PPPPPB,PPPBB,PPBPPB,5,B
BBPBBP,BBBBBPP,BPBBBB,7,P
PBBBBP,BBBPP,PPBPBP,5,P
PPBBPP,BBBBPP,PPPPPB,6,P
PPPBPP,BBBPP,BBPBBB,5,P
BPPBBP,BBBBBBPP,BPPBPB,8,P
PBPBBP,BBBBBBPP,BPPBPP,8,P
BPPPPB,PPPPPPPPPPBB,BBPBBB,12,B
BBPBBP,BBBPP,PBPBPP,5,P
PPPPBP,BBBBBBPP,BPPBPP,8,P
BBBPBP,BBBPP,BPBPPP,5,P
BBPPBB,PPPPBB,PBPPBP,6,B
PBPBPP,BBBPP,PPBPBB,5,P
PPPPBB,BBBBPP,PBBBBB,6,P
BBBPPP,BBBBBPP,BPPPPB,7,P
BBBPPB,PPPPBB,BBPBBB,6,B
PBBBPB,PPPBB,PPBBPP,5,B
BBPPBB,PPPBB,BPBBBB,5,B
BBBPBP,BBBBBPP,PBBPBP,7,P
PBPPPB,PPPPBB,PPBBPB,6,B
PBPPPB,PPPPBB,PPBBPB,6,B
PPPPPB,PPPBB,BPPPPB,5,B
BPPPPB,PPPPPPBB,BPPPPB,8,B
PPPBBB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,BPBPBP,5,B
PBPBPP,BBBPP,PPPPPP,5,P
BPBPPB,PPPBB,BPBBBP,5,B
PPBBBP,BBBPP,BPBPPP,5,P
BBBBBP,BBBPP,PBPBPB,5,P
PPBPBP,BBBBBPP,BBPBPP,7,P
PBBBBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BBPPPP,5,B
PPBBBB,PPPPPPPBB,PPBBBP,9,B
PPPBPP,BBBPP,BBBBPB,5,P
PBBBBP,BBBBBBPP,BPBPBP,8,P
PBPBPP,BBBBBPP,PPPPPB,7,P
BBPBBP,BBBBBBBPP,PBPPBP,9,P
PBBPBP,BBBBBPP,BPPPBB,7,P
BBBPPB,PPPBB,PPBBBB,5,B
PPBBPP,BBBBPP,PPBBBP,6,P
PPBBBP,BBBBBPP,PPPBBP,7,P
BBBBPP,PPPBB,PPBPPB,5,B
PBBBPP,PPPBB,PBBPBP,5,B
PPPBPP,BBBBBBBBBPP,BPBPPB,11,P
BBBPPB,PPPPPPPPPBB,BPPBBP,11,B
BBPPBB,PPPPPBB,PBPPPB,7,B
PPPBPP,BBBPP,PBPPPP,5,P
BBPPPB,PPPPPBB,PBPBBP,7,B
PBBPBP,BBBPP,BPPBBB,5,P
PPPPPB,PPPBB,BBBBPP,5,B
BPPPPB,PPPBB,BPBPBP,5,B
PBPPBB,PPPPBB,PPPPPB,6,B
PPPPPB,PPPPPBB,BPPBBB,7,B
PBBPBP,BBBBBBBBBPP,PBBBBP,11,P
BBBPPP,BBBBPP,PBBPPB,6,P
PBBBBP,BBBPP,BPPBPP,5,P
PBPPBB,PPPPBB,BBPPBP,6,B
BPPPBP,BBBPP,BBBPBB,5,P
BBPBPB,PPPBB,PPBBPB,5,B
PPBBPB,PPPPBB,BPPBBB,6,B
BPBBPP,BBBPP,PPPPPB,5,P
PBBBPP,PPPPPBB,BBPPPB,7,B
BPBPBP,BBBBPP,PBPPPP,6,P
PBBBBP,BBBPP,PPPPPB,5,P
PPBPBP,BBBBBBBPP,PBPBPP,9,P
BPBBBP,BBBBBBPP,BBPBPB,8,P
PBPPBP,BBBBPP,BBBBPP,6,P
BBBBPP,BBBBPP,PPBBBP,6,P
BBPPPP,BBBPP,PBBBBP,5,P
PPPBBP,BBBPP,PBPPBB,5,P
PPPBBP,BBBPP,PBPPBB,5,P
BBBPBB,PPPBB,BPBPPP,5,B
PBBBPB,PPPPPBB,BBBPPB,7,B
PPPPBB,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,PBPBBB,5,B
BBBPBP,BBBPP,BBBBBP,5,P
PBBBPP,BBBBBPP,PPBPPP,7,P
BPPPPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBPP,BPBPPP,5,P
BPPBPB,PPPBB,BPPPBP,5,B
PPBBPP,BBBBPP,PBPBBB,6,P
BBPBBP,BBBBPP,PBBBPB,6,P
PBBBBP,BBBBBBBBBBPP,BBPBPB,12,P
PBPPPB,PPPPPPBB,PPBPBB,8,B
BPBPBP,BBBPP,BBPPBP,5,P
PBPBPP,BBBPP,BPPBBB,5,P
BPBPBB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPPBPB,5,P
PBPBPP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,PBPBBB,6,B
PBPPBB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PPBBBP,5,P
BPPBBP,BBBBBBPP,BPBBBP,8,P
BPBPBB,PPPBB,PPPBPP,5,B
PPBPBB,PPPPPBB,BBBBPP,7,B
PPPPBB,BBBBPP,BBPPPP,6,P
BBPPBB,PPPPPBB,PPBBBP,7,B
PPBBPP,BBBPP,PPBBBP,5,P
PPBPBP,BBBBBBPP,BPPPBB,8,P
BBBPPB,PPPBB,BBBBBB,5,B
BPBPBB,PPPPPBB,BPPPBP,7,B
PPBPPB,PPPBB,BPPBBP,5,B
PPBBPP,BBBBBBPP,BPPBBB,8,P
BPPBPP,BBBBPP,PPPPBP,6,P
BPBPBB,PPPPPPPBB,BPBPBB,9,B
BPBPBB,PPPBB,BBPBPB,5,B
PBPBPB,PPPBB,BPBBBP,5,B
PPPPBP,BBBBPP,BBPBBB,6,P
BPPBBP,BBBBBPP,BBPBBP,7,P
BBPBBP,BBBBBPP,BBBBBP,7,P
BPBBPB,PPPPPBB,BPBBPP,7,B
PBBBPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBPP,PBBPBB,5,P
PBBPPB,PPPBB,BPBPBP,5,B
BPPBBP,BBBBPP,BPPPBB,6,P
PPPBPB,PPPPBB,BBPBPP,6,B
PPBBPP,BBBBPP,PBPBPP,6,P
PBPPBP,BBBPP,PBPBBP,5,P
BPBBPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBPPBP,5,P
PPPBPP,BBBBPP,PPBBBB,6,P
BBBBBP,BBBPP,BBPPBP,5,P
BBPPBP,BBBPP,BBPPBP,5,P
BPBPBB,PPPPPBB,BPBPBB,7,B
PBBBBP,BBBBPP,PBPPPB,6,P
PBPBPB,PPPBB,BBPBPP,5,B
BBBBPB,PPPBB,BPPBBP,5,B
BBBBBP,BBBBPP,BBPPPP,6,P
PBPPBB,PPPBB,PPBPPP,5,B
BPBBPP,BBBBBPP,BPBBBB,7,P
BBBBBP,BBBBBBPP,PPPBBB,8,P
BBBBPP,PPPBB,BBBBBB,5,B
PPPPBB,BBBBBBPP,PPPPBB,8,P
PPPPPB,PPPPPPBB,PBBPPP,8,B
PBBPBB,PPPBB,BBPBBB,5,B
PBBBBP,BBBPP,PPBPBP,5,P
BBBPBP,BBBBBBPP,BBBPPP,8,P
BBBBPP,BBBPP,PPPPPP,5,P
BBPBBP,BBBPP,BPPPBB,5,P
BBBPPB,PPPBB,PPPPPB,5,B
PBPBPP,BBBBBPP,PPPBPB,7,P
BPBBPP,BBBPP,PPPBPB,5,P
BBPBBP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,PPPPPP,5,B
BPBBBP,BBBBBPP,BBBBPB,7,P
PBBBBP,BBBBPP,BPBBPP,6,P
PPBPPB,PPPPPPPBB,BPPPBP,9,B
PPPBPP,BBBBBPP,PPBPPP,7,P
BBBPBP,BBBBBPP,BPPBBB,7,P
BBBPBP,BBBPP,BPBPBP,5,P
PBPBPB,PPPBB,PPPPPB,5,B
BPPPBB,PPPPPBB,BPBBBP,7,B
BPBBBP,BBBBPP,PPPBBP,6,P
BBBBPP,PPPBB,PBBBPB,5,B
PBPBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,PBPPPB,6,B
PPBBPB,PPPBB,PPPPBP,5,B
PPPBPB,PPPPBB,BBBPBB,6,B
PPPBPP,BBBBPP,PPBBPP,6,P
PBPPPB,PPPPPBB,PBBPBB,7,B
BPPBPP,BBBBBPP,BPBPPP,7,P
PBPPPB,PPPPBB,BPPBPP,6,B
BPPBPP,BBBPP,BBBBBP,5,P
PBBPPB,PPPPPBB,PBBBPP,7,B
PPPBBP,BBBPP,PPBBPB,5,P
PPPBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,BBPPBP,6,B
BBBPBP,BBBBBBPP,PPBBBB,8,P
BBPPPP,BBBBBPP,PBPBPP,7,P
PBBPBB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,BPPPPB,6,B
PBPBPB,PPPBB,BBPBPP,5,B
PBBPBB,PPPBB,PPPPPP,5,B
BBBBBP,BBBPP,PPBPPB,5,P
BPBPBB,PPPPPPBB,PPPBPP,8,B
PBPBPB,PPPBB,BBPBPB,5,B
PBBBPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPBPBB,5,P
BPBBPB,PPPPPBB,PBBBBB,7,B
BPPBPB,PPPBB,BPBPBB,5,B
BBBPBP,BBBBPP,PBPPPB,6,P
BBPPPB,PPPBB,PBBPPB,5,B
PPBPBB,PPPBB,BPBBPB,5,B
PPBBPP,BBBPP,BPBBPP,5,P
PBPBPB,PPPPBB,BBBPPB,6,B
PPPPBB,BBBPP,BBBPBB,5,P
PPBBPB,PPPPPBB,BBBPBB,7,B
BPBBPP,BBBBPP,BBPPPP,6,P
BBPPBB,PPPPPPPBB,BPPBPP,9,B
PPPBPB,PPPPPPPBB,PPBBBB,9,B
PPPPPB,PPPBB,BPBBBB,5,B
BPBPBP,BBBPP,BBPBPP,5,P
PPBBPB,PPPBB,PBPBBP,5,B
BPPBPB,PPPPBB,BPBBPP,6,B
PBBPBP,BBBBPP,PBBPBB,6,P
PPBPPB,PPPBB,PBPBBB,5,B
BBBPBB,PPPPPBB,BBPBPB,7,B
BPPBPB,PPPBB,PBPBBP,5,B
BPPBPP,BBBPP,PBBPBP,5,P
PBPBPP,BBBBBBBBPP,PPPPBP,10,P
BPBPPB,PPPBB,BBPBPP,5,B
BPBBPB,PPPBB,PPBPPB,5,B
PPBPBB,PPPBB,PBBPBB,5,B
PBPPBB,PPPPPBB,PBBPBB,7,B
BPBBBP,BBBBPP,BBBBBB,6,P
PPPPBB,BBBPP,BBBBBP,5,P
BBBBPP,BBBBBPP,BPPPPB,7,P
BPBBPB,PPPPBB,PBBBBP,6,B
PPPBBP,BBBBPP,BPPBBP,6,P
PBPPBB,PPPBB,BPPBPB,5,B
PPPPPB,PPPPPPPBB,PBPBBP,9,B
BPPBBP,BBBPP,PPPBPB,5,P
BPPBPP,BBBBBPP,BPBBBB,7,P
BBPPBP,BBBBPP,PBPPBB,6,P
PPBBBP,BBBPP,PBPPBP,5,P
BBBPBB,PPPBB,PBPPBP,5,B
PBBBPB,PPPPBB,PBPBPP,6,B
PPBBPB,PPPBB,PPPPPB,5,B
BBBPBB,PPPPPPPPBB,BBPBPP,10,B
PBBPBB,PPPBB,BPBBPB,5,B
PBBBPB,PPPBB,PBPBPP,5,B
BBPBPB,PPPPPBB,BBBBPB,7,B
PPBPPB,PPPPBB,PBBPBB,6,B
PBBPBB,PPPPPPPBB,PPPBPB,9,B
PPBPBP,BBBPP,PPPPPP,5,P
BBPPBB,PPPBB,PPBPBP,5,B
BPPBPB,PPPBB,BPBBPB,5,B
BBBPBP,BBBBPP,PBPPBP,6,P
BPBBPP,BBBBPP,BBBBPB,6,P
PBBBPB,PPPBB,BBPPPP,5,B
BPPPBP,BBBPP,BPBPBP,5,P
PBPBPB,PPPBB,PPBBBB,5,B
BBPBBP,BBBBPP,BPBPBB,6,P
PBBBBP,BBBBPP,BBPBPB,6,P
BBBBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,PBBBPP,6,B
PPPBBP,BBBPP,BBPBBP,5,P
PBBPBB,PPPBB,BBPBPP,5,B
BPBBPP,BBBPP,BBPBBB,5,P
BPPBBP,BBBBBPP,BPPPBB,7,P
BBBPPB,PPPBB,PBPPBP,5,B
BPPBPB,PPPPPBB,BBBBPB,7,B
PPBPBB,PPPPBB,BPBPPB,6,B
BPBPBP,BBBPP,BBPBBP,5,P
PBBPBP,BBBBPP,PPBPPB,6,P
PBPPPB,PPPPPPPPPBB,BPPPPB,11,B
BBBBPB,PPPBB,BPBBBP,5,B
BPBBBP,BBBBBPP,PBBBBP,7,P
BPBBBP,BBBBBPP,BPBBBP,7,P
BBPPBP,BBBPP,PBPBBB,5,P
BPPPBP,BBBPP,BPPBBP,5,P
PBBPBP,BBBPP,BBPBPB,5,P
PBPPBB,PPPBB,PBBBBB,5,B
PBPPBP,BBBBPP,BPBBBP,6,P
PBBBPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PBPBBP,5,B
PPBPPB,PPPBB,BBPPBB,5,B
BBBBPP,BBBBBPP,BPBBBP,7,P
BBPPBP,BBBPP,BPBBPB,5,P
BPBBPP,BBBBPP,PBPBBB,6,P
PPBPBB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBBPP,BPPBBP,6,P
PBPBBP,BBBBBBBPP,BBPBBB,9,P
BBPBPP,BBBBPP,BBBBPB,6,P
PPBPBP,BBBPP,PBPBBB,5,P
BPBBPB,PPPPPBB,BBPBPP,7,B
BPBPPB,PPPBB,PBBBPB,5,B
BBPPBP,BBBPP,BBBBPP,5,P
PBBBPP,BBBBPP,PPBBPP,6,P
PBPBPB,PPPBB,PBPBBB,5,B
BBPBBP,BBBBPP,PBPPBP,6,P
BBBBPB,PPPBB,BBPBBB,5,B
PBBBPB,PPPBB,PBPPBP,5,B
PBPBPP,BBBPP,PBBBPB,5,P
PPPPBB,PPPBB,BBPBPB,5,B
BBBPBP,BBBPP,BBBBPB,5,P
PBPBPB,PPPPBB,BBPBPP,6,B
PBPBPP,BBBBBBBPP,BBPBPB,9,P
