before,four_cut,after,pattern
PBPPPB,BBBBPBBBBP,PPBPPP,4-1-4-1
BBPBBB,BBBBPBBBBP,BPPPBB,4-1-4-1
BBPPBP,PPPPBPPPPB,PPBBBB,4-1-4-1
PPBPPP,BBBBPBBBBP,BPPPPB,4-1-4-1
PPPBPP,PPPPBPPPPB,PPBPBP,4-1-4-1
PPBPPP,PPPPBPPPPB,BPBPPP,4-1-4-1
PPPBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
BPPBPP,BBBBPBBBBP,PBPPBP,4-1-4-1
BPPPBP,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBPBB,PPPPBPPPPB,PPPBBP,4-1-4-1
BBPPPB,BBBBPBBBBP,BPBPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BPBBBP,4-1-4-1
PPPBBP,PPPPBPPPPB,BPBBBB,4-1-4-1
PBPPPB,BBBBPBBBBP,PPPPBB,4-1-4-1
PPPBBB,BBBBPBBBBP,BBPPPB,4-1-4-1
BPPPPP,BBBBPBBBBP,PBPPBP,4-1-4-1
BPBBBB,BBBBPBBBBP,BBPBBB,4-1-4-1
PBPBPB,PPPPBPPPPB,BBBBBB,4-1-4-1
BBPPPP,PPPPBPPPPB,PPBBBP,4-1-4-1
PPPPBP,PPPPBPPPPB,PBBPBB,4-1-4-1
BBPPPP,BBBBPBBBBP,PBBBBB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBBBBP,PPPPBPPPPB,PBBBPP,4-1-4-1
BPPBBP,PPPPBPPPPB,PPBBPP,4-1-4-1
PBBBPP,PPPPBPPPPB,PBBPBB,4-1-4-1
PPBBBB,BBBBPBBBBP,PBBBPP,4-1-4-1
BPPBBP,BBBBPBBBBP,BBBBPB,4-1-4-1
BPBBBP,BBBBPBBBBP,BBPPPB,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPPBB,4-1-4-1
BPBPPB,PPPPBPPPPB,BBBPBP,4-1-4-1
PPBPBB,BBBBPBBBBP,BPPPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,PBBBPB,4-1-4-1
BPBBBB,PPPPBPPPPB,BPPBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PPBBPB,4-1-4-1
BPBBPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PBPBPB,BBBBPBBBBP,PPBPPP,4-1-4-1
PPBPPB,PPPPBPPPPB,PBPBPP,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPBBP,4-1-4-1
PPBBBP,BBBBPBBBBP,BBPBBB,4-1-4-1
BBBPBB,BBBBPBBBBP,PBPBPB,4-1-4-1
PBPBPB,BBBBPBBBBP,PPPBPB,4-1-4-1
PBPBBP,PPPPBPPPPB,BBBBBP,4-1-4-1
PPBBPB,PPPPBPPPPB,PBPPBP,4-1-4-1
BBPBPP,BBBBPBBBBP,PPPBPB,4-1-4-1
PBPBPP,BBBBPBBBBP,BPBPBP,4-1-4-1
BBBBBB,BBBBPBBBBP,BPBBPB,4-1-4-1
PPPBPP,PPPPBPPPPB,BPBPPB,4-1-4-1
PBBBBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PBPBBB,PPPPBPPPPB,BBBPPB,4-1-4-1
PPPPBP,PPPPBPPPPB,BPPPBB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
BBPPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BPPBPP,BBBBPBBBBP,BPPBBP,4-1-4-1
PBBBPP,BBBBPBBBBP,BBBBPB,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPPBP,4-1-4-1
BBPBBP,BBBBPBBBBP,BPBPPP,4-1-4-1
BBPPPP,BBBBPBBBBP,PPPPPB,4-1-4-1
PPPPBB,BBBBPBBBBP,PBBBBP,4-1-4-1
PPPPPP,BBBBPBBBBP,BPBPPB,4-1-4-1
BPBBBB,PPPPBPPPPB,BBPBBP,4-1-4-1
PBPPPP,BBBBPBBBBP,BPPPBP,4-1-4-1
PBPBBB,BBBBPBBBBP,PPBBPB,4-1-4-1
BPBBPP,BBBBPBBBBP,BBPBBB,4-1-4-1
BPBBPP,PPPPBPPPPB,PPBBPB,4-1-4-1
PPPPBP,PPPPBPPPPB,BPBPPP,4-1-4-1
PBBPPP,BBBBPBBBBP,PPPBBB,4-1-4-1
BBBPPB,PPPPBPPPPB,BPBBBP,4-1-4-1
PBPBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
BPPPBB,PPPPBPPPPB,BBBPPB,4-1-4-1
PPBPPB,PPPPBPPPPB,BPPPBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPPPP,4-1-4-1
BPPBBB,PPPPBPPPPB,BPPPPB,4-1-4-1
BPBBBB,PPPPBPPPPB,BPPBBP,4-1-4-1
PBPBPP,BBBBPBBBBP,BPBPBP,4-1-4-1
PBBBBB,BBBBPBBBBP,PBPBBP,4-1-4-1
BBPPPB,PPPPBPPPPB,BPPPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BPPBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,BPPBPB,4-1-4-1
BBPPPP,BBBBPBBBBP,PBPPBB,4-1-4-1
BBPBBB,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPBBP,PPPPBPPPPB,PPBPBB,4-1-4-1
BBBBBB,BBBBPBBBBP,BBBPPP,4-1-4-1
BPPPBP,BBBBPBBBBP,BBPPPB,4-1-4-1
BPPPPP,BBBBPBBBBP,BBPBPP,4-1-4-1
BBPPBB,PPPPBPPPPB,PPPBPB,4-1-4-1
PPBBBB,BBBBPBBBBP,BBPBPP,4-1-4-1
BPBBBP,PPPPBPPPPB,BPBPBP,4-1-4-1
PBPBPP,PPPPBPPPPB,PPBPBB,4-1-4-1
PPPBBP,PPPPBPPPPB,PBPPBB,4-1-4-1
BPPPBB,PPPPBPPPPB,PBPBBP,4-1-4-1
PBPPPP,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPBBB,PPPPBPPPPB,BPPBPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PBBPPB,4-1-4-1
PPPPPP,BBBBPBBBBP,PPPPPP,4-1-4-1
PPBPPP,PPPPBPPPPB,PBPPBB,4-1-4-1
BPPBBB,BBBBPBBBBP,BPBBBB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPBBPP,4-1-4-1
PPBPBP,BBBBPBBBBP,BPBPBB,4-1-4-1
PPPPBB,BBBBPBBBBP,PBPPPP,4-1-4-1
PPPBPB,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBPBP,BBBBPBBBBP,PPBPPP,4-1-4-1
BBBPBB,PPPPBPPPPB,BPBBBP,4-1-4-1
BBBPBB,PPPPBPPPPB,BPBBBP,4-1-4-1
PPPBBB,PPPPBPPPPB,BPBPPP,4-1-4-1
BPBBBP,BBBBPBBBBP,BBBBPP,4-1-4-1
BPPPBB,PPPPBPPPPB,BBBPPP,4-1-4-1
PPBBPB,BBBBPBBBBP,PBPBPB,4-1-4-1
PPBBBP,BBBBPBBBBP,PPPPPP,4-1-4-1
PPBBPP,PPPPBPPPPB,PPPBBP,4-1-4-1
PBBPBP,PPPPBPPPPB,PPPPPB,4-1-4-1
PPBPPB,PPPPBPPPPB,BPPPBB,4-1-4-1
PPBBPB,PPPPBPPPPB,PBBPPB,4-1-4-1
BBBBPP,BBBBPBBBBP,BBBBPB,4-1-4-1
BBPBBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PPBPBP,PPPPBPPPPB,BPBPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PPBBBB,4-1-4-1
BBPPPB,BBBBPBBBBP,BPBPPB,4-1-4-1
BBPBPB,BBBBPBBBBP,BBBPPP,4-1-4-1
BBBBPB,PPPPBPPPPB,PBBPBP,4-1-4-1
BPBPPB,BBBBPBBBBP,PPBPPP,4-1-4-1
BPPBBB,PPPPBPPPPB,PPBBBB,4-1-4-1
BBPPBB,PPPPBPPPPB,BPBBBP,4-1-4-1
PPBPBB,PPPPBPPPPB,PPPBPB,4-1-4-1
BBPPPB,PPPPBPPPPB,BPBBPP,4-1-4-1
BPBBBP,BBBBPBBBBP,PPBPPB,4-1-4-1
BPPBBP,PPPPBPPPPB,BPBBPB,4-1-4-1
PPBPBP,PPPPBPPPPB,BPPBBP,4-1-4-1
PPBBBB,PPPPBPPPPB,PPBBBP,4-1-4-1
BPBPPP,BBBBPBBBBP,PPBBPP,4-1-4-1
BPBBBP,BBBBPBBBBP,BBBPPP,4-1-4-1
BPPPPB,BBBBPBBBBP,BPBBPB,4-1-4-1
BBPPBP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBPPBB,PPPPBPPPPB,PPPBBP,4-1-4-1
BBBBPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BBBBPP,PPPPBPPPPB,BBBPPP,4-1-4-1
PPPPPP,BBBBPBBBBP,BBBBBP,4-1-4-1
PPBPPP,BBBBPBBBBP,PPPBPB,4-1-4-1
BBBPBB,PPPPBPPPPB,BBPBBP,4-1-4-1
BBBBBB,BBBBPBBBBP,PBPPBP,4-1-4-1
PBPPBB,BBBBPBBBBP,PBBBPB,4-1-4-1
PPPPBB,PPPPBPPPPB,PBPBBB,4-1-4-1
PBBPPB,PPPPBPPPPB,PPBPBB,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBPBB,4-1-4-1
PPPPBP,BBBBPBBBBP,BPPPBP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
PBBPBB,BBBBPBBBBP,PPBPBP,4-1-4-1
PPPPBP,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPBBP,BBBBPBBBBP,BBPPBB,4-1-4-1
BPPBBP,BBBBPBBBBP,BBPPBB,4-1-4-1
BBPPPB,PPPPBPPPPB,PPBBBB,4-1-4-1
BBBPPB,PPPPBPPPPB,PPBBPP,4-1-4-1
PBPBPB,PPPPBPPPPB,PBPPBP,4-1-4-1
PBBBBB,PPPPBPPPPB,BBPBBP,4-1-4-1
BBBBPB,PPPPBPPPPB,PPBPPP,4-1-4-1
BBPPBP,PPPPBPPPPB,BBPBBB,4-1-4-1
BBBBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
BPBBBB,PPPPBPPPPB,PBPBPB,4-1-4-1
BPBBBB,PPPPBPPPPB,PBPBPB,4-1-4-1
PBBPBB,BBBBPBBBBP,BPBPPB,4-1-4-1
BBPBPP,PPPPBPPPPB,PBBPBB,4-1-4-1
BBBPPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BBBPPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BPBPPP,PPPPBPPPPB,PBBPBB,4-1-4-1
BPPPBB,BBBBPBBBBP,PBPPBP,4-1-4-1
BPPBBB,BBBBPBBBBP,PBPPBP,4-1-4-1
BPPBPP,PPPPBPPPPB,BBBBPP,4-1-4-1
PPBBPB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPBBPB,BBBBPBBBBP,PBBBBB,4-1-4-1
BBBBPB,PPPPBPPPPB,PBPPBP,4-1-4-1
PBBBPP,BBBBPBBBBP,PPPBPB,4-1-4-1
BPBPPP,BBBBPBBBBP,PBBPBP,4-1-4-1
PBPBPP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBPBPP,PPPPBPPPPB,BBBPBP,4-1-4-1
BBPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
BBPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,BPBPPB,4-1-4-1
BBPBBB,BBBBPBBBBP,BPBPPB,4-1-4-1
BBPBBB,BBBBPBBBBP,BPBPPB,4-1-4-1
PBPBPP,PPPPBPPPPB,BPPPBB,4-1-4-1
PBPBBB,PPPPBPPPPB,BPBBPB,4-1-4-1
PBPPPB,PPPPBPPPPB,BBPPPP,4-1-4-1
PPBPPP,BBBBPBBBBP,PBPPBP,4-1-4-1
BBPBBP,PPPPBPPPPB,BBBBPB,4-1-4-1
BBBPBP,BBBBPBBBBP,PPBPBB,4-1-4-1
PBPBPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BBPPBB,PPPPBPPPPB,PPBBBP,4-1-4-1
BBPPBB,BBBBPBBBBP,PPBBBP,4-1-4-1
PBPBPP,BBBBPBBBBP,PPBBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BPBBPP,4-1-4-1
BBPPBB,BBBBPBBBBP,PPPPPP,4-1-4-1
PPPPBB,BBBBPBBBBP,BPPBBP,4-1-4-1
PBBPBB,BBBBPBBBBP,BPPPPB,4-1-4-1
PPBBPB,PPPPBPPPPB,PPPBPB,4-1-4-1
PBBPPP,PPPPBPPPPB,PPPBBB,4-1-4-1
BPBPBB,PPPPBPPPPB,BPBPPP,4-1-4-1
BPPBPB,PPPPBPPPPB,BBPBBB,4-1-4-1
BBPBPB,BBBBPBBBBP,BBBBBB,4-1-4-1
PPBBBB,BBBBPBBBBP,PBPPBB,4-1-4-1
PPBBBB,BBBBPBBBBP,PBPPBB,4-1-4-1
BBBBBP,PPPPBPPPPB,PPBBPB,4-1-4-1
BPPPBB,PPPPBPPPPB,BPBPBB,4-1-4-1
BBBPBB,BBBBPBBBBP,BBBBPB,4-1-4-1
BPPBBP,PPPPBPPPPB,PPPBBP,4-1-4-1
BPPBBP,PPPPBPPPPB,PPPBBP,4-1-4-1
BPBPPP,PPPPBPPPPB,BPPBBP,4-1-4-1
PBPPBB,BBBBPBBBBP,BPPPPP,4-1-4-1
PBBBBB,PPPPBPPPPB,PBPBPP,4-1-4-1
BPBBPP,BBBBPBBBBP,PPBPPP,4-1-4-1
BPBPPP,PPPPBPPPPB,PPPPPP,4-1-4-1
PPBPBP,BBBBPBBBBP,PPPBPP,4-1-4-1
BBBPPP,BBBBPBBBBP,BBPBBB,4-1-4-1
BBPBBP,BBBBPBBBBP,PPBBBB,4-1-4-1
PPPBPB,BBBBPBBBBP,BBPPPP,4-1-4-1
BBBPPP,BBBBPBBBBP,BBBBPB,4-1-4-1
BPPBPB,PPPPBPPPPB,BBBBPP,4-1-4-1
BPBPBB,PPPPBPPPPB,PBPPPB,4-1-4-1
PBBPPP,PPPPBPPPPB,BPBBBP,4-1-4-1
PBBPBB,BBBBPBBBBP,BBBBBP,4-1-4-1
PPBPBB,BBBBPBBBBP,PPBPPP,4-1-4-1
PBBBBB,PPPPBPPPPB,BBBBPP,4-1-4-1
PBPBBP,PPPPBPPPPB,PBBPBB,4-1-4-1
BBBBPB,BBBBPBBBBP,PBBBPB,4-1-4-1
BBBPPB,PPPPBPPPPB,PBBBBP,4-1-4-1
PPBPBP,PPPPBPPPPB,PBPBBB,4-1-4-1
PPBPBP,PPPPBPPPPB,PBPBBB,4-1-4-1
BBPPBP,BBBBPBBBBP,PPPPPP,4-1-4-1
PPBBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPPPP,PPPPBPPPPB,PPBPPB,4-1-4-1
PPPBBP,PPPPBPPPPB,BPBBBB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPBPB,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBBPB,4-1-4-1
PBPBPB,BBBBPBBBBP,BPBBBB,4-1-4-1
PPBBBP,PPPPBPPPPB,BBPPPP,4-1-4-1
PBPBBB,BBBBPBBBBP,BBPPBB,4-1-4-1
BBPPBB,PPPPBPPPPB,PPPBPP,4-1-4-1
BPBBPP,PPPPBPPPPB,PPPBBP,4-1-4-1
PPBBPP,PPPPBPPPPB,BBPBPB,4-1-4-1
BBBPBP,PPPPBPPPPB,BPPBPP,4-1-4-1
BPBBPP,PPPPBPPPPB,BPBBBB,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPPPB,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBPPB,4-1-4-1
BPBBPP,BBBBPBBBBP,BPBPBB,4-1-4-1
BPBPPB,PPPPBPPPPB,BBBBBP,4-1-4-1
BPPPBB,BBBBPBBBBP,BBPPBP,4-1-4-1
PPBBBB,PPPPBPPPPB,BBBPBP,4-1-4-1
BPPPBP,BBBBPBBBBP,BBBPBP,4-1-4-1
BBBPBP,BBBBPBBBBP,PPBPBB,4-1-4-1
BBPBPP,PPPPBPPPPB,BBPBPB,4-1-4-1
PPBPBB,PPPPBPPPPB,PBPPPB,4-1-4-1
PBPBBP,BBBBPBBBBP,BBBBPP,4-1-4-1
PPPBBB,PPPPBPPPPB,BPBBBB,4-1-4-1
PPPBBB,PPPPBPPPPB,BPBBBB,4-1-4-1
PPPBPP,PPPPBPPPPB,BBBBPP,4-1-4-1
PBPPPP,BBBBPBBBBP,PBBPBB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPBPB,4-1-4-1
PBBPBP,BBBBPBBBBP,BBPPBP,4-1-4-1
PPBBPP,BBBBPBBBBP,BBBBBB,4-1-4-1
PBPBBB,PPPPBPPPPB,PPBBPP,4-1-4-1
PPBPBB,BBBBPBBBBP,PPBBBB,4-1-4-1
BPBBPB,BBBBPBBBBP,BPPBPB,4-1-4-1
BBBBBB,BBBBPBBBBP,BBPBPP,4-1-4-1
BBBBBB,BBBBPBBBBP,BBPBPP,4-1-4-1
BBBPPB,PPPPBPPPPB,BPPPBB,4-1-4-1
PPBPPB,BBBBPBBBBP,PPBBPB,4-1-4-1
BBPPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BPBBBP,BBBBPBBBBP,BBBPPB,4-1-4-1
PBBPBP,PPPPBPPPPB,PBPPPB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPBBPP,4-1-4-1
BPPPPP,BBBBPBBBBP,PBPPPB,4-1-4-1
BBBBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
PBPPBP,PPPPBPPPPB,BBPBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,BPBPPB,4-1-4-1
PBPBPP,BBBBPBBBBP,PPPPPB,4-1-4-1
PPBBBP,PPPPBPPPPB,BBPBPB,4-1-4-1
PPPPPB,BBBBPBBBBP,PPBBBB,4-1-4-1
BBPBPP,BBBBPBBBBP,PBBPBB,4-1-4-1
PBPBBB,BBBBPBBBBP,PBBBPP,4-1-4-1
BPPPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPPPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
PPBPPB,BBBBPBBBBP,BBPBPB,4-1-4-1
PBBBBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PBPBBB,PPPPBPPPPB,PBPBPB,4-1-4-1
PPPPBP,BBBBPBBBBP,BBPBPP,4-1-4-1
BBPBPB,PPPPBPPPPB,PPPBPP,4-1-4-1
PPBBPP,PPPPBPPPPB,BPBPPP,4-1-4-1
BBBBPP,BBBBPBBBBP,PBBBPB,4-1-4-1
BPBBBB,BBBBPBBBBP,PBBPBB,4-1-4-1
PBBPPP,BBBBPBBBBP,BBBPBB,4-1-4-1
BPPBBB,BBBBPBBBBP,BPPBPP,4-1-4-1
PBBBBB,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBPPP,PPPPBPPPPB,BPBBBP,4-1-4-1
BPPBPP,PPPPBPPPPB,BBBPPB,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPPPB,4-1-4-1
BBPPPB,PPPPBPPPPB,PBBPPB,4-1-4-1
BBBPBB,PPPPBPPPPB,BPPPBB,4-1-4-1
BBBPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
BBPBBB,BBBBPBBBBP,BBPPPP,4-1-4-1
BPPPPB,BBBBPBBBBP,BBPBBB,4-1-4-1
PBBBPP,BBBBPBBBBP,PPBBPB,4-1-4-1
PPPPPP,PPPPBPPPPB,BBBPPP,4-1-4-1
PPBPPB,BBBBPBBBBP,PBPPBB,4-1-4-1
PPPBBP,PPPPBPPPPB,BBBBPB,4-1-4-1
PBPPPB,PPPPBPPPPB,BPPPPB,4-1-4-1
BPPPPB,BBBBPBBBBP,PBBPBB,4-1-4-1
BPPPPB,BBBBPBBBBP,PBBPBB,4-1-4-1
PPBBBB,BBBBPBBBBP,PBBBBP,4-1-4-1
PBPPBP,BBBBPBBBBP,PPBBPP,4-1-4-1
BBBBPB,PPPPBPPPPB,BBPPBB,4-1-4-1
PPBBPB,PPPPBPPPPB,BBPBPB,4-1-4-1
PBBBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
BBBPBB,PPPPBPPPPB,BPPBPP,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPPBP,4-1-4-1
BPBBPB,BBBBPBBBBP,BPBPBB,4-1-4-1
BBPPPP,PPPPBPPPPB,BPPPBB,4-1-4-1
BPBPBB,PPPPBPPPPB,PBPBBB,4-1-4-1
PPBPPP,BBBBPBBBBP,PBBBPB,4-1-4-1
PBBBPP,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBBPB,BBBBPBBBBP,PPBPBB,4-1-4-1
BBBPBP,PPPPBPPPPB,PBBBBP,4-1-4-1
BBBPBP,PPPPBPPPPB,PBBBBP,4-1-4-1
BBBBPB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPBPPP,PPPPBPPPPB,BPPBBP,4-1-4-1
PPBPPB,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPPPB,PPPPBPPPPB,BBPPBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PPPPBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PBBBBP,4-1-4-1
BBPPPP,PPPPBPPPPB,BPBPPB,4-1-4-1
BBPPPP,PPPPBPPPPB,BPBPPB,4-1-4-1
BPPPPB,BBBBPBBBBP,BBBBBB,4-1-4-1
PBPBBB,BBBBPBBBBP,PBPBPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBPBB,4-1-4-1
PPBPPB,BBBBPBBBBP,PBPPBP,4-1-4-1
PPPPBP,BBBBPBBBBP,BPPBPP,4-1-4-1
PBPPPB,BBBBPBBBBP,BBBBBP,4-1-4-1
BPBPPP,BBBBPBBBBP,BPPPPB,4-1-4-1
BPPPBB,PPPPBPPPPB,BPBPBP,4-1-4-1
BPBBBP,BBBBPBBBBP,PPPPPB,4-1-4-1
PPPBBB,BBBBPBBBBP,BPBPBP,4-1-4-1
PBPBPB,PPPPBPPPPB,PPBPBP,4-1-4-1
BPBPPB,BBBBPBBBBP,BBBBBB,4-1-4-1
BPPPBB,BBBBPBBBBP,PBPPPB,4-1-4-1
PPBPBB,PPPPBPPPPB,BPPBPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PPBBPB,4-1-4-1
BPPPBP,BBBBPBBBBP,BPBPBB,4-1-4-1
BBPBPB,PPPPBPPPPB,BPBPPB,4-1-4-1
PBBBBP,PPPPBPPPPB,BPBPBB,4-1-4-1
BPBBPB,PPPPBPPPPB,PPBBPP,4-1-4-1
BPBBPB,BBBBPBBBBP,BBBPBP,4-1-4-1
PPBPBB,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBBBB,PPPPBPPPPB,PBPBBP,4-1-4-1
PBBBBB,PPPPBPPPPB,PBPBBP,4-1-4-1
BBBPBB,PPPPBPPPPB,PBPPBB,4-1-4-1
BBBPPP,BBBBPBBBBP,PPBBPP,4-1-4-1
PBBBPB,PPPPBPPPPB,PBPBPB,4-1-4-1
BPBPPB,PPPPBPPPPB,BPPPBB,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPPBP,4-1-4-1
BPPBPP,PPPPBPPPPB,BPBPPB,4-1-4-1
BBPBPB,BBBBPBBBBP,PPBPPP,4-1-4-1
BBBBPP,BBBBPBBBBP,PPPBBB,4-1-4-1
PPPPPB,BBBBPBBBBP,BBPPPB,4-1-4-1
BBBPPP,BBBBPBBBBP,BBPBBP,4-1-4-1
PPPBBP,PPPPBPPPPB,BBPBBP,4-1-4-1
PBBBBB,PPPPBPPPPB,PBBPBB,4-1-4-1
PPPBBB,PPPPBPPPPB,PPBPPB,4-1-4-1
BPPPPP,BBBBPBBBBP,PBBPBP,4-1-4-1
PPBPPP,BBBBPBBBBP,BPBPBP,4-1-4-1
BBBBBB,PPPPBPPPPB,BPPBPP,4-1-4-1
PBBPBP,BBBBPBBBBP,BPPBBP,4-1-4-1
PPBBPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PPBPBP,BBBBPBBBBP,PBPBBP,4-1-4-1
PPBBBP,BBBBPBBBBP,PPBBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,BBPPBB,4-1-4-1
BPBBBB,BBBBPBBBBP,PBPPBP,4-1-4-1
PPBBBP,PPPPBPPPPB,BBBPPB,4-1-4-1
PBBBPB,BBBBPBBBBP,BBBPBB,4-1-4-1
PBBBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
PBBBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
BPBBPB,BBBBPBBBBP,BBBPBB,4-1-4-1
BPBBBB,BBBBPBBBBP,PBBPBB,4-1-4-1
PBBBPP,BBBBPBBBBP,PBBPPB,4-1-4-1
BPBBPP,BBBBPBBBBP,BPBBPP,4-1-4-1
BPBBPP,PPPPBPPPPB,PPBPBB,4-1-4-1
BPPPBB,BBBBPBBBBP,PPPPBB,4-1-4-1
BPBPPB,BBBBPBBBBP,PPPBPP,4-1-4-1
BBBPBP,BBBBPBBBBP,BBBPPP,4-1-4-1
PPBBBP,PPPPBPPPPB,PBPPBP,4-1-4-1
BPPBBP,BBBBPBBBBP,PBBBPP,4-1-4-1
BBBBPB,PPPPBPPPPB,PBBPPB,4-1-4-1
BPPBPP,PPPPBPPPPB,PPPBBB,4-1-4-1
PPBPPP,BBBBPBBBBP,BBPPBB,4-1-4-1
PBBPPB,PPPPBPPPPB,PPPPPP,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPPBB,4-1-4-1
PBPPPP,PPPPBPPPPB,BBBPBP,4-1-4-1
PPPBBB,BBBBPBBBBP,BBBBPP,4-1-4-1
PPPBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
PBPBBP,BBBBPBBBBP,BPBPBB,4-1-4-1
PPBBPB,PPPPBPPPPB,PBPPPP,4-1-4-1
PBPPBP,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPBBB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BPBPPP,4-1-4-1
BPBBPP,PPPPBPPPPB,BBPPBP,4-1-4-1
PPPPBB,PPPPBPPPPB,BBBPBB,4-1-4-1
PPBBPB,BBBBPBBBBP,BBPBBB,4-1-4-1
BBBBPB,BBBBPBBBBP,PPPBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,PPBBPB,4-1-4-1
PPPPPB,BBBBPBBBBP,BBPBPB,4-1-4-1
PPPPBP,PPPPBPPPPB,PBBPBB,4-1-4-1
PPPPBP,BBBBPBBBBP,PPPBPP,4-1-4-1
PPPBPP,BBBBPBBBBP,PBPBPB,4-1-4-1
BBBPPB,PPPPBPPPPB,PPPPPB,4-1-4-1
BPBPPP,BBBBPBBBBP,BPBPBB,4-1-4-1
BBBPBP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPBBP,4-1-4-1
BPBBBB,PPPPBPPPPB,BPBPBB,4-1-4-1
PBBBPB,BBBBPBBBBP,BPBPBB,4-1-4-1
BBBPBP,PPPPBPPPPB,PBPBPP,4-1-4-1
BPPBPP,PPPPBPPPPB,PPPPPP,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPPBB,4-1-4-1
PBBPPB,PPPPBPPPPB,BBBPBP,4-1-4-1
BBPPBB,PPPPBPPPPB,PBBPBP,4-1-4-1
BBBBPB,BBBBPBBBBP,PPBPBP,4-1-4-1
PBPPBP,PPPPBPPPPB,PBPPPP,4-1-4-1
