before,red_three_cut,after,pattern
BBPBPB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPPPB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPPPB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PBPPPB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
