before,red_2cut,after,pattern
BPBBBP,PPBPP,BPBPPB,PP-B-PP
BPBPPP,PPBPP,BPBBPB,PP-B-PP
PPBBPB,PPBPP,BPPBBB,PP-B-PP
BBBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PBBBBB,PP-B-PP
BPBBBB,PPBPP,BPBBBP,PP-B-PP
PPBPBP,PPBPP,BBBPPB,PP-B-PP
BPBPBB,PPBPP,BBPBPB,PP-B-PP
BBBBBB,PPBPP,BPBBPB,PP-B-PP
BPPPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBBPBB,PP-B-PP
PBPBBP,PPBPP,BBBBPP,PP-B-PP
BPBBPB,PPBPP,PPPBBB,PP-B-PP
BBBBPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BPPPBP,PP-B-PP
BPBBBP,PPBPP,BPBPPP,PP-B-PP
BBBBPP,PPBPP,PPBBPP,PP-B-PP
PPPBBB,PPBPP,BPBPBB,PP-B-PP
BPBPBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBPBPP,PP-B-PP
BPPBPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PBBBBB,PP-B-PP
BPBBPB,PPBPP,PBBBBP,PP-B-PP
BBPPBB,PPBPP,PBBPPP,PP-B-PP
PBBBPB,PPBPP,BPPBPB,PP-B-PP
BBPBPP,PPBPP,BPBBPP,PP-B-PP
BBPBPP,PPBPP,BPBBPP,PP-B-PP
BPBPBP,PPBPP,PPBBBB,PP-B-PP
BBPPPP,PPBPP,PBPBBB,PP-B-PP
PBPBPP,PPBPP,PBBBPB,PP-B-PP
PBPBPP,PPBPP,PBBBPB,PP-B-PP
PBPBPP,PPBPP,PBBBPB,PP-B-PP
PBPBPB,PPBPP,BBPPBP,PP-B-PP
PPBBBB,PPBPP,PBPBPB,PP-B-PP
PPBBBB,PPBPP,PBPBPB,PP-B-PP
PPPPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBBBPP,PP-B-PP
PPBBBB,PPBPP,BPBPPP,PP-B-PP
BPBPPP,PPBPP,BPBPPP,PP-B-PP
PPPPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBBBPP,PP-B-PP
PPBBBB,PPBPP,BPBPPP,PP-B-PP
BPBPPP,PPBPP,BPBPPP,PP-B-PP
PPPPPP,PPBPP,PBPPPP,PP-B-PP
BBBPBB,PPBPP,PPBBBB,PP-B-PP
BPBBBP,PPBPP,PPBPBB,PP-B-PP
BPBPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBPBBB,PP-B-PP
BPBPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBPBBB,PP-B-PP
BPBBPB,PPBPP,PBPPPP,PP-B-PP
BPBBPB,PPBPP,PBPPPP,PP-B-PP
PPBBBB,PPBPP,PPBBBB,PP-B-PP
BPBPBP,PPBPP,PPBBBB,PP-B-PP
BPBPBP,PPBPP,PPBBBB,PP-B-PP
PBBBPB,PPBPP,PPBPBP,PP-B-PP
PPPBPB,PPBPP,PBBBPB,PP-B-PP
BBPBPB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPPPP,PP-B-PP
PBBBPB,PPBPP,PPBPBP,PP-B-PP
PPPBPB,PPBPP,PBBBPB,PP-B-PP
BBPBPB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPPPP,PP-B-PP
PBBBPB,PPBPP,PPBPBP,PP-B-PP
PPPBPB,PPBPP,PBBBPB,PP-B-PP
BBPBPB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPPPP,PP-B-PP
BBPPPP,PPBPP,BBPBPB,PP-B-PP
BPPPPP,PPBPP,BPBBBP,PP-B-PP
BPBBBP,PPBPP,BBPBBB,PP-B-PP
PBBBPB,PPBPP,BPPPBB,PP-B-PP
PBBBPB,PPBPP,BPPPBB,PP-B-PP
PBPBPP,PPBPP,BBPPBB,PP-B-PP
BPBBBB,PPBPP,PBBPBB,PP-B-PP
PBBBPP,PPBPP,PBBBBP,PP-B-PP
BPPBPB,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,BBPPPP,PP-B-PP
PBBPPP,PPBPP,PBBBBB,PP-B-PP
PBPBPP,PPBPP,BPBPBP,PP-B-PP
BPBPBB,PPBPP,BPBBBP,PP-B-PP
PBPBPP,PPBPP,BPBPBP,PP-B-PP
BPBPBB,PPBPP,BPBBBP,PP-B-PP
BBBPPP,PPBPP,PBBPBB,PP-B-PP
PPBBPP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBPPPB,PP-B-PP
PBPPBB,PPBPP,PPPPBB,PP-B-PP
PBBBBP,PPBPP,PPPPPB,PP-B-PP
BBBBPB,PPBPP,PPBBBP,PP-B-PP
PPBPBP,PPBPP,PBPPBP,PP-B-PP
BBBBPB,PPBPP,PPBBBP,PP-B-PP
PPBPBP,PPBPP,PBPPBP,PP-B-PP
BPPBBP,PPBPP,BBBBBP,PP-B-PP
BPPBBB,PPBPP,PBBBPP,PP-B-PP
PPPPPP,PPBPP,PBBPBP,PP-B-PP
PPPPPP,PPBPP,BPPPPP,PP-B-PP
PPBPBP,PPBPP,PBBPPP,PP-B-PP
BBBPPP,PPBPP,PBPPBP,PP-B-PP
PBBBBP,PPBPP,PBPPBB,PP-B-PP
BBBBBB,PPBPP,BBBPPB,PP-B-PP
BPPBBB,PPBPP,BPBBPB,PP-B-PP
BBPBPP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBPBPP,PP-B-PP
BBBPPP,PPBPP,BBBPBB,PP-B-PP
BPBBBP,PPBPP,BBBBPP,PP-B-PP
BBPPPP,PPBPP,PBBPPP,PP-B-PP
PPPBBP,PPBPP,PPPPPP,PP-B-PP
BPBBPP,PPBPP,PBBPBP,PP-B-PP
BPBBPP,PPBPP,PBBPBP,PP-B-PP
PBBPBP,PPBPP,BBPPPB,PP-B-PP
BBPBPB,PPBPP,PBBPBP,PP-B-PP
BPBPBB,PPBPP,BPBPPP,PP-B-PP
PPBBBP,PPBPP,BPPPBB,PP-B-PP
PBPBPP,PPBPP,PPPPPP,PP-B-PP
BPBPPP,PPBPP,PPPBPB,PP-B-PP
PBBBBP,PPBPP,BBPBBB,PP-B-PP
BBPBPB,PPBPP,PBBPBB,PP-B-PP
BBBBBB,PPBPP,BPBBPP,PP-B-PP
PBPBPP,PPBPP,PPBBPB,PP-B-PP
BBPBPB,PPBPP,PBPBBP,PP-B-PP
BBPPBB,PPBPP,PBPPPB,PP-B-PP
BBPPBB,PPBPP,PBPPPB,PP-B-PP
PBBPBP,PPBPP,PBPBPP,PP-B-PP
PPBPBP,PPBPP,PBPPPP,PP-B-PP
PBPBPP,PPBPP,PBBBBB,PP-B-PP
PBBBPP,PPBPP,PBPBPB,PP-B-PP
PBBPBP,PPBPP,PPPPBB,PP-B-PP
BBBPBP,PPBPP,PBBBPP,PP-B-PP
BPPBBB,PPBPP,PPPBBB,PP-B-PP
BBBPBP,PPBPP,BPBPBB,PP-B-PP
BBBBBB,PPBPP,BPBBBB,PP-B-PP
BBBBBP,PPBPP,PPPPBB,PP-B-PP
BBBPBP,PPBPP,PBBBBP,PP-B-PP
PPBBPB,PPBPP,BPBPBB,PP-B-PP
PBBBBB,PPBPP,PBPPPB,PP-B-PP
BBBPBB,PPBPP,PPPBPB,PP-B-PP
PPPBBB,PPBPP,PPPPPB,PP-B-PP
BBPBPP,PPBPP,BPPPBB,PP-B-PP
BPPBBB,PPBPP,BPPBPB,PP-B-PP
BBBPBB,PPBPP,PBBBBB,PP-B-PP
PBPBPP,PPBPP,PPPPBB,PP-B-PP
PBPPBB,PPBPP,PBBPPP,PP-B-PP
PPBBPP,PPBPP,PPBBBB,PP-B-PP
BBBBPB,PPBPP,PBBBBB,PP-B-PP
BPBPPP,PPBPP,PPBPBP,PP-B-PP
PPBPBB,PPBPP,BPPPBB,PP-B-PP
PPPBBB,PPBPP,PPBBPP,PP-B-PP
PPPPPP,PPBPP,BPBBPB,PP-B-PP
PBBPPP,PPBPP,BPBPPP,PP-B-PP
BBBBBP,PPBPP,PPBBPP,PP-B-PP
BBPBPB,PPBPP,PBBBPP,PP-B-PP
PBPBBP,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PPPPBB,PP-B-PP
BBBBPB,PPBPP,PPPBBB,PP-B-PP
PBBPBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBBPBB,PP-B-PP
BPPBBB,PPBPP,PBPPPB,PP-B-PP
PBPBBP,PPBPP,PPBBBB,PP-B-PP
PBPBBP,PPBPP,PPBBBB,PP-B-PP
BBPBBB,PPBPP,BPBBPB,PP-B-PP
BBBBBB,PPBPP,BBBBBP,PP-B-PP
BPBBPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BBPBPB,PP-B-PP
PBBPBB,PPBPP,BBBBPP,PP-B-PP
PPBBBB,PPBPP,PBPPBP,PP-B-PP
BPPBPB,PPBPP,PPPPBP,PP-B-PP
PPBPBB,PPBPP,BPPPBB,PP-B-PP
BPPPBB,PPBPP,BBBPBP,PP-B-PP
BBBBPP,PPBPP,BPPBBB,PP-B-PP
BBPBPB,PPBPP,BPBBPB,PP-B-PP
BPBPBP,PPBPP,PPBBBB,PP-B-PP
BPBBBB,PPBPP,PBBPBP,PP-B-PP
PBPBPP,PPBPP,PBPPPB,PP-B-PP
BBBBBB,PPBPP,PPBPBB,PP-B-PP
BPBBPB,PPBPP,PPBBPB,PP-B-PP
PPPBBP,PPBPP,BBPPPP,PP-B-PP
PBPBPB,PPBPP,BBPBPP,PP-B-PP
BPBBBB,PPBPP,PBPBPP,PP-B-PP
PPPPPP,PPBPP,BBPBBB,PP-B-PP
PBBBPP,PPBPP,BPBPBP,PP-B-PP
PPPBPB,PPBPP,BBPBPP,PP-B-PP
BBBPPP,PPBPP,PPBBPP,PP-B-PP
PPPPBB,PPBPP,BBPBBB,PP-B-PP
BBBPPP,PPBPP,PPBBPP,PP-B-PP
PPPPBB,PPBPP,BBPBBB,PP-B-PP
BBPPBB,PPBPP,PBBPBP,PP-B-PP
BPPBBB,PPBPP,PBBBBB,PP-B-PP
PBBBPP,PPBPP,PBBBPP,PP-B-PP
BPPBBB,PPBPP,PBPPBB,PP-B-PP
PPBBPB,PPBPP,BPPPPP,PP-B-PP
PBPBBB,PPBPP,PBPPPB,PP-B-PP
PPBBPB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PBBPPP,PP-B-PP
PBBBPP,PPBPP,PBBPPB,PP-B-PP
BPBBPP,PPBPP,BBPBBP,PP-B-PP
PBPBBP,PPBPP,PBPBBP,PP-B-PP
PBBPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBBBPB,PP-B-PP
BPBPBP,PPBPP,BPBBPP,PP-B-PP
PPPBBB,PPBPP,PBBPPB,PP-B-PP
PPPBBB,PPBPP,BPPPPP,PP-B-PP
BBPBBB,PPBPP,PBPBBB,PP-B-PP
PPBPBB,PPBPP,PPPPBP,PP-B-PP
PBBBPB,PPBPP,PBBPPB,PP-B-PP
PBBPBB,PPBPP,PPPPPP,PP-B-PP
BBPPPP,PPBPP,PBBPPP,PP-B-PP
PBBPPP,PPBPP,PBPBBP,PP-B-PP
BBPPBB,PPBPP,BPBBPB,PP-B-PP
BBPBBB,PPBPP,PBBPBB,PP-B-PP
BBPBBB,PPBPP,BBBBBP,PP-B-PP
BBBPPP,PPBPP,BBBBPB,PP-B-PP
PPPBBP,PPBPP,PPBPBP,PP-B-PP
BPBBBB,PPBPP,BPBPBP,PP-B-PP
PPPPPP,PPBPP,BPPBPB,PP-B-PP
BPPPPP,PPBPP,BBBBPP,PP-B-PP
BBPBPB,PPBPP,BBPPBB,PP-B-PP
BBBBBB,PPBPP,PBBPPP,PP-B-PP
BPBBPB,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,PBBPBP,PP-B-PP
BPPPPP,PPBPP,BBBPBP,PP-B-PP
PBBPBP,PPBPP,PBPBBB,PP-B-PP
BPPPPP,PPBPP,BBBPBP,PP-B-PP
PBBPBP,PPBPP,PBPBBB,PP-B-PP
PBBPBB,PPBPP,BPBBPP,PP-B-PP
BPPPPP,PPBPP,PPPBPB,PP-B-PP
BPBPPP,PPBPP,BBBPPB,PP-B-PP
BPPBBB,PPBPP,BBBBPB,PP-B-PP
BBBPBB,PPBPP,PPBPBP,PP-B-PP
BBPBPB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BPPPPP,PP-B-PP
PPPBBB,PPBPP,BPBBPB,PP-B-PP
BPBBPB,PPBPP,PBBPPB,PP-B-PP
BPPPBB,PPBPP,PBPBPP,PP-B-PP
PBPBPB,PPBPP,PPPPPP,PP-B-PP
PPPPPP,PPBPP,BPBPPB,PP-B-PP
BPBPBP,PPBPP,BBPBBB,PP-B-PP
BPPPBB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BPPPPB,PP-B-PP
PPBPBP,PPBPP,PPBBBB,PP-B-PP
PBBBPB,PPBPP,PBBPPP,PP-B-PP
BPBPBB,PPBPP,BPPPPP,PP-B-PP
PPPPPP,PPBPP,BBPBPP,PP-B-PP
BBPBPP,PPBPP,PPPBBP,PP-B-PP
BBBPPP,PPBPP,BPPBPP,PP-B-PP
PPPPBB,PPBPP,PPBPBB,PP-B-PP
PBPBBB,PPBPP,PBPPPB,PP-B-PP
PPPBPB,PPBPP,PPPBBB,PP-B-PP
BBBPBB,PPBPP,BPPBBP,PP-B-PP
PBBPBP,PPBPP,PBPPPB,PP-B-PP
PBBPBB,PPBPP,BPBPPB,PP-B-PP
PBBBPB,PPBPP,BBPBBP,PP-B-PP
BBBPBB,PPBPP,PBBPBB,PP-B-PP
BPBBPP,PPBPP,BPPPPP,PP-B-PP
PPBBBB,PPBPP,PBBBBP,PP-B-PP
BPBPPP,PPBPP,PBPPBB,PP-B-PP
PPPBPB,PPBPP,PPPBBP,PP-B-PP
PPPPBB,PPBPP,BPBBPB,PP-B-PP
PPBBBB,PPBPP,PBBBBB,PP-B-PP
BBPBBP,PPBPP,PBPPBP,PP-B-PP
PPPPPP,PPBPP,PPPBBP,PP-B-PP
PPPBBP,PPBPP,PBBPPB,PP-B-PP
BPPBBP,PPBPP,BBBPBB,PP-B-PP
PBPPPP,PPBPP,PPPPPB,PP-B-PP
PBBBBB,PPBPP,BBBPBB,PP-B-PP
BBPPPP,PPBPP,BBBBBP,PP-B-PP
BBBBBP,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,PPBPBB,PP-B-PP
BBBPBP,PPBPP,PBPPPB,PP-B-PP
BPPPBB,PPBPP,PBBPPP,PP-B-PP
BBBPBP,PPBPP,PBPPPB,PP-B-PP
BPPPBB,PPBPP,PBBPPP,PP-B-PP
BPBBPP,PPBPP,PPPPPP,PP-B-PP
PPBPBB,PPBPP,BBBPPP,PP-B-PP
PBBPPP,PPBPP,PPPPBP,PP-B-PP
PBPBPB,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,PBBBPB,PP-B-PP
BBBBBP,PPBPP,PBBBBB,PP-B-PP
BPBPBP,PPBPP,BPPPBB,PP-B-PP
BPBBBB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,BBBPBB,PP-B-PP
BBBPBP,PPBPP,BPBBPP,PP-B-PP
BPBBBB,PPBPP,BPPPPB,PP-B-PP
PPPBBB,PPBPP,PBBPPP,PP-B-PP
BPPPPP,PPBPP,PPBBPB,PP-B-PP
PBBPBB,PPBPP,PBBBBP,PP-B-PP
PPBBPB,PPBPP,BPBPPP,PP-B-PP
PBBPBB,PPBPP,PPPBBB,PP-B-PP
BPPPPP,PPBPP,PBBBPP,PP-B-PP
PPBBBP,PPBPP,BBBPBP,PP-B-PP
BPBBPP,PPBPP,BPBPBB,PP-B-PP
PBPBBB,PPBPP,PPBBPP,PP-B-PP
PPBBPP,PPBPP,BBPPBB,PP-B-PP
BPPBBB,PPBPP,BPPBBB,PP-B-PP
BPPBBB,PPBPP,BBBBBP,PP-B-PP
BBBPPP,PPBPP,BPBBBP,PP-B-PP
BBPBBP,PPBPP,PPBBBB,PP-B-PP
BBBPBB,PPBPP,BBBPPP,PP-B-PP
BPBBPB,PPBPP,PBBBPB,PP-B-PP
BPBPBP,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,BPPBBB,PP-B-PP
BPBPBB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,BBBPPB,PP-B-PP
PBBBBP,PPBPP,BBBPPP,PP-B-PP
PBBBPP,PPBPP,BPPPPB,PP-B-PP
BBBBPP,PPBPP,BBPPBP,PP-B-PP
BPBPPP,PPBPP,PPPPBB,PP-B-PP
PBPBBP,PPBPP,BBPPBB,PP-B-PP
BPPBBB,PPBPP,PBBPPB,PP-B-PP
PBPBBP,PPBPP,BPBBBB,PP-B-PP
BBBBPP,PPBPP,PBPPPB,PP-B-PP
BPBPBB,PPBPP,BBPPBB,PP-B-PP
PBPBPP,PPBPP,PPPBBB,PP-B-PP
BBPBBB,PPBPP,BPPPBB,PP-B-PP
PBPBBP,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PBPPPB,PP-B-PP
BPPPBP,PPBPP,PPPBPB,PP-B-PP
PPBBBB,PPBPP,PBPBPB,PP-B-PP
PPPBBB,PPBPP,BBPBBP,PP-B-PP
PPPBBP,PPBPP,PPBBBP,PP-B-PP
PPBPBB,PPBPP,BPBBPP,PP-B-PP
BPPBBB,PPBPP,PBPPBB,PP-B-PP
BPBBPB,PPBPP,BBBBBP,PP-B-PP
PPPBBP,PPBPP,PBBPPP,PP-B-PP
BPBPPP,PPBPP,PBPPPB,PP-B-PP
PPBBPP,PPBPP,BBBPPP,PP-B-PP
PPBBBP,PPBPP,PBPPBB,PP-B-PP
PBPPBB,PPBPP,BPPBPB,PP-B-PP
BPBBPP,PPBPP,PPPBBP,PP-B-PP
BBPBBB,PPBPP,PBPBBP,PP-B-PP
BPPBPB,PPBPP,PPPPPB,PP-B-PP
BPBPPP,PPBPP,PBBPPP,PP-B-PP
BBPPPP,PPBPP,PBPPPB,PP-B-PP
BBPPPP,PPBPP,PBPPPB,PP-B-PP
BPBPPP,PPBPP,BPBBBB,PP-B-PP
BPBPBP,PPBPP,BPPBBP,PP-B-PP
BPBBPB,PPBPP,BPPBBP,PP-B-PP
PBPBBP,PPBPP,PBPPBP,PP-B-PP
PPPBPB,PPBPP,BPPPPP,PP-B-PP
PBPBPP,PPBPP,BPPPPP,PP-B-PP
PBBBPB,PPBPP,BBPBBP,PP-B-PP
BBBBPP,PPBPP,BBPPBP,PP-B-PP
PPBPBB,PPBPP,BPPPPP,PP-B-PP
PBPBBP,PPBPP,PPPPBB,PP-B-PP
BBPPBB,PPBPP,BPBBBP,PP-B-PP
BBPBPB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,BPBPBB,PP-B-PP
PPPPPP,PPBPP,BPPBBB,PP-B-PP
BBPPBB,PPBPP,BBPBBP,PP-B-PP
PBBPBP,PPBPP,BBBBPB,PP-B-PP
BPBBPB,PPBPP,PPPPPB,PP-B-PP
BPPPBB,PPBPP,BBBPBB,PP-B-PP
BBPBBP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBBPBP,PP-B-PP
PBPBPB,PPBPP,BBPPPB,PP-B-PP
BBBBBP,PPBPP,PBPBPB,PP-B-PP
PBPBBP,PPBPP,BBBBBP,PP-B-PP
PPBPBP,PPBPP,BPBPPP,PP-B-PP
BPPBBP,PPBPP,PBBPBB,PP-B-PP
PBBPBB,PPBPP,BBPBBP,PP-B-PP
BPBPBP,PPBPP,PBBPBP,PP-B-PP
PBBBPB,PPBPP,BPBBBB,PP-B-PP
PPPPPP,PPBPP,PPBPBB,PP-B-PP
PBPBBP,PPBPP,BPPBBP,PP-B-PP
BPBPBP,PPBPP,PPBPBP,PP-B-PP
PPBBBB,PPBPP,BPPBPP,PP-B-PP
PPBBBB,PPBPP,BPPBPP,PP-B-PP
BBBBBP,PPBPP,PBPPBB,PP-B-PP
BPPPBB,PPBPP,BPBBPB,PP-B-PP
BBPPBB,PPBPP,BBPPPP,PP-B-PP
PPBBPP,PPBPP,PBBBPP,PP-B-PP
BPPPBB,PPBPP,BPBBPB,PP-B-PP
BBPPBB,PPBPP,BBPPPP,PP-B-PP
PPBBPP,PPBPP,PBBBPP,PP-B-PP
BPBPPP,PPBPP,BPBBBP,PP-B-PP
BBPPBB,PPBPP,BPBBPP,PP-B-PP
BPPBBB,PPBPP,BPBBPP,PP-B-PP
BPBPBP,PPBPP,BPPPBB,PP-B-PP
BPBBBP,PPBPP,PPBPBP,PP-B-PP
BPBBBB,PPBPP,BBBPPP,PP-B-PP
BBPBPP,PPBPP,PBBBPB,PP-B-PP
PPBPBP,PPBPP,BBPPBP,PP-B-PP
BPBBPP,PPBPP,BBPPBB,PP-B-PP
BBPPBB,PPBPP,PBPBPB,PP-B-PP
PBBPBB,PPBPP,BBBBBP,PP-B-PP
BPPPPP,PPBPP,BBBBBB,PP-B-PP
BPPBBB,PPBPP,BBBPPP,PP-B-PP
PPPPBB,PPBPP,BPBPPP,PP-B-PP
PBBBBP,PPBPP,PPPPPB,PP-B-PP
BPPPPP,PPBPP,BBPPPP,PP-B-PP
PBBPPP,PPBPP,BPBPBP,PP-B-PP
PBBBBP,PPBPP,PPPPPB,PP-B-PP
BPPPPP,PPBPP,BBPPPP,PP-B-PP
PBBPPP,PPBPP,BPBPBP,PP-B-PP
BPBBPB,PPBPP,BBBBPP,PP-B-PP
PPBPBP,PPBPP,BBBPPP,PP-B-PP
PPBBPP,PPBPP,BBPPBB,PP-B-PP
BBPBPB,PPBPP,PBBBPP,PP-B-PP
BBBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,PPBBPB,PP-B-PP
BBPBPB,PPBPP,PBPBPB,PP-B-PP
BBBBBB,PPBPP,PPPPPB,PP-B-PP
PBBBPP,PPBPP,BPBPBB,PP-B-PP
BBBBPP,PPBPP,BPPPPB,PP-B-PP
BPBBBP,PPBPP,BPBPBB,PP-B-PP
PBPBBB,PPBPP,BBBPBB,PP-B-PP
BPBPBB,PPBPP,PBBBPP,PP-B-PP
BBBBBP,PPBPP,PBBPBP,PP-B-PP
PPBPBB,PPBPP,BBPPPB,PP-B-PP
BPPBBP,PPBPP,BBBBPB,PP-B-PP
BBBPBP,PPBPP,PPPBBP,PP-B-PP
PPBBPP,PPBPP,BPBBBB,PP-B-PP
PPPPBB,PPBPP,PPPBBP,PP-B-PP
BPBBPB,PPBPP,BPBPBB,PP-B-PP
BPBPBB,PPBPP,PBPBBP,PP-B-PP
PPPPBB,PPBPP,PPPBBP,PP-B-PP
BPBBPB,PPBPP,BPBPBB,PP-B-PP
BPBPBB,PPBPP,PBPBBP,PP-B-PP
BBPBPB,PPBPP,BBBBBB,PP-B-PP
PPBPBP,PPBPP,PBBBPP,PP-B-PP
PPPPBB,PPBPP,BPBBBP,PP-B-PP
BBBBBB,PPBPP,PPBBPP,PP-B-PP
BBPPBB,PPBPP,PBBBBP,PP-B-PP
BPPPPP,PPBPP,PBPBPB,PP-B-PP
BPBBPB,PPBPP,BBBPBP,PP-B-PP
BPBBPB,PPBPP,BPBBPP,PP-B-PP
PBPBBP,PPBPP,PBBBPP,PP-B-PP
BPPBPP,PPBPP,BPBPBB,PP-B-PP
BPBBPB,PPBPP,BBPBBB,PP-B-PP
BBBBPP,PPBPP,PBPBBB,PP-B-PP
BPBPBP,PPBPP,BBPBPB,PP-B-PP
PBPBPB,PPBPP,PPPPBB,PP-B-PP
BPBBBP,PPBPP,BPBBBB,PP-B-PP
PPBPBP,PPBPP,BPBPPP,PP-B-PP
PPPBBB,PPBPP,BBBPBB,PP-B-PP
PBBPBB,PPBPP,PBBBBB,PP-B-PP
BBBBBP,PPBPP,PBBBBB,PP-B-PP
PBPPBB,PPBPP,BBBBPP,PP-B-PP
PPBBBB,PPBPP,PPPBBP,PP-B-PP
PBPPBB,PPBPP,BBBBPP,PP-B-PP
PPBBBB,PPBPP,PPPBBP,PP-B-PP
PBBPBB,PPBPP,BBBPBB,PP-B-PP
PPBBPP,PPBPP,PPPPPP,PP-B-PP
PBBBBB,PPBPP,PPPBBP,PP-B-PP
PBBBPP,PPBPP,PBBPPB,PP-B-PP
PBBPBP,PPBPP,BBBPPP,PP-B-PP
PBBBPP,PPBPP,PBPPBP,PP-B-PP
BPBBBB,PPBPP,BPPBPB,PP-B-PP
BPBPBP,PPBPP,PPBBBP,PP-B-PP
PPPBBP,PPBPP,PBBPPP,PP-B-PP
BBBBBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPBBBP,PP-B-PP
PBPPBP,PPBPP,BBPBBB,PP-B-PP
PBPPBB,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BPBBBB,PP-B-PP
BBPBBP,PPBPP,BPBPBB,PP-B-PP
BBPBBP,PPBPP,BPBPBB,PP-B-PP
BPBBPP,PPBPP,PPBBBP,PP-B-PP
BBBPBP,PPBPP,BBPBBP,PP-B-PP
PBPBPP,PPBPP,BBPPBB,PP-B-PP
BBPBBB,PPBPP,BPBPBP,PP-B-PP
PBPBBB,PPBPP,BPPBPB,PP-B-PP
PPPBBP,PPBPP,BBBPBB,PP-B-PP
PBBPPP,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PBBPPB,PP-B-PP
BPPBBP,PPBPP,PBPPPB,PP-B-PP
BPPPPP,PPBPP,PBPBBB,PP-B-PP
BPBPBP,PPBPP,PPPBBP,PP-B-PP
BBBBBB,PPBPP,BPPBPB,PP-B-PP
BBPBBP,PPBPP,PBPBBB,PP-B-PP
BBBPBP,PPBPP,BBBBPB,PP-B-PP
PBBPPP,PPBPP,PBPPPP,PP-B-PP
PPBPPP,PPBPP,BPBPBP,PP-B-PP
BPBPBP,PPBPP,PPPPPB,PP-B-PP
BBBPPP,PPBPP,PBPBPP,PP-B-PP
BPBBBB,PPBPP,BPPPPP,PP-B-PP
PPBPBP,PPBPP,BPPBBB,PP-B-PP
PBPPPP,PPBPP,BBPBPB,PP-B-PP
PPBBBB,PPBPP,BBPBPP,PP-B-PP
PPPPPP,PPBPP,PBBBPP,PP-B-PP
BPBBBP,PPBPP,PBBPPP,PP-B-PP
BPBPBB,PPBPP,BPPBPB,PP-B-PP
BBPBBB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,BPBBPB,PP-B-PP
PPBBPB,PPBPP,PPBBBP,PP-B-PP
BBBPBP,PPBPP,BBBPPP,PP-B-PP
BPPBBB,PPBPP,BBPBPP,PP-B-PP
PPBBPB,PPBPP,BBBPPB,PP-B-PP
BBPPPP,PPBPP,BBBBBP,PP-B-PP
BBPBBB,PPBPP,PBBBPB,PP-B-PP
BBBBPP,PPBPP,BBBPPP,PP-B-PP
BPPPBB,PPBPP,PPBPBP,PP-B-PP
BPBBPB,PPBPP,BBBPPB,PP-B-PP
PPBPBB,PPBPP,BBPPPP,PP-B-PP
BBBBPB,PPBPP,BBPBBB,PP-B-PP
