before,no_cut,after,length,structure
BPPBBB,BPBPBP,BBPPPP,6,BPB
BPPBBP,PBPBPB,BBBBPP,6,PBP
BPPBBB,BPBPBP,PPPPPB,6,BPB
PPBPBP,PBPBPB,BPBBPP,6,PBP
BBPPPP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBP,PBPPPB,6,BPB
BPBPBP,PBPBPB,BBPBPP,6,PBP
PPPPBB,BPBPBP,PBBPBP,6,BPB
PPPPPP,PBPBPB,BBPPPB,6,PBP
BPPBPB,BPBPBP,PPPPBB,6,BPB
PBBPPB,BPBPBP,PPBPPP,6,BPB
BBBBBB,BPBPBP,PPBPPP,6,BPB
BPPPBB,BPBPBP,PBBPPP,6,BPB
BBBBBB,BPBPBP,PPPBPB,6,BPB
PPBPPP,PBPBPB,BPPPBB,6,PBP
PPBPBP,PBPBPB,PPBBBP,6,PBP
BBBBBB,BPBPBP,PBBBBB,6,BPB
PPPPBB,BPBPBPBPBP,BBBBBP,10,BPB
PBPPPP,PBPBPB,BBBPPB,6,PBP
PPPPPP,PBPBPB,BPPBPB,6,PBP
PPBPPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,BPBPBB,6,PBP
BBBBBP,PBPBPB,BBBPPB,6,PBP
BPPPBP,PBPBPB,BPBPBB,6,PBP
BPBPBB,BPBPBP,PPBBPP,6,BPB
BPPBBP,PBPBPBPB,BPPPBP,8,PBP
BBPBBP,PBPBPB,BPBPPP,6,PBP
BBBPPP,PBPBPB,BPPPPP,6,PBP
BBBPPB,BPBPBP,PPPPPP,6,BPB
BPPPBP,PBPBPB,BPPBPP,6,PBP
BBBPPP,PBPBPBPB,BBBBBB,8,PBP
BPPPPP,PBPBPBPB,BBPPPB,8,PBP
BPPPPP,PBPBPB,BBBBPP,6,PBP
PPBPPB,BPBPBPBPBP,PBBPBP,10,BPB
BBBBBB,BPBPBP,PPBBPP,6,BPB
PBPPPP,PBPBPB,BPPBBP,6,PBP
BPBBPP,PBPBPBPB,BPPBPB,8,PBP
BBBBPB,BPBPBP,PBBBBB,6,BPB
BPPBBB,BPBPBP,PPBBBP,6,BPB
BBBBBB,BPBPBP,PBBBBB,6,BPB
PPBBBP,PBPBPB,BBBPBB,6,PBP
BBBBBB,BPBPBP,BBBPBB,6,BPB
BBPBPB,BPBPBP,BBPPBP,6,BPB
BPBPBB,BPBPBP,PPBBPB,6,BPB
BBBBBP,PBPBPB,PPPPPP,6,PBP
BBPBPB,BPBPBP,BBPBPB,6,BPB
PBPBPB,BPBPBP,PBBBBB,6,BPB
BBPPPP,PBPBPB,BPPPPP,6,PBP
BPPPBB,BPBPBP,PBBPBP,6,BPB
PPPPBB,BPBPBPBP,PBBPBB,8,BPB
PBBBPP,PBPBPB,BPPBBP,6,PBP
PPBBBP,PBPBPB,BBBBPP,6,PBP
PPBBPB,BPBPBP,PBPBBP,6,BPB
BPBPBP,PBPBPBPB,BPPBPP,8,PBP
BBBBPB,BPBPBP,PPBBBP,6,BPB
BPPPPB,BPBPBP,PBBBPP,6,BPB
PPBBBB,BPBPBP,PBBPPB,6,BPB
PBBPBB,BPBPBP,PPPBPB,6,BPB
BBBBBP,PBPBPB,BPPBPP,6,PBP
BBBBPP,PBPBPB,BPBPPP,6,PBP
PPPPPB,BPBPBPBP,BBBBPP,8,BPB
BPPBBP,PBPBPBPBPBPB,BPBPPB,12,PBP
PPPPBP,PBPBPB,BPPBBP,6,PBP
PBBPPB,BPBPBP,BBPBPP,6,BPB
BPPPBP,PBPBPBPB,BBBBPP,8,PBP
BBBBBP,PBPBPB,BBBBPB,6,PBP
PBBBPB,BPBPBPBP,BBPBPB,8,BPB
BBPBBB,BPBPBP,PPBBPB,6,BPB
PPPBPB,BPBPBPBP,PPPBPP,8,BPB
PPPBPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,PPBPBB,6,BPB
BBPPPB,BPBPBP,BBPBBB,6,BPB
PPPPBB,BPBPBP,BBBBBP,6,BPB
PPBBPB,BPBPBP,BBBBPB,6,BPB
PPPPPP,PBPBPBPB,BPPBBB,8,PBP
BPBBBB,BPBPBP,PBPPPB,6,BPB
PPPBBB,BPBPBP,PBPBBP,6,BPB
PBBPPB,BPBPBP,BBPPPB,6,BPB
BPPPBP,PBPBPB,BBBBPB,6,PBP
BBBPBB,BPBPBPBP,PPPBBP,8,BPB
BPPPPB,BPBPBP,PPBPPP,6,BPB
PPBBPP,PBPBPBPB,BPBPPP,8,PBP
BBPPBP,PBPBPBPB,BPBPBB,8,PBP
PBBBPP,PBPBPB,BBPPBP,6,PBP
BBBBBP,PBPBPB,BBPBPP,6,PBP
BBBPPP,PBPBPB,PPPPBB,6,PBP
BBPPPB,BPBPBPBP,PBBPPB,8,BPB
BBBBBB,BPBPBP,PPPBPP,6,BPB
BBBBPP,PBPBPBPB,PPPPBB,8,PBP
PBPBBB,BPBPBPBP,BBBPBB,8,BPB
PBBBBP,PBPBPB,BBBBPB,6,PBP
PPBBBB,BPBPBP,PPBBBP,6,BPB
BPPBBP,PBPBPBPB,PPPBBP,8,PBP
BPBPPP,PBPBPB,PPBPPB,6,PBP
BBPPPB,BPBPBP,PPBPBB,6,BPB
BBPBPP,PBPBPBPBPB,BBPBBP,10,PBP
BPPBBB,BPBPBP,PPPBBB,6,BPB
PBPPPP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBPBP,PBBPBP,8,BPB
BPBPPB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,PPPPPP,6,BPB
BBPBBP,PBPBPB,PPBBPP,6,PBP
BPBPPB,BPBPBP,PPBPPB,6,BPB
BPPPPP,PBPBPB,PPBBPP,6,PBP
BBPBPP,PBPBPB,BPBBPB,6,PBP
BBPBPP,PBPBPB,PPPBPB,6,PBP
BBBPPP,PBPBPB,BBBPBB,6,PBP
PPPPPP,PBPBPB,BPBPPP,6,PBP
PPBBBB,BPBPBP,PPPPPP,6,BPB
BBBPPB,BPBPBP,PBBBBB,6,BPB
BPPBBB,BPBPBP,PPBBPB,6,BPB
PBPPPB,BPBPBPBP,PBBPPP,8,BPB
PBPBPP,PBPBPB,PPPBBB,6,PBP
BPPPPP,PBPBPB,BPBBBP,6,PBP
BBBPPB,BPBPBPBP,BBPBBP,8,BPB
PPBBBP,PBPBPBPB,BBPPBP,8,PBP
PBBBPP,PBPBPBPB,PPPBPB,8,PBP
BPPBPP,PBPBPB,PPBBBB,6,PBP
PPPBBP,PBPBPB,PPPBBB,6,PBP
BPPBBB,BPBPBP,PBBBPP,6,BPB
PBBBBP,PBPBPB,BBBBBP,6,PBP
BBBBBP,PBPBPB,PPPBBP,6,PBP
BBBBBB,BPBPBP,PPPPPB,6,BPB
PBPBBP,PBPBPB,BBPBBP,6,PBP
PPPBPP,PBPBPBPB,BPBPBB,8,PBP
BPBBBP,PBPBPB,BBPBPB,6,PBP
BBPBBP,PBPBPB,BBBBPB,6,PBP
PPPBBP,PBPBPB,BPBPPP,6,PBP
PPBBBB,BPBPBP,BBPPBP,6,BPB
BBPPPB,BPBPBP,PBBBBB,6,BPB
PPBPBB,BPBPBPBP,PBPBBB,8,BPB
PPPPBB,BPBPBP,PPPBBB,6,BPB
BPBBBP,PBPBPBPB,BBPPPB,8,PBP
PPPBPB,BPBPBP,PBBBPP,6,BPB
PBPPPP,PBPBPB,BPPBPB,6,PBP
BBPPBP,PBPBPBPB,BBPBBB,8,PBP
PPPPPB,BPBPBP,PBBBBP,6,BPB
PPBBPB,BPBPBP,PPBPPB,6,BPB
BBPBPB,BPBPBPBP,BBPPBB,8,BPB
BPBPPB,BPBPBP,BBPPPB,6,BPB
PPPPPP,PBPBPB,PPPPPP,6,PBP
BPPPPB,BPBPBPBPBP,PPBPPP,10,BPB
BBPPPP,PBPBPB,BPPBBB,6,PBP
PPBPBP,PBPBPB,BPPPPP,6,PBP
BBPPBP,PBPBPBPB,BBPBBP,8,PBP
BBPBPB,BPBPBP,PPPPBB,6,BPB
BPPPBP,PBPBPBPB,BBBBBB,8,PBP
BBBBBB,BPBPBP,PPPBBP,6,BPB
BBBPPP,PBPBPB,PPBPPB,6,PBP
BBBBBP,PBPBPB,BBPPBB,6,PBP
BBPBPP,PBPBPB,PPPBBP,6,PBP
BBPBPP,PBPBPB,PPPBBP,6,PBP
BBBPPP,PBPBPB,BBPPBP,6,PBP
BBPBPP,PBPBPB,BBPPPP,6,PBP
PPPBPB,BPBPBP,BBBBPP,6,BPB
BBPBPB,BPBPBP,PBBBPP,6,BPB
PPPPBP,PBPBPB,BPPPPP,6,PBP
PPBBPB,BPBPBP,PPPBBP,6,BPB
BPBPPP,PBPBPB,PPBPPB,6,PBP
BBBBPP,PBPBPB,BPPBBB,6,PBP
PBPPPB,BPBPBPBP,PPBBPP,8,BPB
PPPBPB,BPBPBP,PPPPBB,6,BPB
PPBBPB,BPBPBP,PPPPPP,6,BPB
BBPBBP,PBPBPB,BBPBBB,6,PBP
PPBBPP,PBPBPB,BBPPBP,6,PBP
BBPPPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,PPBPPP,6,PBP
PPBBPB,BPBPBP,BBBPBB,6,BPB
BBPBBP,PBPBPB,BPBPPB,6,PBP
PPBBBP,PBPBPB,BPBBPP,6,PBP
PPBPPB,BPBPBP,BBPBBP,6,BPB
BBBPBP,PBPBPBPBPBPB,BBPPBB,12,PBP
BBBBPP,PBPBPB,BPPPPP,6,PBP
BPPBBB,BPBPBP,PPBBPB,6,BPB
PPPPBP,PBPBPB,BPPBPB,6,PBP
PBPPPB,BPBPBP,PPPBBB,6,BPB
BBBBBB,BPBPBP,PPBPPB,6,BPB
PBBPBP,PBPBPB,BPPPPB,6,PBP
BPPPBB,BPBPBP,BBBBPB,6,BPB
BPPBPB,BPBPBPBPBP,PBBBBB,10,BPB
BBBBBP,PBPBPB,PPPBBP,6,PBP
BBPPPB,BPBPBP,BBPBBB,6,BPB
PBPPBP,PBPBPBPB,PPBPBP,8,PBP
BPBPBP,PBPBPBPB,BPBPPP,8,PBP
PBBBBB,BPBPBP,BBPBPB,6,BPB
PBBBBB,BPBPBP,BBPBPB,6,BPB
PPBPPP,PBPBPBPBPB,BBBBBP,10,PBP
BBBBPP,PBPBPBPB,PPBPPP,8,PBP
PBPPPB,BPBPBPBP,PBPBPB,8,BPB
PBBBPP,PBPBPB,BPBPBB,6,PBP
BPPPPB,BPBPBP,BBBPBP,6,BPB
BPPPPP,PBPBPB,BPPBBP,6,PBP
PBBBBP,PBPBPB,BBBBBP,6,PBP
BBBPPP,PBPBPB,BPBBPB,6,PBP
PBPBBB,BPBPBP,BBPBPB,6,BPB
PBPBPB,BPBPBP,PPPBBP,6,BPB
BBBBBB,BPBPBPBP,PBBPBP,8,BPB
BPBPPB,BPBPBP,BBPPBP,6,BPB
PBBPPB,BPBPBPBP,BBBPPB,8,BPB
PBPBBB,BPBPBP,BBBPBP,6,BPB
BBPPBB,BPBPBP,PPBBPP,6,BPB
BBPPPB,BPBPBP,BBBPBB,6,BPB
BPPPBB,BPBPBP,BBBBPB,6,BPB
PPPPPB,BPBPBP,PPPPBB,6,BPB
PPPBPP,PBPBPB,BBPBPP,6,PBP
PPBBBP,PBPBPB,BPPBBP,6,PBP
BBBBBB,BPBPBP,BBBBBB,6,BPB
BBPPBB,BPBPBPBP,PPPPBP,8,BPB
BPBBBP,PBPBPB,BPPPPP,6,PBP
PBPBBB,BPBPBP,PPPBPP,6,BPB
PBPBBP,PBPBPBPB,BPPPPP,8,PBP
BBPBPB,BPBPBPBPBP,BBBBPP,10,BPB
BBPBPB,BPBPBP,PPBPPP,6,BPB
BPPPBB,BPBPBP,BBPBBP,6,BPB
BBBPPP,PBPBPB,PPPPPB,6,PBP
BBPBPB,BPBPBP,PBPPPP,6,BPB
BPPPPB,BPBPBP,PPBPPP,6,BPB
PBPPBB,BPBPBP,BBBPBP,6,BPB
PPBBBB,BPBPBP,PPBPPB,6,BPB
PBPBPP,PBPBPBPB,BBPBPP,8,PBP
BBBPPP,PBPBPBPB,BBBPBP,8,PBP
PBPBBB,BPBPBP,PBBPPP,6,BPB
BPPBBP,PBPBPB,BPBBBP,6,PBP
BPBBBP,PBPBPB,PPPPBP,6,PBP
BPPBPB,BPBPBPBP,PPBBPP,8,BPB
PPBPBP,PBPBPBPB,BPPPBP,8,PBP
BBPPBP,PBPBPB,PPPPBP,6,PBP
BBPPPB,BPBPBPBP,PBBPPP,8,BPB
PPPPBB,BPBPBP,PPPPPB,6,BPB
PPBBPP,PBPBPB,PPPPBP,6,PBP
BPBPPP,PBPBPB,PPBBPB,6,PBP
PBPPPB,BPBPBP,PPBBPB,6,BPB
BPPPBP,PBPBPB,PPPPBB,6,PBP
PBPPPB,BPBPBP,PBBBBB,6,BPB
BPPPPP,PBPBPB,BPPPPP,6,PBP
PPBBPB,BPBPBPBP,PPPBBP,8,BPB
BBBPBP,PBPBPB,PPBPPB,6,PBP
PBPPBB,BPBPBP,PPPPPB,6,BPB
BBPPPB,BPBPBP,PPPBPP,6,BPB
BBPBPB,BPBPBP,PBBBBB,6,BPB
PPPPPB,BPBPBPBP,BBBBPP,8,BPB
PPPPBB,BPBPBP,PBBPPP,6,BPB
BBPBPB,BPBPBP,PBBPPP,6,BPB
PBPPPB,BPBPBP,PPPPBB,6,BPB
BBPPPP,PBPBPB,PPBBPB,6,PBP
PBPPPP,PBPBPB,BBBBBP,6,PBP
BPPBBB,BPBPBPBPBP,PBPPBB,10,BPB
BBPPBB,BPBPBP,PPPBPB,6,BPB
PPBPBP,PBPBPB,BPBPPP,6,PBP
PPPPPB,BPBPBP,PBPBBB,6,BPB
PPBPPP,PBPBPB,BPPPBB,6,PBP
PPBPPP,PBPBPB,BPPPBB,6,PBP
BBBBBP,PBPBPB,PPPBBB,6,PBP
BBPBBP,PBPBPB,PPBBBP,6,PBP
BBBPBP,PBPBPB,BBBPPB,6,PBP
PBPBPP,PBPBPB,BBBBPP,6,PBP
PBPBBB,BPBPBPBP,BBBBPB,8,BPB
PPPBPB,BPBPBP,PBPPPB,6,BPB
BPPPPP,PBPBPB,BBPPPP,6,PBP
BPPBPB,BPBPBP,PPPPPP,6,BPB
PPBPPP,PBPBPBPB,BBPPPP,8,PBP
BPBBPB,BPBPBPBPBPBP,PBPPBB,12,BPB
PPBPPB,BPBPBPBPBP,BBPPPB,10,BPB
PPPPPP,PBPBPB,PPPPPB,6,PBP
PPBBPB,BPBPBP,PPPBBB,6,BPB
BBBPPP,PBPBPBPBPB,BPPBBP,10,PBP
PPBBPB,BPBPBP,BBPBPB,6,BPB
BPBPBB,BPBPBP,BBBPPB,6,BPB
BBPPBB,BPBPBP,PPBBBB,6,BPB
BBBBBB,BPBPBPBPBP,PBPPBP,10,BPB
PBBPPP,PBPBPB,BPPBPB,6,PBP
PBPBBB,BPBPBP,PPPBBB,6,BPB
BBBPPP,PBPBPB,BPPBPP,6,PBP
PPPBPP,PBPBPBPBPB,PPBBBP,10,PBP
PPBBBP,PBPBPB,BBBBPB,6,PBP
BPBBBB,BPBPBP,PPBBBP,6,BPB
PPPBBP,PBPBPB,BPBBBB,6,PBP
PBBBPP,PBPBPB,BPPPBP,6,PBP
BPPBBB,BPBPBP,PPPPPB,6,BPB
BPPBBP,PBPBPB,PPBPBP,6,PBP
BPBPBP,PBPBPB,PPPPPP,6,PBP
BPBPPB,BPBPBPBP,PBPBPP,8,BPB
BPPBPP,PBPBPB,BBPPPP,6,PBP
BBPPPP,PBPBPBPBPB,BPBBBP,10,PBP
PBBBPP,PBPBPB,BBBBBP,6,PBP
BBBPBP,PBPBPB,PPBBBB,6,PBP
BBBBBB,BPBPBPBP,PBPBBP,8,BPB
PBBBBB,BPBPBP,PBBPPP,6,BPB
BBBPPB,BPBPBP,PPPPPP,6,BPB
BPPPPP,PBPBPB,BBBPPP,6,PBP
PPBBPP,PBPBPB,BPPBBB,6,PBP
PPPBBB,BPBPBP,PBPBBP,6,BPB
BBBBPP,PBPBPB,BBBPBB,6,PBP
PBBPPP,PBPBPB,BBBPPP,6,PBP
PBPPBB,BPBPBP,PPBBPB,6,BPB
BBBBPP,PBPBPB,PPBPPP,6,PBP
PBBBBB,BPBPBP,BBBPBP,6,BPB
BPBBBP,PBPBPB,BPBBBP,6,PBP
BBBPBB,BPBPBP,BBBBBB,6,BPB
BBBPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBPBP,PPPPPP,8,BPB
PPBBPP,PBPBPBPB,PPBBBP,8,PBP
PPPPBB,BPBPBP,BBBBPP,6,BPB
PBPBBB,BPBPBP,PBPPBB,6,BPB
BBPBPP,PBPBPB,BBBBPB,6,PBP
BBBBBB,BPBPBP,PBPBBP,6,BPB
PPBPPP,PBPBPB,BPPBPB,6,PBP
BPBBBP,PBPBPB,BPPBPB,6,PBP
PPBPPP,PBPBPB,PPBPPB,6,PBP
BPPPBP,PBPBPBPB,BPBBPP,8,PBP
BPPPPP,PBPBPB,BBBBPB,6,PBP
BPBBPP,PBPBPBPB,BBBPBP,8,PBP
PPPBPB,BPBPBP,BBBBPP,6,BPB
PBPPBB,BPBPBP,PPBPPB,6,BPB
PPBBBB,BPBPBPBP,PBBBPB,8,BPB
PBPPBB,BPBPBP,PBBBBB,6,BPB
BBBBPB,BPBPBP,PBPPBB,6,BPB
BBPPPP,PBPBPB,BPBPBP,6,PBP
PPPBPP,PBPBPBPB,BBPBBP,8,PBP
PPPBBB,BPBPBP,PBBPPP,6,BPB
BPBBPB,BPBPBPBP,PPPBBB,8,BPB
PPPPBP,PBPBPB,BBBBBB,6,PBP
PPBBPP,PBPBPBPB,BBBPPB,8,PBP
PBPBPP,PBPBPB,PPPBPB,6,PBP
PBPBPP,PBPBPB,BBBBBB,6,PBP
PBBBPB,BPBPBP,PBBBBP,6,BPB
BBPBBB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,PPBBBP,6,PBP
PPBPBP,PBPBPB,PPPPPP,6,PBP
BBPPBB,BPBPBPBP,BBPPPP,8,BPB
BPPBBP,PBPBPB,PPPBBB,6,PBP
BPBBBB,BPBPBP,PBBPPB,6,BPB
BBBPPP,PBPBPB,BBBBBP,6,PBP
BPBPPB,BPBPBP,PPPBPB,6,BPB
BPPPPB,BPBPBP,BBBBPP,6,BPB
PPBPPP,PBPBPB,PPPPBP,6,PBP
PBBBPP,PBPBPB,BBBBBP,6,PBP
BPPPPB,BPBPBPBP,PPBPBP,8,BPB
BBPPBB,BPBPBP,PBPBBB,6,BPB
BPBBPP,PBPBPB,PPPBBP,6,PBP
PBPBBB,BPBPBP,PPBBBB,6,BPB
PPPBBB,BPBPBP,PBPBPP,6,BPB
PPBPPP,PBPBPB,BPPPPP,6,PBP
PPBBPB,BPBPBP,PBPBBP,6,BPB
BBBBBP,PBPBPB,BPPBBB,6,PBP
PPPPPP,PBPBPB,PPBBBP,6,PBP
PBPPBP,PBPBPBPB,BBPBBB,8,PBP
BPPPBP,PBPBPBPB,PPBPPP,8,PBP
PPBBPB,BPBPBP,PBBPPB,6,BPB
BPBPBB,BPBPBPBPBP,PPBPPP,10,BPB
BPPBPB,BPBPBP,PPPPBP,6,BPB
BPPBPP,PBPBPBPB,BPBBPP,8,PBP
PPPBPP,PBPBPB,BBPPBB,6,PBP
BBPBBP,PBPBPBPB,BBBPBB,8,PBP
BBPPPP,PBPBPB,BBBBBP,6,PBP
BBBBPB,BPBPBP,PPPPPP,6,BPB
BBBBBB,BPBPBPBP,BBPBPB,8,BPB
BBPPBP,PBPBPB,BPPPBB,6,PBP
PPBBPP,PBPBPB,BBBPBP,6,PBP
BPPPBB,BPBPBP,PBBPPP,6,BPB
BBBBPP,PBPBPB,PPBBBB,6,PBP
BPPBBB,BPBPBP,PBPPPP,6,BPB
PBBPBP,PBPBPB,BBPPPP,6,PBP
BBBPPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBBPPB,6,BPB
PPBBPP,PBPBPB,PPBBBP,6,PBP
BPPBBB,BPBPBP,BBBPPB,6,BPB
BBBPBB,BPBPBP,PBPBPP,6,BPB
BPBBBP,PBPBPB,BBPPBB,6,PBP
PBBBBB,BPBPBP,BBBPBB,6,BPB
PBPPPP,PBPBPB,BPPBPB,6,PBP
PBBPBB,BPBPBP,PBPPBB,6,BPB
BBPBBB,BPBPBPBP,BBPBPB,8,BPB
BBPPPP,PBPBPB,PPPBBP,6,PBP
BPPPPP,PBPBPBPBPBPB,PPBPPB,12,PBP
BBBBBP,PBPBPB,PPPBPB,6,PBP
BPPPBB,BPBPBPBP,PBBBBP,8,BPB
PPPPPP,PBPBPB,BPBPPP,6,PBP
BPPPPB,BPBPBP,PPBBPP,6,BPB
PPBBPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BPPPBB,6,PBP
PPPPBP,PBPBPB,BBPBBP,6,PBP
BPPPBB,BPBPBP,PPPPBP,6,BPB
BPPPBP,PBPBPB,BBBBPP,6,PBP
BBBPPB,BPBPBP,BBPBBB,6,BPB
BBPPPB,BPBPBP,PPPBBB,6,BPB
PPPBBP,PBPBPB,BPPBPP,6,PBP
PPPBBP,PBPBPB,BBBBPP,6,PBP
BPPPPP,PBPBPB,BBPBBB,6,PBP
BBPPPP,PBPBPB,BBPPPB,6,PBP
PPPPPB,BPBPBP,PBBBBP,6,BPB
BBBPPP,PBPBPB,BPPPPP,6,PBP
BBPBBP,PBPBPB,BBBBBP,6,PBP
BPPPBB,BPBPBP,PBBPPP,6,BPB
BPPPPB,BPBPBP,PPPBBB,6,BPB
PPBBPP,PBPBPB,BPPPPB,6,PBP
PBBBPP,PBPBPB,PPBBBB,6,PBP
PPPPBB,BPBPBP,PPPBPP,6,BPB
BPBBBP,PBPBPB,BPPBPP,6,PBP
BBPPPB,BPBPBP,BBPBPB,6,BPB
PPBPBB,BPBPBP,PPBPBB,6,BPB
PPBPPB,BPBPBPBP,PBBPBP,8,BPB
BBPBPP,PBPBPB,PPPBBP,6,PBP
BBBPBB,BPBPBPBP,BBBPPP,8,BPB
PBBBPP,PBPBPB,BBPBPB,6,PBP
BBBBPB,BPBPBP,PBPPBP,6,BPB
PBPPBP,PBPBPBPB,BPPPPB,8,PBP
BBBPPB,BPBPBPBP,PPBBPP,8,BPB
PPBBBB,BPBPBP,PPPPPB,6,BPB
BBPPBP,PBPBPB,PPPPBP,6,PBP
BPBPPP,PBPBPB,BBPBBP,6,PBP
PBBPBP,PBPBPB,PPBBPP,6,PBP
BPBPPP,PBPBPB,BBPBBP,6,PBP
PBBPBP,PBPBPB,PPBBPP,6,PBP
BBPBBB,BPBPBP,PPPBBB,6,BPB
PBBBPP,PBPBPB,PPBBPP,6,PBP
PPBPPB,BPBPBP,PBPPPP,6,BPB
PBPPBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBBBPB,6,BPB
PPPPPB,BPBPBP,PBBPPP,6,BPB
PPPPBP,PBPBPBPB,BBBBBB,8,PBP
BPPPPP,PBPBPBPBPB,PPBBPP,10,PBP
BBBPPP,PBPBPB,BPPBPB,6,PBP
PBPBBP,PBPBPB,PPBPPP,6,PBP
BBBPBB,BPBPBP,BBBPBP,6,BPB
BBPPBB,BPBPBP,PBPBPB,6,BPB
BBPPBB,BPBPBP,PBPBPB,6,BPB
BBPPBB,BPBPBP,PBPBPB,6,BPB
PBPPBB,BPBPBP,BBBBBB,6,BPB
PPBBBB,BPBPBP,BBPPPP,6,BPB
PPBPPP,PBPBPB,BPPPPB,6,PBP
BBBBBP,PBPBPB,PPBBBP,6,PBP
BBPPPP,PBPBPB,BBBBBP,6,PBP
PPBPBP,PBPBPB,BPBBBB,6,PBP
PPBPPP,PBPBPBPB,BPBPBB,8,PBP
PPBBPB,BPBPBP,BBBPPP,6,BPB
PBBPBB,BPBPBPBP,BBBPBB,8,BPB
PPBBBB,BPBPBP,PBPPBP,6,BPB
PPBBPB,BPBPBP,PBBBPB,6,BPB
BBPPPP,PBPBPB,BPBPPP,6,PBP
BPPBBB,BPBPBP,PPPBPB,6,BPB
PPPPBP,PBPBPB,BPPBBP,6,PBP
PPPPPB,BPBPBP,BBBPPB,6,BPB
PPBPPB,BPBPBPBP,PBPBBB,8,BPB
BBPPPB,BPBPBP,PPPPPP,6,BPB
PPBPBB,BPBPBP,PPPBBP,6,BPB
BPBBPB,BPBPBP,PBBBBP,6,BPB
BPPBBP,PBPBPB,BBPBBB,6,PBP
PPPBPB,BPBPBP,BBBPBP,6,BPB
BBPBPP,PBPBPB,BBPPBB,6,PBP
PBBPPP,PBPBPB,BPBPPP,6,PBP
PPBBBB,BPBPBP,PBBBPP,6,BPB
BPPPPB,BPBPBP,PPPBPB,6,BPB
BPPPPP,PBPBPB,PPPPBB,6,PBP
PBBPBB,BPBPBP,PBPBPP,6,BPB
BBBBBB,BPBPBP,PBBPPB,6,BPB
BBBPBB,BPBPBP,BBBBPB,6,BPB
BBBPBP,PBPBPB,BBPPPP,6,PBP
PBPBBB,BPBPBP,PPPBPP,6,BPB
BBBPPP,PBPBPB,BPPBBP,6,PBP
PBPPBB,BPBPBP,PBBBBP,6,BPB
BPBPPP,PBPBPBPB,PPPBBP,8,PBP
PBPBBP,PBPBPB,BPPPPB,6,PBP
BBPPBB,BPBPBP,BBBPBB,6,BPB
BPBPPP,PBPBPB,PPPBBP,6,PBP
BBPBBB,BPBPBP,PPPBBP,6,BPB
PBPPBP,PBPBPBPBPB,BPBPPB,10,PBP
BPPPBP,PBPBPB,PPPPBB,6,PBP
BBBBPB,BPBPBP,PPPPPB,6,BPB
PBPBBP,PBPBPB,BBBPBB,6,PBP
BPBBBP,PBPBPB,PPPPBP,6,PBP
PBBBBP,PBPBPB,PPBBBB,6,PBP
PBBBBP,PBPBPB,PPBBBB,6,PBP
BBBBPP,PBPBPB,PPPPPB,6,PBP
PPBBBP,PBPBPB,BBBPPB,6,PBP
BPBBBB,BPBPBP,BBPPPP,6,BPB
PBBBPP,PBPBPB,PPPBBP,6,PBP
BBBPBB,BPBPBP,BBPPPB,6,BPB
BBBPBB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPBPB,BPBBBP,8,PBP
BPBBPP,PBPBPBPB,PPBPPP,8,PBP
PPPBPB,BPBPBPBP,BBBBBB,8,BPB
PBBBBB,BPBPBP,BBPBPP,6,BPB
PPPBPP,PBPBPB,PPBBBB,6,PBP
PBPBBB,BPBPBP,PBBPPB,6,BPB
BBPBBP,PBPBPB,BBBBBB,6,PBP
PBBBBP,PBPBPB,PPPPPP,6,PBP
PPBPBP,PBPBPB,BBPPBP,6,PBP
BPBBBP,PBPBPB,BBBBPB,6,PBP
BBBBBP,PBPBPB,BBBBBP,6,PBP
BBPBBB,BPBPBP,PPBPPP,6,BPB
PBBBBB,BPBPBP,BBPBPP,6,BPB
PBPPBB,BPBPBP,PBBPPB,6,BPB
BPPBPP,PBPBPB,PPPPPP,6,PBP
PPPBBB,BPBPBP,PPPPBP,6,BPB
PBBBBB,BPBPBPBP,PBBPBB,8,BPB
BBPPPP,PBPBPB,PPPBPB,6,PBP
BPPPBB,BPBPBPBP,PPPPPB,8,BPB
PBBBBP,PBPBPB,BBBBBB,6,PBP
BBBBBB,BPBPBP,BBPBPB,6,BPB
BPPPPP,PBPBPB,BBPPBB,6,PBP
BBBBBB,BPBPBP,PBBPBP,6,BPB
BPBPPB,BPBPBP,PPPBBB,6,BPB
BBPBPB,BPBPBP,PBPBBB,6,BPB
PBPPBB,BPBPBP,PPPBBB,6,BPB
PBBBBP,PBPBPB,BPBBPB,6,PBP
PPPBBB,BPBPBP,BBBBPB,6,BPB
PBPPBB,BPBPBP,PBBPPB,6,BPB
