before,pp_322_5hit,after,length
PBPBBP,PPBBBPPBBP,BPBPBP,10
PPPBBP,BBPPPBBPPB,BPPBPB,10
PPBPPP,BBPPPBBPPB,PBPPPP,10
BPPBBB,PPBBBPPBBP,PBPBPB,10
BPBPPB,PPBBBPPBBP,PPPBPB,10
BPBPPB,BBPPPBBPPB,BPPBPB,10
PPBPBB,BBPPPBBPPB,PPPBPB,10
PBBPBP,BBPPPBBPPB,BBPPBP,10
BBBPPB,PPBBBPPBBP,PBBBBB,10
BBPBPP,PPBBBPPBBP,BPPPPP,10
PPPPBP,BBPPPBBPPB,BBBBBP,10
BPPBPB,BBPPPBBPPB,PPBBPP,10
BPBPBB,BBPPPBBPPB,PBBPPP,10
BPBPBP,PPBBBPPBBP,BPPPPP,10
PBPBBB,BBPPPBBPPB,BPBPBB,10
BPPPPB,BBPPPBBPPB,BBPPBP,10
PBBBPP,BBPPPBBPPB,BPPBPB,10
BBBPBP,BBPPPBBPPB,PBBPPB,10
PBBBBB,PPBBBPPBBP,BBBBBP,10
PBBBBP,BBPPPBBPPB,BPPBBB,10
BPBBPP,PPBBBPPBBP,BBPPBB,10
BPBBPP,PPBBBPPBBP,BBPPBB,10
BPBPBP,BBPPPBBPPB,BPPPPB,10
PPBBBP,PPBBBPPBBP,BPPPPB,10
PPPPPP,BBPPPBBPPB,BBBBPB,10
BPBBPB,BBPPPBBPPB,PBBBPP,10
PPPBBP,BBPPPBBPPB,BPBPBP,10
PPBPPB,BBPPPBBPPB,BPBBBP,10
BPBBPB,BBPPPBBPPB,PPPBPP,10
BBPPBP,PPBBBPPBBP,BPPPPB,10
BBBBPB,BBPPPBBPPB,PBPPBB,10
BPBBBB,BBPPPBBPPB,PBPPPP,10
BPPPBP,PPBBBPPBBP,PPBBPP,10
BPPPBP,PPBBBPPBBP,PPBBPP,10
PPBPBP,BBPPPBBPPB,PPPBBP,10
PBBBPB,BBPPPBBPPB,BPPBPB,10
PPPBPB,PPBBBPPBBP,PBPPBB,10
PPPPPP,PPBBBPPBBP,BPBPPP,10
PPPPBB,PPBBBPPBBP,PPBBPB,10
BBBPBP,PPBBBPPBBP,BPPPBB,10
PPPPBB,PPBBBPPBBP,BPBPPB,10
BBBPPP,BBPPPBBPPB,BPBPPB,10
BBPBPP,BBPPPBBPPB,PBBBPP,10
BPPPBB,PPBBBPPBBP,PBPBPP,10
PBBPPB,PPBBBPPBBP,PBPPBB,10
BBPBBB,BBPPPBBPPB,PPBPPP,10
BBBBPP,PPBBBPPBBP,BPBPPB,10
BBBBPP,PPBBBPPBBP,BPBPPB,10
BBPBPB,BBPPPBBPPB,BPPPPB,10
BBBBPB,PPBBBPPBBP,PPPPPB,10
PBBPBP,BBPPPBBPPB,PPPPPB,10
BBPBPP,BBPPPBBPPB,BBBBPB,10
BBBPPB,PPBBBPPBBP,BBBPPP,10
PBPPPP,BBPPPBBPPB,BPPPPB,10
PBBBBP,BBPPPBBPPB,BBPBPP,10
BPBBPP,BBPPPBBPPB,PBBPBB,10
BPBBPP,PPBBBPPBBP,BBBPPB,10
BBBBPB,BBPPPBBPPB,PBPPBP,10
BPPBBB,BBPPPBBPPB,PBPPBP,10
BBPPBP,PPBBBPPBBP,BBBPBP,10
BPBPPP,PPBBBPPBBP,BBPPPP,10
BPBPBB,BBPPPBBPPB,PBBPPB,10
PPPPPP,BBPPPBBPPB,BBPBBB,10
BBPPPP,BBPPPBBPPB,BBPPBP,10
BPPBBP,PPBBBPPBBP,PPBPPB,10
BPPPBB,PPBBBPPBBP,BBBPBP,10
BBPPPP,BBPPPBBPPB,PPBPPB,10
PBBBBP,BBPPPBBPPB,PBPBBB,10
PPPPBB,BBPPPBBPPB,PBPBPP,10
PBBBPP,PPBBBPPBBP,PBBPPB,10
BPBPBB,PPBBBPPBBP,BBPBPP,10
BPBPPB,PPBBBPPBBP,BBBBBB,10
PBBPPP,PPBBBPPBBP,PPBPBP,10
PBBPPP,PPBBBPPBBP,PPBPBP,10
PBPPBB,BBPPPBBPPB,PPPPBB,10
BPBPBP,PPBBBPPBBP,BBPPPP,10
BPBPBB,PPBBBPPBBP,PBBBBB,10
PPBPPP,PPBBBPPBBP,PBBPPB,10
PBPPPP,BBPPPBBPPB,BBBPPP,10
BPPPPP,BBPPPBBPPB,BBBBBP,10
PBPBPP,PPBBBPPBBP,PBBPBP,10
PPPBPB,PPBBBPPBBP,BPBPPP,10
BPBPPP,BBPPPBBPPB,PPPPPP,10
BPPBBP,PPBBBPPBBP,BBBPBB,10
BBBPPB,BBPPPBBPPB,BPPBBB,10
BBPPBB,PPBBBPPBBP,BBPPPB,10
PPPPPP,PPBBBPPBBP,BBPPBP,10
BBPBBB,PPBBBPPBBP,PPPBPB,10
BPBBBP,PPBBBPPBBP,PBBPPP,10
PBBBPP,BBPPPBBPPB,PBPPBP,10
PBBBPP,BBPPPBBPPB,PBPPBP,10
BPPPPB,PPBBBPPBBP,BBPPBB,10
BBPBPB,PPBBBPPBBP,BPPPBP,10
BPPPBB,PPBBBPPBBP,PPBBBB,10
BPBBBP,PPBBBPPBBP,BPPPPP,10
PPBBPB,PPBBBPPBBP,BPPPPP,10
BBPBPP,PPBBBPPBBP,PBBPPB,10
PBBPPB,PPBBBPPBBP,BBBPPP,10
PPBBBB,BBPPPBBPPB,PPPPPB,10
PBPPPB,PPBBBPPBBP,BPPBPB,10
BPPBPP,PPBBBPPBBP,BPBPPB,10
BBPBBB,BBPPPBBPPB,PPBPBP,10
BBBBBB,PPBBBPPBBP,PPBPBP,10
PPPPBB,PPBBBPPBBP,BPPPBP,10
PBBBPP,PPBBBPPBBP,PBBBPB,10
PBBPPP,BBPPPBBPPB,PPBBPP,10
PBBPPP,BBPPPBBPPB,PPBBPP,10
BPBBPB,BBPPPBBPPB,BPPPPP,10
BPBBPB,PPBBBPPBBP,PPPBPP,10
PBBPPB,PPBBBPPBBP,BPBBPP,10
BBBPBP,PPBBBPPBBP,PPPBPB,10
BPBBBB,PPBBBPPBBP,PBBBBB,10
BPPBBB,PPBBBPPBBP,BBPPPB,10
BPPBBB,PPBBBPPBBP,BBPPPB,10
BBPPPP,BBPPPBBPPB,BBPBBB,10
PBPBBB,PPBBBPPBBP,PPPBPB,10
PBPPBB,PPBBBPPBBP,BPPBPB,10
PBPPBB,PPBBBPPBBP,BPPBPB,10
PBBBBP,BBPPPBBPPB,BPBPPB,10
BPPBPB,BBPPPBBPPB,BPBPPP,10
BBBBPB,PPBBBPPBBP,BPBPBP,10
BBBBPB,PPBBBPPBBP,BBPBBP,10
PPPPBB,BBPPPBBPPB,BBPBPB,10
PPBBPP,PPBBBPPBBP,PBPBPB,10
PPPPPP,PPBBBPPBBP,BPBPBB,10
PPBPBP,BBPPPBBPPB,PBPPBP,10
PPBBBP,PPBBBPPBBP,PBPPBB,10
PBBBPB,PPBBBPPBBP,PBBBBP,10
PPPBPB,PPBBBPPBBP,BBPBPP,10
PPPPBB,PPBBBPPBBP,PPPPBB,10
PBBBBP,PPBBBPPBBP,BBBPBP,10
PPPBBP,BBPPPBBPPB,PBPPBB,10
PBPPBB,PPBBBPPBBP,BPBBBB,10
PPBPBB,PPBBBPPBBP,PPBBPP,10
BBBBBB,PPBBBPPBBP,PBBPBP,10
BBPBBP,PPBBBPPBBP,PPBBBB,10
BBPPPP,BBPPPBBPPB,PBBBBP,10
PPPBBP,PPBBBPPBBP,BBPBBB,10
PPPPPP,PPBBBPPBBP,BBPPBB,10
PBBBPB,PPBBBPPBBP,BPPPPP,10
BBBBBP,PPBBBPPBBP,PPBPPP,10
PPPPPP,PPBBBPPBBP,BBBPPB,10
BPBBBB,PPBBBPPBBP,PBPBPB,10
BBPBPB,PPBBBPPBBP,PPPBBB,10
PBBPPB,PPBBBPPBBP,PPBPBB,10
PPBPPP,PPBBBPPBBP,BPPBBP,10
BPPBBP,BBPPPBBPPB,PBPBPP,10
BBBPBB,BBPPPBBPPB,PPBBBP,10
BPPBBP,PPBBBPPBBP,BBBPPB,10
PPPBPP,PPBBBPPBBP,BBPPBB,10
BBBPBP,BBPPPBBPPB,PBPBBB,10
BBBPBP,PPBBBPPBBP,PBBPPP,10
BBPBBB,PPBBBPPBBP,PPPBBP,10
PPPPPP,PPBBBPPBBP,PBBPPB,10
BBBPPP,PPBBBPPBBP,BPPPPB,10
PBPBPB,BBPPPBBPPB,BPPPBP,10
BBBPPP,PPBBBPPBBP,PBBBBB,10
PBPPBB,PPBBBPPBBP,PBPPPB,10
BPBBBP,BBPPPBBPPB,PPPPPP,10
PPPBBP,PPBBBPPBBP,BPPBPP,10
PBPPPB,BBPPPBBPPB,PPBPBB,10
PBBBPP,PPBBBPPBBP,PBBBBB,10
PBBBPP,PPBBBPPBBP,PBBBBB,10
PBBBPP,PPBBBPPBBP,PBBBBB,10
BPPPBP,PPBBBPPBBP,BBBBBP,10
PBBBBP,PPBBBPPBBP,BBBBBB,10
BBPBBB,BBPPPBBPPB,BBBPBB,10
PPBBPB,BBPPPBBPPB,BPPPBB,10
PBPBPP,PPBBBPPBBP,PBPBPB,10
BBPBPB,BBPPPBBPPB,PBPBPB,10
BBPBPB,BBPPPBBPPB,PBPBPB,10
PBBBPB,BBPPPBBPPB,PPPPPB,10
PBBBPB,BBPPPBBPPB,PPPPPB,10
BPBBPP,BBPPPBBPPB,PBPBPB,10
BBBBPP,BBPPPBBPPB,BBBBBB,10
BBPBPP,BBPPPBBPPB,BPBBPP,10
BBBPPB,BBPPPBBPPB,BBBBBB,10
PPPBPP,PPBBBPPBBP,PPBPBP,10
BBPPBB,BBPPPBBPPB,PBBPBP,10
PPPBBB,PPBBBPPBBP,PBBPBP,10
PPPBBP,PPBBBPPBBP,PPBBPP,10
BPBPBP,PPBBBPPBBP,PPBPBP,10
BPBPBB,PPBBBPPBBP,BPPBBB,10
PBPPBB,PPBBBPPBBP,PPPBBP,10
BBPPBB,PPBBBPPBBP,BPPPPB,10
BBPPBB,PPBBBPPBBP,BPPPPB,10
BPPBBP,PPBBBPPBBP,PPPPPP,10
BPBBBB,BBPPPBBPPB,BPBBBB,10
PPPPBB,BBPPPBBPPB,BBBBBB,10
BPBBPB,PPBBBPPBBP,PBBPPP,10
BBBBBP,BBPPPBBPPB,PPBPPP,10
PPPPBP,PPBBBPPBBP,PBPBPB,10
BPPPPB,BBPPPBBPPB,BBBBPB,10
PPPPPB,PPBBBPPBBP,PBPBPB,10
BPPBPP,BBPPPBBPPB,BPPPPB,10
PPBBPB,BBPPPBBPPB,BBPBBP,10
PPPBPP,BBPPPBBPPB,BBPPPB,10
BBPBBB,BBPPPBBPPB,PBPPPP,10
BPPBPB,BBPPPBBPPB,PPPPBP,10
BPPBBB,PPBBBPPBBP,BBBBBP,10
PPPBBB,PPBBBPPBBP,PBPPPP,10
BBPBBP,PPBBBPPBBP,BPPPBB,10
PBBBBB,BBPPPBBPPB,PBBBPP,10
BBPPBP,PPBBBPPBBP,BBBPBB,10
PPBPPP,BBPPPBBPPB,PBPPPP,10
BPBPPB,BBPPPBBPPB,PPPPPB,10
BBPPBB,PPBBBPPBBP,BPBPPB,10
PPPPPP,BBPPPBBPPB,PBPBBP,10
BBBBBP,BBPPPBBPPB,PPPBBP,10
BBBBPP,PPBBBPPBBP,PBBPBP,10
BPBBPP,BBPPPBBPPB,PPPPBB,10
BPPBBP,PPBBBPPBBP,PPPPPB,10
PBBPPP,BBPPPBBPPB,BBBBBB,10
PPBPPB,PPBBBPPBBP,BBBPBB,10
BPBBBB,BBPPPBBPPB,BBPPBP,10
BPBBBB,BBPPPBBPPB,BBPPBP,10
PPBPPP,PPBBBPPBBP,PBPBBP,10
BBBBBB,PPBBBPPBBP,BBPBBP,10
BPPPBP,PPBBBPPBBP,PBPBBP,10
BPPPBB,BBPPPBBPPB,PPPPPB,10
BBBBPP,BBPPPBBPPB,BPPBPP,10
PPPBPB,PPBBBPPBBP,PBBPBB,10
PBPBBB,PPBBBPPBBP,BPBPPB,10
BPBBPB,BBPPPBBPPB,PBBBPB,10
PPBPPB,PPBBBPPBBP,PPPPPB,10
PBPBPB,BBPPPBBPPB,BPPPBB,10
PBPPBP,PPBBBPPBBP,PPPPPB,10
BBBPPP,PPBBBPPBBP,BBPPBB,10
BBBPPP,PPBBBPPBBP,PBBBBP,10
PBPBBB,PPBBBPPBBP,BPBPBP,10
BBBBBP,BBPPPBBPPB,PBPPBB,10
PPPPPP,PPBBBPPBBP,PBBPBB,10
PPPPPP,PPBBBPPBBP,PBBPBB,10
BPBPPP,PPBBBPPBBP,PBBPPP,10
PPPBBP,BBPPPBBPPB,BPPBPB,10
BPBBPP,BBPPPBBPPB,BPPBBP,10
BPBBPP,BBPPPBBPPB,BPPBBP,10
PPPBBB,PPBBBPPBBP,BBPBBP,10
PPPBBB,PPBBBPPBBP,BBPBBP,10
PPBBBB,BBPPPBBPPB,BBPBPB,10
BPPBBB,PPBBBPPBBP,BPPPPB,10
BPPPPP,PPBBBPPBBP,BBPPPP,10
PBPBPP,PPBBBPPBBP,BBBBBB,10
BBBBBB,BBPPPBBPPB,BPPPBB,10
PPPBPB,PPBBBPPBBP,PBBPBB,10
PPBPBB,PPBBBPPBBP,PBPPPB,10
PBPPPB,PPBBBPPBBP,BPBPBP,10
PBPPBB,BBPPPBBPPB,BBPPBP,10
BPBPPB,BBPPPBBPPB,PBPPBB,10
BPBBBP,BBPPPBBPPB,BBBBPB,10
BPBBBP,BBPPPBBPPB,PBPPPP,10
PBPPBP,BBPPPBBPPB,BPPPPB,10
PBBPPB,BBPPPBBPPB,BBPPPP,10
BBBPBB,PPBBBPPBBP,PBPBBP,10
BPBBPB,PPBBBPPBBP,PBPBBP,10
PBBPBB,PPBBBPPBBP,PBBBBP,10
PPPPBB,BBPPPBBPPB,PBBBPB,10
PBBBPB,PPBBBPPBBP,BBBPPB,10
PPBPBP,PPBBBPPBBP,BPPBPB,10
BBBBBB,PPBBBPPBBP,PBPBBB,10
BPBPBB,PPBBBPPBBP,PBPBBP,10
BPPBPP,PPBBBPPBBP,BBBPBB,10
BPBPBP,PPBBBPPBBP,PPBBPB,10
BBPBPB,BBPPPBBPPB,BPPPBP,10
PPPPPP,BBPPPBBPPB,BBPBPB,10
PBPBBB,BBPPPBBPPB,BPPPBB,10
BBPPBB,BBPPPBBPPB,BBBPPB,10
PBPBPB,BBPPPBBPPB,PBPPBP,10
BBBBPB,PPBBBPPBBP,PPPPBP,10
BPPPPP,PPBBBPPBBP,PBPPPP,10
BPBPBP,PPBBBPPBBP,BPBBBP,10
PPBBPP,PPBBBPPBBP,BBPBBB,10
PPBPBB,BBPPPBBPPB,PPPBBB,10
BBPPBP,PPBBBPPBBP,BBBPBP,10
BPBPPP,PPBBBPPBBP,PPPBBB,10
BBBPPP,BBPPPBBPPB,BPBBPB,10
PPBPPP,BBPPPBBPPB,BBBPPB,10
BBBBBB,PPBBBPPBBP,PPBBBP,10
BPPBBP,PPBBBPPBBP,BPPBBP,10
PPBPPP,BBPPPBBPPB,BPBPBB,10
BPBPBP,PPBBBPPBBP,BPBBPB,10
BPPBPB,PPBBBPPBBP,BBPBPB,10
PBBBPP,PPBBBPPBBP,PPBPPB,10
PPPPPP,PPBBBPPBBP,BBBBBP,10
BPBBBP,BBPPPBBPPB,PPPPBP,10
BPPPBP,PPBBBPPBBP,BPBPBB,10
BPBPPP,BBPPPBBPPB,PBBPPB,10
BBBBBP,BBPPPBBPPB,PBBPPB,10
PBPPBB,PPBBBPPBBP,BBPPPP,10
BBPBPB,PPBBBPPBBP,BBBPPP,10
PBBPBP,PPBBBPPBBP,PPPBBP,10
PBPBPP,BBPPPBBPPB,BPBBBP,10
PPPPPP,BBPPPBBPPB,BBBBBB,10
BBPPBB,BBPPPBBPPB,BBBPPP,10
BPBPBP,BBPPPBBPPB,PPBBPP,10
PPPBPB,PPBBBPPBBP,PBPBPP,10
BBBBPP,BBPPPBBPPB,BPPPPP,10
PPBBPP,PPBBBPPBBP,BPPPBB,10
BPPBBP,BBPPPBBPPB,PPBBPB,10
BBBBPB,PPBBBPPBBP,PBBPBB,10
BBPPBP,BBPPPBBPPB,PBBBPB,10
PBBBBB,BBPPPBBPPB,PBPBPB,10
PPPBPB,PPBBBPPBBP,PPBPBB,10
BBBPBB,BBPPPBBPPB,PBPPPP,10
BBPPPP,BBPPPBBPPB,PBBBBB,10
PPPPBP,PPBBBPPBBP,BBBPBP,10
BPPPPB,BBPPPBBPPB,BBPPBP,10
PBBBBB,BBPPPBBPPB,BBBBBB,10
BPPPBP,BBPPPBBPPB,BBPBBB,10
PPBPBB,PPBBBPPBBP,BPPPBB,10
BPBPBB,BBPPPBBPPB,BBBPBP,10
PPBPBB,BBPPPBBPPB,PPPBBB,10
PBBPPP,BBPPPBBPPB,BBPBPP,10
PPBBPP,BBPPPBBPPB,BBPPBP,10
PPPPBB,PPBBBPPBBP,BPPBPP,10
PPPPBB,BBPPPBBPPB,BBBPBB,10
PBBBBB,PPBBBPPBBP,PPBBPP,10
PBBBBB,PPBBBPPBBP,PPBBPP,10
PPPBBB,PPBBBPPBBP,BBPBBB,10
PPBPBB,PPBBBPPBBP,BBPBBB,10
BBPPPB,BBPPPBBPPB,BBBPPP,10
BPBPBB,PPBBBPPBBP,PPPBPP,10
BPBPBP,BBPPPBBPPB,PBPPPP,10
BPPPPP,BBPPPBBPPB,BBPPBB,10
BPBPPP,BBPPPBBPPB,PPBPPP,10
PBPBPB,BBPPPBBPPB,PPBPPP,10
PBPBPB,PPBBBPPBBP,BPPPBB,10
PPPBBB,BBPPPBBPPB,PBPPBP,10
PPBPBP,PPBBBPPBBP,PBBBBB,10
PPBPPP,PPBBBPPBBP,PBPBPB,10
PPBPPP,BBPPPBBPPB,PPBPPB,10
PBPBBB,BBPPPBBPPB,BBPBPB,10
BBPPBB,BBPPPBBPPB,BPPPBB,10
PBPBBP,PPBBBPPBBP,PPPBBP,10
BBBPPP,BBPPPBBPPB,PBPBBP,10
BPPBBP,BBPPPBBPPB,PBPPPP,10
BPBPBP,BBPPPBBPPB,PBBPPP,10
BBPBBP,PPBBBPPBBP,PBBPBB,10
PPBPBP,BBPPPBBPPB,PPPBBB,10
BBPBBB,BBPPPBBPPB,BBPBBB,10
PBPPPB,PPBBBPPBBP,BBPPPP,10
BPBPPB,BBPPPBBPPB,BBBPBB,10
BPBPPB,BBPPPBBPPB,BBBPBB,10
BBBBPB,PPBBBPPBBP,BPPBPB,10
BBPPPB,PPBBBPPBBP,PBBBPB,10
PBPBBP,PPBBBPPBBP,PPPBPB,10
PPPPBB,PPBBBPPBBP,BBBBPB,10
PBPPBP,PPBBBPPBBP,BBBPBB,10
BPPPPP,BBPPPBBPPB,PPPBPB,10
PPBPPP,PPBBBPPBBP,BPPPPP,10
BPBBBP,BBPPPBBPPB,BPPPBP,10
PBBBBB,PPBBBPPBBP,BPPBPB,10
BBPPPP,PPBBBPPBBP,PPBBPB,10
BPPPPP,BBPPPBBPPB,BPPBBB,10
BBBBBB,PPBBBPPBBP,PPPPPP,10
PBBPPP,BBPPPBBPPB,BBBPBB,10
BBPBPP,PPBBBPPBBP,BBBBPP,10
PPBPPB,PPBBBPPBBP,PPBPBB,10
PBPPPP,BBPPPBBPPB,BBBPBP,10
BBPPBP,PPBBBPPBBP,PBBPBB,10
PBBPBP,PPBBBPPBBP,PPPBBP,10
PBBPPB,PPBBBPPBBP,PPPBBP,10
PBBPPP,BBPPPBBPPB,PPPBBP,10
PBBPPP,BBPPPBBPPB,PPPBBP,10
BBPPPP,BBPPPBBPPB,BBPBPB,10
BPBBBB,BBPPPBBPPB,PBBBPB,10
PBBBBP,PPBBBPPBBP,PBPPBB,10
BBBPPP,BBPPPBBPPB,PBBPBB,10
PPBBBB,BBPPPBBPPB,BBBBPP,10
BPPBPP,BBPPPBBPPB,PPBBBB,10
PBPPPP,BBPPPBBPPB,PBBPBP,10
PPBPBB,PPBBBPPBBP,PPBBBP,10
BBPBBP,PPBBBPPBBP,PBPBPB,10
PPBBPB,BBPPPBBPPB,BPPBBB,10
PPPPPP,PPBBBPPBBP,BPPBBB,10
PPPPPP,BBPPPBBPPB,BPBPBB,10
PBBBBP,PPBBBPPBBP,BBBBPP,10
BBBBPB,BBPPPBBPPB,PBBPBB,10
PBPBBB,BBPPPBBPPB,BBBBPP,10
PPPBPB,BBPPPBBPPB,PPBBPB,10
BPPPBP,BBPPPBBPPB,BBPBBP,10
BBBPPB,PPBBBPPBBP,BPPPPP,10
PPBBBB,PPBBBPPBBP,BPPBBB,10
BBPPPB,PPBBBPPBBP,BPBPPB,10
PPPPBB,BBPPPBBPPB,BPBPBB,10
PBBBBP,PPBBBPPBBP,PBBBPB,10
PPPBPB,BBPPPBBPPB,PPBBPP,10
BPPPPB,PPBBBPPBBP,PPPPBP,10
BPPPBP,PPBBBPPBBP,PBPPPP,10
PPBPPP,PPBBBPPBBP,BPBPPB,10
PPBPPP,PPBBBPPBBP,BPBPPB,10
BPBBBP,PPBBBPPBBP,BBPPBP,10
PPPPBB,BBPPPBBPPB,PPBPPP,10
BPBBBB,PPBBBPPBBP,BPBBPP,10
BPPBPP,PPBBBPPBBP,PBBBPP,10
BPPPPP,BBPPPBBPPB,BPBBPB,10
BBPBPP,PPBBBPPBBP,BPPPBP,10
PBPBBB,PPBBBPPBBP,PPBPPP,10
PBPPBB,BBPPPBBPPB,BPBBBB,10
PPPPBB,BBPPPBBPPB,BPBPPP,10
PPBBBP,PPBBBPPBBP,BBBBPP,10
BBBPPB,BBPPPBBPPB,BPBPBP,10
BBPPPP,PPBBBPPBBP,PBPPPP,10
PPPBBP,BBPPPBBPPB,PPPBBP,10
PPBBBP,PPBBBPPBBP,BPPPBP,10
PPBPPP,PPBBBPPBBP,PPPBBP,10
BPBBBB,PPBBBPPBBP,PBPBPP,10
BPBBPB,PPBBBPPBBP,PBBPPB,10
BPPBBP,PPBBBPPBBP,PBBPBP,10
PPPBPP,PPBBBPPBBP,BPBPBB,10
PBPPPP,PPBBBPPBBP,BBBBPP,10
BBPBPB,PPBBBPPBBP,BPBPPB,10
BBPBPB,PPBBBPPBBP,BPBPPB,10
BBPPBB,PPBBBPPBBP,BBBBBB,10
BBPPBB,PPBBBPPBBP,BPPPPP,10
PPBPPB,BBPPPBBPPB,PBBBBB,10
BPPPBP,BBPPPBBPPB,PBBBPP,10
BBPBPP,BBPPPBBPPB,BPBPPP,10
PBPBPP,PPBBBPPBBP,BBBBPB,10
PBPBPP,PPBBBPPBBP,BBBBPB,10
BBPBBB,BBPPPBBPPB,PBBBBP,10
PPPBBP,BBPPPBBPPB,PPPBPP,10
BPBPBB,BBPPPBBPPB,PPPPBB,10
PBBPPP,BBPPPBBPPB,BPPBBB,10
PPPBBB,PPBBBPPBBP,BPBPPP,10
PPPBBB,BBPPPBBPPB,BBBPBP,10
PBBPPP,PPBBBPPBBP,BBBBBP,10
PBBPPP,PPBBBPPBBP,BBBBBP,10
PBBBBB,BBPPPBBPPB,PBPBPP,10
BBBBPB,BBPPPBBPPB,PPBBPB,10
PBBBBB,PPBBBPPBBP,PPBPPB,10
PBBBBB,PPBBBPPBBP,PPBPPB,10
BPBPBP,PPBBBPPBBP,PBPPPP,10
BBBBPB,BBPPPBBPPB,BBPPPB,10
PBBPPB,BBPPPBBPPB,BBBBBB,10
BPPPPB,BBPPPBBPPB,BPBBBP,10
BBPBPP,BBPPPBBPPB,BPBPBP,10
BBPBBP,BBPPPBBPPB,PBBPBB,10
BBPBPB,BBPPPBBPPB,PPBPBB,10
BPBBPP,BBPPPBBPPB,BBBPPB,10
BBBPPB,BBPPPBBPPB,BBBPPB,10
BBBPPB,BBPPPBBPPB,BBBPPB,10
PPPBPB,PPBBBPPBBP,BBBBBP,10
BBBPPB,BBPPPBBPPB,BBBPBP,10
BBBPPB,BBPPPBBPPB,PPPBBP,10
BBBPPB,BBPPPBBPPB,PPPBBP,10
BPPBBB,PPBBBPPBBP,BBPPBB,10
PPPBPP,BBPPPBBPPB,PPPBBB,10
BBBPBP,PPBBBPPBBP,BBBPPB,10
BPPBBP,BBPPPBBPPB,PBBBPB,10
PPPBPB,PPBBBPPBBP,PPBPPP,10
BBBBBP,BBPPPBBPPB,PBBBBP,10
BPPBPP,BBPPPBBPPB,PPPBPP,10
PPPPPB,BBPPPBBPPB,BBPBBP,10
BPPBPP,BBPPPBBPPB,BBBBPB,10
PBBPPB,PPBBBPPBBP,PPPPPP,10
BBBBPB,PPBBBPPBBP,PPPBBB,10
BPBPBB,PPBBBPPBBP,BBBPPP,10
BPBPPB,PPBBBPPBBP,PBPPBP,10
BBPPPB,PPBBBPPBBP,BPBPPP,10
BPPBPP,BBPPPBBPPB,BBPBBB,10
BPPBPP,BBPPPBBPPB,BBPBBB,10
BPPBPP,BBPPPBBPPB,BBPBBB,10
BPPPBB,PPBBBPPBBP,BPPPPP,10
PBBPPP,PPBBBPPBBP,PBBBPB,10
PBPPBP,PPBBBPPBBP,PPPBBB,10
PBBPBP,BBPPPBBPPB,PBPPBB,10
BPPPPP,BBPPPBBPPB,BPPBBP,10
PBBBBP,BBPPPBBPPB,BPPPPB,10
PPBBBB,PPBBBPPBBP,BPPPBP,10
BBBBBP,PPBBBPPBBP,BBPPPP,10
BBBBBP,PPBBBPPBBP,BBPPPP,10
PBPBBP,BBPPPBBPPB,PPBPBB,10
BBPBBB,PPBBBPPBBP,PBPPPP,10
PPBBPB,PPBBBPPBBP,BBBPPB,10
PPBBPB,PPBBBPPBBP,BBBPPB,10
PBPPBB,BBPPPBBPPB,BPBBPB,10
BPPPBB,BBPPPBBPPB,BBPPBB,10
PBPPPP,BBPPPBBPPB,BPPBBB,10
BPBPBP,PPBBBPPBBP,BPBPPB,10
PBPBPP,BBPPPBBPPB,PBPBBP,10
PBPBPB,PPBBBPPBBP,PPPPPB,10
PPPPBP,BBPPPBBPPB,BPBBBB,10
PPPPPP,PPBBBPPBBP,BBPPPP,10
PBPBPP,BBPPPBBPPB,PPPPBP,10
BPBBBP,BBPPPBBPPB,BBPPBP,10
BBBBPB,PPBBBPPBBP,BPPBBP,10
BPBBBB,BBPPPBBPPB,BBBPPB,10
BPPPPP,BBPPPBBPPB,BBBPPB,10
BBPBPP,PPBBBPPBBP,PBBPBB,10
PBBPPB,BBPPPBBPPB,PBPBBB,10
BBBBBB,BBPPPBBPPB,BBPBBB,10
PPBPPB,BBPPPBBPPB,PPPPBP,10
PPPPBP,PPBBBPPBBP,BPBBPB,10
PPBPPP,PPBBBPPBBP,PBPPPP,10
BPPBPP,PPBBBPPBBP,BBBPPP,10
BPPPPB,BBPPPBBPPB,PPBPPP,10
BBBPPB,PPBBBPPBBP,BBBPBB,10
PPPBPB,BBPPPBBPPB,PBBBBP,10
PPBBBP,PPBBBPPBBP,BBBPPP,10
PBPBBB,PPBBBPPBBP,PPPPPB,10
PBBPBP,PPBBBPPBBP,BBBBPB,10
PBPBBP,PPBBBPPBBP,PBPBPB,10
PPPBPB,PPBBBPPBBP,PPPBPB,10
BPPBPB,BBPPPBBPPB,BPBBPP,10
PPPBPB,BBPPPBBPPB,PPBBBP,10
BBPPPP,BBPPPBBPPB,PPPPPP,10
PBPBBB,BBPPPBBPPB,PPPPBP,10
PBPPPP,PPBBBPPBBP,PPPPBP,10
PPBPBP,BBPPPBBPPB,PBBBBP,10
BBBBPP,BBPPPBBPPB,BPBBPP,10
PPBPBB,PPBBBPPBBP,PBPPBB,10
PPBBBP,PPBBBPPBBP,BPPPBP,10
PBPPBB,PPBBBPPBBP,BPBPPP,10
PBBPBP,BBPPPBBPPB,BBBBPP,10
BPBPBB,PPBBBPPBBP,PPPBPP,10
PPPPBB,PPBBBPPBBP,BBPPPB,10
