before,dragon,after,length,color
BBBBBP,BBBBBBBB,PPPBBB,8,B
PPBBBP,BBBBB,PPBBBP,5,B
PPBBBP,BBBBB,PPBBBP,5,B
BBBPBP,BBBBBBB,PPPPBP,7,B
BPPBPP,BBBBBBB,PPBBBP,7,B
PPBBPB,PPPPPP,BPPPBB,6,P
BPPPBP,BBBBB,PPBBPP,5,B
PBPPPP,BBBBBB,PBPPBB,6,B
BBPPBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BBBPBB,5,P
PBBBBP,BBBBB,PBPPPP,5,B
PBBBBP,BBBBB,PBPPPP,5,B
BBBPBP,BBBBBB,PBBPPP,6,B
BBPPPB,PPPPPPP,BBBPBP,7,P
BBBBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPBBB,5,P
BBPBBB,PPPPPPPP,BPBPPP,8,P
BBBPPP,BBBBBBB,PBBBPB,7,B
PBPBBB,PPPPP,BBPPPP,5,P
PBBBPB,PPPPP,BPBBBP,5,P
BBBPBP,BBBBBBBB,PBBPBP,8,B
PBBBPP,BBBBB,PBPBPB,5,B
BBBPPP,BBBBB,PBPPPP,5,B
BPBPBB,PPPPPPP,BBBPBP,7,P
PBPBPB,PPPPP,BBPPPB,5,P
BBBBPP,BBBBBB,PPBPPP,6,B
PBPPPP,BBBBB,PBBPPB,5,B
PBPPPB,PPPPP,BPPBPB,5,P
PBPBBP,BBBBBBBB,PPBBPP,8,B
PPBPPP,BBBBB,PBBBPP,5,B
BPBBPP,BBBBBBBBBBB,PPBPPP,11,B
BPBPBP,BBBBBBB,PBBPPB,7,B
PBPPBB,PPPPPP,BPBPBP,6,P
BBBBPB,PPPPP,BPPBPP,5,P
BPPBBB,PPPPP,BPBPPB,5,P
PPBBBP,BBBBB,PPPBPP,5,B
BPPBPP,BBBBBBBB,PBPBPP,8,B
BPBBPP,BBBBB,PBBBPB,5,B
PBPPPP,BBBBBB,PPBBPP,6,B
PPBBBP,BBBBB,PPBPBP,5,B
BPBPPP,BBBBBB,PBBPBP,6,B
PPBBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PPBPPB,6,B
PPBBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PPBPPB,6,B
BPBBPP,BBBBB,PBPPBP,5,B
PPBPBB,PPPPPPP,BPBBPP,7,P
PPBPBB,PPPPPPP,BPBBPP,7,P
BPPBPP,BBBBB,PBBBPP,5,B
BBBPPP,BBBBBBBB,PPPBBP,8,B
BPBPPP,BBBBBB,PPBBPP,6,B
BBPPBP,BBBBBB,PBPPBB,6,B
BPBBPP,BBBBBB,PPPBBB,6,B
PPBPPB,PPPPPPPP,BBPBBB,8,P
PPBBBP,BBBBB,PPBPBB,5,B
PBBPBP,BBBBB,PPPBBB,5,B
PPBBBP,BBBBBB,PBBPPP,6,B
BBBPBB,PPPPP,BPBBPB,5,P
BBBBPB,PPPPPP,BPPPPB,6,P
PBPPPP,BBBBBB,PPPBPB,6,B
PPPBBP,BBBBBBB,PBBBBB,7,B
BBBBBP,BBBBBB,PBPBPP,6,B
PBBPBB,PPPPPP,BBPBPB,6,P
BBBPBB,PPPPP,BPPBPP,5,P
BPPBBB,PPPPP,BBPBBP,5,P
BPBBPP,BBBBBB,PBBBPB,6,B
BBBPBP,BBBBBB,PPPPPB,6,B
BPBPBP,BBBBBBB,PBPBBB,7,B
BPBBBP,BBBBBB,PPBBPB,6,B
BBPBBB,PPPPP,BPPBPP,5,P
BPBBPP,BBBBBB,PBBBPB,6,B
BPBBPB,PPPPPPP,BBPPBP,7,P
BBPPPB,PPPPP,BPBBBB,5,P
BPPPPB,PPPPP,BBBBPB,5,P
BBBBBP,BBBBB,PPBBBP,5,B
PBPBPB,PPPPP,BPBBPP,5,P
PBPBPB,PPPPP,BPBBPB,5,P
PBBPBB,PPPPP,BPBBPB,5,P
BBPBBP,BBBBBB,PBBBPB,6,B
BPBPPP,BBBBBBBBB,PBPPBP,9,B
BPPBPP,BBBBB,PPPPBP,5,B
BPPPPB,PPPPP,BBPPBP,5,P
BPPBPP,BBBBB,PBBPBB,5,B
BBPBBP,BBBBBBB,PBPPBP,7,B
BBPBBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BPPPBB,6,P
BBBPPB,PPPPPP,BBPBBP,6,P
BPPPPB,PPPPP,BBBBPP,5,P
PPPPPB,PPPPPP,BPBBPP,6,P
BPBPBP,BBBBB,PPBPPB,5,B
PPBBPP,BBBBBB,PBBPBP,6,B
BBPBPB,PPPPP,BPPPBB,5,P
PPBPPP,BBBBB,PPPBPP,5,B
PBPPBB,PPPPPP,BPBBBP,6,P
BPBPBP,BBBBBBBB,PPBBBP,8,B
PPBBBP,BBBBBBB,PBBBBP,7,B
PPBPBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BPPBBB,5,P
PPPBPP,BBBBB,PPBBPP,5,B
PPBPPP,BBBBBB,PBPPPP,6,B
PBPBBP,BBBBBBB,PPBBBP,7,B
PBPBBP,BBBBBBB,PPBBBP,7,B
PBBPPB,PPPPP,BPBBBP,5,P
BPPBPP,BBBBB,PPPBPP,5,B
BPPBBP,BBBBB,PBBPPB,5,B
PBPBPP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPP,BBBPBB,6,P
PBBPBB,PPPPPPP,BBBPBB,7,P
BPPBPB,PPPPP,BBPPPP,5,P
BPBPBB,PPPPPPP,BBPPBP,7,P
PBPBBB,PPPPP,BBBPPB,5,P
BPBPBB,PPPPPPP,BBPPBP,7,P
PBPBBB,PPPPP,BBBPPB,5,P
BPBPBP,BBBBBBBBBB,PPPPPB,10,B
BBBBBB,PPPPP,BBBPBB,5,P
BBPPBP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BBBBBB,5,P
BPBBBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBBB,PBBBBP,6,B
PBPBPP,BBBBB,PPPPBB,5,B
PPPBBP,BBBBB,PPBPPB,5,B
BPPBBB,PPPPP,BBPPPB,5,P
PBPBPP,BBBBBBBB,PPBPPB,8,B
PPBPBP,BBBBB,PBBPPB,5,B
BPBBBB,PPPPP,BPBBBP,5,P
PBPBBB,PPPPP,BBBBPB,5,P
BBBPBP,BBBBBBB,PPBPBB,7,B
PBBPPB,PPPPPP,BPPBPP,6,P
PPBBPB,PPPPPPP,BBBBPB,7,P
PBBPBP,BBBBB,PPPBBB,5,B
BBBPPP,BBBBBBB,PPPBBP,7,B
PBPBBP,BBBBB,PBPBPB,5,B
PBPBBP,BBBBB,PBPBPB,5,B
BBPPBB,PPPPPP,BPBBPB,6,P
BBPPPB,PPPPPP,BPBPBB,6,P
BPBPPP,BBBBBB,PPBBPB,6,B
PBBBPP,BBBBBB,PPPPBB,6,B
BPPPPB,PPPPPPP,BPBBBB,7,P
BPBBBB,PPPPP,BBPPPB,5,P
BBPPPB,PPPPPPPPPP,BPPPPB,10,P
BPBBPB,PPPPPPP,BPBBPP,7,P
PPBPPB,PPPPP,BPPBPP,5,P
PPBPPB,PPPPPPPP,BBPPBP,8,P
PPBPBP,BBBBB,PBBPPP,5,B
PPPBBP,BBBBB,PPBPBP,5,B
BPBBPB,PPPPPPPP,BPBPPP,8,P
PPBBBP,BBBBB,PBPBPB,5,B
BPPBBB,PPPPP,BBPBBP,5,P
BBPBBP,BBBBBB,PBBPBP,6,B
PBBBBP,BBBBBB,PBBPPB,6,B
PPPBPP,BBBBB,PPBBPB,5,B
PPPBPP,BBBBB,PPBBPB,5,B
PBPBPB,PPPPPPPP,BBPBBB,8,P
PPPBBP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBBB,PBPPBB,6,B
BPBPPB,PPPPP,BPPPBB,5,P
PPBBPB,PPPPP,BBBPBP,5,P
PBPPBP,BBBBBBB,PPBPBB,7,B
PPPBPP,BBBBB,PPBPPP,5,B
PBPPPP,BBBBB,PBPBBP,5,B
PPBBPB,PPPPPPP,BBPPBB,7,P
BBBPBP,BBBBBB,PPPBPP,6,B
BBPPPP,BBBBB,PBPPPB,5,B
PPBPPB,PPPPP,BPBBBP,5,P
PBPBBP,BBBBB,PPPPBP,5,B
BPPPPB,PPPPPP,BBPBBB,6,P
BBPBPP,BBBBBBB,PPBBBP,7,B
BBPBBB,PPPPP,BPPBPP,5,P
BPPBBP,BBBBBBBB,PPBPBP,8,B
BPPPPB,PPPPP,BPBPPP,5,P
PBBPBP,BBBBB,PPBBPB,5,B
BBPBBP,BBBBB,PPBBBB,5,B
PBPPBB,PPPPPPPPP,BPBBPP,9,P
BPBBPP,BBBBB,PPBBPP,5,B
PPBPPP,BBBBB,PPBBPP,5,B
BPPBPP,BBBBB,PPPBBP,5,B
PPPPBP,BBBBB,PBBBPP,5,B
BBBBPP,BBBBB,PPBBPB,5,B
BPBPBP,BBBBBB,PBPBPB,6,B
PBBPPB,PPPPPP,BPPBPP,6,P
PPBPPB,PPPPP,BBBBBB,5,P
PBBPPB,PPPPPP,BPPBPP,6,P
PPBPPB,PPPPP,BBBBBB,5,P
BBBBPP,BBBBB,PBBPBB,5,B
BPPPBP,BBBBBB,PPBPBB,6,B
BPBBBP,BBBBBB,PBPPPB,6,B
BBBPBP,BBBBB,PBPPPP,5,B
PBPPPP,BBBBBB,PBBPPP,6,B
BBBPPB,PPPPPP,BPBPPP,6,P
PBBBPB,PPPPP,BPPPBP,5,P
PBPPPB,PPPPPPP,BBPBPB,7,P
BBPBBP,BBBBBBBBBBBB,PPBBBP,12,B
BPBBPP,BBBBBB,PPBPPP,6,B
BBPPPB,PPPPPP,BPBBPB,6,P
BBPPPB,PPPPPP,BPBBPB,6,P
BPPPPP,BBBBB,PBPBBP,5,B
BBBBBP,BBBBBB,PBBPPB,6,B
BPBBPP,BBBBB,PPBBBP,5,B
PPBBBP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPPP,BPPBBP,6,P
BPPBBB,PPPPPPP,BBBBPP,7,P
PPPBBB,PPPPP,BBPPPP,5,P
PPPBBB,PPPPPP,BPBPPB,6,P
PPBPPP,BBBBB,PPBPBP,5,B
PPBPPB,PPPPP,BPBBPB,5,P
PPBPPP,BBBBB,PPBPBP,5,B
PPBPPB,PPPPP,BPBBPB,5,P
PBBBBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPPPPPP,BBBBBB,9,P
PPPPPP,BBBBBB,PBPBPP,6,B
BBBPBB,PPPPP,BPPPPP,5,P
PPPBPB,PPPPPPPPP,BPBPBB,9,P
PPBPBP,BBBBB,PPBPPP,5,B
PBPPPB,PPPPP,BBBPPB,5,P
BPBPBP,BBBBBBBB,PBBBPP,8,B
PBPPPB,PPPPPP,BBBPPP,6,P
PBPBBB,PPPPPPP,BBPPPP,7,P
PBBPBB,PPPPP,BBPPBB,5,P
BPPBBP,BBBBBB,PBPBBP,6,B
BBPBBP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PBPBBP,5,B
BPPPBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPPPPPP,BPPPBP,10,P
PPBBBB,PPPPP,BBBBPB,5,P
BBPBBP,BBBBBB,PPBPBP,6,B
PPPPPP,BBBBBBBBB,PBBBPP,9,B
PPPBBP,BBBBBB,PPBBPP,6,B
PPPPPP,BBBBBBBBB,PBBBPP,9,B
PPPBBP,BBBBBB,PPBBPP,6,B
BBPBPP,BBBBB,PPPBBB,5,B
BPBBBB,PPPPPP,BBBPPB,6,P
BBPPBP,BBBBB,PBPBBB,5,B
PPBPBP,BBBBB,PPPBBB,5,B
BBPPBP,BBBBBBB,PBBPBB,7,B
BBBPBB,PPPPP,BPBBBP,5,P
PBBPPP,BBBBB,PPBBPP,5,B
PPBBPP,BBBBB,PPBPPB,5,B
BPBBPB,PPPPP,BPPBPP,5,P
BBPBBB,PPPPPPPP,BBBPPB,8,P
BPBBPB,PPPPP,BPBBPB,5,P
BBBPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPBPB,5,P
PBBPBP,BBBBB,PPBPPP,5,B
PPPPPB,PPPPP,BBPPBB,5,P
PBBPBP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBB,PPBPPB,5,B
PBPBPB,PPPPPPPPP,BBBBPP,9,P
PPBPBP,BBBBBB,PBPPBB,6,B
PPPPBB,PPPPPP,BBBBPP,6,P
PPBPPB,PPPPP,BPBPBB,5,P
PBPBPP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBB,PPBPBP,5,B
BBPBPP,BBBBBB,PPPPPP,6,B
BBBBBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPPP,BPPPBP,6,P
PBPBBB,PPPPP,BBPPPB,5,P
BBPPBB,PPPPP,BPPBPB,5,P
BPPBPB,PPPPPP,BBBPPB,6,P
BBBPBP,BBBBB,PBBBPP,5,B
BBPPPB,PPPPPP,BBPBPP,6,P
BBPPPP,BBBBB,PBPPBP,5,B
PBPBPB,PPPPP,BPBPBB,5,P
PPPBPP,BBBBB,PBPPBP,5,B
BPBPBB,PPPPPPPP,BPBBPP,8,P
PBPPPP,BBBBB,PPBBBB,5,B
BBPBPP,BBBBB,PPPBPP,5,B
PPPBBP,BBBBB,PPPPPB,5,B
PBPPPB,PPPPP,BPPPBB,5,P
BPPBBB,PPPPP,BPBPPB,5,P
PBPPPB,PPPPP,BPPPBB,5,P
BPPBBB,PPPPP,BPBPPB,5,P
BBPPPB,PPPPP,BPPBPP,5,P
PPBBBB,PPPPP,BBBPPP,5,P
BPBPPP,BBBBB,PBPBPP,5,B
PPPPBP,BBBBBBBBB,PBBBPB,9,B
BPPBBP,BBBBB,PPPBPB,5,B
PBPBPB,PPPPP,BBBPBP,5,P
PBPBBB,PPPPPPP,BPPPBP,7,P
PBBPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPPBP,5,P
PPBPBP,BBBBB,PPBBBB,5,B
PPPPBP,BBBBB,PPBPPP,5,B
PBBPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPPBP,5,P
PPBPBP,BBBBB,PPBBBB,5,B
PPPPBP,BBBBB,PPBPPP,5,B
BBPBBB,PPPPPP,BBBBPP,6,P
BBBBPP,BBBBBB,PPBPPB,6,B
BPBBBB,PPPPPPPPP,BPBPPP,9,P
PPPBPB,PPPPPP,BPPPBP,6,P
BPPBBP,BBBBB,PPPBPB,5,B
PPBPBP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBBBBB,PBBBBB,8,B
PPBPPP,BBBBBB,PBBPPB,6,B
PPPPBP,BBBBBB,PPPBPP,6,B
PPBPPP,BBBBB,PBBPPB,5,B
BBPBBP,BBBBBBB,PBPBPP,7,B
BBPBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPPBB,5,P
BBPPPP,BBBBB,PBBPBB,5,B
PPPPPP,BBBBB,PBPPPB,5,B
BBPBBB,PPPPP,BBBBPB,5,P
PBBPPP,BBBBB,PBBPBP,5,B
PBBPPP,BBBBB,PBBPBP,5,B
PBPBBB,PPPPPP,BPBPPP,6,P
BPPBBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PBBPPP,5,B
BPBBPP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPBBPP,5,P
BBPBPB,PPPPP,BPBPPB,5,P
BBPBPP,BBBBB,PBBPPB,5,B
PBPPBP,BBBBB,PBPPPB,5,B
PBBBPB,PPPPPPP,BPBPPB,7,P
PPBBPB,PPPPPP,BPBPPB,6,P
PPBBPB,PPPPPP,BPBPPB,6,P
BBPBPB,PPPPP,BPBPBP,5,P
PBPBBB,PPPPPP,BBPPPP,6,P
BPPPBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPPP,BBPPPB,6,P
PPPBPP,BBBBBBB,PPBPPP,7,B
BBPBBP,BBBBBBB,PBPPBP,7,B
PBPPBP,BBBBB,PBBPPB,5,B
PPPBPB,PPPPP,BPPBBP,5,P
PPBBPB,PPPPPP,BBBPPP,6,P
BPBBPB,PPPPP,BPPBBB,5,P
PBBBPP,BBBBB,PPBBPP,5,B
PPBPPP,BBBBBB,PPBPBB,6,B
BPBPBP,BBBBBB,PPBPPP,6,B
PPBPPP,BBBBBB,PPBPBB,6,B
BPBBPP,BBBBB,PPBPPP,5,B
BBBPPP,BBBBBBB,PBBBPP,7,B
BPBPPP,BBBBB,PBPBBB,5,B
BPBBPB,PPPPPPP,BBBPPB,7,P
BPPPBB,PPPPP,BPPBPP,5,P
BPPBBP,BBBBBB,PPBPBB,6,B
PBPBPP,BBBBB,PBBPBB,5,B
PBPBPP,BBBBB,PBBPBB,5,B
BPBBPB,PPPPPPPPP,BPPPPB,9,P
PPPPBP,BBBBBBBB,PBBPPP,8,B
BPBBPB,PPPPPPPPP,BPPPPB,9,P
PPPPBP,BBBBBBBB,PBBPPP,8,B
PPPPBP,BBBBB,PPBPPB,5,B
BBPBPB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPP,BPPBBP,5,P
PPBBBB,PPPPP,BPPPBB,5,P
BPBBBB,PPPPPP,BBPPBB,6,P
BBPBBP,BBBBBBB,PBPBPP,7,B
PPBPBB,PPPPPP,BBPPPP,6,P
BBBPPP,BBBBBB,PPBPPP,6,B
PPBBBB,PPPPP,BBBBPP,5,P
PPBBPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPBPPB,5,B
PPBPBP,BBBBBB,PPPBBB,6,B
PBPPBB,PPPPPP,BPBPBB,6,P
BBPBBP,BBBBB,PPBBBB,5,B
BBBPPB,PPPPPP,BPPPPB,6,P
BPPPBP,BBBBB,PBBBPP,5,B
BBPPBB,PPPPPPPP,BBPPPP,8,P
PPPPBB,PPPPP,BBPBPB,5,P
PPBBPB,PPPPP,BPPBPP,5,P
BPPPBB,PPPPPP,BBPPPB,6,P
BPBPPB,PPPPPPP,BPPBBB,7,P
PPBBPB,PPPPP,BPBPPP,5,P
PBPPBP,BBBBB,PBBBPP,5,B
PBBPBB,PPPPPP,BBPBPP,6,P
PPBBPB,PPPPPPP,BBBBPP,7,P
PBBPPP,BBBBBB,PPBBBP,6,B
PPBBBP,BBBBB,PPBPBB,5,B
PPBPBB,PPPPP,BPBBPP,5,P
BBBPPB,PPPPP,BPBBPB,5,P
PBBPBP,BBBBB,PPBBPP,5,B
PBPBPP,BBBBBBBB,PBBBBP,8,B
PBPBPP,BBBBBBBB,PBBBBP,8,B
BBPPPP,BBBBB,PBBPPP,5,B
BBPBPP,BBBBBBB,PBPPBB,7,B
PBPBBB,PPPPP,BBBBPP,5,P
BBPBBP,BBBBB,PBPBBB,5,B
PBBBPB,PPPPP,BPBBPB,5,P
BBBBBP,BBBBBB,PBPPPP,6,B
PPBPBP,BBBBBBBBBBBBB,PBBBPB,13,B
PBBBPP,BBBBBB,PBBPPB,6,B
PPPPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPPPPPPPPPPPP,BBPPPB,16,P
BPBPBP,BBBBB,PPBBPB,5,B
BBPPPB,PPPPP,BPBPBP,5,P
PPBPPP,BBBBBB,PPBPBP,6,B
BPBBPP,BBBBBB,PBPBPB,6,B
BBBPBP,BBBBBBB,PPBPBP,7,B
PBPBPP,BBBBBBB,PBPBPP,7,B
BBPBPB,PPPPP,BBBPBB,5,P
BPBPPP,BBBBB,PPBPBB,5,B
BBPBPP,BBBBB,PBPPBB,5,B
BBPBBP,BBBBB,PPPBPP,5,B
PBBPBB,PPPPPPP,BPPBBB,7,P
PPPBPP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPPPPB,5,P
BPBPBP,BBBBBBB,PBBPPP,7,B
BBPPPB,PPPPPP,BBPBBB,6,P
BPBPPP,BBBBB,PBPPPB,5,B
PBPBPP,BBBBBBBB,PBPBBB,8,B
BPBPPP,BBBBB,PBPPPB,5,B
PBPBPP,BBBBBBBB,PBPBBB,8,B
BBBPPP,BBBBB,PPBPBB,5,B
BPPPBP,BBBBB,PBBBPB,5,B
BPPPBP,BBBBB,PBBBPB,5,B
PBPPPB,PPPPPPPP,BPBBPP,8,P
BPBBPP,BBBBB,PPPPBP,5,B
PPBPBP,BBBBBBB,PBBBBP,7,B
PBBPPP,BBBBBB,PPBBBP,6,B
PBBPBP,BBBBB,PPPPBB,5,B
BBBBBB,PPPPPPP,BPPPPB,7,P
BPPPBP,BBBBBB,PPPBPB,6,B
PBPBPB,PPPPPPP,BBBPPP,7,P
PPPBBB,PPPPP,BPBBBP,5,P
PPPPBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBB,PPBBPP,5,B
PPPBPP,BBBBB,PPBBPP,5,B
BBBPPP,BBBBBBB,PPBBBP,7,B
PPBPPB,PPPPPPPPPPP,BPBBBB,11,P
BBPBPB,PPPPPP,BBBBPP,6,P
BPPBBP,BBBBB,PBPPBP,5,B
PBPBPP,BBBBB,PPBBPP,5,B
PBPBBB,PPPPPPPPPPP,BPPBPP,11,P
PPBBPB,PPPPPP,BPPBPB,6,P
PPBPPP,BBBBBB,PPBBPP,6,B
BPBPPB,PPPPPPPPP,BBPBBP,9,P
BPBBPP,BBBBBB,PPPBPP,6,B
BPPBBP,BBBBBB,PPBPPP,6,B
BPBPPB,PPPPPPPPP,BBPBBP,9,P
BPBBPP,BBBBBB,PPPBPP,6,B
BPPBBP,BBBBBB,PPBPPP,6,B
PPBPPP,BBBBB,PBPBBP,5,B
BPPPPB,PPPPPP,BBPBPP,6,P
BBBPPP,BBBBB,PPPPBP,5,B
PPPPBP,BBBBB,PPPPBP,5,B
BPPBBP,BBBBBB,PBBPPP,6,B
BBBPBB,PPPPP,BPPPBB,5,P
PBBPBB,PPPPPP,BPBBBB,6,P
BPBBBP,BBBBBB,PPBPPB,6,B
BPPBPP,BBBBBB,PBBPBP,6,B
PPPBBP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PPBBBB,5,B
BBBPBB,PPPPPPP,BPBBPP,7,P
PBPPPB,PPPPP,BPPBPB,5,P
PBBPBB,PPPPPPP,BPBBPB,7,P
BPPBBP,BBBBBBBB,PBPPBP,8,B
BPPPBP,BBBBB,PPPBPP,5,B
PBPBBB,PPPPP,BPPPPP,5,P
BBBPPP,BBBBBBB,PPBPBB,7,B
PBBBPB,PPPPP,BBPBBB,5,P
PBPBPP,BBBBB,PPPPBP,5,B
BPBBBP,BBBBB,PBBBPP,5,B
BBPBBB,PPPPPPP,BPBPPP,7,P
BBBBPB,PPPPPPPPPPP,BBBBPP,11,P
BPPBPB,PPPPP,BPBBBB,5,P
PBPPPB,PPPPPPPPPPPP,BBPPBP,12,P
PBPPPB,PPPPP,BBBBPB,5,P
BBBPPP,BBBBBBBB,PPBBBP,8,B
PPPBPP,BBBBB,PPBBBB,5,B
BBBPPP,BBBBBBBB,PPBBBP,8,B
PPPBPP,BBBBB,PPBBBB,5,B
BBBPPP,BBBBBB,PPBPBP,6,B
BPBPPP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPPPPPP,BPBBBB,10,P
PBBPBB,PPPPP,BPPBBB,5,P
PBBBPB,PPPPP,BPBBPB,5,P
PPPPBP,BBBBB,PBPBBP,5,B
PBBPBP,BBBBB,PBPBPB,5,B
BBBBPB,PPPPP,BPPPBB,5,P
BBPPPP,BBBBBBBBBB,PBBBPP,10,B
PPBBPP,BBBBB,PBPPPB,5,B
PPPBBP,BBBBB,PPPBBP,5,B
PPPBBP,BBBBB,PBPPPP,5,B
PPBBBB,PPPPPPP,BBPPPP,7,P
BBBBBP,BBBBB,PBBPBB,5,B
BBPBPP,BBBBBBBBB,PBBBBP,9,B
PPPBPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPBPBB,5,B
BBPBBB,PPPPPPPP,BBPPPB,8,P
PBPBPP,BBBBB,PBPBBP,5,B
BPPPPP,BBBBB,PBPBBP,5,B
PBBPPP,BBBBB,PPPBBP,5,B
BPPBBB,PPPPP,BPPPBB,5,P
BBBBBB,PPPPPPPPPPPPP,BPPPBP,13,P
PBPPBB,PPPPPP,BBPPBB,6,P
PPBBPP,BBBBB,PPBPBB,5,B
PBPPPP,BBBBB,PPPPBP,5,B
PPPBPB,PPPPP,BBPPBB,5,P
BBPPPP,BBBBB,PBBBBB,5,B
PPBBPB,PPPPPP,BPBPPB,6,P
PBPBPP,BBBBBB,PBBBPP,6,B
BPBBBB,PPPPP,BBBPPB,5,P
BPBBPB,PPPPP,BBBPPP,5,P
BBPPBB,PPPPPP,BBBPBB,6,P
BBBPBB,PPPPPPP,BBPBBB,7,P
BPPBPB,PPPPPP,BPPPBB,6,P
BPPBBP,BBBBB,PPPPBP,5,B
PBPBPB,PPPPPP,BPBPPP,6,P
PBBPBB,PPPPP,BPPBBP,5,P
BPBBPB,PPPPP,BPPBPP,5,P
PPPBPP,BBBBB,PPPBBP,5,B
PBPPBB,PPPPPP,BBPPPB,6,P
PBBBPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BPBBPB,5,P
BPBPBB,PPPPP,BBPBBB,5,P
PPPBBP,BBBBB,PPBPBP,5,B
PPBBPP,BBBBBBBB,PBPBBP,8,B
PPBBPP,BBBBBBBB,PBPBBP,8,B
BBBPBP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPP,BPPBPB,5,P
BPPPBP,BBBBBB,PBPPPB,6,B
BPPBBP,BBBBB,PBBPBB,5,B
PPBPPB,PPPPPP,BBPPPP,6,P
PPPPBB,PPPPP,BBPPBB,5,P
PPBBPP,BBBBB,PBBPPP,5,B
PBPPPP,BBBBB,PPPPBP,5,B
PBPBPP,BBBBBB,PPBBBB,6,B
PBBBPB,PPPPPP,BPBBPP,6,P
BBBPPP,BBBBB,PPPBBP,5,B
BBPBBP,BBBBB,PBPPBP,5,B
PPBPBB,PPPPPPP,BPBPPB,7,P
PBBPBP,BBBBBBBB,PPBPPP,8,B
PPBPPP,BBBBBBB,PBPPPP,7,B
BBBBPB,PPPPP,BPBPBP,5,P
BBBPBB,PPPPP,BBBPPB,5,P
BBPBBP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BPPPBB,5,P
BPBPBP,BBBBB,PBPBBP,5,B
BBPPBP,BBBBB,PPPBBB,5,B
BBPBPP,BBBBBB,PPBPPB,6,B
PPPBBB,PPPPP,BPBPBP,5,P
BBBPBP,BBBBB,PPPPBB,5,B
PPPBBP,BBBBBBB,PPPPPP,7,B
BBBBBB,PPPPPP,BBBBBB,6,P
PPPPPP,BBBBBBB,PBBBPP,7,B
PPBBBB,PPPPP,BPPBPP,5,P
PPBBBP,BBBBBB,PPBBBP,6,B
PBPPBB,PPPPP,BPPBBB,5,P
BBBPPB,PPPPPP,BPPPBP,6,P
PBPBPP,BBBBB,PPBPPP,5,B
PBPPBP,BBBBB,PBPBPB,5,B
PBPBPP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BBPBPB,5,P
BBPBPB,PPPPP,BPBBPP,5,P
PBBPPP,BBBBBBB,PPPPBB,7,B
BPBBBB,PPPPPP,BBBBPP,6,P
BPBPPB,PPPPP,BBPPPP,5,P
PPBBPB,PPPPPP,BPBPPB,6,P
BBPPPB,PPPPP,BBBBPB,5,P
PPPBPP,BBBBBB,PBPPPP,6,B
PBBBPP,BBBBBBB,PBBPBB,7,B
PPBPBP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPPPBB,5,B
PPPBBP,BBBBB,PBPPBP,5,B
PBBBPB,PPPPPPP,BPBPPB,7,P
PBBPBB,PPPPPP,BBBBPP,6,P
PPBBBB,PPPPP,BBBPBP,5,P
PPBPBP,BBBBBBBB,PPBPPP,8,B
BBPPPP,BBBBB,PBBPBB,5,B
BBPPPB,PPPPPPP,BBBBBP,7,P
