before,pingpong_tikhu,after,repeat,length
PPPBPP,PPBBPPBB,PPPPPB,2,8
PPBBBP,BBPPBBPP,BBBPPP,2,8
BBBPBB,BBPPBBPPBBPP,BPBPPP,3,12
BBPBBB,BBPPBBPP,PBPPBB,2,8
BPPBBP,BBPPBBPP,PBBPPP,2,8
PPBBPB,PPBBPPBB,PPPBBP,2,8
PBBPPP,PPBBPPBB,BBPPPP,2,8
BPPPPB,BBPPBBPP,BBBBPP,2,8
BPPPPP,PPBBPPBB,PBPBPP,2,8
BPBBPB,PPBBPPBB,BPBBPB,2,8
BBBBBB,BBPPBBPPBBPP,BPPPPP,3,12
PPBBPP,PPBBPPBB,BBBPBP,2,8
BBBPPB,PPBBPPBB,BPBPBP,2,8
BPPPPB,BBPPBBPP,PBBPPP,2,8
BPBPBB,BBPPBBPP,PPBPPB,2,8
BBBPBP,PPBBPPBB,BBPBBP,2,8
PPBPPB,PPBBPPBB,BBBPPP,2,8
BBPBPB,PPBBPPBB,BBPPPB,2,8
PPPPPB,BBPPBBPP,BBPBBP,2,8
BPBPPP,PPBBPPBB,BPBPBB,2,8
PBPBBP,PPBBPPBB,BBPPBP,2,8
PBBBPB,BBPPBBPPBBPP,PBBBPP,3,12
PPBPPB,PPBBPPBB,PBBPPB,2,8
BBBPPB,BBPPBBPP,PPPPPB,2,8
PPPBPP,PPBBPPBB,PPPPPB,2,8
PBPBBP,PPBBPPBB,PBBBPP,2,8
BBPBPB,PPBBPPBB,BPBPBP,2,8
PBPBPP,PPBBPPBB,BPBBPP,2,8
BBBPBP,BBPPBBPP,PPPBPP,2,8
BPPBBP,BBPPBBPP,BPPPPB,2,8
BPPPBP,BBPPBBPP,BPBPPP,2,8
PPPPBP,BBPPBBPP,BPPPBB,2,8
BBBBBP,PPBBPPBB,PPBPBB,2,8
PPBPPP,PPBBPPBB,BPBBPP,2,8
PBPBBP,PPBBPPBB,BBPBPB,2,8
PBPPBP,BBPPBBPP,PPBBPP,2,8
BPPPPP,PPBBPPBB,PBPBBP,2,8
BPPBPB,PPBBPPBB,PBBPPP,2,8
PPBBBP,PPBBPPBB,BPBBPP,2,8
BPPBBP,BBPPBBPPBBPP,PPPPPP,3,12
PPBBBB,BBPPBBPP,BPBBBP,2,8
PBBBPB,BBPPBBPP,PBBPBP,2,8
PBBPPP,PPBBPPBB,PPBPPB,2,8
PBPPPB,PPBBPPBB,PBPPBB,2,8
PBPPBB,BBPPBBPP,BPBPBP,2,8
BPPPBB,BBPPBBPP,PPBBPP,2,8
PBBPPB,PPBBPPBB,PBBPPB,2,8
BPPBBP,BBPPBBPP,BPPBPP,2,8
PBPBPB,PPBBPPBB,BPBPBB,2,8
PBBBBB,BBPPBBPP,BPPPPB,2,8
PBPPBB,BBPPBBPP,PBBPPP,2,8
BPBPPB,PPBBPPBB,BBBPPP,2,8
PPPBPB,PPBBPPBB,BBBPBP,2,8
PPBBPP,PPBBPPBB,BBPPPB,2,8
BPPBPP,PPBBPPBB,BBBBPP,2,8
BPBPPB,PPBBPPBB,BBBBBP,2,8
PPBPPB,PPBBPPBB,PPPBPB,2,8
BPPPPB,PPBBPPBB,PBPBBB,2,8
PPBBPB,PPBBPPBB,PBPBPB,2,8
PBBBPP,PPBBPPBB,BPPBBP,2,8
PPPBBB,BBPPBBPPBBPP,PPBPPP,3,12
PPPPPB,PPBBPPBB,BBBBBP,2,8
BBPPBP,BBPPBBPPBBPP,BBBPBP,3,12
PBBBPP,PPBBPPBB,BBBBPP,2,8
BBBBBP,PPBBPPBB,BPPPPP,2,8
BBBBBB,BBPPBBPP,BBBPPB,2,8
PBBPPB,BBPPBBPP,PPBBPP,2,8
PPBBPP,PPBBPPBB,BPPBBP,2,8
BBBBBP,PPBBPPBB,BBBPBB,2,8
PBBBBP,PPBBPPBB,PBPBPP,2,8
BPBPPB,PPBBPPBB,BPPPBB,2,8
BBBBPB,BBPPBBPP,BPPBBB,2,8
BBBPBP,BBPPBBPP,PBPBBP,2,8
BPPPBP,BBPPBBPP,BBBPPB,2,8
PBPPPP,PPBBPPBB,BPBPPB,2,8
PBPBBB,BBPPBBPP,PPBPPP,2,8
PBBPBB,BBPPBBPP,BPBPBP,2,8
PPBBBP,PPBBPPBB,BBPBPB,2,8
PPBBPB,PPBBPPBB,BBPPBP,2,8
BPPPPB,PPBBPPBB,BPPBPP,2,8
BPBBBP,PPBBPPBB,PPBPPB,2,8
BBBBBP,PPBBPPBB,PPPPPB,2,8
PPPPPB,BBPPBBPP,BBBBBP,2,8
BBPBPB,BBPPBBPP,BBPBBB,2,8
BPPBPB,BBPPBBPP,BPPBPB,2,8
PBPPBB,BBPPBBPP,PBBBPB,2,8
PPBPBP,BBPPBBPPBBPP,PPBBPB,3,12
PPPPPP,PPBBPPBB,BBPBPP,2,8
BPPBPB,BBPPBBPP,PPBBBB,2,8
BBBBBB,BBPPBBPP,PBBBPB,2,8
PPBPPB,PPBBPPBB,BBBPPB,2,8
BBPPBP,BBPPBBPP,PPBBBP,2,8
BPPBPB,BBPPBBPP,PBPBBB,2,8
BPBPBP,BBPPBBPP,BPPPBB,2,8
BPPPPB,BBPPBBPP,PBPBPP,2,8
PBBPBB,BBPPBBPP,BPPBPP,2,8
PPPPPB,PPBBPPBB,BBBPPP,2,8
PBBPPB,BBPPBBPP,BBPBPB,2,8
PBPBPP,PPBBPPBB,PBBBPP,2,8
PPBPPB,BBPPBBPP,BPBPBB,2,8
PBBPBB,BBPPBBPP,PBPBPB,2,8
PPBBBP,PPBBPPBB,PBPPPB,2,8
BBBPPP,PPBBPPBB,PPPPPP,2,8
PPBPBP,PPBBPPBB,PBBBPB,2,8
BPBPBB,BBPPBBPP,BPPBPP,2,8
BPBPBB,BBPPBBPP,BPPBPP,2,8
PPPPPB,PPBBPPBB,BPPPBB,2,8
PPBBBP,BBPPBBPP,BBBPPB,2,8
PBPBPP,PPBBPPBB,BBBBBB,2,8
BBBBBP,BBPPBBPP,PPPBPB,2,8
BBBBBP,PPBBPPBB,BPBPPP,2,8
PPPBBP,PPBBPPBB,PPPBBB,2,8
PBPBPP,PPBBPPBB,PBPBBB,2,8
BPPBPP,PPBBPPBB,BBPBPP,2,8
BBPPBP,PPBBPPBB,BPPBBB,2,8
BBBPPB,BBPPBBPP,BBBPBP,2,8
BPPBPB,PPBBPPBB,BBPBBP,2,8
PPBBPP,PPBBPPBB,BPBPPB,2,8
BPBPBB,BBPPBBPP,PPPPPB,2,8
BPBPBB,BBPPBBPP,PPPPPB,2,8
BPBPBB,BBPPBBPP,PPPPPB,2,8
BBPBPP,PPBBPPBB,PBPPPP,2,8
PBBBBP,PPBBPPBB,BBPPBP,2,8
BBPPBP,PPBBPPBB,PPPPBB,2,8
PPPBPP,PPBBPPBB,PBBPBB,2,8
PBPBPB,PPBBPPBB,BBPPBB,2,8
BPPBPB,PPBBPPBB,BBBBBB,2,8
BPBBBB,BBPPBBPP,BBPBBP,2,8
PPPBBB,BBPPBBPP,PBPBBB,2,8
PPPPBB,BBPPBBPP,BPBPBB,2,8
BPPBPB,PPBBPPBB,PPPBPB,2,8
PBPPBB,BBPPBBPP,BBBPBP,2,8
PPBPBP,BBPPBBPPBBPPBBPP,BPBBBB,4,16
BBPBPP,PPBBPPBB,BBBPPB,2,8
PBPBPP,PPBBPPBB,BBPBPP,2,8
PPPBBP,PPBBPPBB,BBPBBB,2,8
PPPPPB,PPBBPPBB,PBPPPP,2,8
PPPPPB,PPBBPPBB,PBPPPP,2,8
BBPBPB,PPBBPPBB,BPBBBP,2,8
BBBBBB,BBPPBBPP,PBPPBB,2,8
PBBPPP,PPBBPPBB,PBBPPP,2,8
BPBBPP,PPBBPPBB,PPPBBB,2,8
BBBPBP,PPBBPPBB,PBBPPP,2,8
BBBBBB,BBPPBBPP,PBBPPP,2,8
BBPBPB,BBPPBBPP,BBBPBP,2,8
PBPPPB,BBPPBBPP,BPBPBB,2,8
BPPBPB,PPBBPPBB,PPPBPB,2,8
BBPPPP,PPBBPPBB,PPPBBP,2,8
PBBPBP,PPBBPPBB,PBPPPB,2,8
BBPPBP,BBPPBBPP,PPPBBP,2,8
BBBBPP,PPBBPPBB,BPBBPB,2,8
BBPPPB,BBPPBBPP,PBPBPB,2,8
PPBPPB,BBPPBBPP,PBBBPP,2,8
PPBBBP,PPBBPPBB,PBPPBP,2,8
PBBBPB,BBPPBBPP,PBBPPP,2,8
PPBBBP,BBPPBBPP,PPPPBP,2,8
PPBBBP,BBPPBBPP,PBBBBP,2,8
BBPPPB,BBPPBBPPBBPP,PPBPPB,3,12
PBPBBP,PPBBPPBB,BPPPBB,2,8
BPBBPB,BBPPBBPP,BPPPPB,2,8
PPBBBP,PPBBPPBB,BPPBPB,2,8
PPBPBB,BBPPBBPP,PPPPPB,2,8
PPBBBP,PPBBPPBB,BBBPPP,2,8
PPBBBP,BBPPBBPPBBPP,PBBBBB,3,12
BBPBPP,PPBBPPBB,BBPPBP,2,8
BPBBBP,BBPPBBPP,BBBPPP,2,8
PPPBBP,BBPPBBPP,PBPBBP,2,8
PPBBBP,BBPPBBPP,BPBPPB,2,8
BPBPPP,PPBBPPBB,BPPBPP,2,8
PBPBBB,BBPPBBPP,BPPBPB,2,8
BBPBBP,PPBBPPBB,BPBBBP,2,8
PBBBPB,BBPPBBPP,PPBPPP,2,8
BPPPBB,BBPPBBPP,PPPBBP,2,8
BPBBBP,BBPPBBPP,PBPBBB,2,8
BPBBPP,PPBBPPBB,PBPBBB,2,8
BPPPBP,BBPPBBPP,PBBPBP,2,8
PBBPBP,BBPPBBPP,BPBBBP,2,8
PPPPPB,PPBBPPBB,BPPBPB,2,8
BBBPPB,PPBBPPBB,BPPPPB,2,8
BPBBPP,PPBBPPBB,BBPBBB,2,8
BBPPBB,BBPPBBPP,BPPBPB,2,8
PBPBBP,BBPPBBPPBBPP,PBPPBB,3,12
BBPPPP,PPBBPPBBPPBB,PPBPPB,3,12
BBBBBP,PPBBPPBB,BBPPBB,2,8
BBPBPP,PPBBPPBB,PBPPPB,2,8
BBBPBP,BBPPBBPP,BPPPPB,2,8
PPBPPB,PPBBPPBB,BBBPPP,2,8
BPPBBB,BBPPBBPP,PBPPPP,2,8
BBPBPB,PPBBPPBB,BBBBPP,2,8
PPPPBP,PPBBPPBB,BBBPPB,2,8
PPBPBB,BBPPBBPP,BPPBBP,2,8
PPBPBP,BBPPBBPP,PPBPPB,2,8
PPBPBP,BBPPBBPP,BBPBPP,2,8
BPPBPB,BBPPBBPP,BBBPBB,2,8
BBPBBB,BBPPBBPP,PPBPPP,2,8
BPPPBB,BBPPBBPP,PPBPBP,2,8
PPPBPP,PPBBPPBB,PPBPPP,2,8
BPPBPB,BBPPBBPP,BPPPPP,2,8
BBBPPB,PPBBPPBB,BPBBBP,2,8
BPPBBP,BBPPBBPP,PBBBPP,2,8
BBPPPB,BBPPBBPP,BBPBPP,2,8
BBBPBB,BBPPBBPP,BPPBBB,2,8
PPPPBP,BBPPBBPP,PBBBBP,2,8
PBPBPB,BBPPBBPP,BBPBPB,2,8
BPBBPB,BBPPBBPP,PPPPBP,2,8
PBBBPP,PPBBPPBB,PBBBBB,2,8
BBPBBB,BBPPBBPP,BPPBBB,2,8
PBBBPB,BBPPBBPP,PPPPBB,2,8
BBPPPP,PPBBPPBB,PBBBBP,2,8
PPPPBP,PPBBPPBB,PBPPPP,2,8
PBPPPP,PPBBPPBB,PBPBPP,2,8
PPBBBP,PPBBPPBB,PBPPBB,2,8
BBBBBP,PPBBPPBB,PBPBBB,2,8
PBBBPB,PPBBPPBB,BBPBPB,2,8
PBPPBP,PPBBPPBB,BBPPPB,2,8
PPPBPB,PPBBPPBBPPBB,BBBBBP,3,12
BBBPPP,PPBBPPBB,BBBPBB,2,8
BPPBBP,PPBBPPBB,PBPPBP,2,8
BPPBBB,BBPPBBPP,BPPPPB,2,8
BBBBBP,PPBBPPBB,BBBPBB,2,8
BBBPPP,PPBBPPBB,PBPPPB,2,8
PPPPBP,PPBBPPBB,BBPPBP,2,8
PBBPBP,BBPPBBPP,PBPBPB,2,8
BBPBPB,BBPPBBPP,BBPBPP,2,8
BBPBBP,BBPPBBPP,PPPPPP,2,8
PPPPBP,PPBBPPBBPPBB,PPPPPB,3,12
BPPBBP,BBPPBBPP,PPPPBB,2,8
PBPPBB,BBPPBBPP,PBPPPP,2,8
PBBPBB,BBPPBBPP,BPPBPP,2,8
BBPPPP,PPBBPPBBPPBB,PBBBBP,3,12
BPBPPB,BBPPBBPP,BPBPPB,2,8
PBBPPB,BBPPBBPP,BBBPPB,2,8
PBBPPB,PPBBPPBBPPBB,PBPPPB,3,12
PPPPPB,PPBBPPBB,BBBPPB,2,8
PBBPBP,BBPPBBPPBBPP,BPBPPB,3,12
BPPBPB,BBPPBBPP,PPBBBP,2,8
BPPBPB,BBPPBBPP,PBBBPP,2,8
PPPPBP,PPBBPPBB,PPBPBB,2,8
PPPPBP,PPBBPPBB,PPBPBB,2,8
PBPPBP,PPBBPPBB,PBPBPB,2,8
BBBBBP,PPBBPPBB,PPBPPP,2,8
BPPBBP,BBPPBBPPBBPP,PPBBPB,3,12
BPBBPB,PPBBPPBBPPBBPPBB,BBPPBB,4,16
PPBBPB,PPBBPPBB,BPPBPB,2,8
PPPBBP,PPBBPPBB,PBBPPP,2,8
PPBPPP,PPBBPPBB,BBBPPB,2,8
BPPBBB,BBPPBBPP,BPPPPP,2,8
BPPBBB,BBPPBBPP,BPPPPP,2,8
PBPPBP,BBPPBBPP,PPBPPB,2,8
BBBPBP,PPBBPPBB,PPPBPB,2,8
PBBBBB,BBPPBBPP,BPPBPP,2,8
PBBBBB,BBPPBBPP,BPPBPP,2,8
BBBBBB,BBPPBBPP,PBPBPP,2,8
BBPPBP,BBPPBBPP,PBBBPB,2,8
BBPPBP,BBPPBBPP,PBBBPB,2,8
PBPBBP,PPBBPPBBPPBB,BBBPBB,3,12
BPBPPB,PPBBPPBB,BPPPBP,2,8
BBPPPP,PPBBPPBB,PPBPBB,2,8
BPBPBB,BBPPBBPP,PBPBBP,2,8
BPPBBP,BBPPBBPP,PPPBBP,2,8
BPPBBP,BBPPBBPP,PPPBBP,2,8
BBPPBP,BBPPBBPP,PBPPPP,2,8
PBPBBB,BBPPBBPP,PBPPPB,2,8
BPPBPP,PPBBPPBB,PPPBPB,2,8
PPPBBP,PPBBPPBB,PPPBBP,2,8
BPBPPB,PPBBPPBB,PPBPBP,2,8
BBPBBB,BBPPBBPP,PPPBPB,2,8
PPPBBP,BBPPBBPP,PBPBPP,2,8
BBBPBB,BBPPBBPP,PBBPBP,2,8
BBPBBP,BBPPBBPP,PPPPPB,2,8
BBPPPB,BBPPBBPP,BPBBBP,2,8
BPPPBB,BBPPBBPP,BBBPPB,2,8
BPPPBB,BBPPBBPP,BBBPPB,2,8
BPPPBB,BBPPBBPP,BBBPPB,2,8
BPPPBB,BBPPBBPP,BBBPPB,2,8
BBPPPB,PPBBPPBB,BPBPPB,2,8
BBBBBP,PPBBPPBB,BBPBBP,2,8
PBBBBP,PPBBPPBB,PBPBPP,2,8
PBBBBP,PPBBPPBB,PBPBPP,2,8
BBPPPB,BBPPBBPP,BPPPPB,2,8
BBPPPB,BBPPBBPP,BPPPPB,2,8
BBBPBP,PPBBPPBB,PPBPPP,2,8
PBPPPB,BBPPBBPP,BPPBBP,2,8
PBBBPP,PPBBPPBB,PPPPPP,2,8
PPBBPB,BBPPBBPP,BBBBBB,2,8
PPBBPB,BBPPBBPP,BBBBBB,2,8
BBBPBP,BBPPBBPP,BBPBBB,2,8
PPPBBP,BBPPBBPP,PPPPBP,2,8
PPPBBP,BBPPBBPP,PPPPBP,2,8
BBPBPB,PPBBPPBB,BBPPPB,2,8
BBBPBP,PPBBPPBB,BBPBPB,2,8
PPPBPB,PPBBPPBB,BBPPPB,2,8
PPPBPB,PPBBPPBB,BBPPPB,2,8
PPPPBP,PPBBPPBB,BBPBBP,2,8
BPPPPB,PPBBPPBB,PBPBPB,2,8
PBBPBP,PPBBPPBB,PPBPBB,2,8
BPBPBP,PPBBPPBB,BBBBPB,2,8
BPBPBP,PPBBPPBB,BBBBPB,2,8
PPBBBB,BBPPBBPP,BBBBPP,2,8
PPBBBB,BBPPBBPP,BBBBPP,2,8
BBPPBB,BBPPBBPP,PPPBBP,2,8
BBPBBP,PPBBPPBB,PPBPBP,2,8
PPPBPP,PPBBPPBB,PBPPPB,2,8
PPPBPB,BBPPBBPP,BBPBPP,2,8
BBPBPP,PPBBPPBB,BPBPBB,2,8
PBBPBB,BBPPBBPP,BPBBBP,2,8
PBBBPB,PPBBPPBB,BPBBBB,2,8
PBBPBP,BBPPBBPP,BPPBPP,2,8
PPPPBB,BBPPBBPP,PPBPBP,2,8
PBPBBB,BBPPBBPP,BPBPBB,2,8
BBBPPB,BBPPBBPP,BPBPBP,2,8
BBPPBB,BBPPBBPP,PBPBPP,2,8
PPBPPB,BBPPBBPP,PPBPBB,2,8
PPBBBP,BBPPBBPPBBPP,PBPPBP,3,12
PPPPPB,PPBBPPBB,PBPPPB,2,8
BBBPPP,PPBBPPBB,PBBPPP,2,8
BPBBPP,PPBBPPBB,PPPPPB,2,8
PBBPBB,BBPPBBPP,BPPBBB,2,8
PBBPPB,PPBBPPBBPPBB,PBPPBB,3,12
PPBBBP,PPBBPPBB,PPBPBP,2,8
PBPBBP,PPBBPPBB,BPPBPB,2,8
PPBPPB,BBPPBBPP,BBBBBB,2,8
PPPPPP,PPBBPPBB,BBBBPP,2,8
PBBBPB,BBPPBBPP,PBBBBP,2,8
PBPBBP,PPBBPPBB,PPPPBP,2,8
PBPBBP,PPBBPPBB,BBBBPP,2,8
PBBPBP,PPBBPPBB,PBPBBP,2,8
PPBPBP,PPBBPPBB,PBBPBB,2,8
BPPBPP,PPBBPPBB,PBBBPP,2,8
BBBBBP,PPBBPPBB,PBPBBP,2,8
BPPPPP,PPBBPPBB,PBBBPB,2,8
PPBBBP,PPBBPPBB,BPPBPB,2,8
PPPPPP,PPBBPPBB,PBBPPB,2,8
BPPBBP,BBPPBBPP,BBBPBB,2,8
PBBPPP,PPBBPPBB,PPBPPB,2,8
PBPBPB,BBPPBBPP,PBBPPB,2,8
PBBPPP,BBPPBBPP,BPBPBP,2,8
PPPPBB,BBPPBBPP,PBBPBP,2,8
BPBPBP,PPBBPPBB,PPPPBP,2,8
BBPBBP,PPBBPPBBPPBB,BBBBPB,3,12
PBPBBP,PPBBPPBB,PPPPBB,2,8
PBBPBP,PPBBPPBB,PBPPPB,2,8
PPBBPB,PPBBPPBB,PBBBBB,2,8
PBBPBB,BBPPBBPP,BBBPPP,2,8
PPPBBB,BBPPBBPPBBPP,BBBBBB,3,12
PPPPBB,BBPPBBPP,PBBBBP,2,8
BBBPBP,PPBBPPBB,BBPPBB,2,8
BBPPBB,BBPPBBPP,PBBPBB,2,8
PBBBBP,BBPPBBPP,BBBPBP,2,8
PPBBBB,BBPPBBPP,PBPPPB,2,8
PBBPBB,BBPPBBPP,PBPPBB,2,8
PPPBBP,PPBBPPBB,BBBPBP,2,8
PPBBPB,PPBBPPBB,PPPBBB,2,8
PPBBPB,PPBBPPBB,PPPBBB,2,8
PPBBBP,BBPPBBPP,BPBBBP,2,8
BPPPBB,BBPPBBPP,PBBBPP,2,8
BPPPBB,BBPPBBPP,PBBBPP,2,8
PPPBBP,BBPPBBPP,BPBPPP,2,8
BPPPBB,BBPPBBPP,PPBPPP,2,8
BPPPBB,BBPPBBPP,PPBPPP,2,8
BPBPBP,PPBBPPBB,PBBBBP,2,8
PBBBPB,BBPPBBPP,BBPBBB,2,8
PPPPBP,BBPPBBPP,BBPBPB,2,8
PPBPPB,PPBBPPBB,BPPPBP,2,8
PPPPBP,PPBBPPBB,BPBBPP,2,8
PPBBBB,BBPPBBPP,PBBPBP,2,8
PBPBPB,PPBBPPBB,PBPPBB,2,8
BBPBBP,PPBBPPBB,PBPBPP,2,8
PPBBBP,PPBBPPBB,PBBBPB,2,8
PBBPBP,BBPPBBPP,BBBPPB,2,8
PBPBBB,BBPPBBPP,PPPBBP,2,8
PPBBPB,BBPPBBPP,PBPBBP,2,8
PBPBBP,BBPPBBPP,PBBPBP,2,8
PBBPBB,BBPPBBPP,PPPBPP,2,8
PBBPBB,BBPPBBPP,PPPBPP,2,8
BBPBBB,BBPPBBPP,PPPBPP,2,8
PPBBPB,BBPPBBPP,BPPBPB,2,8
BPPPBP,BBPPBBPPBBPP,BPPPPP,3,12
BPBPBB,BBPPBBPP,PPBBPP,2,8
BPBPBB,BBPPBBPP,PPBBPP,2,8
BPBPBB,BBPPBBPP,PPBBPP,2,8
PBPPPB,BBPPBBPP,PBBPPB,2,8
PBPPPB,BBPPBBPP,PBBPPB,2,8
BPBBBP,PPBBPPBB,PPBPBB,2,8
BPBPPB,BBPPBBPP,BPPBBP,2,8
PPBBBP,BBPPBBPPBBPP,PPPPBP,3,12
PBPPPP,PPBBPPBB,PBBPBB,2,8
PBPPPP,PPBBPPBB,PBBPBB,2,8
PBPBPP,PPBBPPBB,BPPBBP,2,8
BBBBBB,BBPPBBPP,PPPPBP,2,8
PBPPBB,BBPPBBPP,PBBPPP,2,8
PPPBPP,PPBBPPBB,PPPPPB,2,8
PBPPBP,BBPPBBPP,BBPBPP,2,8
PBBPBP,PPBBPPBB,PBPPBP,2,8
BPPPPP,PPBBPPBB,PPPPPB,2,8
PPPPPB,PPBBPPBB,PBPPBB,2,8
BPBBBP,BBPPBBPP,BPPPBB,2,8
PPPPPP,PPBBPPBB,PPBPBP,2,8
BBBBPP,PPBBPPBB,BPPBBP,2,8
BPBPBB,BBPPBBPP,PPBBBP,2,8
PPPBBP,PPBBPPBB,PBPPBP,2,8
PBBBPP,PPBBPPBB,BPPPBP,2,8
PPPBPB,BBPPBBPP,PPBBBB,2,8
PBPPBP,BBPPBBPP,PPPPPP,2,8
BBPPBB,BBPPBBPP,PPBPPP,2,8
PPBPPP,PPBBPPBBPPBB,BBPBPP,3,12
PPBPBP,PPBBPPBB,BPPBBP,2,8
PBPPPB,PPBBPPBB,BPBBBP,2,8
BPPBPB,BBPPBBPPBBPP,PBBPBB,3,12
PBPPPB,PPBBPPBB,BPPBPB,2,8
PPBPPB,BBPPBBPP,BPPBBB,2,8
PBBPBB,BBPPBBPP,BPBPPP,2,8
PBPPPP,PPBBPPBB,BPPBPB,2,8
BPBBBP,BBPPBBPP,PPBPBP,2,8
PPBBBB,BBPPBBPP,BPBPBP,2,8
PPBPPP,PPBBPPBB,BBPPPP,2,8
BBPBBP,BBPPBBPPBBPP,BBPBPP,3,12
PPBPPB,PPBBPPBB,PPPBBB,2,8
PBPBBP,BBPPBBPP,BPBPBP,2,8
BBBBBB,BBPPBBPP,BPPBPB,2,8
PPBBBB,BBPPBBPP,PPBBPP,2,8
BBPPBB,BBPPBBPP,PBPPBB,2,8
PPBPBP,PPBBPPBB,PPBPBP,2,8
BPBBBP,PPBBPPBB,PPPPBP,2,8
BBPBPB,BBPPBBPP,BPBBBP,2,8
PBPBPB,PPBBPPBB,PBBBBB,2,8
BBPPBP,PPBBPPBB,PPBPBB,2,8
BPPPBP,PPBBPPBB,BBPPPB,2,8
BPPBPP,PPBBPPBB,BBPPBP,2,8
PBPPPP,PPBBPPBB,PBBBBP,2,8
BPPBPB,BBPPBBPP,PBPPBP,2,8
BPBPPB,BBPPBBPP,PPPPBP,2,8
PPPPBP,PPBBPPBBPPBB,PBPBBB,3,12
BBPPPB,BBPPBBPP,PBBPBP,2,8
PPPBBB,BBPPBBPP,BBPBBB,2,8
PBBPPP,PPBBPPBB,BPBPPP,2,8
PPBPPP,PPBBPPBB,BBPBPP,2,8
BPPBBP,PPBBPPBB,BBBPBB,2,8
PBPPBP,BBPPBBPPBBPP,BBPBPB,3,12
PPBBPB,BBPPBBPP,BBBBBP,2,8
PBPBPP,PPBBPPBB,BBPBBB,2,8
PBBPBP,BBPPBBPP,PPPPPB,2,8
PBPPPB,PPBBPPBB,PPPPPB,2,8
BBBPBB,BBPPBBPP,BPBPPB,2,8
PPPBBP,PPBBPPBB,PPPPBB,2,8
PBBBBB,BBPPBBPP,PBPBBP,2,8
PPBBBP,PPBBPPBB,PBPBBP,2,8
PPBBPB,PPBBPPBB,BPBBPP,2,8
BPBBPB,BBPPBBPP,PPBPPP,2,8
BBBPBP,BBPPBBPP,BPBPBB,2,8
PBBPBP,BBPPBBPP,PPPBBP,2,8
PBPPBP,BBPPBBPP,BPBPBP,2,8
BBPBBP,PPBBPPBB,BPBPPP,2,8
BPBBBP,BBPPBBPP,PBBPPB,2,8
PBPBBP,BBPPBBPP,PPPBPB,2,8
BBPPBP,PPBBPPBB,PBBPPP,2,8
BBBBBB,BBPPBBPP,BBPBPB,2,8
BPBBPP,PPBBPPBB,BBBPBB,2,8
BBBPPP,PPBBPPBB,BBPBPP,2,8
PPPPPP,PPBBPPBBPPBB,PPPBBB,3,12
BPBBPB,PPBBPPBB,PPBPPP,2,8
PPBBPB,BBPPBBPP,BPBPPB,2,8
BBBPBP,BBPPBBPP,BBPBPP,2,8
PPBBBB,BBPPBBPP,BBBBBP,2,8
PBPBBB,BBPPBBPP,PPPPPP,2,8
BPPPPP,PPBBPPBB,BPBPBP,2,8
PBBPBB,BBPPBBPP,BBBPPB,2,8
PBBPBB,BBPPBBPP,BBBPPB,2,8
PBBPBB,BBPPBBPP,BBBPPB,2,8
BPPBPP,PPBBPPBB,BPBPPB,2,8
BPPPBB,BBPPBBPP,BPBBBB,2,8
BBPBPP,PPBBPPBB,BPBPBP,2,8
PPBPBB,BBPPBBPP,BPPPPB,2,8
BBPPPB,PPBBPPBB,BPBPPP,2,8
PBBBBB,BBPPBBPP,BPBBPP,2,8
PPPBBP,PPBBPPBB,BPBBBB,2,8
PPPPPB,BBPPBBPP,BPPBBB,2,8
PBBBPP,PPBBPPBB,BBPPBP,2,8
PBBBPB,BBPPBBPP,PPBPBB,2,8
PPPBBP,PPBBPPBB,BPPBPP,2,8
PBPBPP,PPBBPPBB,BPBBPB,2,8
BBPPPB,BBPPBBPP,PBPPBP,2,8
PBPPBP,BBPPBBPP,PBBPPP,2,8
PPBBBB,BBPPBBPP,BBBBBP,2,8
PBBBBP,BBPPBBPPBBPP,PPBBBP,3,12
PBBBBP,BBPPBBPPBBPP,PPBBBP,3,12
BBBBPB,BBPPBBPP,PPPPBB,2,8
BPBBPB,PPBBPPBB,PPPBPP,2,8
BBPBPB,PPBBPPBB,PPPPBP,2,8
BPBBPB,PPBBPPBB,BBPBPP,2,8
BBBBPP,PPBBPPBB,PBBBBP,2,8
BBBBPP,PPBBPPBB,PBBBBP,2,8
BBBBPP,PPBBPPBB,PBBBBP,2,8
PPBBPB,BBPPBBPP,PBBBBP,2,8
PBBPBB,BBPPBBPP,BBPBBB,2,8
PBBPBB,BBPPBBPP,BPBBPP,2,8
PPBPBP,BBPPBBPP,BPBBPP,2,8
PPBPBP,BBPPBBPP,BPBBPP,2,8
BBBPPP,PPBBPPBBPPBB,BBPPBB,3,12
PBPPBB,BBPPBBPP,PBBBBP,2,8
PPBBBP,BBPPBBPP,BBBBBP,2,8
BPBPBP,PPBBPPBB,BBBBBP,2,8
PBPPPB,PPBBPPBB,BPPPPB,2,8
PBPPPB,PPBBPPBB,BPPPPB,2,8
PPPPPP,PPBBPPBB,BBBBBB,2,8
BPPBPB,PPBBPPBB,PBBPPP,2,8
BPPBPB,PPBBPPBBPPBB,PBBBBB,3,12
BPPBPB,PPBBPPBBPPBB,PBBBBB,3,12
BPBBPP,PPBBPPBB,BBPBBB,2,8
BPBBPP,PPBBPPBB,BBPBBB,2,8
PPPBBP,BBPPBBPP,PPBPPB,2,8
PPBBBP,BBPPBBPP,PBPBPB,2,8
