before,three_cut,after,pattern
BPBPPP,BBBPPPPP,BBPBBP,3-1-3-1
PPBPBB,PPPBPPPB,PPBPBP,3-1-3-1
BPPBPP,PPPBPPPB,BPPPBP,3-1-3-1
PPBBPB,BBBPPPPP,PBBPBP,3-1-3-1
PBPBBB,PPPBBBBB,PBPBPP,3-1-3-1
PBPBBB,PPPBBBBB,PBPBPP,3-1-3-1
PBPBBB,BBBPBBBP,PPBBPB,3-1-3-1
PBPPBB,BBBPBBBP,BPPPBP,3-1-3-1
PPPPBP,PPPBBBBB,BPBBBP,3-1-3-1
BBPBBP,PPPBBBBB,BPBPBP,3-1-3-1
BBPPBB,BBBPBBBP,PPBPBP,3-1-3-1
PPBPPB,BBBPBBBP,PPBPBP,3-1-3-1
PPBPPP,PPPBBBBB,BBBPPB,3-1-3-1
PBBBPB,BBBPBBBP,PPBBPP,3-1-3-1
PBBBPB,BBBPPPPP,PBPBBB,3-1-3-1
PBPBPP,PPPBBBBB,PBPBPP,3-1-3-1
BBBBPB,PPPBBBBB,BPBBPP,3-1-3-1
PBBPPP,BBBPPPPP,BPPBBP,3-1-3-1
PBBBBP,PPPBBBBB,BPBPPP,3-1-3-1
BPPPPP,PPPBPPPB,PPBPPP,3-1-3-1
PPPPPP,PPPBPPPB,BBPPBP,3-1-3-1
BPPBBB,BBBPBBBP,PBBPBB,3-1-3-1
PBPBPB,BBBPBBBP,BBPPPP,3-1-3-1
BPBBPP,PPPBPPPB,PBPPPB,3-1-3-1
BBPBPP,PPPBBBBB,BBBPPP,3-1-3-1
PBBBBB,BBBPPPPP,BPBPPB,3-1-3-1
BBPBPP,PPPBBBBB,BBBPPP,3-1-3-1
PBBBBB,BBBPPPPP,BPBPPB,3-1-3-1
BBBPBP,PPPBPPPB,BPPBBP,3-1-3-1
BBBBBP,PPPBPPPB,BPPBPP,3-1-3-1
BBBBBP,PPPBPPPB,BPPBPP,3-1-3-1
BPPBPB,BBBPPPPP,PPBPPB,3-1-3-1
BBBBBB,BBBPPPPP,BPBPPB,3-1-3-1
BBPPBB,PPPBBBBB,BBBBPP,3-1-3-1
BBBBBB,BBBPPPPP,PBBBBP,3-1-3-1
BBPPBB,PPPBBBBB,BBBBPP,3-1-3-1
BBBBBB,BBBPPPPP,PBBBBP,3-1-3-1
BPPPBB,PPPBPPPB,BPPPBB,3-1-3-1
BPBBPP,PPPBBBBB,BBBPPP,3-1-3-1
BPPBBP,BBBPBBBP,PBBBPP,3-1-3-1
BPPPBP,BBBPBBBP,PBPBBB,3-1-3-1
BPPBBP,BBBPBBBP,PBBBPP,3-1-3-1
BPPPBP,BBBPBBBP,PBPBBB,3-1-3-1
BPBBPP,PPPBBBBB,BBBPBP,3-1-3-1
PBBPBP,PPPBPPPB,PPPBBP,3-1-3-1
BPBPPB,BBBPPPPP,PPBBBB,3-1-3-1
BPPPPP,BBBPBBBP,PPBBBP,3-1-3-1
BPPBBP,BBBPBBBP,BBBPBP,3-1-3-1
PBPBBB,PPPBPPPB,BPPPBP,3-1-3-1
PBBPBB,PPPBBBBB,PPPPBB,3-1-3-1
PPBBPP,PPPBBBBB,BPBPBP,3-1-3-1
PPPBPB,BBBPPPPP,PPPPPP,3-1-3-1
PPPPPB,BBBPBBBP,BPBBBP,3-1-3-1
PBPBBB,PPPBBBBB,BPPBPP,3-1-3-1
PPBPPB,BBBPPPPP,BPPBPB,3-1-3-1
BBBBBB,BBBPBBBP,BBBPPP,3-1-3-1
BBPBBB,PPPBBBBB,BBBPBB,3-1-3-1
BBPPPP,BBBPPPPP,PBBBBP,3-1-3-1
BBPPBP,BBBPPPPP,PPPBBB,3-1-3-1
BBPBBP,BBBPBBBP,PPBBPP,3-1-3-1
BBPPBP,BBBPPPPP,PPPBBB,3-1-3-1
BBPBBP,BBBPBBBP,PPBBPP,3-1-3-1
PPPBBP,PPPBBBBB,PBPBPB,3-1-3-1
BPBPPB,BBBPBBBP,BPPPPP,3-1-3-1
BPBPPB,BBBPBBBP,BPPPPP,3-1-3-1
BBPPBB,PPPBBBBB,BPPPPP,3-1-3-1
BBPBPB,BBBPBBBP,BPPBBP,3-1-3-1
BBPBPB,BBBPBBBP,BPPBBP,3-1-3-1
BPBPBB,PPPBBBBB,BBPPPB,3-1-3-1
BBBBBB,PPPBBBBB,BBBBPB,3-1-3-1
BPBPBB,PPPBBBBB,BBPPPB,3-1-3-1
BBBBBB,PPPBBBBB,BBBBPB,3-1-3-1
BBBBPB,BBBPPPPP,PBBPBB,3-1-3-1
BBBBPB,BBBPPPPP,PBBPBB,3-1-3-1
BBBBPB,BBBPPPPP,PBBPBB,3-1-3-1
BPBPBB,BBBPBBBP,BBPPBP,3-1-3-1
PPPPBB,PPPBBBBB,PBPBBP,3-1-3-1
PPPPBB,PPPBBBBB,PBPBBP,3-1-3-1
PBBBBB,BBBPBBBP,BPBPPB,3-1-3-1
BPPBBB,PPPBPPPB,PBPBPB,3-1-3-1
BPBPBP,BBBPPPPP,PPPBBP,3-1-3-1
BPPBBB,PPPBPPPB,PBPBPB,3-1-3-1
BPBPBP,BBBPPPPP,PPPBBP,3-1-3-1
BPPBBB,PPPBPPPB,PBPBPB,3-1-3-1
BPBPBP,BBBPPPPP,PPPBBP,3-1-3-1
PBPBPB,PPPBPPPB,PBPBBP,3-1-3-1
BBPBBB,BBBPPPPP,PPBPPB,3-1-3-1
BPBBPP,PPPBBBBB,BBPPBP,3-1-3-1
BPPPBP,PPPBBBBB,PPBPPB,3-1-3-1
BBBPBB,BBBPBBBP,PPBPBB,3-1-3-1
BPBPPB,PPPBPPPB,PBBPBP,3-1-3-1
BPBPPB,PPPBPPPB,PBBPBP,3-1-3-1
PPBBBB,PPPBBBBB,BPBBPB,3-1-3-1
BPPBBP,PPPBPPPB,BBBBPP,3-1-3-1
BBPPBP,PPPBPPPB,BBBPPP,3-1-3-1
BPPBBB,PPPBBBBB,PBBPPP,3-1-3-1
BBPPBP,PPPBPPPB,BBBPPP,3-1-3-1
BPPBBB,PPPBBBBB,PBBPPP,3-1-3-1
PBBBBP,PPPBBBBB,PBBPBB,3-1-3-1
BBPBBP,BBBPPPPP,PPPPPP,3-1-3-1
PBBPPP,BBBPPPPP,BBBPPB,3-1-3-1
PBBBPB,BBBPBBBP,BPBBBP,3-1-3-1
BBBPBP,BBBPBBBP,PBPPBB,3-1-3-1
BPBPPB,PPPBBBBB,PPBBBB,3-1-3-1
BPPBPP,PPPBBBBB,BPBBBP,3-1-3-1
BPPBPP,PPPBBBBB,BPBBBP,3-1-3-1
BBBBBP,PPPBPPPB,BBBBPP,3-1-3-1
PPPBPP,BBBPPPPP,PBBBBB,3-1-3-1
BPPPPB,BBBPPPPP,BPBPPP,3-1-3-1
BBPBBB,PPPBPPPB,BBBPBP,3-1-3-1
BBPBBB,PPPBPPPB,BBBPBP,3-1-3-1
BBPBBB,PPPBPPPB,BBBPBP,3-1-3-1
BBPBBB,PPPBBBBB,PPBPPB,3-1-3-1
PPPBBP,BBBPPPPP,BBBPBP,3-1-3-1
BBPBBB,PPPBBBBB,PPBPPB,3-1-3-1
PPPBBP,BBBPPPPP,BBBPBP,3-1-3-1
BPPBPB,PPPBBBBB,PBPBBB,3-1-3-1
BBBPBB,PPPBPPPB,BBBPBP,3-1-3-1
BBBPBB,PPPBPPPB,BBBPBP,3-1-3-1
PPPBBB,PPPBPPPB,BPBPPB,3-1-3-1
BBBPPB,PPPBPPPB,BBBPBB,3-1-3-1
BPPBPB,BBBPBBBP,PPPBPB,3-1-3-1
PPPBBB,PPPBBBBB,PBPBBB,3-1-3-1
PPPBBB,PPPBBBBB,PBPBBB,3-1-3-1
BBBBPB,BBBPPPPP,PPBBPP,3-1-3-1
BBBBPB,BBBPPPPP,PPBBPP,3-1-3-1
BBBBPB,BBBPPPPP,PPBBPP,3-1-3-1
PBBPBB,BBBPBBBP,PPPPPB,3-1-3-1
BPPBBP,PPPBBBBB,BBPBBB,3-1-3-1
PBBPBB,PPPBBBBB,BPBBBB,3-1-3-1
BBPPPP,BBBPPPPP,PBPPBP,3-1-3-1
BPPBPP,PPPBPPPB,PPPBPP,3-1-3-1
BPPBPP,PPPBPPPB,PPPBPP,3-1-3-1
PBBPBP,BBBPBBBP,BBPPBB,3-1-3-1
BPPBPB,BBBPPPPP,PPPPPP,3-1-3-1
BPPBPB,BBBPPPPP,PPPPPP,3-1-3-1
BPPBPB,BBBPPPPP,PPPPPP,3-1-3-1
BPPBPB,BBBPPPPP,BBBBPB,3-1-3-1
BPBBPP,BBBPBBBP,PBBBBP,3-1-3-1
BBBBBB,BBBPPPPP,PPBPBP,3-1-3-1
PPBPPB,BBBPBBBP,PBPPBB,3-1-3-1
PBBPPP,BBBPBBBP,BBBPBP,3-1-3-1
BPPBPP,BBBPBBBP,PPBBBP,3-1-3-1
BBPBPB,BBBPBBBP,BBPPBB,3-1-3-1
PBPBPB,PPPBBBBB,PPPPBP,3-1-3-1
BPPPBB,PPPBPPPB,PBBPBP,3-1-3-1
PBPBPB,PPPBBBBB,BBBBPP,3-1-3-1
PBBBPB,PPPBPPPB,PBBPPP,3-1-3-1
PBBBPB,PPPBPPPB,PBBPPP,3-1-3-1
PBPBPB,BBBPPPPP,PBBBPB,3-1-3-1
PBPPPB,BBBPBBBP,BBPPBB,3-1-3-1
BPBBPP,BBBPPPPP,PBBBBB,3-1-3-1
BPBBPP,BBBPPPPP,PBBBBB,3-1-3-1
PBPPBP,PPPBBBBB,BBPBPP,3-1-3-1
PBBPPB,BBBPBBBP,BBPBPB,3-1-3-1
PBBPPB,BBBPBBBP,BBPBPB,3-1-3-1
PPPBBB,PPPBBBBB,BBBPPB,3-1-3-1
BBBBBB,BBBPBBBP,PPBPBB,3-1-3-1
PBPBBP,BBBPPPPP,BBPPPP,3-1-3-1
BBPPBB,BBBPPPPP,PBPBBP,3-1-3-1
PPPBBP,BBBPPPPP,PPPBPB,3-1-3-1
BBBBBB,BBBPPPPP,BPBPBP,3-1-3-1
BPPBPP,BBBPBBBP,BPPPPB,3-1-3-1
PBBPBB,PPPBBBBB,PPPBPB,3-1-3-1
BPBBPB,BBBPPPPP,BBBBBB,3-1-3-1
PPPPPP,BBBPBBBP,BPBBBB,3-1-3-1
PBBBPP,BBBPPPPP,BBBBBP,3-1-3-1
BPBPPP,BBBPBBBP,BBBBBP,3-1-3-1
PBBBPP,BBBPPPPP,PPBBBB,3-1-3-1
BPPPBP,PPPBBBBB,PPPBPB,3-1-3-1
BPPPBP,PPPBBBBB,PPPBPB,3-1-3-1
BPPPBP,PPPBBBBB,PPPBPB,3-1-3-1
BBPBPP,BBBPBBBP,PBPBBP,3-1-3-1
BBPBPP,BBBPBBBP,PBPBBP,3-1-3-1
BPPBBP,BBBPBBBP,PBPBPP,3-1-3-1
BPPBBP,BBBPBBBP,PBPBPP,3-1-3-1
PBPPBP,BBBPPPPP,BPPBPB,3-1-3-1
BPPBBP,PPPBPPPB,BPPPPP,3-1-3-1
BPBBBB,BBBPPPPP,PBBPBB,3-1-3-1
BBPPBB,PPPBBBBB,BBPPPP,3-1-3-1
PPPBBB,PPPBBBBB,BPBPPB,3-1-3-1
PBPBBB,PPPBPPPB,BPPPPP,3-1-3-1
BPBPPP,PPPBBBBB,BPPBPB,3-1-3-1
BPPBPP,BBBPBBBP,PPBBPP,3-1-3-1
PBPBPP,BBBPPPPP,BBBBBB,3-1-3-1
BPPBBP,PPPBBBBB,PBPPPP,3-1-3-1
PBPPPB,BBBPBBBP,BPBPPB,3-1-3-1
PBBBBB,PPPBBBBB,BPPBBP,3-1-3-1
PPBBPB,PPPBPPPB,PBBBPB,3-1-3-1
PPPBBB,PPPBPPPB,PPPBPP,3-1-3-1
BPPPBP,PPPBBBBB,BBPPBP,3-1-3-1
BPPPPP,PPPBBBBB,PBBPPB,3-1-3-1
PPBPPP,BBBPPPPP,PPBPPB,3-1-3-1
BBPBPP,PPPBPPPB,PPPPPB,3-1-3-1
PPPPBP,PPPBBBBB,BPBBBP,3-1-3-1
PPBPBB,PPPBPPPB,PBBBBP,3-1-3-1
BPPPBP,BBBPBBBP,BPBBPB,3-1-3-1
BBBBPB,PPPBBBBB,PPPPPP,3-1-3-1
BBPPPP,PPPBPPPB,PPPBBB,3-1-3-1
BPPPBP,BBBPPPPP,BBBPBB,3-1-3-1
BPPPPP,BBBPBBBP,BPBBPP,3-1-3-1
BPBBPP,BBBPBBBP,PBPPPP,3-1-3-1
BBPPPP,BBBPPPPP,BPPBPP,3-1-3-1
BPBPPP,PPPBBBBB,PPBPPB,3-1-3-1
BPPBPP,BBBPBBBP,BBBPPP,3-1-3-1
PPBPBP,BBBPBBBP,PBPBPP,3-1-3-1
PPPBBB,PPPBBBBB,PBBPBP,3-1-3-1
BPBPBB,BBBPBBBP,BBBPPB,3-1-3-1
BBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
BBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
BBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
PPBBPB,PPPBBBBB,BBBBBP,3-1-3-1
PPBBPB,PPPBBBBB,BBBBBP,3-1-3-1
PPBBPB,PPPBBBBB,BBBBBP,3-1-3-1
PBBPPP,PPPBBBBB,BBPPPB,3-1-3-1
PBPBBP,BBBPBBBP,BBPPBP,3-1-3-1
PPBPBB,BBBPBBBP,PPPPBB,3-1-3-1
BBBPBB,PPPBBBBB,PBBPBB,3-1-3-1
PBBPPP,BBBPBBBP,BBPPPB,3-1-3-1
BBPPPP,PPPBBBBB,PBBBBB,3-1-3-1
PBPBPP,BBBPBBBP,BPBPBP,3-1-3-1
BPBBBB,BBBPBBBP,BBPBBB,3-1-3-1
BPBBBB,PPPBBBBB,PPBPBB,3-1-3-1
BPBBBB,PPPBBBBB,PPBPBB,3-1-3-1
BPBPBP,PPPBPPPB,BBPPBP,3-1-3-1
BPBBPP,PPPBPPPB,PBBBPP,3-1-3-1
BBBPBP,BBBPBBBP,PBBPBP,3-1-3-1
PBBBBB,BBBPBBBP,BBBPBB,3-1-3-1
PBBBBB,BBBPBBBP,BBBPBB,3-1-3-1
BBPBPB,PPPBBBBB,PPPPBP,3-1-3-1
PBPBBB,BBBPPPPP,PBPPPP,3-1-3-1
PPBPPP,PPPBPPPB,BPBBBP,3-1-3-1
PPPBBB,BBBPPPPP,BPPPPP,3-1-3-1
PPPBBB,BBBPPPPP,BPPPPP,3-1-3-1
BBPPPP,BBBPPPPP,BBPPBB,3-1-3-1
BPPBPP,BBBPBBBP,BPPPPP,3-1-3-1
BPPBPP,BBBPBBBP,BPPPPP,3-1-3-1
BPPBPP,BBBPBBBP,BPPPPP,3-1-3-1
PBPPBP,PPPBPPPB,BPBBBP,3-1-3-1
PBBPBB,BBBPBBBP,PBBBBP,3-1-3-1
PPBPBP,BBBPBBBP,BPBPPP,3-1-3-1
PPBPBP,BBBPBBBP,BPBPPP,3-1-3-1
PPBPBP,BBBPBBBP,BPBPPP,3-1-3-1
PPBPBP,BBBPBBBP,BPBPPP,3-1-3-1
BPBBPB,PPPBPPPB,BPPBPP,3-1-3-1
BPBBPB,PPPBPPPB,BPPBPP,3-1-3-1
BBBBBB,BBBPBBBP,BPBPBB,3-1-3-1
BPBPPP,PPPBBBBB,PPBPPP,3-1-3-1
BBPPBP,BBBPBBBP,PBBBPB,3-1-3-1
BPBPPP,PPPBBBBB,PPBPPP,3-1-3-1
BBPPBP,BBBPBBBP,PBBBPB,3-1-3-1
BBBPPP,BBBPPPPP,BBBPBP,3-1-3-1
PPBPPB,BBBPBBBP,PBBBBP,3-1-3-1
BPBPBP,PPPBPPPB,PBBBPB,3-1-3-1
BPPPBP,BBBPBBBP,BPBPPB,3-1-3-1
BBBBBB,BBBPPPPP,PBPBBB,3-1-3-1
BBBBBB,PPPBBBBB,BBBBPB,3-1-3-1
PPBPBP,PPPBBBBB,BBBBBB,3-1-3-1
BPPPBB,PPPBPPPB,BBPPPB,3-1-3-1
PPBPBP,PPPBBBBB,PPBBBP,3-1-3-1
BBPPPB,BBBPBBBP,PBPBPP,3-1-3-1
PBPBPP,BBBPBBBP,PBBPBB,3-1-3-1
PBBPBB,PPPBBBBB,BPBPPB,3-1-3-1
BPPBPP,BBBPPPPP,BPBPPP,3-1-3-1
BPBPBB,PPPBPPPB,PPBBPP,3-1-3-1
PPBBPP,BBBPBBBP,PBPPBP,3-1-3-1
BPBPBB,PPPBPPPB,PPBBPP,3-1-3-1
PPBBPP,BBBPBBBP,PBPPBP,3-1-3-1
BPBBPB,PPPBBBBB,BPPPBB,3-1-3-1
BBPBBB,PPPBPPPB,PBPPPP,3-1-3-1
BBPBBB,PPPBPPPB,PBPPPP,3-1-3-1
PBBPBB,BBBPBBBP,PBBPBP,3-1-3-1
BPPBBP,BBBPBBBP,BPPPPB,3-1-3-1
BBPBPB,BBBPBBBP,PBBBBP,3-1-3-1
PPBPBB,PPPBBBBB,PPPBPB,3-1-3-1
BPBPBP,PPPBBBBB,PPPPPB,3-1-3-1
BBBBBB,BBBPBBBP,BPBBPB,3-1-3-1
BPPPBP,PPPBBBBB,PPPPBB,3-1-3-1
BBBPPB,PPPBBBBB,BPBBPP,3-1-3-1
PPBPBP,PPPBBBBB,PPPPPB,3-1-3-1
PBPBPB,PPPBBBBB,BPPBBB,3-1-3-1
BBPPBP,PPPBBBBB,PBPBBP,3-1-3-1
PBPBPB,PPPBBBBB,BPPBBB,3-1-3-1
BBPPBP,PPPBBBBB,PBPBBP,3-1-3-1
BPPBBB,PPPBPPPB,PPPPPP,3-1-3-1
BPPPBB,PPPBPPPB,PBPPBB,3-1-3-1
PBPPPP,BBBPPPPP,BBPBPB,3-1-3-1
BBPPPB,BBBPBBBP,PPBBBP,3-1-3-1
PPPPBP,BBBPPPPP,PPPPBP,3-1-3-1
PPPPBP,BBBPPPPP,PPPPBP,3-1-3-1
PPBPPP,BBBPBBBP,PBPPPP,3-1-3-1
BPPBPB,BBBPPPPP,BPPBPP,3-1-3-1
PPPPPP,PPPBBBBB,PBBPPP,3-1-3-1
BPBPPB,PPPBPPPB,PBBBBB,3-1-3-1
PPBPBB,BBBPPPPP,PPPPPB,3-1-3-1
BPPBPB,BBBPBBBP,PBBPBB,3-1-3-1
PBBPPB,BBBPBBBP,PPPBPP,3-1-3-1
BPPBPP,BBBPPPPP,PPBPPB,3-1-3-1
PBPBBP,PPPBBBBB,BPPBBP,3-1-3-1
BPPPPP,BBBPBBBP,BBPPPP,3-1-3-1
PPBBBB,PPPBBBBB,PPBBPP,3-1-3-1
PPBBBB,PPPBBBBB,PPBBPP,3-1-3-1
BPPPPB,BBBPBBBP,PPBPPB,3-1-3-1
BPBPBB,PPPBBBBB,PBPBBP,3-1-3-1
PPBBBP,PPPBBBBB,BPPBBP,3-1-3-1
PPBBBP,PPPBBBBB,BPPBBP,3-1-3-1
BBBPPP,BBBPPPPP,BBBBBP,3-1-3-1
BPPBPB,BBBPBBBP,PPPPBP,3-1-3-1
PPBBPB,BBBPBBBP,BPBBBB,3-1-3-1
PBBPPP,BBBPBBBP,BBBBBB,3-1-3-1
PBPBBP,PPPBPPPB,BBPPBB,3-1-3-1
BPPBBB,BBBPPPPP,PPPBPB,3-1-3-1
BPBBBB,BBBPBBBP,BBBBBP,3-1-3-1
BBPPBB,BBBPBBBP,PBBPPB,3-1-3-1
PPBPBB,PPPBPPPB,PBBBBP,3-1-3-1
BPBPPP,BBBPBBBP,PPBBPB,3-1-3-1
BPBPPP,BBBPBBBP,PPBBPB,3-1-3-1
BBPPBP,PPPBBBBB,PPPPBP,3-1-3-1
BBPPBP,PPPBBBBB,PPPPBP,3-1-3-1
PPBBPB,PPPBPPPB,PPBPBB,3-1-3-1
BBPPBB,BBBPPPPP,PBBPPP,3-1-3-1
PPPPBB,PPPBPPPB,BBPPPB,3-1-3-1
BPPBPP,BBBPBBBP,PPBBPP,3-1-3-1
PPPBPB,PPPBBBBB,PBBBPB,3-1-3-1
PPPBBP,PPPBPPPB,BPBBPB,3-1-3-1
BBBPPB,BBBPBBBP,BPPBPP,3-1-3-1
PPPPPP,PPPBBBBB,PPPPPB,3-1-3-1
BPBBPB,PPPBPPPB,BPPBBP,3-1-3-1
BBPPPP,PPPBBBBB,BPPPBB,3-1-3-1
PPPPPP,BBBPPPPP,PBPBPP,3-1-3-1
BBPPBP,BBBPBBBP,PBPPBB,3-1-3-1
BPBBPP,PPPBPPPB,BBPPBP,3-1-3-1
BBBBPB,PPPBBBBB,BPBBBP,3-1-3-1
BBBBPB,PPPBBBBB,BPBBBP,3-1-3-1
BBBBPB,PPPBBBBB,BPBBBP,3-1-3-1
BPBBPP,BBBPBBBP,BBBBPP,3-1-3-1
PPPPBB,PPPBPPPB,BBPBPP,3-1-3-1
BBBBPB,PPPBBBBB,BBPBBB,3-1-3-1
BBPBPB,BBBPBBBP,PPBPPB,3-1-3-1
BPBBPB,PPPBPPPB,BBPBBB,3-1-3-1
BPBBPB,PPPBPPPB,BBPBBB,3-1-3-1
BPBBPB,PPPBBBBB,PPBPBB,3-1-3-1
BPBPBP,BBBPPPPP,PBBPPB,3-1-3-1
BBBBPB,BBBPBBBP,BBPBPB,3-1-3-1
PBBPBB,BBBPBBBP,PBBBPP,3-1-3-1
BBBPPB,PPPBPPPB,PBBBBP,3-1-3-1
PBBBPP,BBBPBBBP,PPBBBP,3-1-3-1
BPPPPP,BBBPBBBP,PBBBPP,3-1-3-1
PPPPPP,BBBPBBBP,BPBPPB,3-1-3-1
BBPBBB,BBBPPPPP,PPBPPP,3-1-3-1
PBBPBP,BBBPPPPP,PPPBBB,3-1-3-1
BPBBBP,PPPBPPPB,BBBPPB,3-1-3-1
BBBPBP,PPPBBBBB,BPBBPB,3-1-3-1
PPBBPB,BBBPPPPP,PBBPBB,3-1-3-1
BPPPPP,BBBPBBBP,BBBBBB,3-1-3-1
BBPBBB,BBBPBBBP,PBBBPB,3-1-3-1
PBPPBB,PPPBPPPB,PPBPBP,3-1-3-1
BPPBPP,BBBPBBBP,BBPPBP,3-1-3-1
BBBPPP,BBBPBBBP,PBPBPB,3-1-3-1
BPPBBP,BBBPBBBP,BPPBPB,3-1-3-1
PPPPBP,PPPBBBBB,PBBPPP,3-1-3-1
BPBPBP,PPPBBBBB,PBPBPP,3-1-3-1
BBPBBP,BBBPBBBP,PBPBBP,3-1-3-1
BPBPPP,BBBPPPPP,PBBBBB,3-1-3-1
BPBPPP,BBBPPPPP,PBBBBB,3-1-3-1
BPPBPP,PPPBBBBB,BPPBBB,3-1-3-1
BBPPBB,BBBPBBBP,PPPPPB,3-1-3-1
BPPPPP,BBBPBBBP,BBBPPP,3-1-3-1
PPPBPP,PPPBBBBB,PBBBPB,3-1-3-1
BPPBBP,PPPBBBBB,BBPBBP,3-1-3-1
PPPBPP,PPPBBBBB,PBBBPB,3-1-3-1
BPPBBP,PPPBBBBB,BBPBBP,3-1-3-1
BBPBBB,BBBPPPPP,BPBBBP,3-1-3-1
BBPBBB,BBBPPPPP,BPBBBP,3-1-3-1
PBPBBB,BBBPBBBP,PPPPPB,3-1-3-1
PBPBBB,BBBPBBBP,PPPPPB,3-1-3-1
PBPBBB,BBBPPPPP,PPBBBB,3-1-3-1
PBPBBB,BBBPBBBP,PPPPPB,3-1-3-1
PBBBBB,PPPBPPPB,PPPBBP,3-1-3-1
PBBBBB,PPPBPPPB,PPPBBP,3-1-3-1
PPPPBB,PPPBPPPB,BPBPBP,3-1-3-1
PPBBPB,PPPBBBBB,PPBBPB,3-1-3-1
BPPPBB,PPPBPPPB,PPBBPB,3-1-3-1
PBBPPB,BBBPPPPP,BPPBPB,3-1-3-1
PPBPPP,PPPBPPPB,BPPPBP,3-1-3-1
PPBBBP,PPPBPPPB,PPBBBB,3-1-3-1
PPBBBP,PPPBPPPB,PPBBBB,3-1-3-1
PPBBBP,PPPBPPPB,PPBBBB,3-1-3-1
PBBPBP,PPPBPPPB,PPPBPP,3-1-3-1
PBBPBP,PPPBPPPB,PPPBPP,3-1-3-1
BPBPPB,BBBPPPPP,PBPBBB,3-1-3-1
BPBBBP,PPPBBBBB,PBPPBB,3-1-3-1
BBPPPP,PPPBPPPB,PPPBPP,3-1-3-1
BPBPPP,BBBPPPPP,PBBPPB,3-1-3-1
BPPBBP,PPPBPPPB,BPPBBB,3-1-3-1
BPPBPP,BBBPPPPP,PBBPPB,3-1-3-1
BPPBPP,BBBPPPPP,PBBPPB,3-1-3-1
BBBPBP,PPPBPPPB,BBBPPP,3-1-3-1
PBBBBP,PPPBPPPB,PPPBPP,3-1-3-1
PBPBBB,BBBPBBBP,PBPPPP,3-1-3-1
PBBPBB,PPPBBBBB,BBPBBB,3-1-3-1
PBBBPB,BBBPBBBP,BBPPBP,3-1-3-1
PPPBBP,BBBPPPPP,PBBBPP,3-1-3-1
BPPPBP,BBBPPPPP,PBPBBP,3-1-3-1
PBBPPP,PPPBPPPB,PPBBBB,3-1-3-1
BBBBBB,PPPBPPPB,PPPBPP,3-1-3-1
PBPPBB,BBBPBBBP,PBPBPP,3-1-3-1
PPBBBB,PPPBPPPB,PPPBBP,3-1-3-1
PBBPBB,BBBPBBBP,BBPPBB,3-1-3-1
BPPBBB,BBBPBBBP,PPPBBP,3-1-3-1
PBBBPB,BBBPBBBP,PBBPBB,3-1-3-1
PBPBBB,BBBPPPPP,BBPBPP,3-1-3-1
BBPPBB,PPPBBBBB,BPBPBB,3-1-3-1
BBPPBB,PPPBBBBB,BPBPBB,3-1-3-1
BBPPBB,PPPBBBBB,BPBPBB,3-1-3-1
BPBBBB,BBBPBBBP,BBBBBP,3-1-3-1
BBPBPB,BBBPPPPP,PBPBPP,3-1-3-1
PPBPBB,BBBPBBBP,PBPPBB,3-1-3-1
PBPBBB,BBBPBBBP,BBBPBB,3-1-3-1
BBBPPP,BBBPPPPP,BBBBBP,3-1-3-1
PPPPBB,BBBPPPPP,PBBPPP,3-1-3-1
BBPPBP,BBBPPPPP,BPBBPB,3-1-3-1
PPPBBP,BBBPBBBP,BPPPPB,3-1-3-1
BBBPBP,PPPBPPPB,BPBPPP,3-1-3-1
BBPPBB,PPPBBBBB,BPPBPP,3-1-3-1
PPPBBP,BBBPBBBP,PBBPPP,3-1-3-1
BBPPBP,PPPBBBBB,PPBBPB,3-1-3-1
PPBPPB,BBBPPPPP,BPPPBP,3-1-3-1
BBPPBB,PPPBBBBB,PPBPPB,3-1-3-1
BPBBPP,PPPBBBBB,PPBPPP,3-1-3-1
BBPBPB,BBBPBBBP,BPBBBB,3-1-3-1
PBPBBP,PPPBPPPB,BBBPBP,3-1-3-1
BPPPBB,PPPBPPPB,BPBBPP,3-1-3-1
BBBBBP,PPPBPPPB,BPBPPB,3-1-3-1
BPPPBB,PPPBPPPB,BPBBPP,3-1-3-1
BBBBBP,PPPBPPPB,BPBPPB,3-1-3-1
BPBPBP,BBBPPPPP,PBBBPP,3-1-3-1
PBBPPB,PPPBPPPB,BPBPBB,3-1-3-1
PBBPPB,PPPBPPPB,BPBPBB,3-1-3-1
PBBPBB,BBBPPPPP,BBBBPB,3-1-3-1
PBBPBB,BBBPPPPP,BBBBPB,3-1-3-1
BBPBPP,PPPBPPPB,PBPPPP,3-1-3-1
PBBPPB,PPPBBBBB,PPBPBP,3-1-3-1
PBBPPB,PPPBBBBB,PPBPBP,3-1-3-1
BBBBPB,BBBPBBBP,PPPPPB,3-1-3-1
PBBBPB,PPPBBBBB,BPBBBB,3-1-3-1
PBBBPB,PPPBBBBB,BPBBBB,3-1-3-1
PPBPPP,PPPBPPPB,PPBBBP,3-1-3-1
PBPPPB,BBBPPPPP,PBBPPB,3-1-3-1
BBPBBP,BBBPBBBP,BPPPPP,3-1-3-1
BPBBPB,BBBPBBBP,PBBPBP,3-1-3-1
