before,wait_double,after,length,double_color
PBBPBB,BPBPBB,PBBPBP,6,B
BPBBPB,BPBPBB,BBPPBB,6,B
PPBBBP,BPBPBB,BBPBBP,6,B
BBPBBP,PBPBPP,BBPPPB,6,P
PPPPPB,BPBPBB,PPBBBB,6,B
PPPPPB,BPBPBB,PPBBBB,6,B
PBBPPP,PBPBPP,BBPBPB,6,P
PPBBPB,PBPBPP,BPPPPB,6,P
BPBBPP,PBPBPP,BPBBBB,6,P
PPPBPB,BPBPBB,BPPBPP,6,B
BBPBPP,PBPBPP,PBPBBB,6,P
PBBPBB,PBPBPP,BBBBPP,6,P
PBPPPP,PBPBPP,BBBPPB,6,P
BPPPBB,PBPBPP,BBPPBB,6,P
PPPPPB,BPBPBB,BBBPBB,6,B
BPPPBB,PBPBPP,BBPPBB,6,P
PPPPPB,BPBPBB,BBBPBB,6,B
BBBBBB,PBPBPP,PPPBPB,6,P
PBPPPP,PBPBPP,PBBPPB,6,P
PBPBPB,PBPBPP,BBBBBB,6,P
PBBBBB,BPBPBB,BPPPBP,6,B
BBPPPP,BPBPBB,BBBPPB,6,B
BBBPBP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBBBB,6,B
BBBBPP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,PPPBPP,6,B
PPBBPB,PBPBPP,PPBBPB,6,P
PPPPBB,PBPBPP,BPPBBB,6,P
BBBPBP,PBPBPP,PBPBBP,6,P
PPBPBP,BPBPBB,BPBBBB,6,B
PPBPBP,BPBPBB,BPBBBB,6,B
PBBPPB,BPBPBB,PBBBBB,6,B
BBPBPP,BPBPBB,PPPBPB,6,B
PPBBBP,BPBPBB,PPPPBP,6,B
BBBBBB,BPBPBB,BBBBPP,6,B
BBBBBB,BPBPBB,BBBBPP,6,B
PPPBBP,PBPBPP,BPPBPP,6,P
BBPPBB,PBPBPP,BBBBBP,6,P
BPBBPP,BPBPBB,BPPBPP,6,B
BBPBPP,PBPBPP,PBPBBB,6,P
BPBBBP,BPBPBB,PBBPBP,6,B
BPBBPB,BPBPBB,BPPBBB,6,B
BBPPBB,PBPBPP,BBBPBP,6,P
BBPBPP,BPBPBB,BPBBPB,6,B
PBBBPB,BPBPBB,PBBBBP,6,B
BBPPBB,PBPBPP,BBBPBP,6,P
BBPBPP,BPBPBB,BPBBPB,6,B
PBBBPB,BPBPBB,PBBBBP,6,B
BPBPPP,BPBPBB,PPPBPP,6,B
PBBBPP,BPBPBB,PPBPBP,6,B
BPBBPP,BPBPBB,BBPPBB,6,B
BPBBBP,PBPBPP,PPBPBB,6,P
PPBPBB,PBPBPP,PBBBBP,6,P
PBPBPB,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,PPBPPB,6,P
PPPBBP,PBPBPP,BBPBPP,6,P
BPPBBB,PBPBPP,PBPPPP,6,P
BBPPPP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BPPBBB,6,P
BPBBBP,PBPBPP,PPBPPB,6,P
BPPBPP,PBPBPP,BPBPBP,6,P
BBBPBP,PBPBPP,PBPPBP,6,P
PPPPBB,PBPBPP,PPBPBB,6,P
BBPPBP,BPBPBB,BBBBPB,6,B
BPBBBB,PBPBPP,PBBPBB,6,P
PBBPPP,PBPBPP,PBBPBB,6,P
PBBPPP,PBPBPP,PBBPBB,6,P
PPPBPP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BBPPPB,6,B
PBBBPP,BPBPBB,BBPPPP,6,B
PPPPBP,PBPBPP,BBPPBB,6,P
PPPPBP,PBPBPP,BBPPBB,6,P
BBBBBP,BPBPBB,PPPBBP,6,B
BBBPPB,BPBPBB,BBPBBP,6,B
BPBBPB,PBPBPP,PPPPPP,6,P
PPPPPP,BPBPBB,PBBPBP,6,B
PPPPBP,PBPBPP,PBPPPP,6,P
PPPPBP,PBPBPP,PBPPPP,6,P
BBBPBP,BPBPBB,PPPPBP,6,B
PBBBBB,BPBPBB,PPBBBP,6,B
BPPPBB,PBPBPP,BPBBPB,6,P
PBBBPB,PBPBPP,PBPPPB,6,P
PPPBBB,BPBPBB,PBPBPP,6,B
BBPPBB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BPPBPP,6,B
BBPBBP,PBPBPP,PPBPBB,6,P
BPBBPB,PBPBPP,BPPBPB,6,P
PBPPBP,PBPBPP,PPBBPP,6,P
BBPBBP,PBPBPP,PPBPBB,6,P
BPBBPB,PBPBPP,BPPBPB,6,P
PBPPBP,PBPBPP,PPBBPP,6,P
PPBBPP,PBPBPP,PPPPBP,6,P
PPBPBB,PBPBPP,PPBBBP,6,P
BPBPBP,BPBPBB,BPBPBP,6,B
BPPPBB,BPBPBB,BPBBBP,6,B
BPPPBB,BPBPBB,BPBBBP,6,B
PBBBBB,BPBPBB,PPBPBB,6,B
BPPBPB,BPBPBB,PBBPPB,6,B
PPBBBB,BPBPBB,PBBBPP,6,B
PPBBBB,BPBPBB,PBBBPP,6,B
PPBBBB,BPBPBB,PBBBPP,6,B
BBBBBP,PBPBPP,PPPBPP,6,P
BBPPPP,PBPBPP,BBPPPB,6,P
PPPBPB,PBPBPP,PPBPBB,6,P
PPPBPB,PBPBPP,PPBPBB,6,P
BPBPBB,BPBPBB,PBBBBB,6,B
PPBBPB,PBPBPP,BBPPPP,6,P
BPBPBB,BPBPBB,PBBBBB,6,B
PPBBPB,PBPBPP,BBPPPP,6,P
BPBPBB,BPBPBB,PBBBBB,6,B
PPBBPB,PBPBPP,BBPPPP,6,P
BPBBBP,PBPBPP,BPPPBB,6,P
BPBBBP,PBPBPP,BPPPBB,6,P
BPBBBP,PBPBPP,BPPPBB,6,P
BBPPPP,PBPBPP,BPPBBB,6,P
BBPBBB,BPBPBB,BPPBPB,6,B
BBPBBP,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,PBBBBB,6,P
BBPBBP,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,PBBBBB,6,P
BBBPBB,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBPPP,6,B
BBBPBB,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBPPP,6,B
BBBPBB,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBPPP,6,B
PBBBBP,PBPBPP,BBPPBP,6,P
PBBPPB,PBPBPP,BBBPBP,6,P
PBBBBP,PBPBPP,BBPPBP,6,P
PBBPPB,PBPBPP,BBBPBP,6,P
BPPPPB,PBPBPP,BBPBBB,6,P
BPPPPB,PBPBPP,BBPBBB,6,P
BPPPPB,PBPBPP,BBPBBB,6,P
BPPPPB,PBPBPP,BBPBBB,6,P
BPPBPP,BPBPBB,PBBPBB,6,B
BPBBPB,BPBPBB,PPPPPP,6,B
BBPPBB,BPBPBB,PBBPPP,6,B
BBPPBB,BPBPBB,PBBPPP,6,B
BBPPBB,BPBPBB,PBBPPP,6,B
BBBPBB,BPBPBB,BPPPBB,6,B
PPBPBP,BPBPBB,PBPPPP,6,B
PBPPBB,PBPBPP,BPPBBP,6,P
PPBPPP,BPBPBB,BBBBBB,6,B
PBBBBB,BPBPBB,BPPBBB,6,B
BBPPBB,PBPBPP,BBPBBB,6,P
BBPPBB,PBPBPP,BBPBBB,6,P
BBBPBP,BPBPBB,PPPPPB,6,B
BBBBPB,PBPBPP,PBBPPP,6,P
PBPBBP,BPBPBB,PBBBPP,6,B
PBPBBP,BPBPBB,PBBBPP,6,B
BBPPBB,PBPBPP,BPPBBP,6,P
PBPPBB,PBPBPP,BPBBBB,6,P
BPPPBB,PBPBPP,PBPPPP,6,P
BPBBPP,PBPBPP,PBBBBP,6,P
PPBPPB,PBPBPP,BPPPPP,6,P
BPBPPP,PBPBPP,BPPBBB,6,P
BPPPBB,BPBPBB,PBBBBB,6,B
BPBBBB,BPBPBB,BPBPPP,6,B
PBPPBB,PBPBPP,BBBBPB,6,P
PPPBBB,BPBPBB,BPBBPB,6,B
PBBBPB,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,BBBPPP,6,B
PPPBBB,BPBPBB,BPBBPB,6,B
PBBBPB,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,BBBPPP,6,B
BBBPBP,PBPBPP,BBBPBP,6,P
PBPPBB,BPBPBB,PPBBBP,6,B
PPPBPP,BPBPBB,PPPBPB,6,B
BBPPPB,PBPBPP,PBBPPB,6,P
PPBBBB,PBPBPP,BPBBPB,6,P
BPPPBP,PBPBPP,BBBBBB,6,P
PPPPPB,BPBPBB,PBPPPP,6,B
BPPPPB,BPBPBB,BBBPBP,6,B
BBBPBB,PBPBPP,BPBBBP,6,P
PBBBPB,PBPBPP,BPBBPP,6,P
PPBPPP,PBPBPP,BPPBBP,6,P
PBBBPB,PBPBPP,BPBBPP,6,P
PPBPPP,PBPBPP,BPPBBP,6,P
BPPBPB,BPBPBB,BBBBBB,6,B
PPBBBP,PBPBPP,PPBPPB,6,P
BBPBBB,PBPBPP,BBPBBP,6,P
BBPBBB,PBPBPP,BBPBBP,6,P
BBBBPP,PBPBPP,BBBBPP,6,P
BBBBPP,PBPBPP,BBBBPP,6,P
BPBPPB,BPBPBB,BPPPPP,6,B
PPPPBB,BPBPBB,PBPPPP,6,B
PPBBPP,BPBPBB,BPPPBP,6,B
BPPPBP,BPBPBB,BPBBBP,6,B
BBBPBB,BPBPBB,PBPPBB,6,B
BBPPBP,BPBPBB,BBBBBP,6,B
PBPBBB,BPBPBB,PPPPBP,6,B
PBPBBB,BPBPBB,PPPPBP,6,B
BPBPPB,BPBPBB,BBBBBP,6,B
BPBPPB,BPBPBB,BBBBBP,6,B
BPBBBP,PBPBPP,PPPPBP,6,P
BBPBPP,PBPBPP,BPPPPB,6,P
BPPBPB,BPBPBB,BBBPPP,6,B
PBBPBP,PBPBPP,PBPPBB,6,P
BPBBBP,BPBPBB,PPPBBP,6,B
PPBBPB,BPBPBB,BBBBBB,6,B
BPPBBP,PBPBPP,BPPBBP,6,P
BPPBBP,PBPBPP,BPPBBP,6,P
PBBPPB,PBPBPP,BBBPBB,6,P
BBPBBB,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PPBBPB,6,P
PPPPBB,PBPBPP,BBBBBP,6,P
BPPBBP,PBPBPP,BPPBBP,6,P
BPPBBP,PBPBPP,BPPBBP,6,P
PPBBPB,BPBPBB,BBBPPP,6,B
BPPPBB,PBPBPP,BBPBPP,6,P
PPBPBB,BPBPBB,BPBPPB,6,B
PPBPBP,BPBPBB,BPPPBB,6,B
PPPBBP,BPBPBB,PPPBPB,6,B
BBPPPB,PBPBPP,PBPBPB,6,P
PPBPBP,BPBPBB,BPPPBB,6,B
PPPBBP,BPBPBB,PPPBPB,6,B
BBPPPB,PBPBPP,PBPBPB,6,P
PPPPBB,BPBPBB,PPBPBB,6,B
PPPPBB,BPBPBB,PPBPBB,6,B
PPBPPB,PBPBPP,PPPBBP,6,P
PPBBPP,BPBPBB,PBPBBB,6,B
BBBPPP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PPBPPB,6,P
PPBPPB,PBPBPP,BBPBPB,6,P
PPBBBP,PBPBPP,BBBPBB,6,P
BPBBPP,PBPBPP,BBBPPB,6,P
BPBPPP,PBPBPP,PPBBPB,6,P
BPBPPP,PBPBPP,PPBBPB,6,P
PPBBPB,PBPBPP,BPPBPP,6,P
PPBBPB,PBPBPP,BPPBPP,6,P
PPBBPB,PBPBPP,BPPBPP,6,P
PPBBPB,PBPBPP,BPBBBB,6,P
PBPBBB,BPBPBB,BPPPPP,6,B
PPBBPB,PBPBPP,BPBBBB,6,P
PBPBBB,BPBPBB,BPPPPP,6,B
PBBPBP,PBPBPP,BPBBBP,6,P
BPPPBP,BPBPBB,PBBPBB,6,B
BPPPBP,BPBPBB,PBBPBB,6,B
PPBBPP,PBPBPP,BPPPBB,6,P
PBBBPB,PBPBPP,BBBPBB,6,P
BBPBBP,PBPBPP,PBPBBB,6,P
PBBPBB,BPBPBB,BPPPPP,6,B
PBBPBB,BPBPBB,BPPPPP,6,B
PBBBPP,PBPBPP,BPBPPB,6,P
PBBBPP,PBPBPP,BPBPPB,6,P
PBBBPB,PBPBPP,PBBBBB,6,P
PPBBBP,PBPBPP,PBPBBP,6,P
BPBBBB,BPBPBB,PPBBBB,6,B
BBPPPB,PBPBPP,BPBPPP,6,P
PPBPPP,PBPBPP,BBBPBB,6,P
PPBPPP,PBPBPP,BBBPBB,6,P
PBBPPP,BPBPBB,BBBBPP,6,B
PPPPBP,BPBPBB,PBBPBB,6,B
PPPBBB,PBPBPP,PPPBBP,6,P
PPPBBB,PBPBPP,PPPBBP,6,P
BBPPPP,PBPBPP,BBPBPP,6,P
BBPPPP,PBPBPP,BBPBPP,6,P
PPBBBB,BPBPBB,PPBPBP,6,B
BPBBPP,BPBPBB,PBPPBP,6,B
PBBBPP,PBPBPP,BBPBBB,6,P
BPBBBP,BPBPBB,PPPPBP,6,B
BBBPBP,PBPBPP,BBPPBB,6,P
BBBPBP,PBPBPP,BBPPBB,6,P
PPBBBB,PBPBPP,BPBBPP,6,P
PPBBBB,PBPBPP,BPBBPP,6,P
BPBBPB,PBPBPP,BPBPPB,6,P
BPBBPB,PBPBPP,BPBPPB,6,P
PPPPPB,PBPBPP,BBPPPB,6,P
PPPBBB,PBPBPP,BPPBBB,6,P
BPPBPB,BPBPBB,PBBPPB,6,B
PBPBPB,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BBBPPB,6,B
PPBPBB,BPBPBB,PPBPBB,6,B
PBBPPB,BPBPBB,BBPBPB,6,B
PBPBBB,BPBPBB,BPPPBP,6,B
PBPPPP,BPBPBB,PPBPPP,6,B
PPBPBB,BPBPBB,PPBPBB,6,B
PBBBBP,BPBPBB,PBPPPP,6,B
BBPPBB,PBPBPP,PBBPBB,6,P
PBPBPP,BPBPBB,PPBPPB,6,B
BBBPPB,BPBPBB,BPPPPP,6,B
BPPBPP,PBPBPP,BBBPBP,6,P
PPPPPP,PBPBPP,PBPBPP,6,P
BBBPPB,PBPBPP,BBPBBB,6,P
PBBPPB,PBPBPP,PBPBBB,6,P
BBPBBP,PBPBPP,BBPBBP,6,P
PPBBPB,BPBPBB,BPPBPB,6,B
BPBBBP,PBPBPP,BPPPBB,6,P
BBBBBP,PBPBPP,BBBBPP,6,P
BPBBBP,BPBPBB,PBPBBP,6,B
PPPBBB,BPBPBB,PPBPBB,6,B
PPPBBB,BPBPBB,PPBPBB,6,B
BBBPBB,PBPBPP,PPBPPB,6,P
PPBPPB,PBPBPP,BBPBPP,6,P
PBBBPP,PBPBPP,BBBPPP,6,P
BBBPPP,BPBPBB,PBBBPP,6,B
BPPBBP,BPBPBB,PPPPPP,6,B
PBBPBB,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BBBBPB,6,B
BBPPPB,PBPBPP,PPPPPB,6,P
BBPBBP,PBPBPP,BBPBPB,6,P
PBBPBB,PBPBPP,BBBBBB,6,P
PBBBPB,PBPBPP,BBBPPP,6,P
BBPBBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BPBBBB,6,P
PBPBBB,BPBPBB,PBBBBP,6,B
PBPPPB,PBPBPP,BPBBPP,6,P
BBBBBP,BPBPBB,BBBBPB,6,B
PBPPPP,PBPBPP,PBBPPB,6,P
PBBPPB,PBPBPP,BPPBBB,6,P
PBPBPP,BPBPBB,BBPPPP,6,B
BBPPBB,PBPBPP,PBBBPP,6,P
PPBPBB,PBPBPP,PBBPBP,6,P
PPPBPB,BPBPBB,BBBPPB,6,B
PBPBBP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PBPPBB,6,B
PPPBPB,BPBPBB,BBBPPB,6,B
PBPBBP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PBPPBB,6,B
PBBBBB,BPBPBB,PPBBPB,6,B
PBBBBB,BPBPBB,PPBBPB,6,B
PBBBBB,BPBPBB,PPBBPB,6,B
BBPPBP,BPBPBB,PBBBPP,6,B
PPBPBP,BPBPBB,PPPBPP,6,B
BBBPPP,BPBPBB,PPPBPB,6,B
BBPBBB,BPBPBB,BBBPPB,6,B
BBBBBP,PBPBPP,BBPBPP,6,P
BBBBBP,BPBPBB,PPBBBB,6,B
PBBPBB,PBPBPP,BBBPPP,6,P
BBBBPB,PBPBPP,PBBBBP,6,P
BPPPPP,PBPBPP,PPPPPP,6,P
BBBPBP,PBPBPP,BBBBBB,6,P
BPBPBP,BPBPBB,BPBBPB,6,B
PBBBPB,BPBPBB,PBBBBB,6,B
BPPBPB,PBPBPP,PBPBPB,6,P
BPBBPB,PBPBPP,BPPPBB,6,P
PPBBPP,BPBPBB,PPBPPB,6,B
PBPPPB,BPBPBB,BBBPBP,6,B
PBBBBB,PBPBPP,PBPBBB,6,P
BPPBBB,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,BPBBPP,6,B
PPPBPP,BPBPBB,BPPPPB,6,B
BPBBPP,PBPBPP,PBBBPP,6,P
BBBBBB,PBPBPP,BBPPPP,6,P
BBPPPP,PBPBPP,PBBPPP,6,P
PPPPPB,BPBPBB,PBBBBB,6,B
BPBBBB,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PPPBBP,6,B
BBPBBB,PBPBPP,BBBBBB,6,P
BPPPPB,PBPBPP,BPBPPP,6,P
BPBBBP,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,BBBPPP,6,P
BPBPBB,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,BPPBBP,6,P
BBBBPB,BPBPBB,BPPPPB,6,B
BBBBPB,BPBPBB,BPPPBB,6,B
PBBPPB,PBPBPP,BPPBBP,6,P
BPPPBB,PBPBPP,BBBBBP,6,P
BBBBBB,PBPBPP,PPBPPB,6,P
BPBBBB,BPBPBB,BBBBBB,6,B
PPPPBP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BBBBPP,6,B
BBBPPP,PBPBPP,BBBBBB,6,P
BBPPBP,BPBPBB,BBBBPP,6,B
BPPBBP,BPBPBB,PPPBPP,6,B
BBPPBB,PBPBPP,PBPPPB,6,P
BBPPBB,PBPBPP,PBPPPB,6,P
PBBPBP,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,BBBBPB,6,B
BBBPPP,BPBPBB,PBBBBB,6,B
PBPBPB,PBPBPP,BBBBPP,6,P
BBBPPP,BPBPBB,PBBBPP,6,B
PPPPPB,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,BBPPBB,6,P
BBBBBP,BPBPBB,BPBPPB,6,B
PPBPPB,BPBPBB,PBPBBB,6,B
BPBBBP,BPBPBB,BPBPPP,6,B
BBBBBP,BPBPBB,BPBPPB,6,B
PBPBBB,BPBPBB,BPBBBB,6,B
PBBBPP,BPBPBB,BBPBBB,6,B
BBPBBB,BPBPBB,BBPBBP,6,B
BBPBBB,BPBPBB,PBPPBP,6,B
PBBBPP,BPBPBB,PPBBPP,6,B
BBBBPB,PBPBPP,BBBBBP,6,P
BBPBBB,PBPBPP,PBPPPP,6,P
BPPPPB,BPBPBB,BBPBPP,6,B
BPPBBP,PBPBPP,PPBBBP,6,P
BPPBBP,PBPBPP,PPBBBP,6,P
BPBBBB,BPBPBB,PBBBBP,6,B
BPBBBB,BPBPBB,PBBBBP,6,B
PPPBPP,BPBPBB,PPBBBP,6,B
PPPBBP,BPBPBB,BBPBBB,6,B
BBBBBP,PBPBPP,PPPBBB,6,P
BBBPBB,PBPBPP,BPPPPP,6,P
BBBBBB,PBPBPP,PPPBBB,6,P
BBPPBP,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,BBBPBP,6,B
BBPPBP,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,BBBPBP,6,B
PBBPPP,PBPBPP,PBBPPB,6,P
BBPPPP,BPBPBB,BBBPBP,6,B
BPBPBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PPBBBB,6,P
BBPPPP,BPBPBB,BBBPBP,6,B
BPBPBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PPBBBB,6,P
BBPPPP,BPBPBB,BBBPBP,6,B
BPBPBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PPBBBB,6,P
PPPPPB,PBPBPP,BBBBPP,6,P
PPPPPB,PBPBPP,BBBBPP,6,P
PPPPPB,PBPBPP,BBBBPP,6,P
BPBBBB,PBPBPP,BPPPBP,6,P
BBBPBB,PBPBPP,BBPPBB,6,P
BBPPPP,BPBPBB,PPPPBP,6,B
BBPPPP,BPBPBB,PPPPBP,6,B
BPBPPP,BPBPBB,BBPPPP,6,B
BBPPBB,BPBPBB,PBBBPP,6,B
BBBPPB,BPBPBB,PBPPBP,6,B
BBBPPB,BPBPBB,PBPPBP,6,B
BBBPPB,BPBPBB,PBPPBP,6,B
BPBBPB,BPBPBB,BBBPPB,6,B
BPBBPB,BPBPBB,BBBPPB,6,B
PBBBPP,BPBPBB,BPPPBB,6,B
PBBBPP,BPBPBB,BPPPBB,6,B
PBBBPP,BPBPBB,BPPPBB,6,B
BPBBBB,BPBPBB,BPBPPP,6,B
PBPPPP,BPBPBB,PPBBPB,6,B
BBPPBB,PBPBPP,BBBPPP,6,P
BPBBBB,BPBPBB,BPBPPP,6,B
PBPPPP,BPBPBB,PPBBPB,6,B
BBPPBB,PBPBPP,BBBPPP,6,P
BBBBBP,BPBPBB,PPPBPB,6,B
BBBBBP,BPBPBB,PPPBPB,6,B
BBPPBP,PBPBPP,BBPPPP,6,P
BPBPPB,BPBPBB,BBPPBP,6,B
PPBBBP,BPBPBB,BBBPBP,6,B
PBBPBP,PBPBPP,PBPPPP,6,P
BBPBPB,PBPBPP,PBBBPB,6,P
PPBBBP,BPBPBB,BBPBBB,6,B
PPBPBP,BPBPBB,BPBPPP,6,B
PBBPPP,PBPBPP,PBPPPP,6,P
PPPPPP,PBPBPP,PPPPPP,6,P
PPPPPB,BPBPBB,BPPPPB,6,B
PPPPPB,BPBPBB,BPPPPB,6,B
BBBPBP,PBPBPP,PBPPBP,6,P
BPPPBP,PBPBPP,BBPPPP,6,P
BPBPBP,BPBPBB,PBBPBB,6,B
PBBPPB,PBPBPP,PPBBPB,6,P
PPPBBP,BPBPBB,BPBBBB,6,B
PBBPPB,PBPBPP,PPBBPB,6,P
PPPBBP,BPBPBB,BPBBBB,6,B
PBBBBB,BPBPBB,PPPBBB,6,B
BBPPBB,PBPBPP,BPPBPP,6,P
PPPBBP,BPBPBB,BPPPBB,6,B
BBPBBB,PBPBPP,PPPPPP,6,P
BPPBPP,BPBPBB,BBBPPP,6,B
BPPPPB,PBPBPP,PBBBBB,6,P
PBPBBP,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,PBBBBP,6,B
BPPPBB,BPBPBB,PBPPPB,6,B
PPBBPP,BPBPBB,BBPPPP,6,B
BPPPBB,PBPBPP,BPPBPB,6,P
BPPPBB,PBPBPP,BPPBPB,6,P
PPBPPP,PBPBPP,PBPPPP,6,P
PPBBPP,BPBPBB,BBPBPP,6,B
PBBPPP,PBPBPP,BPPBPB,6,P
BBBBPP,BPBPBB,BBPPBB,6,B
BBBBPP,BPBPBB,BBPPBB,6,B
PBBPBP,BPBPBB,BBPBBB,6,B
BBBPPP,PBPBPP,PBBBBB,6,P
BBBBBB,BPBPBB,PPBBPP,6,B
BPPPBP,PBPBPP,PPBBPB,6,P
BBPPPP,PBPBPP,PPBBBP,6,P
PPPPBB,BPBPBB,PBBBBP,6,B
PPBPPB,BPBPBB,BBBPBB,6,B
PPBPPB,BPBPBB,BBBPBB,6,B
PPBPPB,BPBPBB,BBBPBB,6,B
BPBBPB,BPBPBB,BPPBPB,6,B
BBBPPB,BPBPBB,PBBBBP,6,B
PPPPBB,PBPBPP,BPPBPP,6,P
PPPBPB,PBPBPP,BBBBBP,6,P
PPPBPB,PBPBPP,BBBBBP,6,P
PPPBBP,PBPBPP,PBPBBP,6,P
PPPBBP,PBPBPP,PBPBBP,6,P
PPPPPP,PBPBPP,PBBBPB,6,P
PBPPPP,BPBPBB,PBBBBB,6,B
BPBBBB,PBPBPP,PBBBBB,6,P
PBBBPP,BPBPBB,PPBBBP,6,B
PPBBBP,PBPBPP,PBBBPP,6,P
PBBPPP,PBPBPP,PPPPPB,6,P
PPBPBB,PBPBPP,BBBPPP,6,P
PPBPBB,PBPBPP,BBBPPP,6,P
BPPPBB,PBPBPP,BBBPPB,6,P
BPPPPP,BPBPBB,BBBPBB,6,B
BPPPBP,BPBPBB,BBPPPB,6,B
BBBPBB,BPBPBB,PBBPPP,6,B
BBPPPB,PBPBPP,BPPBBB,6,P
PPBBBP,PBPBPP,BPBBBB,6,P
PPPPBB,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,BPBPPB,6,P
PPBBPB,BPBPBB,BPBBBP,6,B
BPPBBP,PBPBPP,BBPBBP,6,P
PPBBBB,BPBPBB,PPPPBP,6,B
PPPPBP,BPBPBB,BBBPPP,6,B
BBBPPP,PBPBPP,PBPBPB,6,P
PBBPPB,BPBPBB,PPBBPP,6,B
BBPPPP,PBPBPP,BBPPBP,6,P
PBBPPB,PBPBPP,BPBBBP,6,P
BBPPPP,PBPBPP,BBPPBP,6,P
PBBPPB,PBPBPP,BPBBBP,6,P
BBPBBB,BPBPBB,BBBBPB,6,B
BPPBPB,BPBPBB,PBBBPP,6,B
BBBBBP,PBPBPP,PBPPBB,6,P
PBBBBP,PBPBPP,PBBPBB,6,P
BPBBBP,PBPBPP,PPPBBB,6,P
PBBBPP,PBPBPP,BBBBBB,6,P
BPBPPB,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BBBBBP,6,P
BPPPPB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,PBBBPB,6,B
PBBPBB,BPBPBB,BBPPBB,6,B
BPPPPB,BPBPBB,BBPPBP,6,B
BPBBBB,BPBPBB,BPPPBB,6,B
BPPPBB,BPBPBB,PBBBPB,6,B
BPPPBB,BPBPBB,PBBBPB,6,B
BPPBPB,PBPBPP,PBBBBB,6,P
PBPPBP,BPBPBB,BBBPPP,6,B
BBPBPP,BPBPBB,BPBBBB,6,B
BBPBPP,BPBPBB,PPPPBB,6,B
BBBPBP,BPBPBB,BBPPPP,6,B
PPPBPP,BPBPBB,BBBBBP,6,B
PPBPBB,BPBPBB,PPPPBB,6,B
PBPBBB,BPBPBB,BBBBBB,6,B
BPBBBB,PBPBPP,PBPPPB,6,P
BBBPBB,BPBPBB,BBBPPB,6,B
BPPBBP,BPBPBB,BPPPPB,6,B
BBPPPP,BPBPBB,BBBPPP,6,B
BBPPPP,BPBPBB,BBPBBB,6,B
PPBPBB,PBPBPP,BPPPPP,6,P
BPBBPP,BPBPBB,BBPPPP,6,B
PPPPBB,BPBPBB,BPBBBP,6,B
BPBBPP,BPBPBB,BBPPPP,6,B
PPPPBB,BPBPBB,BPBBBP,6,B
PBBPBP,BPBPBB,BPPPPP,6,B
PBBPBP,BPBPBB,BPPPPP,6,B
BPPBPP,PBPBPP,PPPBBP,6,P
BPPBPP,PBPBPP,PPPBBP,6,P
BBPPPP,BPBPBB,BBPBBP,6,B
PBBBPP,BPBPBB,PPPPPB,6,B
PPBBPB,BPBPBB,BPBPPP,6,B
BBBBPB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,PBPBBB,6,B
BPBBBB,BPBPBB,PPBPPB,6,B
PPBBPB,BPBPBB,BPBPPP,6,B
BPBPPP,PBPBPP,PBPPPP,6,P
BBPPBB,BPBPBB,BBPPPP,6,B
