ก่อนเกิด,ช่วงเกิด,หลังเกิด
TTB,TTPPPBBPPP,BBT
TTT,PPBBBTTPPP,BTB
TTT,BBTTTPPBBB,PPP
PBB,PPBBBPPBBB,PPT
,PPPTTBBBTT,BTT
PPP,BBBPPBBBTT,PTP
PPB,TTTPPBBBPP,BPB
TTP,BBBTTPPPBB,PBT
BTB,TTBBBTTPPP,T
PTP,BBBTTBBBPP,BBP
TBP,TTTPPTTTPP,BPP
TBT,BBBPPTTTBB,PPP
BPB,TTTBBPPPBB,PTP
BTB,TTTPPTTTPP,BTT
,BBTTTBBPPP,TPB
BTB,TTTBBPPPTT,BPT
TTT,BBBPPBBBTT,PBT
PBP,TTBBBPPTTT,BPP
TTP,BBPPPTTPPP,BBB
TBP,TTPPPBBTTT,BBT
PPT,BBPPPBBTTT,BPB
PBP,BBBTTPPPTT,PTB
BTT,PPBBBPPTTT,PBB
PBP,BBTTTBBTTT,PBP
PPP,BBBPPTTTBB,TPP
BTT,PPTTTBBPPP,TTT
PTB,TTBBBTTPPP,TBP
BTT,PPBBBPPBBB,PBB
TTB,PPPTTPPPBB,P
BTP,BBBTTBBBPP,BTT
BTB,TTPPPBBTTT,PPB
PBB,PPTTTBBPPP,BPP
PTP,BBTTTBBTTT,BBT
PTT,BBPPPBBPPP,TTB
TPT,PPTTTBBTTT,BBP
TPP,BBTTTPPBBB,TTB
BBT,BBTTTBBPPP,TBP
PBB,TTBBBPPBBB,PBP
,BBBTTBBBTT,BTT
BTP,TTPPPTTPPP,BTB
PTT,BBPPPBBTTT,BBB
BPB,TTTPPBBBPP,BBB
TTP,BBPPPTTBBB,PPP
BBP,TTPPPBBPPP,BPB
TPB,TTTPPTTTBB,PBB
PTT,PPBBBTTPPP,BBP
PTP,BBTTTPPBBB,T
B,PPTTTBBPPP,BBP
TBP,TTPPPBBTTT,PBP
BBP,BBPPPTTPPP,BBT
TTP,BBTTTBBPPP,TBT
BTB,TTTBBTTTPP,BPT
BPT,PPTTTPPTTT,BTP
TTT,BBBPPTTTBB,PPT
TBT,PPPTTPPPTT,PBP
PBT,PPTTTPPBBB,TPT
TPB,TTPPPTTPPP,BTB
PTB,PPPTTBBBTT,PBT
TPB,PPTTTBBPPP,TTT
TTB,TTTBBPPPTT,BTB
PTP,TTPPPTTPPP,TTP
BBB,PPPBBTTTPP,BTT
BBP,TTTBBPPPBB,TPT
BBP,BBBTTPPPTT,PPT
TTB,PPTTTBBPPP,BTP
PTT,BBPPPTTPPP,BBB
BPB,PPPBBTTTPP,TTP
PTP,BBTTTBBPPP,TTP
PPT,PPBBBTTPPP,TPB
TPB,PPPBBTTTPP,BTP
PBB,TTBBBTTBBB,PPP
TTT,PPBBBTTBBB,TPP
PBT,BBTTTBBTTT,BTT
TPB,TTBBBPPBBB,TTT
PTB,TTTPPTTTPP,TBT
PPB,TTTBBPPPTT,BTP
BPT,BBTTTPPBBB,PPB
TTT,BBBTTPPPBB,TTP
TPB,TTTPPBBBTT,PPT
BBT,BBBTTPPPTT,BTB
BPB,PPPBBTTTPP,TBT
PPT,BBTTTBBPPP,BTP
PBT,BBBTTPPPTT,BTP
PTP,BBTTTPPBBB,TBB
BTP,BBPPPTTPPP,BPT
,PPPBBTTTBB,TBT
TTB,PPBBBPPBBB,TTP
TBT,PPBBBTTPPP,BTP
BTB,TTTBBTTTBB,TTB
BBP,TTBBBTTBBB,TBT
TBP,TTPPPBBTTT,PTB
PPB,TTTBBTTTBB,PPP
BTB,PPPTTBBBTT,BPB
TTB,PPBBBTTBBB,TTP
TBP,TTPPPTTPPP,TPB
TBB,TTPPPBBTTT,PBB
TBT,PPBBBPPBBB,TPT
,BBBTTPPPBB,TBT
TBB,TTBBBPPBBB,PTT
PBP,TTBBBTTBBB,TPB
P,BBPPPTTPPP,BPP
TBT,BBBTTPPPTT,PPT
TPP,TTPPPBBPPP,TBP
PBP,BBBPPTTTPP,BBP
BTB,PPBBBPPTTT,PPB
BBT,PPPTTBBBTT,BTP
TPT,PPBBBPPBBB,TTP
TPT,PPPTTBBBPP,BPB
BTB,PPBBBTTBBB,TTB
TBT,PPTTTPPTTT,PTB
BBT,PPTTTBBTTT,BBP
TPP,BBTTTPPBBB,
BPP,BBPPPBBTTT,BBB
BBP,TTBBBTTPPP,BBT
TPB,TTPPPTTBBB,TTP
BBP,BBBPPBBBPP,BTB
PTB,TTTBBTTTPP,TBT
BBT,PPPBBPPPTT,BPT
BTT,BBTTTPPTTT,PBB
TBT,PPPBBPPPBB,TPT
BPT,PPTTTBBTTT,BTT
BPT,BBBTTBBBPP,TTB
TBP,TTTPPTTTBB,
PTB,TTPPPBBTTT,BTT
TBP,BBTTTBBTTT,PPB
PPP,TTTPPBBBPP,T
TBB,TTBBBTTBBB,TBP
BPT,PPBBBTTBBB,
TTT,BBTTTPPBBB,PTP
,PPTTTPPTTT,PTP
PPT,PPBBBTTPPP,TPT
BBT,BBBTTPPPTT,PBB
TTP,BBBTTPPPTT,PPB
PBT,PPBBBPPBBB,PPB
BTP,BBBTTBBBPP,TTP
PBB,TTBBBPPTTT,BPP
TBP,BBPPPBBTTT,BTT
PTP,TTTBBPPPTT,BPB
,BBPPPBBTTT,BPT
TBP,BBPPPTTPPP,TPB
BTP,BBBTTPPPTT,BBT
PPT,BBBPPBBBPP,BBP
TBB,TTPPPTTBBB,PBP
TPP,BBTTTBBPPP,TTP
BPT,PPPTTBBBPP,TBB
TTT,PPPTTBBBTT,BBT
PTP,BBPPPTTBBB,TTB
BPT,PPPBBPPPTT,BTT
TBP,TTBBBPPTTT,BTB
PPB,PPPBBPPPTT,PBB
PPB,PPPTTBBBTT,PTB
PTT,BBPPPBBPPP,BPT
BPT,PPTTTBBPPP,BBT
,BBBTTBBBTT,PBB
TTP,BBTTTPPBBB,PTB
TPT,PPPBBPPPBB,TPP
TPB,PPPBBTTTPP,BTB
TPT,PPPBBPPPTT,PPP
BPT,BBTTTBBTTT,PTB
P,BBBTTBBBPP,TTT
BBP,TTPPPTTPPP,BBT
PTT,BBPPPTTPPP,BBP
TBP,BBPPPBBPPP,TPP
PBT,BBBTTPPPTT,PTP
BBT,PPTTTPPBBB,PTT
BPP,BBTTTPPBBB,TPT
BP,TTPPPBBPPP,TTP
TTT,PPPTTPPPBB,TTB
BTP,TTPPPBBPPP,TTB
PBP,TTTBBPPPBB,PPT
TTP,BBBPPTTTPP,TBB
TBP,BBBTTBBBPP,
BPT,BBBTTPPPTT,BTP
BBP,TTBBBTTBBB,TPP
PPB,TTTPPTTTBB,PP
TBP,TTTPPTTTBB,TBP
BPT,BBBTTBBBTT,BBP
TPP,BBTTTPPBBB,TPP
PTB,PPPTTPPPTT,BPT
PBB,PPBBBPPBBB,TPP
BTB,TTPPPBBTTT,PTT
TBB,PPTTTBBTTT,PTP
TB,TTTBBPPPTT,PPP
PTP,BBBPPBBBTT,BPP
TTT,BBBPPBBBPP,BTT
BPB,TTTPPBBBTT,BTP
PTT,BBPPPTTBBB,TPB
PBB,TTPPPTTBBB,PPP
PTT,BBPPPTTPPP,TBB
TBT,PPPBBTTTBB,PBB
TB,TTBBBPPBBB,TPP
TTP,BBPPPTTPPP,BTP
TTP,TTTBBTTTPP,BPT
BBB,PPPBBPPPTT,PBB
PPT,BBTTTBBPPP,TTP
BPT,BBBPPTTTPP,TBB
TPT,PPTTTPPBBB,PTP
PBP,TTTPPBBBTT,BPT
PBB,TTPPPTTPPP,TPB
BTT,BBPPPTTPPP,TTP
PTT,BBPPPTTPPP,TTT
TBP,BBTTTPPTTT,PPB
BPP,TTPPPTTPPP,BBT
PBB,TTPPPTTBBB,PTP
TBT,BBTTTBBTTT,PTB
TBT,BBPPPBBTTT,PPP
TTP,BBBPPBBBPP,BPT
PBT,BBBPPBBBPP,TPP
TBB,PPBBBPPTTT,BTP
PBP,TTTBBTTTPP,BPT
BBP,TTPPPTTPPP,BPT
PPT,BBBPPTTTBB,TPB
PTB,PPBBBTTBBB,PPB
BTP,TTTPPBBBTT,PPT
BBT,BBPPPTTPPP,BTP
TPT,PPPBBTTTBB,PBP
PBB,TTBBBPPBBB,TPP
PPB,TTTBBTTTBB,PTT
TTB,TTTPPBBBPP,BTP
BPP,BBTTTBBTTT,PTT
TPT,BBBTTPPPTT,PPB
TBT,PPPBBPPPTT,
PBP,TTBBBPPBBB,TPP
BPT,PPPTTPPPBB,TBP
TBT,BBBPPTTTPP,TBP
PPT,BBTTTPPTTT,PPT
TBB,TTPPPTTBBB,TTP
,TTPPPTTPPP,TPT
BTB,PPPTTBBBTT,PPP
TTB,PPPTTBBBTT,
PTT,BBPPPBBPPP,BBB
TTP,TTPPPTTPPP,BPB
PTP,TTPPPBBPPP,BBP
TTT,PPPTTPPPBB,PPT
PTP,TTPPPTTBBB,
BTT,PPBBBPPBBB,PPP
TBB,PPBBBTTPPP,BBT
PTB,PPPTTBBBPP,TTP
BBT,PPBBBPPBBB,TBB
BBP,TTTPPTTTBB,PBT
BPT,PPBBBPPTTT,BBT
BBT,BBPPPTTBBB,PTP
BPP,BBPPPTTBBB,TBB
BPT,BBTTTPPBBB,PTB
BPB,PPBBBPPBBB,PPT
PBP,TTPPPBBPPP,
TBP,TTTPPTTTBB,PPB
TPB,TTPPPBBPPP,B
PPT,PPBBBTTPPP,BPT
BTP,BBPPPBBTTT,PTB
BPP,BBTTTBBTTT,PBB
PBP,BBPPPBBPPP,BPB
BBP,BBPPPTTPPP,BTT
TBB,TTBBBTTBBB,PPB
TBT,PPPBBTTTBB,PBP
PTP,TTTBBPPPTT,BTB
PTB,TTBBBPPTTT,BPT
BPT,PPPTTBBBTT,BBT
PTT,BBPPPTTPPP,TTP
BPB,TTBBBTTPPP,BPP
BTP,TTBBBTTBBB,PTT
PTB,TTBBBTTBBB,TBP
TPB,TTPPPTTBBB,PTB
PTP,TTTPPTTTPP,TTB
BBB,TTBBBPPBBB,PPP
TPT,BBPPPTTBBB,TBT
PTP,TTTBBTTTPP,
TTB,TTPPPBBPPP,BTB
PTB,TTBBBTTBBB,TTP
BBT,BBPPPBBTTT,
BTT,PPTTTBBTTT,BPB
BBP,BBBPPBBBTT,PPP
PBB,PPBBBPPTTT,
BBT,BBBTTPPPTT,PTB
PT,PPPTTBBBTT,BPT
BPT,BBTTTBBPPP,TPT
TTP,BBTTTPPTTT,BPB
BBB,TTTPPBBBPP,BTP
BPP,BBPPPBBPPP,TPT
PBB,PPTTTPPBBB,TTB
B,TTBBBTTPPP,BTB
TPB,PPTTTPPBBB,PBT
PTB,PPPBBPPPBB,PB
PBT,BBTTTPPBBB,TTB
PBP,BBBPPTTTBB,PPP
PTB,PPPBBPPPBB,PPB
BBB,TTPPPTTBBB,PTT
BPB,PPTTTBBTTT,PPP
PBT,BBBTTBBBPP,BTB
BPT,BBBTTBBBTT,BPT
T,BBBPPTTTBB,PTP
TTB,TTPPPBBTTT,PTT
TPT,BBBPPBBBPP,BBP
BBP,BBPPPTTPPP,BBP
BPT,PPPTTBBBTT,PTP
PTP,BBBTTBBBPP,TTB
BPB,TTPPPBBTTT,PTB
TTB,TTBBBTTPPP,TPT
TPT,BBPPPBBPPP,TTP
BBT,BBTTTPPBBB,TTB
TPT,PPPBBPPPTT,BBB
BTP,TTBBBTTBBB,TPB
BPP,TTPPPBBTTT,BBT
PTB,PPPBBPPPBB,TBP
PBT,PPPBBPPPBB,T
TBB,TTBBBPPTTT,PTB
PBB,PPBBBTTBBB,
BBB,TTPPPTTBBB,TTT
P,TTTBBTTTBB,PTP
PTT,PPBBBTTPPP,TPP
BTB,TTPPPBBPPP,TTT
BTB,PPPTTBBBPP,BPP
TTT,PPPBBPPPBB,TPT
TBP,TTTBBTTTPP,TPP
PBP,TTPPPBBPPP,TBB
PBP,BBPPPBBTTT,BBB
BBB,PPPTTBBBTT,BPP
PTB,TTTPPBBBPP,TTP
B,PPTTTBBTTT,PBP
BBB,TTTPPTTTPP,BTB
PBT,BBPPPTTPPP,BBB
BTT,PPBBBTTBBB,PBT
TPB,PPPTTBBBTT,PTP
TTB,PPPBBPPPTT,PPP
TTP,TTTBBPPPBB,TPP
BTB,PPPTTPPPTT,PPB
BTT,BBTTTPPBBB,TBT
PTP,BBBTTPPPBB,PBT
BPP,BBPPPTTBBB,PTP
BBT,PPPTTPPPBB,PBP
PTP,BBPPPBBTTT,BTB
BPT,PPBBBPPBBB,TTP
PTP,TTBBBPPTTT,PPT
PTB,PPPBBTTTBB,PTB
PTP,TTTBBPPPTT,PTB
BTP,BBTTTBBTTT,BPP
BPT,BBBTTBBBPP,BTT
PBT,BBTTTPPTTT,PPB
,TTTPPTTTBB,TPP
PPT,BBBPPBBBTT,BBP
TTB,PPPTTPPPTT,BTP
PPP,BBBTTPPPTT,BTB
PBB,PPTTTPPBBB,PPB
PPT,PPPBBPPPTT,BP
TTB,PPTTTBBTTT,
BBT,PPPBBTTTPP,BPB
PBB,PPTTTBBTTT,PTP
PBB,PPBBBTTPPP,TPB
TBP,TTTPPBBBTT,BBB
TTP,BBBTTBBBTT,BBP
,TTTBBTTTPP,BPT
BPB,PPPTTPPPBB,TPP
TBP,BBPPPTTBBB,TTB
PPT,BBBTTPPPTT,BTP
PPT,BBBPPBBBTT,PPT
BPP,BBPPPBBPPP,BPP
PTB,TTTPPBBBPP,BBP
BTB,TTPPPTTBBB,TBB
TTB,TTBBBPPBBB,TTP
BPP,TTPPPBBPPP,TBB
PPT,BBBPPTTTPP,BPB
PTB,TTTBBTTTBB,PTB
BPT,PPPBBPPPBB,TPB
BPB,TTTPPBBBTT,BTT
PTP,TTPPPBBTTT,BTB
TTB,TTTBBTTTPP,BTB
PBT,PPPBBPPPBB,PPB
BP,TTBBBPPBBB,PPB
TBB,TTBBBPPBBB,PBT
,PPPTTPPPBB,TTB
PTT,BBTTTBBPPP,TTP
TBP,TTTBBTTTPP,TBT
PBP,TTBBBPPBBB,PTT
TPT,BBTTTBBTTT,PBB
BPP,BBTTTPPTTT,PPT
TPP,BBPPPTTBBB,TTB
PTB,PPTTTPPTTT,BPB
BBP,BBPPPBBTTT,PPT
TBP,TTTBBTTTBB,TBP
BBB,PPPTTBBBTT,PBP
TTB,TTTPPBBBTT,PBT
TTB,PPTTTPPTTT,PTP
TBT,PPBBBTTBBB,PBP
TPB,PPBBBTTBBB,PTT
PPP,TTTPPBBBTT,PPT
PBT,PPPTTBBBPP,BPP
TBP,TTTBBTTTPP,BPP
BBT,BBPPPTTBBB,PBT
TTB,PPBBBTTBBB,PTT
PPP,BBBPPBBBTT,
TBT,BBBPPBBBPP,TBT
,BBBPPTTTBB,PTB
PPP,BBBTTPPPBB,
PTB,PPPTTBBBTT,BPB
PTT,PPTTTPPBBB,TBT
PBT,PPBBBPPTTT,PBP
BBT,BBBPPTTTPP,TTT
PBT,BBBTTPPPTT,BBB
PPB,TTTBBTTTBB,PTP
PBP,TTBBBTTPPP,TPB
TBP,BBBTTPPPTT,PPP
BTB,TTPPPTTBBB,TTT
BTB,TTBBBPPTTT,PTP
PBT,PPPTTPPPBB,TB
PPT,BBPPPBBPPP,TBB
PTP,BBTTTPPBBB,TPB
BBB,PPPBBPPPTT,PTP
PTB,TTPPPTTBBB,TBT
BTB,TTPPPTTBBB,PBB
TBP,TTTPPBBBPP,BPT
BTP,TTTBBTTTPP,TTP
TBB,PPTTTPPBBB,TPP
PTP,BBBPPTTTPP,BPP
TB,PPTTTPPBBB,TTT
T,BBPPPBBPPP,BPT
BTP,TTTPPBBBPP,TTT
PPT,PPPTTBBBTT,BBP
TTP,BBPPPBBTTT,BPT
TTP,BBBPPBBBTT,PPT
BPB,TTPPPTTBBB,TPB
TBP,TTPPPTTPPP,TBP
BBP,TTTBBPPPBB,PBP
BTP,BBBTTPPPBB,PTT
P,TTTBBTTTPP,BBB
TPT,BBBPPTTTPP,TTB
PPB,TTBBBPPTTT,PTP
BPB,PPPTTPPPTT,PTB
TPP,TTPPPBBPPP,
TPT,PPPBBTTTPP,TTT
PTB,TTPPPBBTTT,PPP
BTT,PPBBBPPBBB,TPP
BBT,BBBTTBBBTT,PPP
PPT,PPPTTBBBPP,TTP
BPP,BBPPPTTBBB,
BBB,PPPTTBBBPP,BBP
BTB,PPPBBTTTPP,TPB
TBT,BBTTTBBTTT,PPB
BBT,BBBTTBBBTT,P
BPB,PPPTTBBBPP,TTB
BBB,TTTBBPPPBB,TTP
TBT,BBPPPBBTTT,PTP
BPB,PPPBBTTTPP,BTB
TPT,PPBBBPPBBB,PTP
BBP,TTTPPBBBTT,PBT
PBP,BBBPPTTTBB,TBP
TPB,TTTBBPPPBB,TTT
PPP,TTPPPTTBBB,PBB
BTB,TTBBBTTPPP,BBT
TTB,PPPBBPPPTT,BPP
,PPPBBPPPBB,TPB
TPT,PPBBBTTBBB,P
BPB,PPBBBTTBBB,PPT
BTB,PPTTTPPTTT,PPT
BTT,BBTTTPPBBB,PBT
TTB,PPTTTPPTTT,PPP
PTT,BBTTTPPBBB,T
PBP,BBBPPTTTPP,TBT
T,PPPBBTTTPP,TBT
TPP,TTPPPBBPPP,TTB
TPB,PPTTTBBTTT,BPT
BPP,BBTTTPPTTT,BTP
BPT,BBPPPBBTTT,BPP
TPB,PPPTTBBBPP,TTT
PBB,PPTTTBBPPP,TTB
BBT,BBPPPTTBBB,TTP
BPT,BBTTTPPTTT,PTT
BBT,PPBBBPPTTT,PTT
BPT,PPTTTPPBBB,PTP
BPT,BBBTTBBBTT,PPP
,BBBTTBBBTT,BBP
BBP,TTBBBTTBBB,TTP
PPB,TTPPPTTBBB,PBB
PPT,PPBBBPPBBB,PBT
PTT,PPBBBTTBBB,TBP
BPB,PPPBBPPPBB,TTT
BTB,TTTPPTTTPP,BPP
TPB,TTTBBTTTBB,TTP
BPT,BBBTTBBBTT,BBB
TBP,BBTTTPPTTT,BBP
TPT,PPBBBTTPPP,TPP
BTB,TTBBBTTBBB,PTP
TBT,BBTTTBBPPP,BBT
BBB,PPPTTPPPTT,BP
PPB,PPPTTPPPBB,TPB
TPT,BBTTTBBPPP,BPT
TBP,BBTTTPPTTT,PTP
BPP,TTBBBTTBBB,PBT
TTT,PPPTTPPPTT,PTB
TBB,TTBBBPPBBB,PBB
PPT,PPPBBTTTBB,PPP
PPB,TTTPPTTTBB,PTT
BPB,PPPBBTTTPP,BTP
BTB,PPPTTPPPTT,PTT
TTB,TTPPPBBPPP,TPT
TTT,BBBTTBBBTT,PTT
BTP,TTTPPTTTPP,BPT
BPT,PPTTTPPTTT,PBT
BBT,PPTTTBBTTT,PPP
PTB,PPPBBTTTPP,TBP
PBP,BBTTTPPTTT,BBB
PTP,TTTBBPPPBB,TBP
TTP,TTBBBPPBBB,PBT
PTP,BBBPPTTTBB,TPP
PBT,BBTTTBBTTT,PTP
TPP,TTBBBTTPPP,TPP
PPP,BBBTTPPPBB,TB
PBT,PPPBBPPPTT,BBT
BPB,TTBBBTTBBB,TPP
BPP,BBTTTPPBBB,PBP
TTB,PPTTTBBTTT,PPB
BTT,PPBBBTTPPP,
PTP,BBTTTBBTTT,BTP
TTT,BBBPPTTTBB,PBB
PTP,TTPPPTTBBB,PTP
TB,TTBBBPPBBB,PBT
PBT,PPTTTPPTTT,BPB
,TTPPPTTBBB,TPT
BBP,TTTBBPPPBB,PPT
,PPPTTPPPTT,PTB
BTP,BBTTTBBTTT,PBB
PBP,TTBBBPPBBB,TTB
BPT,BBBTTBBBTT,PTT
BPB,PPPBBTTTBB,PTB
BPB,TTTBBTTTPP,TTT
PTP,BBBPPBBBPP,TTT
PBB,TTBBBTTPPP,BPT
TPT,PPPTTPPPTT,BTP
TPP,BBTTTBBPPP,BPT
,BBTTTPPTTT,BBP
BBP,TTPPPTTBBB,PTB
BTB,PPBBBPPBBB,PBP
PTT,PPTTTPPTTT,BBP
PTP,TTTPPTTTPP,TPB
PPT,PPPTTPPPBB,TPP
PPB,PPBBBTTBBB,PTB
TTP,TTTPPTTTBB,TBT
BPB,PPPTTBBBPP,BBP
PTP,TTBBBTTBBB,TBP
TBT,BBBPPBBBPP,TP
BPT,BBTTTPPTTT,PPT
BPP,BBPPPTTPPP,BPP
TPB,PPTTTBBTTT,PPT
BBT,BBBPPBBBTT,BTT
PTB,TTTPPTTTBB,TBP
BPB,TTPPPTTPPP,BBP
PPB,PPPTTBBBPP,TTT
TBP,BBBPPBBBTT,BPB
P,BBTTTBBTTT,PTB
TPB,TTTBBPPPBB,T
BPB,PPPBBTTTPP,BBB
PTB,PPTTTPPTTT,PTP
PTT,PPBBBPPBBB,PPP
TTB,PPTTTPPBBB,TBP
BTP,TTTBBPPPBB,PTT
PTB,TTTPPBBBPP,TBT
TBB,TTBBBPPTTT,BPT
TPB,TTBBBPPBBB,TBB
TBT,PPPBBPPPTT,BPB
TTT,PPPBBTTTBB,PTB
PBT,BBTTTBBTTT,PPT
P,BBPPPTTPPP,TTP
TBP,TTPPPTTBBB,PBB
PBT,PPTTTPPBBB,PTB
TBP,BBBTTPPPTT,
PBP,BBTTTPPTTT,PPB
PPP,BBBTTBBBPP,TPP
TPB,TTPPPTTPPP,BPB
PPB,PPBBBTTPPP,BTB
,TTPPPBBTTT,PPT
,TTPPPTTPPP,TBB
TPP,TTBBBTTPPP,BTP
PTB,TTTBBTTTPP,TPT
TBT,BBTTTBBTTT,PBB
BPB,PPPBBTTTPP,BBP
PTP,TTBBBPPBBB,TBP
BBP,BBBPPTTTBB,TPB
TPT,PPTTTBBPPP,BBT
BTP,TTTPPTTTPP,BTB
PTP,TTBBBTTPPP,BBB
PBP,TTTBBTTTPP,BTT
BBT,BBBTTBBBTT,PTB
TPB,TTBBBPPBBB,P
BPT,PPPBBTTTPP,BTB
BTB,PPBBBPPBBB,TBP
PPB,TTTPPTTTPP,TPP
PPT,PPBBBTTPPP,TTP
PPT,BBTTTPPTTT,PTP
PPP,TTTPPTTTPP,TTP
TBT,BBBPPBBBPP,BBB
PBP,TTTBBTTTPP,BTP
TBT,BBPPPTTPPP,TBT
TTP,TTBBBPPBBB,TBB
BTP,TTPPPBBPPP,BPB
BTT,PPBBBPPTTT,BPP
BBP,BBBTTPPPTT,BBB
BPT,PPBBBTTBBB,TTT
PPB,TTPPPBBPPP,TTB
PTP,BBPPPTTPPP,BTT
BBB,PPPBBPPPTT,BTT
PTP,BBTTTPPBBB,PBP
PTT,BBTTTPPBBB,TBB
PPB,TTBBBPPBBB,TTP
TTT,BBTTTPPTTT,BPT
BBT,PPPTTBBBPP,TPB
TPB,TTTBBTTTPP,BPB
BBP,BBBPPTTTBB,PBB
BTB,PPBBBTTPPP,BBT
TTP,TTTBBPPPTT,PBT
PTP,BBBPPBBBTT,BBB
PBT,PPTTTPPBBB,TBT
PBB,TTPPPBBPPP,TPB
TTP,TTBBBPPTTT,BBB
TBB,PPTTTBBPPP,BBT
BPB,PPTTTPPTTT,BBT
BTP,BBBTTPPPTT,PTT
TTP,TTBBBPPTTT,PTB
TBT,BBBPPTTTPP,TBB
PPB,PPBBBPPBBB,PBP
PBT,BBTTTBBPPP,TTB
PTP,BBPPPTTBBB,PPT
PPB,PPPBBTTTBB,PPB
PTP,BBTTTPPTTT,BPP
TPT,BBTTTPPBBB,TBB
TBT,BBBPPBBBPP,BTP
PTP,TTTBBTTTBB,PTP
TPB,TTTPPTTTPP,BPP
PPP,TTTPPTTTBB,TPT
PBT,PPBBBTTPPP,TTP
PTT,BBPPPTTBBB,PBP
PBB,PPTTTPPTTT,PBT
BPP,TTPPPTTBBB,PBT
BTB,PPPTTPPPBB,TB
B,PPPBBTTTPP,BTB
TBT,PPPBBPPPBB,TTB
BPT,BBTTTPPBBB,PBP
BPB,PPBBBTTBBB,TTB
BBT,PPBBBTTBBB,PBT
TPT,BBPPPBBPPP,BPP
BTP,TTBBBPPTTT,PPT
PBB,PPTTTBBPPP,BBT
PTT,BBPPPBBPPP,BPB
PPT,PPBBBPPBBB,PBB
PPP,BBPPPTTPPP,BBB
PBP,TTBBBPPBBB,TTT
PTP,BBPPPBBTTT,BBB
TPT,PPPTTBBBPP,BTT
PPB,TTPPPTTBBB,TTB
PTP,TTTPPBBBPP,TBP
BPP,TTPPPTTBBB,
PTB,PPPBBPPPBB,PPT
TPP,TTPPPTTBBB,PTT
BBP,BBTTTPPBBB,TTT
PPB,PPPBBTTTPP,TTT
TBB,PPTTTBBPPP,TTP
PPB,PPBBBPPTTT,PBB
PPB,PPTTTPPTTT,BBP
TTB,TTBBBPPBBB,TPP
PBT,PPBBBTTBBB,TBB
TPB,PPTTTPPTTT,B
BTT,PPTTTBBPPP,BPP
PPT,BBPPPBBTTT,BTB
PBP,BBBTTPPPTT,BBT
PTP,BBBTTBBBTT,BBB
PPB,PPTTTBBTTT,BPP
BPB,PPBBBPPBBB,TB
BTB,PPTTTBBTTT,BBT
PPP,TTTPPTTTBB,TTT
,TTPPPTTBBB,TBT
TTT,PPTTTPPTTT,PBT
BBP,BBPPPTTPPP,TBP
TBP,BBPPPTTPPP,TBT
PTT,BBPPPBBTTT,BPB
PTP,BBBPPBBBPP,BTP
PBP,BBTTTBBPPP,TBB
TTP,BBPPPBBPPP,BBT
BBB,TTTPPBBBTT,PBB
TBP,BBPPPBBPPP,TPB
BPB,TTPPPTTPPP,BPP
TTB,TTTPPTTTBB,TTB
BPT,PPPBBPPPBB,TPP
,BBTTTPPBBB,PPB
BTB,PPPBBTTTBB,PTB
TTP,BBPPPTTBBB,TPB
BTT,BBPPPBBTTT,PBT
BBP,BBBPPTTTPP,TPB
TPP,TTPPPBBTTT,PTT
PTT,BBTTTPPBBB,PPB
PBP,BBPPPTTPPP,BPB
BPT,PPPBBTTTBB,TTP
PBP,BBPPPTTBBB,TPT
BTT,BBTTTPPBBB,PT
BPB,TTPPPTTBBB,TPT
PPP,TTTBBTTTPP,TPT
TTB,PPTTTBBTTT,BPP
BPP,BBTTTPPTTT,BTT
PBB,PPBBBPPBBB,TTB
PPB,TTTPPBBBTT,PTP
PTP,BBBTTPPPTT,PTT
TTT,PPPTTPPPTT,PBP
TTB,TTPPPBBPPP,BPT
TTT,PPPTTBBBPP,TPT
TTT,BBBPPBBBPP,BB
BTB,PPTTTBBPPP,BBP
TPB,PPPBBTTTBB,TBT
TBP,BBBTTBBBPP,BPP
BBB,PPBBBPPTTT,PTT
PBB,TTPPPTTBBB,TPB
PBP,TTBBBTTBBB,PP
PTT,BBTTTPPTTT,PPB
BPB,TTTPPTTTBB,TBT
TTB,TTBBBTTBBB,PBT
PBP,BBTTTBBPPP,TTT
PPB,TTPPPTTPPP,BPT
BPB,PPTTTBBPPP,TPT
BBT,PPPTTBBBTT,PTT
BP,TTTPPTTTPP,TTT
BPB,TTTBBTTTBB,TBT
,PPTTTBBTTT,PTB
TPB,PPBBBPPBBB,PPT
TBP,BBBTTPPPBB,TTB
BTB,TTTPPBBBTT,PTB
BBP,BBBTTBBBPP,BTT
TPB,TTBBBPPBBB,PBB
PBT,BBTTTPPTTT,PBT
PTT,BBTTTBBPPP,TBB
BBT,PPPTTPPPTT,PPT
TPT,BBPPPBBTTT,PBB
,TTPPPTTPPP,TPP
PPB,TTBBBTTPPP,
,BBBTTPPPBB,TPP
PTP,TTPPPBBPPP,BTB
,BBBPPBBBTT,BTP
TBT,PPBBBPPTTT,PP
TPB,TTTBBPPPTT,BPP
TP,TTPPPBBTTT,PTP
BTP,BBBPPTTTBB,PPT
B,TTPPPTTPPP,TPP
PBT,BBBPPBBBTT,BTB
PBB,PPTTTPPTTT,BTB
PBT,PPPTTPPPBB,TPP
TTT,PPBBBPPBBB,PBT
BBT,PPBBBTTBBB,PBP
,PPPBBTTTPP,TTB
PBB,PPBBBTTPPP,TT
PPP,TTTPPTTTBB,PBB
TPP,TTBBBTTPPP,TPB
