before,pingpong_L,after,length
PPBBPB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPBB,5
PBPPPB,BPBPP,PPBBBP,5
BBBBPP,BPBPP,PBBPPP,5
PPPPBB,BPBPP,PPBPPP,5
BBBBBP,PBPBB,PPPBBB,5
BPPPBB,BPBPP,PBPBPB,5
BBBPBB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BBBPBP,5
BPBBBB,BPBPP,BPPPBP,5
BPPPBP,BPBPP,PBBBPP,5
PBBPBP,BPBPP,PBBBBP,5
BBPPPB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PBPPPB,5
PBBPBP,BPBPP,PBBBBP,5
BBPPPB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PBPPPB,5
PBPBPB,PBPBB,PPPBBB,5
PPBBPB,BPBPP,BBPBBP,5
PPPPPP,BPBPP,PPPBPB,5
PBPPPP,PBPBB,BBBBBP,5
BPPBPP,PBPBB,PBPPBB,5
BBBBPP,PBPBB,PBBBBP,5
BBPPBB,PBPBB,BBPBBB,5
BPBBBB,PBPBB,BBPPPB,5
BBBBPP,PBPBB,BBBBBB,5
BBPPPP,BPBPP,BPPPPP,5
BPPPPP,BPBPP,PPPPPP,5
PPPBBP,PBPBB,BPPBBP,5
BBPPPP,BPBPP,BPPPPP,5
BPPPPP,BPBPP,PPPPPP,5
PPPBBP,PBPBB,BPPBBP,5
BPBPBP,BPBPP,BBPBBB,5
BPBBBP,BPBPP,BPPBBP,5
BPBBPB,PBPBB,BBBBPB,5
BBPPBB,BPBPP,BBPPBP,5
BBPPBB,BPBPP,BBPPBP,5
BPBBBP,PBPBB,BPPPPP,5
BPPPPP,PBPBB,BBPBPB,5
BBBPBP,BPBPP,PPPBPB,5
BPPPBB,PBPBB,BPPPPP,5
PPPPBB,PBPBB,PPBBPP,5
BBBBBP,PBPBB,BBBBPB,5
BBBBBB,PBPBB,PBPPBP,5
PBBBBB,PBPBB,PBBBPP,5
BPPBPP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BBPPPP,5
PBBBBB,PBPBB,PBBBPP,5
PPPBPP,BPBPP,PBPBPB,5
BPPPBP,BPBPP,BBBBPP,5
BBBPBB,BPBPP,PPBPPB,5
BBBBBP,PBPBB,BBPBBP,5
BBBBBP,PBPBB,BBPBBP,5
PBPBPB,PBPBB,PBBBPP,5
BBBBPP,BPBPP,PBBBPP,5
BBBBPP,BPBPP,PBBBPP,5
BBBBPB,BPBPP,PBBPPB,5
BBPPBB,PBPBB,PPBPBP,5
BBPPBP,BPBPP,PBBBPB,5
BBBBPB,BPBPP,PBBPPB,5
BBPPBB,PBPBB,PPBPBP,5
BBPPBP,BPBPP,PBBBPB,5
PBPPPP,BPBPP,PPPPBB,5
PBPPPP,BPBPP,PPPPBB,5
BBPPBP,BPBPP,PPBBBP,5
BBPBPP,PBPBB,PBBBPP,5
PPPPBB,BPBPP,PPPPBB,5
PBPPBB,BPBPP,PPBPPP,5
BPPPPP,BPBPP,BBBPBB,5
PPPBPP,PBPBB,PPPPPP,5
PPPBPP,PBPBB,PPPPPP,5
BPPBPB,PBPBB,PPPPPP,5
BPPBPB,PBPBB,PPPPPP,5
PBPPBB,BPBPP,BPBBPP,5
PPBBPB,PBPBB,BBBPPP,5
PBPPBB,PBPBB,BBBPPP,5
BBBBPP,PBPBB,PPBBPP,5
BBPPBB,BPBPP,BPBBBP,5
PBBBBP,BPBPP,BBBBPB,5
PBBBBP,BPBPP,BBBBPB,5
PPBBBB,BPBPP,BPBBBP,5
BPBBBP,PBPBB,BBBBPB,5
PPBBBP,PBPBB,BPPPPB,5
PBBBPP,PBPBB,PBPPPP,5
PPBBBP,PBPBB,BPPPPB,5
PBBBPP,PBPBB,PBPPPP,5
BBBBBP,PBPBB,BBBPPP,5
BBBPPP,PBPBB,BPPPBB,5
PBPPBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PBPBPB,5
PBPPBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PBPBPB,5
PPBBPP,PBPBB,BPPBBB,5
PBBPPB,PBPBB,BBPBBB,5
BPPPBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PPBBPB,5
PBPPBB,BPBPP,PBPPBP,5
BPPPBP,PBPBB,BPPBBB,5
BPPPBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PPBBPB,5
PBPPBB,BPBPP,PBPPBP,5
BPPPBP,PBPBB,BPPBBB,5
PPPBBP,PBPBB,BPBBPP,5
PPPBBP,PBPBB,BPBBPP,5
PPPBPP,BPBPP,PBPPBB,5
PBPPBB,PBPBB,BPPBBB,5
PPPBBB,PBPBB,PPPBBB,5
BPPBBB,PBPBB,PPBPPB,5
PBBPPP,BPBPP,BBBPPP,5
PBBBPB,BPBPP,PPBBPP,5
PPPPBP,BPBPP,PPBPPB,5
PPPPPP,PBPBB,PBPPPB,5
PPPPBB,PBPBB,PBBBBB,5
BBBPPP,BPBPP,PPBBPB,5
BPPPPB,BPBPP,BBBPPB,5
PPBBBB,PBPBB,PPPPBB,5
BBBBPB,PBPBB,BPBBBP,5
BPBBBP,PBPBB,PBPPBB,5
BPPBBP,PBPBB,PBBBBP,5
BPBBBP,PBPBB,PBPPBB,5
BPPBBP,PBPBB,PBBBBP,5
BPBBBP,PBPBB,PBPPBB,5
BPPBBP,PBPBB,PBBBBP,5
BBPPPB,PBPBB,BBBPPP,5
BBPPPB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBBPP,5
BBPPPB,PBPBB,BBBPPP,5
BBPPPB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBBPP,5
BBPPPB,PBPBB,BBBPPP,5
BBPPPB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBBPP,5
PBBBPP,BPBPP,BBPPPP,5
PPPPPP,BPBPP,BBBPBP,5
PBPPBB,BPBPP,BBBPBP,5
BBBPBB,PBPBB,PBBBPB,5
BBBPPP,BPBPP,PPBBBB,5
PBBBPP,BPBPP,BPBBPB,5
BPPBPB,BPBPP,BBPBBB,5
PPPBPP,PBPBB,BPBBBP,5
PPPBPP,PBPBB,BPBBBP,5
PBPPBB,PBPBB,BBBPBP,5
BBBBPB,PBPBB,BPBPBP,5
PBPBPB,PBPBB,PPPPPB,5
BPPPPP,BPBPP,BBPBPP,5
BBPBBP,BPBPP,BPBBPB,5
BPPBPB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BBBBBB,5
BBBPPB,BPBPP,PPPBPP,5
BPPBPP,PBPBB,BBBPPB,5
BBBBPB,BPBPP,PPBBPB,5
BBPBBP,BPBPP,BBPBBP,5
PPBBPB,BPBPP,PPBBBP,5
PBPBPB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PBBBPP,5
PPBBBP,PBPBB,BBBBBB,5
BBBBPB,PBPBB,BPPBPP,5
PPPPPB,PBPBB,BBBPBP,5
BBBBBP,BPBPP,PBPPPB,5
BBBPPP,BPBPP,PBBBBP,5
BBBBPB,BPBPP,BPBPBP,5
PPBPBB,PBPBB,BBPPBB,5
PBPPBP,BPBPP,PPPPPB,5
BBPBBP,BPBPP,BPPBBP,5
PBBPBB,BPBPP,BBBPPB,5
BPBBBP,BPBPP,PPPPBB,5
BPPPPB,PBPBB,PPBPPP,5
PPBPPB,PBPBB,PPBPPB,5
BBPPPB,PBPBB,BBBPPB,5
BBBPPB,BPBPP,PPPBBP,5
PPPBBP,PBPBB,PBBBBB,5
PPPBBP,PBPBB,PBBBBB,5
PPPPPB,BPBPP,BPBBBP,5
PBBBPP,BPBPP,PBBBBB,5
PPPPBB,PBPBB,PPPPPB,5
BPBBPB,PBPBB,BPPBBP,5
BPBBBP,PBPBB,PPPPBB,5
BPBBPB,PBPBB,BPPBBP,5
BPBBBP,PBPBB,PPPPBB,5
PBBBPB,BPBPP,PPBBPP,5
PBBBPB,BPBPP,PPBBPP,5
BBPPBB,PBPBB,BBBPPP,5
PPBBPP,PBPBB,BPBPPB,5
PPBPBB,BPBPP,BBBBPB,5
BPPPBP,PBPBB,BPPPBP,5
BPPBBB,BPBPP,BBBBPB,5
PBBBBP,BPBPP,PPPPPP,5
PPPPPP,PBPBB,BBBPPP,5
PBBPBP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BBPPBB,5
BBPBBB,PBPBB,BPBPBP,5
BPBBPP,PBPBB,BBBPBB,5
BPBBPP,BPBPP,PPPBPB,5
BBBBPB,PBPBB,BPBPBB,5
PPPPBP,BPBPP,BPPPPP,5
PPPPBP,BPBPP,BPPBPB,5
PBPPBP,PBPBB,PPBPBB,5
BBPBBP,BPBPP,BPBBPP,5
PPBBBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPBPBB,5
PPBBBP,PBPBB,BBBBPB,5
BBPBBB,BPBPP,BPPPPP,5
BBPBBP,BPBPP,BPBBPP,5
PPBBBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPBPBB,5
PPBBPP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PPBPPP,5
BPPBPP,PBPBB,BBBBPB,5
PPBBPP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PPBPPP,5
BPPBPP,PBPBB,BBBBPB,5
BBBBBB,BPBPP,PPPPBB,5
PPBBBB,BPBPP,PBBBBP,5
BBBPPP,PBPBB,PPPPBP,5
BPPPBB,PBPBB,BBPBPB,5
PPPBBP,PBPBB,PPBBBB,5
PPPPPB,BPBPP,PPBBBB,5
PBBBBB,BPBPP,PPBPBP,5
BPPPPB,BPBPP,PPPBPP,5
PPBPPP,PBPBB,PPPBPP,5
PBPPPP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PBPPBP,5
PPBPPP,PBPBB,PPPBPP,5
PBPPPP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PBPPBP,5
BBPPPB,PBPBB,PPPBPB,5
PBBPPP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BPPPBB,5
PPPBBB,PBPBB,BPBPPP,5
BPBBBP,PBPBB,BBPBBB,5
BPPPBB,BPBPP,BPPPBB,5
PPBBPP,BPBPP,PBPBPB,5
BPPPBP,BPBPP,BPBBBB,5
PPBPPP,PBPBB,BBPPPB,5
PPBBPP,BPBPP,PBPBPB,5
BPPPBP,BPBPP,BPBBBB,5
PPBPPP,PBPBB,BBPPPB,5
PBPPPB,PBPBB,PPBBPP,5
PBPPBB,PBPBB,BPBBPB,5
BPBBPP,PBPBB,PPPBBP,5
PPBBPB,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PBBPBP,5
BPBBPP,PBPBB,PPPBBP,5
PPBBPB,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PBBPBP,5
BBPBPB,PBPBB,BPPPPB,5
PBBPPB,BPBPP,BBBPPP,5
PPPPPB,BPBPP,BBBPPP,5
BPPPBP,BPBPP,PPBBPB,5
PPPPBP,PBPBB,PPPPBB,5
BBBBBB,PBPBB,BBBPPP,5
BBBBPP,PBPBB,PBPPBB,5
BBBBPB,PBPBB,BPBBBB,5
PBPBPB,PBPBB,BBBBPB,5
PBBBBB,BPBPP,PBBPPP,5
BPPBBP,PBPBB,BBPBPB,5
BPPPBB,BPBPP,BPBBPP,5
BPPBBB,PBPBB,BBPBBB,5
PPPBBB,PBPBB,BBBBBB,5
PPBPPP,BPBPP,PPBBBP,5
PBBBPB,BPBPP,BBBPBB,5
BPPBBB,BPBPP,BBPPBP,5
BBBPPB,BPBPP,PPPBBP,5
BBBBPB,PBPBB,PBPBBP,5
BBBPPB,BPBPP,PPPBBP,5
BBBBPB,PBPBB,PBPBBP,5
BBBPPB,BPBPP,PPPBBP,5
BBBBPB,PBPBB,PBPBBP,5
BBBBPB,PBPBB,PPBBPP,5
PPBBBB,BPBPP,BBBBPP,5
BPPBBP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BBBPPB,5
BPPBBP,BPBPP,BBBPPB,5
BBPPPB,BPBPP,BBPBBB,5
BBBBBB,PBPBB,PBBPPB,5
PPBBPP,BPBPP,BPPBPP,5
BBBBBB,PBPBB,PBBPPB,5
PPBBPP,BPBPP,BPPBPP,5
BBPPBB,PBPBB,BPBBBP,5
BPBBPP,BPBPP,BBPBBP,5
PPBBPP,PBPBB,BBBPPB,5
PBBBPB,BPBPP,BPPPBP,5
PBBBBP,BPBPP,BPPPPB,5
BPBBBP,PBPBB,PBPPBP,5
PPPPBP,BPBPP,PPPBPP,5
PBBPPB,PBPBB,PBBPBP,5
PBBPBB,PBPBB,BPPBPB,5
BBBPPB,PBPBB,BBBPPB,5
BBPPBP,BPBPP,PBBPPP,5
BPPBBB,PBPBB,BPPPPP,5
BPPBBB,PBPBB,BPPPPP,5
BPPBBB,PBPBB,BPPPPP,5
PPBBPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBPBBB,5
PPBPBB,PBPBB,BPBPPP,5
BPBPBB,BPBPP,PBBPBB,5
PBBPPB,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PBBPPB,5
BBBBBB,BPBPP,BPPBBP,5
PBBPPB,PBPBB,BPPBBP,5
PPPBPP,BPBPP,BBPPBP,5
BPPPBB,BPBPP,PPPPBB,5
PPPPPB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,BPPBPB,5
BPBBBP,PBPBB,PPBPPB,5
BBPBBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPPBBB,5
BPBBPP,PBPBB,BBBBBP,5
PPBBBB,BPBPP,PPBPBB,5
BBPBBP,BPBPP,PPPBPB,5
PBPPPP,PBPBB,PBBPPP,5
BPPPPB,BPBPP,PPPBPP,5
BPPPPP,BPBPP,BBBPBB,5
PBBBPP,PBPBB,PPPPBB,5
PPPPBB,PBPBB,BBPBBP,5
PBBBPB,PBPBB,BPPBPB,5
BPBBBP,PBPBB,PBBPBP,5
BBBPPB,BPBPP,PPBBPB,5
BPBBBP,BPBPP,PPPBBP,5
PBBBBP,BPBPP,BBBBPP,5
BPBBBB,PBPBB,BBPPBB,5
BBPPPP,BPBPP,PBBPBP,5
PBPPPB,BPBPP,BBPPPB,5
BPPPBP,PBPBB,PPPPBB,5
PBBPPB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPPPBP,5
BBBPPB,BPBPP,BPBBBB,5
PBBPPP,PBPBB,PBBBPP,5
PBBPPP,BPBPP,BPBBBB,5
PBBBBB,PBPBB,BPBBBB,5
PPBPPP,PBPBB,BBPPBB,5
PPPPBP,PBPBB,BBPPPB,5
PPBPPP,PBPBB,BBPPBB,5
PPPPBP,PBPBB,BBPPPB,5
BPPPPB,BPBPP,BPPBBB,5
BBBPPP,BPBPP,PBBBPB,5
BPBBBP,PBPBB,BBPBPB,5
PPBBPP,BPBPP,BPPBPP,5
PPPBBB,PBPBB,BPBPBP,5
BBBPBP,BPBPP,BPPPPP,5
PBBPBP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BBPBBB,5
PPPBPB,PBPBB,PPBBBP,5
BBPPBB,BPBPP,BPPBPB,5
PBBBPB,PBPBB,PBBPBB,5
BBBBBB,PBPBB,BBPPBP,5
BPBBPP,BPBPP,PBPPBP,5
PPPBPP,BPBPP,BBPPBB,5
PPBBBP,PBPBB,BPBBBB,5
PPPPPB,PBPBB,PPPBBB,5
BPPBPP,BPBPP,BPBBPP,5
PPPBBB,PBPBB,PPBBPP,5
PPBBPP,BPBPP,BBBBBP,5
BPBBBP,BPBPP,BBBPPP,5
BBBPBB,PBPBB,PPPPPB,5
BBPBBP,PBPBB,BPBBBB,5
BBBBPB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBBPB,5
PBBPBB,BPBPP,BBPBBB,5
BBPBBP,PBPBB,BPBBBB,5
BBBBPB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBBPB,5
PBBPBB,BPBPP,BBPBBB,5
BBPPBB,PBPBB,BPBPBB,5
PBPBBB,PBPBB,PBPPPP,5
BBBPPB,PBPBB,BPBPPB,5
BPBPBB,BPBPP,BPPBBP,5
PPBBBB,PBPBB,PPPPPP,5
PPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BPBBBP,5
BPPPBP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,PBPPBP,5
PPPPBP,PBPBB,BBBPPB,5
BPPBPP,PBPBB,BPBPBP,5
BPBBBP,BPBPP,PPPPBP,5
BPPPPP,PBPBB,PPBBPB,5
BPBBPP,BPBPP,PPPBPP,5
BBBPBB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BBPBPB,5
BBBPBP,BPBPP,PPPPPB,5
PBBBBP,PBPBB,PPPPPB,5
PBBBBP,PBPBB,PPPPPB,5
PPPPBP,BPBPP,PBPPPP,5
PPPPPP,PBPBB,PPPPBB,5
PPPPBP,BPBPP,PBPPPP,5
PPPPPP,PBPBB,PPPPBB,5
PPPBPB,PBPBB,PBBPBP,5
BPBBPB,BPBPP,BPPBPB,5
PBPBPB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PPBBPP,5
BBPBBP,PBPBB,BBBBBB,5
PBBBPP,BPBPP,BBBBPB,5
PBBBPP,BPBPP,BBBBPB,5
PPPBBP,PBPBB,BBBPPB,5
PPBPPP,BPBPP,BPPPBB,5
BPBBPP,PBPBB,BPPPPB,5
BPPPPB,BPBPP,PBPPBB,5
PBBBBB,PBPBB,BPPPBP,5
PBBBPP,PBPBB,BPBBPB,5
PBBBBB,PBPBB,BPPPBP,5
PBBBPP,PBPBB,BPBBPB,5
BBBPPB,BPBPP,BPPPBP,5
PBPPPB,PBPBB,BPPPBB,5
BBBBBB,PBPBB,PBBPPB,5
PBBPPB,BPBPP,PBBPPB,5
PPPPBP,PBPBB,PPBPPB,5
BPPBPP,BPBPP,PBBBBB,5
PPPPBP,PBPBB,PPBPPB,5
BPPBPP,BPBPP,PBBBBB,5
PPBBPP,PBPBB,BPBBBP,5
PBBBPB,PBPBB,BBPPPP,5
BBBPPP,PBPBB,BPPBBB,5
PBPPPB,BPBPP,BBPPPB,5
PBPPPB,BPBPP,BBPPPB,5
BPBBPB,PBPBB,BPPBPP,5
BPPBBP,PBPBB,PPBPPP,5
BPPBBP,PBPBB,PPBPPP,5
PPPPBP,PBPBB,PBBBPB,5
BBBPBB,BPBPP,BPBBPB,5
BPPBPB,BPBPP,BPBPPP,5
BBPBPP,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PBBPBP,5
PBBBPP,BPBPP,PPBPBP,5
PBPPPP,BPBPP,BBPPBB,5
BBBBPP,BPBPP,BPBBBP,5
BPBPBP,BPBPP,PPPBBP,5
PPPBPP,PBPBB,BBPBBB,5
BBBPPP,BPBPP,PBPPPB,5
BPPPPB,BPBPP,PPPBBB,5
BBBBPP,BPBPP,PPBBBB,5
BPPPPB,BPBPP,BPPPPP,5
PPPPPP,PBPBB,BPPPPP,5
BPPPPB,BPBPP,BPPPPP,5
PPPPPP,PBPBB,BPPPPP,5
BPBBBB,PBPBB,BPBBBB,5
PBBBBB,BPBPP,BBBBBP,5
PPBBBB,BPBPP,BBPBBB,5
BPBBBB,PBPBB,BPBBBB,5
PBBBBB,BPBPP,BBBBBP,5
PPBBBB,BPBPP,BBPBBB,5
BBBPBP,BPBPP,PPBBPP,5
BBPPPP,BPBPP,BPPBBB,5
BBBBBP,PBPBB,PPPBBP,5
BBPPPB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BPPBPB,5
BPBBBP,PBPBB,BBBBPB,5
PBBBBB,BPBPP,PBBBPP,5
BBPPBP,PBPBB,PPPPPB,5
PPBBPP,BPBPP,BPPBPB,5
PBPPBP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PBPBPB,5
BPBBPB,PBPBB,PBPBPP,5
BBPPPB,BPBPP,PPPBPB,5
BPPPPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBPPBB,5
PPPPBP,PBPBB,PBPPBP,5
PPPPBP,PBPBB,PBPPBP,5
BBPPPP,BPBPP,PBPPPP,5
BPPPPP,BPBPP,PBBBBB,5
PPBBPB,PBPBB,PBBBBB,5
BBBBPB,BPBPP,PPBBPP,5
PPBPPB,PBPBB,BBBBBP,5
PPPPBP,BPBPP,PBBPBP,5
BBPPPP,BPBPP,BBBBBP,5
BPBBPP,BPBPP,PBBPPP,5
BPPPBB,BPBPP,BPBBBB,5
BPBBBB,PBPBB,BBBPPP,5
BBBPPP,PBPBB,BBBPBB,5
BPPPBB,BPBPP,BPBBBB,5
BPBBBB,PBPBB,BBBPPP,5
BBBPPP,PBPBB,BBBPBB,5
PPBPPB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BBPPBP,5
BBBPPP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,PPBBPB,5
PBBPBP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PPBPBB,5
PBBPBB,PBPBB,PPPPPB,5
PPPBPP,BPBPP,BPPBPB,5
PBPPBP,BPBPP,PPBBPP,5
BPBBBB,BPBPP,PPPBBP,5
BBPPPB,PBPBB,PPBBBB,5
BBBBBB,BPBPP,PPPPBP,5
PPPPPP,BPBPP,PPBBPP,5
BPPPPP,PBPBB,BPBBPB,5
PBBBPB,BPBPP,BBBBPB,5
PPBBBB,PBPBB,PBPBPB,5
BPBBPB,PBPBB,PPPBPP,5
BPPPPP,PBPBB,BPBBPB,5
PBBBPB,BPBPP,BBBBPB,5
PPBBBB,PBPBB,PBPBPB,5
BPBBPB,PBPBB,PPPBPP,5
PBBBBP,BPBPP,BBBBPP,5
PBBBBP,BPBPP,BBBBPP,5
PPPPPP,PBPBB,PPPBBP,5
BBBBPP,PBPBB,BPBBBP,5
PBBBPB,PBPBB,PPPPPP,5
PPPPBP,PBPBB,PBBPBP,5
PPBPPB,PBPBB,BBPPBP,5
PPPPBP,BPBPP,PPPPPP,5
PBBBBB,PBPBB,PPPPBB,5
BBBBBB,PBPBB,BBBBPP,5
PBBPBB,BPBPP,PBPBPB,5
PBPPPB,PBPBB,BBPPPP,5
BBBBBB,PBPBB,BPPBBP,5
BBBPBB,PBPBB,PPBBBB,5
PPBPBP,BPBPP,BPPPPB,5
BBPPBB,BPBPP,BBPBBP,5
PPPPBP,BPBPP,BBPPPP,5
BPPBBB,PBPBB,BPBPPP,5
BPBPBB,BPBPP,PBPPPB,5
BPPBBB,PBPBB,BBPPBP,5
PBBBBP,PBPBB,BBBBPB,5
BBBBPB,BPBPP,PBPPBP,5
PPPPBP,PBPBB,PPPPBP,5
BBPPPP,BPBPP,PBPPPP,5
BBBPBB,PBPBB,BBBPPB,5
PBPPPB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPBBPP,5
PPPPPB,PBPBB,BBPPPB,5
PBBBPP,PBPBB,PBBPPB,5
PBBBPB,PBPBB,PBPPBB,5
PPBPBP,BPBPP,BPPBPP,5
PPBPPP,PBPBB,PBPPBB,5
BPPBPP,BPBPP,PPBBBP,5
BBPBBB,BPBPP,BBBPPB,5
PBPPPB,PBPBB,BPPPBP,5
BBPPPB,PBPBB,PBBPPB,5
PBBBBP,BPBPP,PBPPBB,5
BPPBPP,BPBPP,PPBBBP,5
BBPBBB,BPBPP,BBBPPB,5
PBPPBP,PBPBB,BBPBPB,5
BPBBBB,PBPBB,PBPBPB,5
BPBBPB,PBPBB,BPPPPP,5
BBPPBB,BPBPP,BBPPPB,5
BBPPPB,BPBPP,BBPPPB,5
BBPBBP,PBPBB,BBBBBP,5
BBPBBP,BPBPP,PBPBPB,5
PBPPPB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PBPPBP,5
PBBPBP,PBPBB,BBPBPB,5
PBBBBP,BPBPP,PPBBPB,5
PPBBPB,PBPBB,BBPPPP,5
PPBBPP,BPBPP,PPBBBB,5
PPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPPB,5
PPBBPP,BPBPP,PPBBBB,5
PPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPPB,5
PPBBPP,BPBPP,PPBBBB,5
PPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPPB,5
PPBBPP,BPBPP,PPBBBB,5
PPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPPB,5
PPBBPB,PBPBB,PBPPPB,5
PPBBPB,PBPBB,PBPPPB,5
PPBBPB,PBPBB,PBPPPB,5
BBPPPB,PBPBB,BPPPPB,5
PPPBBB,BPBPP,BPBPBP,5
PBPPBP,BPBPP,BBBPPP,5
BBBPPP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BBPPPB,5
PPPBBP,BPBPP,PBBBPP,5
BPPPBP,BPBPP,BPBBBP,5
PBBPBB,BPBPP,BPPBPP,5
BBBPBB,PBPBB,BBBPPP,5
PBBBPP,BPBPP,BPPPPB,5
PPBPPP,PBPBB,BPPBPB,5
BBBBBP,PBPBB,BPBPBP,5
PBBBPB,PBPBB,PPBPPP,5
PBPPPB,PBPBB,PPBPPB,5
PPPPPP,BPBPP,PBBBPB,5
BBBPPB,BPBPP,PBPPBB,5
BBBPPB,BPBPP,PBPPBB,5
BBBPPB,BPBPP,PBPPBB,5
PPBBBP,PBPBB,BPBBBP,5
BPBBBP,BPBPP,PPBPBB,5
BPPPBB,PBPBB,BBBBBB,5
PPPPBB,PBPBB,PPBPPB,5
PPPPBB,PBPBB,PPBPPB,5
BPPBBB,BPBPP,PBBBBP,5
PBBBBP,BPBPP,BPBBPP,5
PPPBBB,PBPBB,BPPBBB,5
PPBPPP,PBPBB,BPBBBB,5
BPPBBP,PBPBB,BPBBPB,5
PBBBPB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BBPPPP,5
PPPPBP,PBPBB,PBBPBB,5
BPPBBB,BPBPP,PPPBBB,5
PBBPPB,PBPBB,BBPBBP,5
PBBPPB,PBPBB,BBPBPB,5
PBBPPB,PBPBB,BBPBBP,5
PBBPPB,PBPBB,BBPBPB,5
PBBPPB,PBPBB,BBPBBP,5
PBBPPB,PBPBB,BBPBPB,5
BBPPPP,PBPBB,BBBPBP,5
BPBBBB,BPBPP,PPPBPB,5
BBPPBP,PBPBB,BPBBBB,5
PPPPPP,BPBPP,BBBBPP,5
PBBBBP,PBPBB,PPPBPP,5
PPPPBP,BPBPP,BBPPPP,5
BBBPPP,BPBPP,PBBBPP,5
PBBBPP,PBPBB,BBBPPP,5
PPBPPP,PBPBB,PPBPPP,5
PPBPPP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BBPPBB,5
BBPPBB,PBPBB,PPBBPB,5
BBPPBB,PBPBB,BBBBBP,5
BBPBBP,BPBPP,BPPBPB,5
PPBPPB,PBPBB,BBPBPP,5
PBBBPP,BPBPP,BBPPPB,5
BPPBBP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BBPPPP,5
BPBBPB,PBPBB,BBBBBP,5
BBBBPB,PBPBB,PPBBPP,5
PBBPPP,BPBPP,BPPBBB,5
BBBBPB,BPBPP,BPPBPP,5
PBBBBB,BPBPP,BBBBBP,5
PBBPBP,BPBPP,BBBBBB,5
BBBBBB,PBPBB,PPPBBP,5
BPPPBB,PBPBB,BBBPBP,5
PBBBBB,PBPBB,BBBPBB,5
BBPPBP,BPBPP,BBBBPB,5
PBBPPP,PBPBB,PPBPPB,5
PBPPBP,PBPBB,PBPPBB,5
BBPPPP,BPBPP,PPBPBP,5
PPPBPB,PBPBB,BPBPPB,5
BPBPBB,BPBPP,BBPBPB,5
BBBPBB,PBPBB,PPBPPB,5
BBPPBP,PBPBB,BPBBPP,5
BPBBBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPPPBP,5
