before,no_column,after,length
PPPPBB,BPBPBPBPBP,BBPBPB,10
BBPBPB,BPBPBPBPBP,BPPBBP,10
BPBPPP,PBPBPBPBPB,PBBBBP,10
PBPPBB,BPBPBPBPBP,BPPPBP,10
BBBBBB,BPBPBPBPBP,PPPBPB,10
BBBBBP,PBPBPBPBPB,PBPBBP,10
PPPPBB,BPBPBPBPBP,PBBPPB,10
BBBPBB,BPBPBPBPBP,BBPPPP,10
PPPPPB,BPBPBPBPBP,BPPBBP,10
PBBPBB,BPBPBPBPBP,PBBPPB,10
PPBBBP,PBPBPBPBPB,BBPPPB,10
PBPPBB,BPBPBPBPBP,BBPPBP,10
BBBPBP,PBPBPBPBPB,PPBBBB,10
PPPBPP,PBPBPBPBPB,BPPPPP,10
BBBPPP,PBPBPBPBPB,PBPPPP,10
BPBPBP,PBPBPBPBPB,PBBPBB,10
BBPBPB,BPBPBPBPBP,BBPBBB,10
BPPBPP,PBPBPBPBPB,BBPPPB,10
BPPBPP,PBPBPBPBPB,BBPPPB,10
PBPBBP,PBPBPBPBPB,BBPBPP,10
PBBPBP,PBPBPBPBPB,PPPBBB,10
PBPPPB,BPBPBPBPBP,PPBBPP,10
PBBPPB,BPBPBPBPBP,PPPBPB,10
BPPPBB,BPBPBPBPBP,PBPBBB,10
PBBBPP,PBPBPBPBPB,BBBBPB,10
PPPPPP,PBPBPBPBPB,BBPPPP,10
BPPBBB,BPBPBPBPBP,PPPPBP,10
BBPBBB,BPBPBPBPBP,BBPBPP,10
BPPPPB,BPBPBPBPBP,BPBBPP,10
BPBBBB,BPBPBPBPBP,PPBBPP,10
PBBPBP,PBPBPBPBPB,BPPPPP,10
PBPPPB,BPBPBPBPBP,PBBBPP,10
PBPPPB,BPBPBPBPBP,BPPPPB,10
BBBPPP,PBPBPBPBPB,PBPBPP,10
PBPBPB,BPBPBPBPBP,BBBBPB,10
BPPPBP,PBPBPBPBPB,BBBBBP,10
PPBPPP,PBPBPBPBPB,BPPPBB,10
PBBPBP,PBPBPBPBPB,BPPBBP,10
PBBBPB,BPBPBPBPBP,BPBPPB,10
BPBPBB,BPBPBPBPBP,PBPPBP,10
BPBBPB,BPBPBPBPBP,PPBPPP,10
PPPBPB,BPBPBPBPBP,PBBBPB,10
PBBPBP,PBPBPBPBPB,BPBBBB,10
PBBBBP,PBPBPBPBPB,PPPBPP,10
BPBPBP,PBPBPBPBPB,PBBBBP,10
BPBBBB,BPBPBPBPBP,PPPPPB,10
PBPBPB,BPBPBPBPBP,PPPPBB,10
BPBPBB,BPBPBPBPBP,BPBPPB,10
BPBPPB,BPBPBPBPBP,BPBPPB,10
PBPBBB,BPBPBPBPBP,BPPBBP,10
BBPPBP,PBPBPBPBPB,BPBPPB,10
PBBPPP,PBPBPBPBPB,PPBPPP,10
PBBPPP,PBPBPBPBPB,BBPPBB,10
PPBBBB,BPBPBPBPBP,PBBBPB,10
PBPPBB,BPBPBPBPBP,PPPBPB,10
BPBPBP,PBPBPBPBPB,PBBBPB,10
PBBPPP,PBPBPBPBPB,PPPBPP,10
BBPBPB,BPBPBPBPBP,PBPPBB,10
BPPBPB,BPBPBPBPBP,PBBBPB,10
BBBPPP,PBPBPBPBPB,BBBPBP,10
BBBBPB,BPBPBPBPBP,PPPBPB,10
PBBBPP,PBPBPBPBPB,BPBBBP,10
BBPBBP,PBPBPBPBPB,PBBBPP,10
PBBPBB,BPBPBPBPBP,BBPBBB,10
PPBBBB,BPBPBPBPBP,BBBPPP,10
BBBBPB,BPBPBPBPBP,BPPBPB,10
BBBBPP,PBPBPBPBPB,PBBBBB,10
PPBPBP,PBPBPBPBPB,PBPPPP,10
BPBPPP,PBPBPBPBPB,BBPPPP,10
PPBBBB,BPBPBPBPBP,BBBBPP,10
BBBPBP,PBPBPBPBPB,PBPBBB,10
BBBBPB,BPBPBPBPBP,PBBPPP,10
PBPPPP,PBPBPBPBPB,BPBPBP,10
PPPBPB,BPBPBPBPBP,PPPPPP,10
PBBBPP,PBPBPBPBPB,PBBPPP,10
BPPPPB,BPBPBPBPBP,BBPBBB,10
PBPBBP,PBPBPBPBPB,BPBPBB,10
BPPBBP,PBPBPBPBPB,PBPPPP,10
PPBBPP,PBPBPBPBPB,PPPBPP,10
BPBPPB,BPBPBPBPBP,BPBPBP,10
BPBPPP,PBPBPBPBPB,PBPPPB,10
PPBBBP,PBPBPBPBPB,PPBPBB,10
PBPBPP,PBPBPBPBPB,PBPPPB,10
BPPBBB,BPBPBPBPBP,BPBPPB,10
BPPPPB,BPBPBPBPBP,PPBPPP,10
BPPBBB,BPBPBPBPBP,PBPBBB,10
BPPBPP,PBPBPBPBPB,PBPPBP,10
BPPBPP,PBPBPBPBPB,BBBBBB,10
BBPPPP,PBPBPBPBPB,PBBPPP,10
BPPPBP,PBPBPBPBPB,BPPBBB,10
BBBBBB,BPBPBPBPBP,BPPBBB,10
PBBBPB,BPBPBPBPBP,BPBBBB,10
PBPBPP,PBPBPBPBPB,BPPBPP,10
PBBPBP,PBPBPBPBPB,PBBBBB,10
BPPPBB,BPBPBPBPBP,PPPBPB,10
PPBBPB,BPBPBPBPBP,PPBPBP,10
PBBPBP,PBPBPBPBPB,BPPPBB,10
PPBBPB,BPBPBPBPBP,BPBPPP,10
BBPBPB,BPBPBPBPBP,PBBPPP,10
BBPBPP,PBPBPBPBPB,PPBBPP,10
BBBBPP,PBPBPBPBPB,BBBBPB,10
BBBPPP,PBPBPBPBPB,PBBPBB,10
PBPBBB,BPBPBPBPBP,PBBBPB,10
BBBBPB,BPBPBPBPBP,PPPPPB,10
PBBPBP,PBPBPBPBPB,PBPBPB,10
BBBBPP,PBPBPBPBPB,BPPPPB,10
BBPBBB,BPBPBPBPBP,PPBBBP,10
PBBBPB,BPBPBPBPBP,BPBPBB,10
PPPBBB,BPBPBPBPBP,BBBBPP,10
BPPBBB,BPBPBPBPBP,PPPPPB,10
BPBPBP,PBPBPBPBPB,PPPBBP,10
BPPPPP,PBPBPBPBPB,PBPPBB,10
BPBBPB,BPBPBPBPBP,BPPBBB,10
BPPPPP,PBPBPBPBPB,BBBBPB,10
BPPPPP,PBPBPBPBPB,PBPBBP,10
BBPBBB,BPBPBPBPBP,PPPPPP,10
PBPPPP,PBPBPBPBPB,PBBPPB,10
BBBPPB,BPBPBPBPBP,BPBBBB,10
PBPBPB,BPBPBPBPBP,PPPBPB,10
BBBBBP,PBPBPBPBPB,PBPBBP,10
PBBPPB,BPBPBPBPBP,BPBBPP,10
BPPPBP,PBPBPBPBPB,BPBBPP,10
PBBBPB,BPBPBPBPBP,BPPPBB,10
BBBPPB,BPBPBPBPBP,BPPPPB,10
BBBBPB,BPBPBPBPBP,BBPPPP,10
PBPPPP,PBPBPBPBPB,PBPBPB,10
PPBBPP,PBPBPBPBPB,PBBPBP,10
BPPPPP,PBPBPBPBPB,PPPBPB,10
PPBBBB,BPBPBPBPBP,PPPPPP,10
BPBPPB,BPBPBPBPBP,PPPBPP,10
PBPPBP,PBPBPBPBPB,BBBPPP,10
PBBPBP,PBPBPBPBPB,BPBBBB,10
BBPBBP,PBPBPBPBPB,BBBPPP,10
PBPPPB,BPBPBPBPBP,PPBPBB,10
BPBBPP,PBPBPBPBPB,BBPBBP,10
PBBBBB,BPBPBPBPBP,BBBPPP,10
BPPBPB,BPBPBPBPBP,PPBPBB,10
BBPPPP,PBPBPBPBPB,PPPBBB,10
BBBPPP,PBPBPBPBPB,BBBPPB,10
BBBPBP,PBPBPBPBPB,PPBPPB,10
PBPPBP,PBPBPBPBPB,PBBPPP,10
PPBBPP,PBPBPBPBPB,BPPBPB,10
PPBPBB,BPBPBPBPBP,BBBPBB,10
PBBBBB,BPBPBPBPBP,PPBPPB,10
BBPPBB,BPBPBPBPBP,BPBPBB,10
BBBPPP,PBPBPBPBPB,PBPPBP,10
BBBBBP,PBPBPBPBPB,BBBPPB,10
BPBBBP,PBPBPBPBPB,BPBBBB,10
PBPBBP,PBPBPBPBPB,BPPBPP,10
PBBBBP,PBPBPBPBPB,BBPBBP,10
PBPBBP,PBPBPBPBPB,BBPBBP,10
PPPPPB,BPBPBPBPBP,PPPBBB,10
PPBBBB,BPBPBPBPBP,BPPBBP,10
BBBBPB,BPBPBPBPBP,BBPBBB,10
PPBBPP,PBPBPBPBPB,PBBBBB,10
BBPBPP,PBPBPBPBPB,BPPBBP,10
BPBBBB,BPBPBPBPBP,BBBPBB,10
BBBBPP,PBPBPBPBPB,BBBBPP,10
PBBBPB,BPBPBPBPBP,BBPBBB,10
PBBBBP,PBPBPBPBPB,PPBBBP,10
BBBBPP,PBPBPBPBPB,PBPBBB,10
PBPPBB,BPBPBPBPBP,PBPBPP,10
BBBPBB,BPBPBPBPBP,PBBBBB,10
BBBPBP,PBPBPBPBPB,PBBBBB,10
BBPPPP,PBPBPBPBPB,BBBBPB,10
BBBBBB,BPBPBPBPBP,PBPBPP,10
BBBBPB,BPBPBPBPBP,PPPBBP,10
BPBPBB,BPBPBPBPBP,BPBPPP,10
BBPBPP,PBPBPBPBPB,BBPPPB,10
PBBBBP,PBPBPBPBPB,PPPBBP,10
PPPBPB,BPBPBPBPBP,PPPPPP,10
PBBBPP,PBPBPBPBPB,PBPBBB,10
BPBPBP,PBPBPBPBPB,PPBBBP,10
PPPBBP,PBPBPBPBPB,PPPPPP,10
BBPPBB,BPBPBPBPBP,PPPBBP,10
PBBBBB,BPBPBPBPBP,PPBPBP,10
BPBBBB,BPBPBPBPBP,PBPBPP,10
BPBPBB,BPBPBPBPBP,BPPPBB,10
PBBPPP,PBPBPBPBPB,BPPPPP,10
BBBBPP,PBPBPBPBPB,PBBBPB,10
BBPPBB,BPBPBPBPBP,BPPPBB,10
BPBPBP,PBPBPBPBPB,BPBBBB,10
BPPPBB,BPBPBPBPBP,BBBPPB,10
PBPPPB,BPBPBPBPBP,PPPPBP,10
PPBPBP,PBPBPBPBPB,BPPPBB,10
PBPPBB,BPBPBPBPBP,BBBPPB,10
PPBPPB,BPBPBPBPBP,BPBPBB,10
PBBPBB,BPBPBPBPBP,PBBBPP,10
PPBPBP,PBPBPBPBPB,BBBPBP,10
BBBPBP,PBPBPBPBPB,PBPBBP,10
PBPPPB,BPBPBPBPBP,PBBBBP,10
PPBPPB,BPBPBPBPBP,PBBBBB,10
PBPBBP,PBPBPBPBPB,PBBPBP,10
BPBPPP,PBPBPBPBPB,BBPBBB,10
PPBBPB,BPBPBPBPBP,PBPPPB,10
PBBPPP,PBPBPBPBPB,PBPBPB,10
BPPBPB,BPBPBPBPBP,BBBBBB,10
PPPPPB,BPBPBPBPBP,BPBPPB,10
PPBPBP,PBPBPBPBPB,BPPPBP,10
BBBPBB,BPBPBPBPBP,PPPPPB,10
PPPBPB,BPBPBPBPBP,BPBPPP,10
PBPPPP,PBPBPBPBPB,PPPPBP,10
PBBPPB,BPBPBPBPBP,BPBPPP,10
BBBBPB,BPBPBPBPBP,PBPPPB,10
BBBBPB,BPBPBPBPBP,PPBBBB,10
BPBPPP,PBPBPBPBPB,BBPBPP,10
BPBPPB,BPBPBPBPBP,BBPPBB,10
PPBBBP,PBPBPBPBPB,PBBBBB,10
PPPBBP,PBPBPBPBPB,PBBPPB,10
PPBPPP,PBPBPBPBPB,BBBBPP,10
PPPBBB,BPBPBPBPBP,PPPBBP,10
BPBBPP,PBPBPBPBPB,PPBPBB,10
PBBBPP,PBPBPBPBPB,PPPPBP,10
PPPBBP,PBPBPBPBPB,PBBPBB,10
PBPPBB,BPBPBPBPBP,PBPBPB,10
PBBBPB,BPBPBPBPBP,PBPBBB,10
PPBBBP,PBPBPBPBPB,BPBPBB,10
BBBBPP,PBPBPBPBPB,PBPBBP,10
BBBPPB,BPBPBPBPBP,BBPPBP,10
PBBBPB,BPBPBPBPBP,PBPBPB,10
BPPBBB,BPBPBPBPBP,PBPPBP,10
PPBBBP,PBPBPBPBPB,BBBPBB,10
PPBPBP,PBPBPBPBPB,PPPBPP,10
BBPPBP,PBPBPBPBPB,PPPPPP,10
BPPBBB,BPBPBPBPBP,PPPPBB,10
BBPBBB,BPBPBPBPBP,BPPBBB,10
BPBPBB,BPBPBPBPBP,PPBPPP,10
PBPPBP,PBPBPBPBPB,BPPPBB,10
PPPPBB,BPBPBPBPBP,BBBPBB,10
PPPPBP,PBPBPBPBPB,BPPPBB,10
BPBBBP,PBPBPBPBPB,PPBPBP,10
PPBPBP,PBPBPBPBPB,PPBPPB,10
BBPPPB,BPBPBPBPBP,PPBPBB,10
BBPPPB,BPBPBPBPBP,PBPPPB,10
PPPBBP,PBPBPBPBPB,BPBPPB,10
PPBBBP,PBPBPBPBPB,BBPPBB,10
PPPBBP,PBPBPBPBPB,BBPPPB,10
PPPBPB,BPBPBPBPBP,BPPBPB,10
BPBBPB,BPBPBPBPBP,PPBPBP,10
BPBBBB,BPBPBPBPBP,BPPPBP,10
PPPPBP,PBPBPBPBPB,PBBBBB,10
PBBPBP,PBPBPBPBPB,PBPPPB,10
PBPBBB,BPBPBPBPBP,PBPBBP,10
PBBBBB,BPBPBPBPBP,PPBPPB,10
PBPPPB,BPBPBPBPBP,PBBPPP,10
PBBPBP,PBPBPBPBPB,BBBPPP,10
PPPPBP,PBPBPBPBPB,BBPBPP,10
BPBPPP,PBPBPBPBPB,PBBBPP,10
PPBPBB,BPBPBPBPBP,PPPPPB,10
BPPBPB,BPBPBPBPBP,PPBPPB,10
BBPBPB,BPBPBPBPBP,BPBBBP,10
BPBBPB,BPBPBPBPBP,BPBBBB,10
BBBPPP,PBPBPBPBPB,BBPBBB,10
BBBBBB,BPBPBPBPBP,BPPBBP,10
BPPBBP,PBPBPBPBPB,BBPBBB,10
BPPPPP,PBPBPBPBPB,PBPPPB,10
BBBPPP,PBPBPBPBPB,BBPPBB,10
BPBPBP,PBPBPBPBPB,PBPBPP,10
BBPPPB,BPBPBPBPBP,BBBBBP,10
PPPBBP,PBPBPBPBPB,BPPBPP,10
PPBPBB,BPBPBPBPBP,BBBBPB,10
BBPBPB,BPBPBPBPBP,BPBBBP,10
PPPPPP,PBPBPBPBPB,PPPBBP,10
BBBPPB,BPBPBPBPBP,PPBPPB,10
BBPPPB,BPBPBPBPBP,BBBPBP,10
BBPBBB,BPBPBPBPBP,PBBPPB,10
BBBBBB,BPBPBPBPBP,PPPBPB,10
PBPPBP,PBPBPBPBPB,BPPBBP,10
PPPPPP,PBPBPBPBPB,PPBPBB,10
BBBBBB,BPBPBPBPBP,BPBBPB,10
PPPPBP,PBPBPBPBPB,BPBPBP,10
PBPBPB,BPBPBPBPBP,BPBPPP,10
PBPBBB,BPBPBPBPBP,PPPPBB,10
BPBPBB,BPBPBPBPBP,PBPPPB,10
PPBPPB,BPBPBPBPBP,BPPBBB,10
PBBPPB,BPBPBPBPBP,BBPBBP,10
PBPBPB,BPBPBPBPBP,BPBBBP,10
BBPPPP,PBPBPBPBPB,PPPPPP,10
BPPBPB,BPBPBPBPBP,PBPPPP,10
BPPBPB,BPBPBPBPBP,PPBBBP,10
PPBPBP,PBPBPBPBPB,PBPPPP,10
PPBPPP,PBPBPBPBPB,BPPBPP,10
PPPBBP,PBPBPBPBPB,PPPBPB,10
PBBPBB,BPBPBPBPBP,BBBPBP,10
PBPPBB,BPBPBPBPBP,PBBBPB,10
PPBBBB,BPBPBPBPBP,PPPPPB,10
PBPBBB,BPBPBPBPBP,BPBPPP,10
BPPBPP,PBPBPBPBPB,BPPBBP,10
