before,flip_trigger,after,length,flip_to
BPBPBP,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,PPPPPB,6,B
PPBBBP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PBBPBP,6,P
BPBPBP,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,PPPPPB,6,B
PPBPBP,PBPBBB,PPPPBP,6,B
PBPPPB,BPBPPP,PBPPBB,6,P
BPBBPP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PPPBBB,6,B
PBBBPB,PBPBBB,BBBPBB,6,B
BBPBBB,PBPBBB,PPPPPP,6,B
PBBBPB,PBPBBB,BBBPBB,6,B
BBPBBB,PBPBBB,PPPPPP,6,B
BBBBPP,PBPBBB,PPPBPB,6,B
BBBBPP,PBPBBB,PPPBPB,6,B
BBBPBP,BPBPPP,BBBBBB,6,P
BBBBPP,PBPBBB,PPPPPB,6,B
PBBBPP,BPBPPP,BPBBPP,6,P
PBPBPP,BPBPPP,PBBPPB,6,P
BBPPPB,PBPBBB,BBBPPP,6,B
PPBBBP,BPBPPP,PPBBPP,6,P
PPBBBP,BPBPPP,PPBBPP,6,P
BBBPPB,BPBPPP,PBBBBP,6,P
PBBPBP,PBPBBB,BPPBBB,6,B
PPPPBP,PBPBBB,PBBPBP,6,B
BPBPPB,BPBPPP,BPBBPP,6,P
BPBPPB,BPBPPP,BPBBPP,6,P
PBBBBP,PBPBBB,PBPBPB,6,B
BBBBPP,PBPBBB,BPBPPB,6,B
BBBBPP,PBPBBB,BPBPPB,6,B
BBBPPP,PBPBBB,PBPPBP,6,B
BBBPPP,PBPBBB,PBPPBP,6,B
BBBPPP,PBPBBB,PBPPBP,6,B
BPBBBP,PBPBBB,PBBPPP,6,B
BPBBBP,PBPBBB,PBBPPP,6,B
PBBPPB,BPBPPP,PPPBPB,6,P
BBPBBP,PBPBBB,PPBBBB,6,B
PBPPBB,PBPBBB,BBPPBB,6,B
PBBBPP,PBPBBB,BBBBBP,6,B
BBPPBB,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,PPPBPB,6,B
PBBBPP,PBPBBB,BBBBPB,6,B
PBBPBP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,PBPBPB,6,P
BPBBPP,PBPBBB,PBPBBP,6,B
BPPBBB,BPBPPP,PPPBPB,6,P
PPBBPB,BPBPPP,BBBBBP,6,P
PPBBBB,BPBPPP,PBBPPP,6,P
PBPBPB,BPBPPP,PBPPPP,6,P
PPPBBP,PBPBBB,PPPPPP,6,B
PPBPPP,PBPBBB,BPBPPB,6,B
BPPBBP,BPBPPP,BBPBBP,6,P
PBPPBB,BPBPPP,BPPBBB,6,P
PPBBBP,PBPBBB,BPPBPP,6,B
BBPPBB,PBPBBB,PPPPPB,6,B
PBPPBB,BPBPPP,PPPPBP,6,P
PPPPPP,BPBPPP,BPBPPB,6,P
BPBPPP,PBPBBB,BPPBPB,6,B
BPBPPB,BPBPPP,PPPPBP,6,P
PPPPPB,BPBPPP,PBBPPP,6,P
PPPPPB,BPBPPP,PBBPPP,6,P
PBPPBP,PBPBBB,BBPBPP,6,B
BBPPBP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PBBPBP,6,B
PPBBBP,PBPBBB,PBBPPB,6,B
PBBPBB,PBPBBB,PPBPBP,6,B
BPPBPP,PBPBBB,PBPBPB,6,B
BPPPPP,PBPBBB,PPBBBP,6,B
PBBBPB,BPBPPP,BPPPPP,6,P
BPPPPB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BBBPPP,6,B
BBPPPB,BPBPPP,PBPBBP,6,P
BBPBBP,BPBPPP,PBPPBP,6,P
BBBBBP,PBPBBB,BBBPBB,6,B
BBBBPB,BPBPPP,PBBPBP,6,P
PBPPPP,PBPBBB,BPBPPB,6,B
BPPPPB,BPBPPP,PBBBBP,6,P
BBPBBP,BPBPPP,BPBPBB,6,P
PBPPPB,PBPBBB,BBBPBB,6,B
PPPPPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPBPPP,6,B
BPPPBP,BPBPPP,PPPPBB,6,P
PPPBBP,BPBPPP,PBPBBP,6,P
BPPBBB,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BPPBBP,6,B
BPPBBB,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BPPBBP,6,B
PPPBBP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BBPPPB,6,P
PBPPPB,BPBPPP,BBPPPB,6,P
BPPBPB,BPBPPP,BBBPPP,6,P
BPBPBP,PBPBBB,BPPPBB,6,B
BPPBBP,PBPBBB,BPBPBB,6,B
BBBBPB,PBPBBB,BBBPBP,6,B
PBBBBB,BPBPPP,PBPBPB,6,P
BPPPPP,BPBPPP,BBPPBP,6,P
PPPBBP,PBPBBB,PBBBBP,6,B
BPBPPB,PBPBBB,BPPPPP,6,B
PPBBBB,BPBPPP,BBBPBP,6,P
BPPBBP,BPBPPP,BBBPPB,6,P
PBPBBP,BPBPPP,BBPBPP,6,P
PBPPPB,BPBPPP,BPPPPB,6,P
PPBPBB,PBPBBB,BBPPBP,6,B
BPBBPB,PBPBBB,PBPBBP,6,B
PPBPBB,PBPBBB,BBPPBP,6,B
BPBBPB,PBPBBB,PBPBBP,6,B
PBBBPP,PBPBBB,BBBBPP,6,B
BBPBBB,BPBPPP,BPPBPP,6,P
PPBPPP,PBPBBB,BBBPBP,6,B
PPBPPP,PBPBBB,BBBPBP,6,B
PPBPPP,PBPBBB,BBBPBP,6,B
BBPBBB,BPBPPP,PPPBPP,6,P
PPBBBP,PBPBBB,PPBBPP,6,B
BBPBBB,BPBPPP,PPPBPP,6,P
PPBBBP,PBPBBB,PPBBPP,6,B
BPBBPP,PBPBBB,BBBPBP,6,B
BPBBBB,PBPBBB,BBPPBP,6,B
BPBPPB,BPBPPP,BBPPBP,6,P
PBBPBP,PBPBBB,BBBPBB,6,B
BBBBPB,BPBPPP,PPBBPB,6,P
PBPPBP,PBPBBB,BBPPBP,6,B
BBBPBP,BPBPPP,BBBBPP,6,P
PPPPPP,BPBPPP,PPPPPB,6,P
PBPBPB,PBPBBB,PBBPBP,6,B
PPBPBP,BPBPPP,BPBPBB,6,P
BBBPPB,BPBPPP,PBBBBB,6,P
BBPPPP,PBPBBB,PPBBPP,6,B
PBPPBP,PBPBBB,BBBBBB,6,B
BPPPBB,PBPBBB,BBPBPB,6,B
BBBBBP,BPBPPP,BPBBBB,6,P
PBPBPP,PBPBBB,BBPBBP,6,B
PPBBBB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,PBBPPP,6,B
PPBPPB,PBPBBB,PPPPBP,6,B
PBBPPP,BPBPPP,BBBPPB,6,P
BBPPBB,BPBPPP,BPBBPB,6,P
BBBBBB,BPBPPP,BBBBBB,6,P
BPPPPP,BPBPPP,BBPPPP,6,P
PBBBBB,PBPBBB,PBPBBP,6,B
PBPBPP,BPBPPP,BBBBBB,6,P
BBBPPP,PBPBBB,PBBBBP,6,B
BBBPBP,BPBPPP,BBPPBB,6,P
BBBBPB,BPBPPP,PPPPBP,6,P
PBBPBP,PBPBBB,BBPPBP,6,B
PBPBBP,PBPBBB,BBPPPP,6,B
PPBBPP,PBPBBB,BBPBBP,6,B
BBBPBB,PBPBBB,PPPPBP,6,B
BBPPBP,PBPBBB,BBPBBP,6,B
BBBBPP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,BBBBBB,6,B
PBPPBB,PBPBBB,BBBPPP,6,B
BPPBBP,PBPBBB,PPBBBP,6,B
PPPBBP,PBPBBB,PBBPPP,6,B
BPPBPB,PBPBBB,BBBPPP,6,B
BPBBBP,PBPBBB,BPPPBB,6,B
BPPBBP,BPBPPP,BPPPBB,6,P
BPPBBP,BPBPPP,BPPPBB,6,P
BPBPPB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,BBBPBB,6,B
BBPPBB,BPBPPP,BBPPBB,6,P
PBBPPB,BPBPPP,BPBBPB,6,P
PPBBBB,PBPBBB,PPBBPB,6,B
BBBPPB,BPBPPP,PBBBBB,6,P
BBBBPB,PBPBBB,PBPPBB,6,B
BPBPBB,PBPBBB,PBPBPB,6,B
PBBBPB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBBBBB,6,P
PPBBBB,PBPBBB,PPBBPB,6,B
BBBPPB,BPBPPP,PBBBBB,6,P
BBBBPB,PBPBBB,PBPPBB,6,B
BPPBPP,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,PBBBBP,6,B
PPBBPP,PBPBBB,PPBPBP,6,B
BBBPPB,PBPBBB,BPBBBB,6,B
BPPPBB,BPBPPP,PBBBPP,6,P
PPBBBP,PBPBBB,PPPBBB,6,B
BPBBBB,PBPBBB,BPBBPB,6,B
PPPPPP,PBPBBB,BBBPPP,6,B
BPBBBP,BPBPPP,BPPPPB,6,P
PPPPBB,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,BBBBBB,6,P
PPBBPP,BPBPPP,PBBBPP,6,P
PPBBPP,BPBPPP,PBBBPP,6,P
BBBPBP,BPBPPP,PPPPPP,6,P
PPPPPP,PBPBBB,BPPPPB,6,B
PPBPPB,BPBPPP,BBBBBB,6,P
PPBBPB,PBPBBB,BPBBBB,6,B
BBBBPP,BPBPPP,PPBBBP,6,P
BBBBPP,PBPBBB,BPBBPB,6,B
PBPPBP,PBPBBB,BPBBBB,6,B
BBBBBP,BPBPPP,PPBBBP,6,P
BPBBPB,PBPBBB,BBPBPP,6,B
BPBBPB,PBPBBB,BBPBPP,6,B
BBPPPP,BPBPPP,BBPPBP,6,P
PPPBBP,PBPBBB,PBBPPB,6,B
BPBBPP,PBPBBB,BBPPPB,6,B
PBPPBP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BBPBPP,6,P
BPBBPP,PBPBBB,BBPPPB,6,B
PBPPBP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BBPBPP,6,P
BPPPPB,PBPBBB,BBPBPB,6,B
PBPBBP,BPBPPP,PBBBBB,6,P
BPPPPB,PBPBBB,BBPBPB,6,B
PBPBBP,BPBPPP,PBBBBB,6,P
BPPPPB,PBPBBB,BBPBPB,6,B
PBPBBP,BPBPPP,PBBBBB,6,P
PPBBPB,BPBPPP,PPPBBP,6,P
PPPPPB,BPBPPP,BPBPBB,6,P
PBPPPB,PBPBBB,BPPPPB,6,B
BBBPBB,BPBPPP,PPBBPB,6,P
PPBBPP,PBPBBB,PPBPBB,6,B
PPBPPP,PBPBBB,BBPPBB,6,B
PPBPPP,PBPBBB,BBPPBB,6,B
PPBPPP,PBPBBB,BBPPBB,6,B
PBBPBB,PBPBBB,BBPPBP,6,B
BPPBBB,BPBPPP,BBPBBB,6,P
PBBPBB,PBPBBB,BBPPBP,6,B
BPPBBB,BPBPPP,BBPBBB,6,P
BBBBBB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BBBBPB,6,B
BBBPPB,PBPBBB,PPPBBP,6,B
PBBPBB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PPPPPP,6,B
BBBPPB,PBPBBB,PPPBBP,6,B
PBBPBB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PPPPPP,6,B
BBBPPB,PBPBBB,PPPBBP,6,B
PBBPBB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PPPPPP,6,B
PBBBBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PBPBPB,6,P
PBBBPP,PBPBBB,BPPBPP,6,B
PBBBBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PBPBPB,6,P
PBBBPP,PBPBBB,BPPBPP,6,B
BPBBPP,PBPBBB,PPBBBP,6,B
BPBBPP,PBPBBB,PPBBBP,6,B
PBPPBB,PBPBBB,BPPBPB,6,B
BPBBPB,BPBPPP,PPBPBB,6,P
BBBPBP,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,BPPBBB,6,B
PBBBPB,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BBBBBP,6,B
BBPBPP,BPBPPP,BPPPPP,6,P
PPPPPP,PBPBBB,BBBPPB,6,B
PBPPPB,BPBPPP,BPPPBP,6,P
BPBPBP,BPBPPP,BBBPBB,6,P
PBBBPB,PBPBBB,BPBBBP,6,B
BBPPBP,PBPBBB,BBPBBB,6,B
BBBPPB,BPBPPP,BBPPPP,6,P
PBPBPB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PPBBBB,6,P
BBPPPP,BPBPPP,BPPPPP,6,P
PPPPPP,BPBPPP,PPPPPB,6,P
PPPPBB,PBPBBB,PPPPBB,6,B
PPPPBB,PBPBBB,PPPPBB,6,B
BBPBPP,BPBPPP,BPPBPB,6,P
BBPPBP,BPBPPP,PBBPBP,6,P
PPBBPB,PBPBBB,PBBBBB,6,B
BBPPBP,BPBPPP,PBBPBP,6,P
PPBBPB,PBPBBB,PBBBBB,6,B
PPBBBP,PBPBBB,BBBBPP,6,B
PPBBPB,PBPBBB,PPPBBP,6,B
BPBBBP,BPBPPP,PPPPPP,6,P
PPBPPB,PBPBBB,BBPPPP,6,B
PPPPBP,BPBPPP,BBBBBP,6,P
BBPBBB,BPBPPP,PPPBPB,6,P
BBPPBB,BPBPPP,BBPPPB,6,P
BBPBPB,BPBPPP,BBPPBP,6,P
PBBPPB,PBPBBB,BPPPPB,6,B
BPPBBB,BPBPPP,BPPPBB,6,P
BPPBPP,PBPBBB,PPBPBB,6,B
BPPBBB,BPBPPP,BPPPBB,6,P
PBPPPP,BPBPPP,BPPPPB,6,P
PBBPPB,PBPBBB,BPBPPB,6,B
BBBPPB,PBPBBB,BPPBBB,6,B
BBBPPB,PBPBBB,BPPBBB,6,B
BBPBPB,PBPBBB,BPBBBP,6,B
BBBPBB,BPBPPP,PBPBPB,6,P
PPPBBP,PBPBBB,PBBPPP,6,B
PPBBPP,PBPBBB,BBPBBP,6,B
BBPPPP,BPBPPP,BBBBBB,6,P
PPPBPP,BPBPPP,PBBPBB,6,P
BPPPPP,BPBPPP,PBBBPB,6,P
PBPPBB,PBPBBB,BBPBBB,6,B
PBPPBB,PBPBBB,BBPBBB,6,B
PBPPBB,PBPBBB,BBPBBB,6,B
BBBPPB,BPBPPP,PBPBBP,6,P
PBBPBB,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,BBBBPP,6,B
PPBBBB,BPBPPP,PBBBPB,6,P
PPBBBB,BPBPPP,PBBBPB,6,P
BBPPPP,PBPBBB,BPBPPB,6,B
BPPBBP,PBPBBB,BPPPPP,6,B
PPPPPP,BPBPPP,BBBPBP,6,P
BPPPBB,BPBPPP,PBPBPB,6,P
PBBBBP,BPBPPP,BBBBBP,6,P
PBBBPP,BPBPPP,BBBPPB,6,P
BBPPPP,BPBPPP,PPPPBB,6,P
BPPBPP,PBPBBB,BPBBPP,6,B
BPPBPP,PBPBBB,BPBBPP,6,B
BBBPPB,BPBPPP,PPBPBP,6,P
PPPPPB,PBPBBB,BBPBBB,6,B
PPPBPB,PBPBBB,BPPPBB,6,B
PPBPBP,PBPBBB,BPBPBP,6,B
PBBBBP,PBPBBB,BPBBPB,6,B
PBBBBP,PBPBBB,BPBBPB,6,B
PBBPBB,PBPBBB,PBBBPP,6,B
PBBPBB,BPBPPP,PPPPPB,6,P
PPPBPB,PBPBBB,BBPPPB,6,B
BBPPPP,BPBPPP,BPBPBB,6,P
BPBPBP,PBPBBB,PPPBBP,6,B
BPBPBP,PBPBBB,PPPBBP,6,B
BPBBBB,PBPBBB,BBBPBP,6,B
BPPBPP,PBPBBB,PBPPBP,6,B
PBBBPP,PBPBBB,PPPPBP,6,B
BBBBPP,BPBPPP,BPPBBP,6,P
BBBBPP,BPBPPP,BBPBBP,6,P
PBBBPP,BPBPPP,PPBBBP,6,P
BBPPPB,BPBPPP,PBPBPB,6,P
BBPBBB,PBPBBB,BPPBBP,6,B
PPPPBB,PBPBBB,BPPBPP,6,B
BBBPPP,BPBPPP,BBPBPP,6,P
PBBBBB,PBPBBB,PPPBBP,6,B
PBBPPB,BPBPPP,PPBPPP,6,P
PBBPPB,BPBPPP,PPBPPP,6,P
PBPPBB,BPBPPP,BBBBPP,6,P
BPPBPB,PBPBBB,BBPPPP,6,B
PPBBBB,BPBPPP,PBPPPP,6,P
BPBPPB,PBPBBB,PBBBBP,6,B
PBBPBP,PBPBBB,PBPBPB,6,B
BBPBPB,PBPBBB,BPPPPB,6,B
PPBPPB,PBPBBB,BBBBPP,6,B
BBPPBP,PBPBBB,PBPBBP,6,B
BPBBBB,PBPBBB,BBBBBB,6,B
PBBPPP,PBPBBB,BPBPBP,6,B
PBBBBP,BPBPPP,BPPPBP,6,P
BBPBBB,PBPBBB,BBPPBB,6,B
PPBBPB,PBPBBB,PPPPBP,6,B
BPPPPB,PBPBBB,BBPPPP,6,B
BPPPPB,PBPBBB,BPBBBP,6,B
PBBPPB,PBPBBB,BPPPPB,6,B
PPPBBB,PBPBBB,PBBBPB,6,B
PBBPPB,PBPBBB,BPPPPB,6,B
PPPBBB,PBPBBB,PBBBPB,6,B
PBBPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,BBBBBB,6,P
PBBPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,BBBBBB,6,P
BBPBPB,PBPBBB,PPPPPP,6,B
BBPBPB,PBPBBB,PPPPPP,6,B
PPBPPP,BPBPPP,PPBBPP,6,P
PPBPPP,BPBPPP,PPBBPP,6,P
BPPPPB,PBPBBB,BPBBPP,6,B
PPPPBB,BPBPPP,BPBBBB,6,P
PBBPBB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBPPPP,6,P
BPBPBB,PBPBBB,BBPBPB,6,B
PBBPBB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBPPPP,6,P
BPPPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,PPBBBB,6,P
BPBPPB,BPBPPP,PBPBPP,6,P
PBPPPP,BPBPPP,BPPPPB,6,P
BPPBBB,PBPBBB,BPPPPP,6,B
BPPBBB,BPBPPP,BBPBBP,6,P
BPPPBB,PBPBBB,BPBBBB,6,B
PBBBPB,BPBPPP,PPPPPB,6,P
PPPPPP,BPBPPP,BPPPBP,6,P
BBBBBB,BPBPPP,BBPBBP,6,P
BBPBBP,PBPBBB,PPPPBP,6,B
PPPPBB,PBPBBB,PBPPBB,6,B
BPBPBB,PBPBBB,BBPPBB,6,B
PPBBPB,PBPBBB,BBBBBB,6,B
BPBBBB,BPBPPP,BBBBPB,6,P
PPPPBB,PBPBBB,PBBBPP,6,B
PPPPBB,PBPBBB,PBBBPP,6,B
PBBBPP,BPBPPP,BPPBBB,6,P
BBPBBB,PBPBBB,BPPBPP,6,B
PBBBPP,BPBPPP,BPPBBB,6,P
BBPBBB,PBPBBB,BPPBPP,6,B
PBBBPP,BPBPPP,BPPBBB,6,P
BBPBBB,PBPBBB,BPPBPP,6,B
PBPPBB,PBPBBB,PPBBPB,6,B
BPBBBP,BPBPPP,PPPBPP,6,P
BBPBBP,PBPBBB,BPPPBP,6,B
BPPBBB,PBPBBB,BPBBPP,6,B
PPBBPB,PBPBBB,PPPBBB,6,B
PPBBPB,PBPBBB,PPPBBB,6,B
BPPBBP,PBPBBB,BBPPPB,6,B
PPPBPB,BPBPPP,BPPBBB,6,P
PPBPPB,BPBPPP,PBPPPP,6,P
PPBPPB,BPBPPP,PBPPPP,6,P
PPBBBB,BPBPPP,PPBPBP,6,P
PPPPPB,PBPBBB,PBBPBB,6,B
PPBPPP,PBPBBB,PPBPBP,6,B
PBBBPP,BPBPPP,BPBPBP,6,P
BPPPBP,BPBPPP,BBBBPB,6,P
BBBBBB,BPBPPP,BBPPPP,6,P
BPBPBB,PBPBBB,PPPBBP,6,B
BBPBBP,BPBPPP,PPPPPP,6,P
PPPPBP,BPBPPP,BBBPPB,6,P
BPPBBP,PBPBBB,BBBPBP,6,B
BBBBBB,PBPBBB,BBPBPP,6,B
PBPBBP,BPBPPP,BBPPBB,6,P
BBPPPB,BPBPPP,PBPPBP,6,P
PBPBBP,BPBPPP,BBPPBB,6,P
BBPPPB,BPBPPP,PBPPBP,6,P
PBPPPP,PBPBBB,BBBBPB,6,B
BBBBBB,PBPBBB,BBPBBP,6,B
BPBBPP,PBPBBB,PBBPBB,6,B
BPBPPB,BPBPPP,BBBBBP,6,P
PBPBPP,BPBPPP,BBBBBP,6,P
BPBPPB,BPBPPP,BBBBBP,6,P
PBBBBB,PBPBBB,BPPBBB,6,B
BBPBPB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BBPPPP,6,B
BBPBPB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BBPPPP,6,B
BPBPBP,BPBPPP,PBBPBB,6,P
BPBPBP,BPBPPP,PBBPBB,6,P
BPBPBP,BPBPPP,PBBPBB,6,P
BPBPBP,BPBPPP,PBBPBB,6,P
BBPBPB,PBPBBB,BBBBPB,6,B
BBBPBP,PBPBBB,BBBPBB,6,B
BPPPBB,BPBPPP,PBPBBP,6,P
BBBBPB,BPBPPP,BBPBPP,6,P
BPPPBP,PBPBBB,BBBPBP,6,B
PBBBBB,BPBPPP,BBBPBB,6,P
BPPBPP,BPBPPP,BBBPPP,6,P
PPPBBB,PBPBBB,PPPBBB,6,B
PPBPBP,PBPBBB,BBPPBP,6,B
BBBPBB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,BPPBPB,6,B
PBBPPB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBBPPB,6,P
BBBPBP,PBPBBB,BBBPBP,6,B
PBPBPP,BPBPPP,PBBBBP,6,P
PBPBPP,BPBPPP,PBBBBP,6,P
BPPBPB,PBPBBB,PPPPBB,6,B
BBBBBP,PBPBBB,PBBPPB,6,B
PPPBBB,PBPBBB,BBPPBP,6,B
PBBPPP,PBPBBB,PPPBBB,6,B
PBPBPP,BPBPPP,PBPPPP,6,P
PBPBPP,BPBPPP,PBPPPP,6,P
BPPPBP,PBPBBB,BPPBPP,6,B
PBBPBB,PBPBBB,PPPPPB,6,B
PBBPBP,PBPBBB,BPPBPP,6,B
PPBBPP,PBPBBB,BPBPBP,6,B
PBBBBP,BPBPPP,BBBPBP,6,P
PPBBPP,PBPBBB,BPBPBP,6,B
PBBBBP,BPBPPP,BBBPBP,6,P
BPPPPB,PBPBBB,PPBBBB,6,B
BPBBBP,PBPBBB,PBPBPP,6,B
BBPPBB,PBPBBB,BBBBPP,6,B
PBBPPB,BPBPPP,BPBBBB,6,P
BBPBPP,BPBPPP,BBPBPP,6,P
BPBPBP,PBPBBB,PBPBBP,6,B
BPBPBP,PBPBBB,PBPBBP,6,B
BBBPBB,PBPBBB,BPBBBP,6,B
BBBPBB,PBPBBB,BPBBBP,6,B
PPBBBP,BPBPPP,PPPBBP,6,P
PPPPBB,BPBPPP,BBBPPB,6,P
PPBPBP,BPBPPP,PBPBBP,6,P
BPPBBB,BPBPPP,BBPPPP,6,P
BPPBPB,BPBPPP,PPPBBB,6,P
PPBPPB,PBPBBB,BBPPBB,6,B
PPBPPB,PBPBBB,BBPPBB,6,B
BBBBBP,PBPBBB,BPPPPB,6,B
PPBBBP,BPBPPP,PPBPBP,6,P
BBPPBP,BPBPPP,PBBPPB,6,P
PPPPPP,PBPBBB,BBBBBP,6,B
BBBBBB,BPBPPP,PBBPPP,6,P
PPPBPP,BPBPPP,BPBBPB,6,P
PBPBBP,BPBPPP,BPPPBP,6,P
PPPBPP,BPBPPP,BPBBPB,6,P
PBPPBP,PBPBBB,PPPPPP,6,B
PBPBBP,PBPBBB,PPBBBB,6,B
PBBBPP,BPBPPP,PBBPBB,6,P
BPPPPB,PBPBBB,BPBPBB,6,B
BPPBPB,PBPBBB,BBBPPP,6,B
PPBBBB,PBPBBB,PBBPBB,6,B
PPBBBP,PBPBBB,PPPPBP,6,B
PPPPBB,BPBPPP,BBPBPP,6,P
PBPPBP,PBPBBB,BBPBPP,6,B
PPBPBP,PBPBBB,BPBBBP,6,B
BBBPBB,BPBPPP,BBPPBB,6,P
PBBBPP,PBPBBB,PBPBPP,6,B
BPBBBP,BPBPPP,PPBBPP,6,P
PPPBBB,PBPBBB,BPBBBB,6,B
BBPBBB,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,BBBBPP,6,P
BPPPPP,BPBPPP,PPBPBB,6,P
PPBPBB,PBPBBB,PPPBBP,6,B
PPBPBB,PBPBBB,PPPBBP,6,B
PPBPBB,PBPBBB,PPPBBP,6,B
BBPPBB,PBPBBB,BBBBPB,6,B
BBBBBB,BPBPPP,PPPPPP,6,P
BBPPPB,PBPBBB,BBBPBB,6,B
BBBPBB,PBPBBB,PBPBPP,6,B
BPBBBP,BPBPPP,PBBPBB,6,P
PBPBBP,BPBPPP,BBBBPB,6,P
PBBPPB,BPBPPP,PBPPPP,6,P
BBBPPP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,PPPPPP,6,B
BBBPPP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,PPPPPP,6,B
BPBBBB,BPBPPP,PPBPPB,6,P
PBBBPP,BPBPPP,PBBPPB,6,P
BPPBBB,PBPBBB,PPPBPB,6,B
PPBBBB,BPBPPP,BBBBBP,6,P
BPBBPB,PBPBBB,BBBBPP,6,B
BBPBPB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BPPPPP,6,B
BPPPBP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PPBPPP,6,B
PBPPPP,PBPBBB,PPBPPP,6,B
PBPPBP,BPBPPP,BBBPPB,6,P
BBPPPP,BPBPPP,BBPPBP,6,P
BBPPPP,PBPBBB,BPPBPP,6,B
PPBBPB,PBPBBB,PPPBPB,6,B
PBBBPP,PBPBBB,PPPBBB,6,B
BPBPBB,PBPBBB,PPPPBB,6,B
BPBPBB,PBPBBB,PPPPBB,6,B
BPBBBB,PBPBBB,BBBPPB,6,B
BBBBBP,BPBPPP,BBPPBP,6,P
PBBBPB,PBPBBB,PBBBPB,6,B
BPPPBP,BPBPPP,PPBBBP,6,P
BBBPPB,PBPBBB,PBBBBB,6,B
BPPPBP,BPBPPP,PPBBBP,6,P
BBBPPB,PBPBBB,PBBBBB,6,B
PBBPBP,PBPBBB,BBPBBP,6,B
PBBBBB,BPBPPP,PBBBBP,6,P
PPBPBP,PBPBBB,PPPBPP,6,B
PBPPPB,PBPBBB,PPPPPP,6,B
PPPBPB,BPBPPP,BBPPPB,6,P
PPBPPP,PBPBBB,PBBPPB,6,B
BPPPPP,PBPBBB,BPBBPB,6,B
BBPBBP,PBPBBB,PPPBPP,6,B
BPBBBB,BPBPPP,PBPPBP,6,P
PPPPBP,PBPBBB,BBPBPB,6,B
BBBBBP,BPBPPP,BPBBBB,6,P
PBPBPP,PBPBBB,BPPPBP,6,B
PPBBBB,PBPBBB,BPPPPB,6,B
BBPPBP,BPBPPP,PBBPBB,6,P
BBBBBP,PBPBBB,BBPPBP,6,B
BBBBPP,BPBPPP,BBBBBP,6,P
PBPPBP,PBPBBB,PPBPPB,6,B
BPBBPP,BPBPPP,PBPBPB,6,P
PPBPPP,BPBPPP,BBPBBP,6,P
