before,clash_cut,after,pattern
PPBPPB,BBPPBB,PBBBPB,2-2-2(t-cut)
BBPBBP,BBPPBB,BPPBBP,2-2-2(t-cut)
PBBPPB,BBPPBB,PPPBPB,2-2-2(t-cut)
BPPBBB,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPBPP,PPBBPP,BPBBBP,2-2-2(t-cut)
PPPBPP,PPBBPP,BPBBBP,2-2-2(t-cut)
BBPBBP,BBPPBB,PPPBBP,2-2-2(t-cut)
PBBPBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPBPBP,2-2-2(t-cut)
PPBPPP,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPPPPB,2-2-2(t-cut)
BPPPBP,PPBBPP,PPBPPP,2-2-2(t-cut)
PPPPBP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBPBPB,BBPPBB,PBPBPB,2-2-2(t-cut)
BPBPBP,PPBBPP,BBPPPB,2-2-2(t-cut)
BPBPPP,BBPPBB,PPPBBP,2-2-2(t-cut)
BPPPBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BBBBPB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPPB,PPBBPP,PPBBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,BPBBPB,2-2-2(t-cut)
PPBPPP,PPBBPP,BBPBPP,2-2-2(t-cut)
BPPPPP,BBPPBB,PBPPPP,2-2-2(t-cut)
PBBBPP,PPBBPP,PBPPPP,2-2-2(t-cut)
PPPPBB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBPPBB,BBPPBB,BPPPPP,2-2-2(t-cut)
PBPPBB,BBPPBB,BPPPPP,2-2-2(t-cut)
BBPPBP,BBPPBB,PPPPBP,2-2-2(t-cut)
PPBPBB,PPBBPP,PPBPBB,2-2-2(t-cut)
PPPBPB,PPBBPP,PBBBBP,2-2-2(t-cut)
BBPPBP,BBPPBB,PPPPBP,2-2-2(t-cut)
PPBPBB,PPBBPP,PPBPBB,2-2-2(t-cut)
BPBPBP,PPBBPP,BPPPPB,2-2-2(t-cut)
BPPBPP,PPBBPP,PPPPBB,2-2-2(t-cut)
BPPBBP,PPBBPP,BPPPBP,2-2-2(t-cut)
PPPPBB,BBPPBB,PPPPBB,2-2-2(t-cut)
PPBBBB,PPBBPP,PPBBPB,2-2-2(t-cut)
PBPPBP,PPBBPP,PPPPPB,2-2-2(t-cut)
BPPPPP,PPBBPP,BPPBBB,2-2-2(t-cut)
BBBPBB,BBPPBB,BPBPBB,2-2-2(t-cut)
BPPBPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PPBPBP,2-2-2(t-cut)
BPPBPP,PPBBPP,BPBBBP,2-2-2(t-cut)
PPPBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
PPBPBP,PPBBPP,BBBPBB,2-2-2(t-cut)
BPBPPP,BBPPBB,BPBBPP,2-2-2(t-cut)
PPPBBB,BBPPBB,PBPPBP,2-2-2(t-cut)
PBPPBP,BBPPBB,BPPBBP,2-2-2(t-cut)
PBBPPB,BBPPBB,PBBBBB,2-2-2(t-cut)
BPBBBB,BBPPBB,BBPPPB,2-2-2(t-cut)
BBPBPB,PPBBPP,BPPPPB,2-2-2(t-cut)
BPPBPB,BBPPBB,BPBBBP,2-2-2(t-cut)
PPPPBP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBPBB,2-2-2(t-cut)
PBPBBP,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPPBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BPBPPP,2-2-2(t-cut)
BBBPBP,PPBBPP,BPPPPB,2-2-2(t-cut)
BPPPPB,BBPPBB,PPBBBB,2-2-2(t-cut)
PPPBBB,PPBBPP,BBBBBP,2-2-2(t-cut)
PBBBPP,BBPPBB,BBBPPP,2-2-2(t-cut)
PBPBPP,PPBBPP,PPBPPB,2-2-2(t-cut)
BBBBPP,PPBBPP,PPBPPP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBBBP,2-2-2(t-cut)
BPPPBP,PPBBPP,BBPBPB,2-2-2(t-cut)
PPBPPP,BBPPBB,PBPBPB,2-2-2(t-cut)
BPBBPP,PPBBPP,PBBBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PBBPBB,BBPPBB,PPBPBP,2-2-2(t-cut)
BPBBBB,PPBBPP,BPBPBB,2-2-2(t-cut)
BBPPPP,PPBBPP,PPPBPB,2-2-2(t-cut)
PPPPBP,BBPPBB,BPBBPB,2-2-2(t-cut)
PPBBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
BPBBBP,PPBBPP,BPPBBB,2-2-2(t-cut)
PPBPPB,BBPPBB,BPBPPB,2-2-2(t-cut)
BPBBBP,PPBBPP,BPPBPP,2-2-2(t-cut)
BBPBPB,PPBBPP,PBPPPP,2-2-2(t-cut)
PPPBPB,BBPPBB,PBBBBB,2-2-2(t-cut)
PBBPPB,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBPBB,BBPPBB,PBPPPP,2-2-2(t-cut)
BBBPBB,BBPPBB,PBBPBB,2-2-2(t-cut)
PBBPBP,PPBBPP,BPPPPP,2-2-2(t-cut)
PPBPBP,BBPPBB,BBPPPP,2-2-2(t-cut)
PPPPBP,PPBBPP,PPBPBB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBPPPP,2-2-2(t-cut)
PBBBPB,PPBBPP,PPBBPB,2-2-2(t-cut)
PBPBPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BPBBPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBPPBP,2-2-2(t-cut)
BPPPPB,BBPPBB,BPBPBP,2-2-2(t-cut)
BBPBPP,PPBBPP,BPBPBB,2-2-2(t-cut)
BPBBBP,BBPPBB,PBPPBB,2-2-2(t-cut)
BPBBPB,PPBBPP,PPPBBP,2-2-2(t-cut)
BPPBPB,PPBBPP,PPBBBP,2-2-2(t-cut)
PPBPPP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,PBBBPP,2-2-2(t-cut)
PBBBPP,PPBBPP,BBBBBB,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PPPBBB,2-2-2(t-cut)
BBBPBB,PPBBPP,PBBBBP,2-2-2(t-cut)
BPPPBB,BBPPBB,BPBBPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPBBP,PPBBPP,BPPPBP,2-2-2(t-cut)
PPBPPB,BBPPBB,PBBPPB,2-2-2(t-cut)
PPBBPB,PPBBPP,PPBBPB,2-2-2(t-cut)
BPBPPB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPPPPP,2-2-2(t-cut)
BBPBBP,BBPPBB,PPPBPB,2-2-2(t-cut)
PBBPBB,PPBBPP,PBPBBP,2-2-2(t-cut)
BBBPBP,BBPPBB,BBPPPP,2-2-2(t-cut)
BPPBPB,BBPPBB,PPBBPP,2-2-2(t-cut)
PBPBBB,PPBBPP,BBPPPP,2-2-2(t-cut)
PBBBPP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,PPPPPB,2-2-2(t-cut)
PPPBPB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PBPBPP,2-2-2(t-cut)
BBPBPB,BBPPBB,BPPBBP,2-2-2(t-cut)
BBBPPB,BBPPBB,PPBPPP,2-2-2(t-cut)
BPPBBB,PPBBPP,BPPPBP,2-2-2(t-cut)
BPBPBB,BBPPBB,BBBBBP,2-2-2(t-cut)
BPBBPB,BBPPBB,PBBPBB,2-2-2(t-cut)
BBPBPB,BBPPBB,BPBBBP,2-2-2(t-cut)
PPBBPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PPPBBB,BBPPBB,PPBBPB,2-2-2(t-cut)
PBBBBB,PPBBPP,BBPBPB,2-2-2(t-cut)
BBBBPP,BBPPBB,PBPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BPBBPP,2-2-2(t-cut)
PPPPPP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,BBPBPP,2-2-2(t-cut)
BPPBPP,BBPPBB,PBPPPB,2-2-2(t-cut)
PBPPBP,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBBBP,PPBBPP,PPPPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,BPBBPB,2-2-2(t-cut)
PBPPPP,PPBBPP,BBBPBB,2-2-2(t-cut)
PPPPPP,BBPPBB,BPBBPP,2-2-2(t-cut)
PBPPPB,PPBBPP,PPPPBB,2-2-2(t-cut)
BPPBPB,PPBBPP,BPBBPP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPPPBP,2-2-2(t-cut)
PBBPPP,PPBBPP,BPBPBB,2-2-2(t-cut)
BBPBPB,BBPPBB,PPBBBP,2-2-2(t-cut)
PBPBBB,PPBBPP,BBBPBP,2-2-2(t-cut)
PBBBPP,BBPPBB,BPBPBP,2-2-2(t-cut)
PBBBPB,PPBBPP,PPBPPB,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBPPP,2-2-2(t-cut)
BBPBPB,PPBBPP,BPBBPP,2-2-2(t-cut)
BBPPBP,BBPPBB,PPBPPP,2-2-2(t-cut)
PPBPBB,PPBBPP,BPPPBB,2-2-2(t-cut)
BBPPBP,PPBBPP,BBBBPB,2-2-2(t-cut)
PPBPPP,BBPPBB,BBPBBP,2-2-2(t-cut)
BBPPPB,PPBBPP,BPBBBP,2-2-2(t-cut)
BPPPBP,PPBBPP,PBPPBP,2-2-2(t-cut)
PBBBPP,PPBBPP,PBPBPB,2-2-2(t-cut)
BBBPBP,PPBBPP,PPBPBB,2-2-2(t-cut)
PPBPPB,BBPPBB,PBPBPP,2-2-2(t-cut)
BPBBBB,BBPPBB,PPPPBB,2-2-2(t-cut)
BBBBBB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBBBP,BBPPBB,BPPPPB,2-2-2(t-cut)
BPPPPP,PPBBPP,PPPPBP,2-2-2(t-cut)
PPBPPB,PPBBPP,PBPPPP,2-2-2(t-cut)
BPBBBP,PPBBPP,PPBBPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PBPPBP,2-2-2(t-cut)
PPPPBB,BBPPBB,PBBBPP,2-2-2(t-cut)
PPBBPB,BBPPBB,PPBPPB,2-2-2(t-cut)
BBPBBB,PPBBPP,BPPBBP,2-2-2(t-cut)
PBPPBP,PPBBPP,PPPBBP,2-2-2(t-cut)
PBPBPB,BBPPBB,PPBBBB,2-2-2(t-cut)
PBPBBB,PPBBPP,BBBBBB,2-2-2(t-cut)
PBBBPP,BBPPBB,BBBBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PBPBBP,2-2-2(t-cut)
BPPPPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BPPBBP,2-2-2(t-cut)
BPPPPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBBPP,PPBBPP,BBBBBB,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBBPP,2-2-2(t-cut)
BPBBPB,BBPPBB,BPBBPP,2-2-2(t-cut)
BBPPBP,BBPPBB,PBBBBB,2-2-2(t-cut)
BPBPPB,BBPPBB,BBBPPB,2-2-2(t-cut)
PBPPPB,PPBBPP,BBBBPB,2-2-2(t-cut)
PPPBPP,BBPPBB,BBPBPP,2-2-2(t-cut)
BPBBBP,PPBBPP,PBPPPB,2-2-2(t-cut)
PPBPPB,PPBBPP,BBBPBB,2-2-2(t-cut)
BPPBPP,BBPPBB,BPBBPP,2-2-2(t-cut)
BBBBBP,BBPPBB,PPPPPB,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPBBP,2-2-2(t-cut)
PBBPBP,PPBBPP,BPBPBB,2-2-2(t-cut)
BBBPPP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPBP,BBPPBB,PPBPPP,2-2-2(t-cut)
BPBPBB,PPBBPP,BPPPPB,2-2-2(t-cut)
PPBPPB,BBPPBB,BPBBPP,2-2-2(t-cut)
BPPBBP,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBPBP,PPBBPP,PPPBPB,2-2-2(t-cut)
BPBBBP,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPBBP,PPBBPP,PBPBPB,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBPPB,2-2-2(t-cut)
BPBPPP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBPPBP,BBPPBB,PPPBBP,2-2-2(t-cut)
PPBPBB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BBPPBB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPBBPB,2-2-2(t-cut)
BPPPBB,PPBBPP,BBPBBP,2-2-2(t-cut)
PPBBPP,BBPPBB,PBBPBP,2-2-2(t-cut)
BBPBPB,BBPPBB,BPPPPP,2-2-2(t-cut)
PPBBBB,BBPPBB,BPPPBB,2-2-2(t-cut)
BBBBPB,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPBPB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBPBPP,2-2-2(t-cut)
PPBPPB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BBPPBB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPBBBP,2-2-2(t-cut)
BPPPBB,PPBBPP,BBBPBP,2-2-2(t-cut)
PPBBPP,BBPPBB,BPBPBP,2-2-2(t-cut)
PBBBBB,BBPPBB,PBBPPP,2-2-2(t-cut)
BPPBBP,BBPPBB,BPPPBP,2-2-2(t-cut)
PBPBPB,BBPPBB,PPBBPP,2-2-2(t-cut)
PBPBBB,PPBBPP,BBPPPP,2-2-2(t-cut)
PBBBPP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,PPPPPB,2-2-2(t-cut)
PPBPBB,BBPPBB,PBPBPP,2-2-2(t-cut)
BBBBPB,PPBBPP,PPBBPB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPBBPB,2-2-2(t-cut)
PPBPBB,BBPPBB,PBPBBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BPPBPB,2-2-2(t-cut)
PPBBBP,PPBBPP,PPPPPP,2-2-2(t-cut)
BBBBPP,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBBBP,BBPPBB,PPPPBP,2-2-2(t-cut)
BBPPBP,BBPPBB,PPPBPB,2-2-2(t-cut)
PPBPBB,PPBBPP,PBPBBB,2-2-2(t-cut)
PPBBPB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBPBBB,2-2-2(t-cut)
PPBPPB,PPBBPP,PBPBBB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPPBPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PPPPBB,2-2-2(t-cut)
PBBPBB,PPBBPP,PPBBPB,2-2-2(t-cut)
BPBPBP,BBPPBB,BBPBBP,2-2-2(t-cut)
BBBPBP,BBPPBB,PBPPBP,2-2-2(t-cut)
BPBBPB,PPBBPP,BPBPBB,2-2-2(t-cut)
BBBPPB,PPBBPP,PPBBPB,2-2-2(t-cut)
BBPBBP,BBPPBB,PPBBBB,2-2-2(t-cut)
PBBPBB,PPBBPP,BBBBBB,2-2-2(t-cut)
BPBBPP,BBPPBB,BBBBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPPBP,2-2-2(t-cut)
BPBBBP,BBPPBB,PPBPBP,2-2-2(t-cut)
BBBPBB,PPBBPP,BPBPPP,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPPPPP,2-2-2(t-cut)
PBBPBB,PPBBPP,PPPPPP,2-2-2(t-cut)
BBBBBB,BBPPBB,BPPBPP,2-2-2(t-cut)
BBBBPP,PPBBPP,PBBBPB,2-2-2(t-cut)
PPBBBP,BBPPBB,PBBBBP,2-2-2(t-cut)
BPBBBP,PPBBPP,PPPPBB,2-2-2(t-cut)
BBBPPP,PPBBPP,BPBPBB,2-2-2(t-cut)
BPPPPB,BBPPBB,BBPBPP,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPPPPB,2-2-2(t-cut)
BBBBBB,PPBBPP,PPPBBB,2-2-2(t-cut)
PPBBBB,BBPPBB,BPPPPP,2-2-2(t-cut)
BBBBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
BPBBBP,BBPPBB,PBPPPB,2-2-2(t-cut)
PPBPPB,BBPPBB,PBPPBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BPBPBP,2-2-2(t-cut)
PPPPBB,BBPPBB,BPBBBP,2-2-2(t-cut)
PBPBPB,BBPPBB,PBPPPP,2-2-2(t-cut)
BPBBBP,BBPPBB,BPPBBP,2-2-2(t-cut)
PBBPPB,BBPPBB,PBBBBP,2-2-2(t-cut)
BBPBBB,BBPPBB,PBBBBP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPBPBP,2-2-2(t-cut)
PPBPBP,PPBBPP,PBBPBP,2-2-2(t-cut)
PPBPBP,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPPBB,BBPPBB,BPBBPB,2-2-2(t-cut)
BPPBBB,BBPPBB,PPPBBB,2-2-2(t-cut)
PBBBBB,PPBBPP,PBBBBB,2-2-2(t-cut)
PPPPPB,PPBBPP,BBBPPP,2-2-2(t-cut)
PPPBPP,BBPPBB,BPPPBB,2-2-2(t-cut)
BBPBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
PBBBPP,PPBBPP,BPPBBB,2-2-2(t-cut)
BBBPPB,PPBBPP,BBBPBP,2-2-2(t-cut)
BPPBPP,BBPPBB,BPBPPP,2-2-2(t-cut)
PBPBBB,BBPPBB,PPPBPP,2-2-2(t-cut)
PBBBBB,PPBBPP,PBPPPP,2-2-2(t-cut)
PBPPPB,BBPPBB,PBPPPB,2-2-2(t-cut)
PBBBPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBPPPB,2-2-2(t-cut)
PBBBBP,PPBBPP,BBBPBB,2-2-2(t-cut)
BBBPPP,BBPPBB,BPBBPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
PPBPBP,BBPPBB,BBPPPB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BPBBBB,BBPPBB,BBBBBP,2-2-2(t-cut)
PBPPBP,PPBBPP,BPBBBP,2-2-2(t-cut)
PBPBBP,PPBBPP,PBBBBB,2-2-2(t-cut)
PPPBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PPBPBP,BBPPBB,PBBBBB,2-2-2(t-cut)
BPPPBB,BBPPBB,BBBPBB,2-2-2(t-cut)
PPPPPB,BBPPBB,PBBPBB,2-2-2(t-cut)
BBPBPP,PPBBPP,PBPBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,BPBPBP,2-2-2(t-cut)
BBPPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
BBBPBP,PPBBPP,PPBBBP,2-2-2(t-cut)
PPBBBP,BBPPBB,BBPBPP,2-2-2(t-cut)
PPPPBB,BBPPBB,PBBBPP,2-2-2(t-cut)
BBPPPB,BBPPBB,BPPBPB,2-2-2(t-cut)
BPPBPB,BBPPBB,PPPPBP,2-2-2(t-cut)
PBPBBB,PPBBPP,PPBPBB,2-2-2(t-cut)
PPPBPB,PPBBPP,BBPPPB,2-2-2(t-cut)
PBPBPP,BBPPBB,PPPBBB,2-2-2(t-cut)
PBPPBB,PPBBPP,PBBBPB,2-2-2(t-cut)
PPBBBP,PPBBPP,BBBPBP,2-2-2(t-cut)
BBBPPP,BBPPBB,BPBPBB,2-2-2(t-cut)
BPPPPP,PPBBPP,PBBPBP,2-2-2(t-cut)
PBPBBP,PPBBPP,BBBPBB,2-2-2(t-cut)
PBBPPP,BBPPBB,BPBBBP,2-2-2(t-cut)
BBBPBB,BBPPBB,PBBBBP,2-2-2(t-cut)
PBPBBP,BBPPBB,BBBPBP,2-2-2(t-cut)
BBPBPB,BBPPBB,PBPBBP,2-2-2(t-cut)
BPBPPB,PPBBPP,PPPBBP,2-2-2(t-cut)
PPBBPB,BBPPBB,PPBBPP,2-2-2(t-cut)
BBPBBB,PPBBPP,BBPPBP,2-2-2(t-cut)
PBBBPP,BBPPBB,PPBPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,BPPPPB,2-2-2(t-cut)
PPBPBP,BBPPBB,PBPPPB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBPBBP,2-2-2(t-cut)
BPBPPB,BBPPBB,BBBPBB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBPBBP,2-2-2(t-cut)
BPBBBP,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PPPBBP,2-2-2(t-cut)
PPBBBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPBPBP,2-2-2(t-cut)
PPPPPP,PPBBPP,BBPBPB,2-2-2(t-cut)
PPPPPP,BBPPBB,PBPBPP,2-2-2(t-cut)
PPBPBP,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPPPB,BBPPBB,PPBPPP,2-2-2(t-cut)
PPPBBB,PPBBPP,BPPPPP,2-2-2(t-cut)
PBBPBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BPBPBB,PPBBPP,PPPPBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BPBPPP,2-2-2(t-cut)
PBBBBP,BBPPBB,BPPBPP,2-2-2(t-cut)
BBBPPB,PPBBPP,PBBBBB,2-2-2(t-cut)
BPPBPP,PPBBPP,BPPPPP,2-2-2(t-cut)
PPPPBP,PPBBPP,BBPBPP,2-2-2(t-cut)
PPBPPP,BBPPBB,PBPPPB,2-2-2(t-cut)
BPBPPB,PPBBPP,PPBBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BPPPPP,2-2-2(t-cut)
PPBPPB,BBPPBB,PBPBBP,2-2-2(t-cut)
BBBBBB,BBPPBB,BPBBBP,2-2-2(t-cut)
PPBPBB,BBPPBB,PBBBPB,2-2-2(t-cut)
PBBBPB,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BBBPBB,2-2-2(t-cut)
BPBBPB,PPBBPP,PBBBPP,2-2-2(t-cut)
BPBBPB,PPBBPP,BPPBPB,2-2-2(t-cut)
BPPPPP,PPBBPP,BBBBPB,2-2-2(t-cut)
PPPPPP,BBPPBB,BBPBBB,2-2-2(t-cut)
PPPBPB,BBPPBB,BPBPBB,2-2-2(t-cut)
PBPPBP,PPBBPP,BPBPBB,2-2-2(t-cut)
PPPBPB,BBPPBB,PPPPBP,2-2-2(t-cut)
PBPBBB,PPBBPP,PPBPPP,2-2-2(t-cut)
BBPPPP,PPBBPP,PPBBBP,2-2-2(t-cut)
BPPPPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PPPBPB,PPBBPP,BPPBBB,2-2-2(t-cut)
BBPPPB,BBPPBB,PPPBPP,2-2-2(t-cut)
PPPBBB,PPBBPP,PBPPBB,2-2-2(t-cut)
BPBPBB,BBPPBB,PBBPBB,2-2-2(t-cut)
BBBBBP,BBPPBB,BPPBPP,2-2-2(t-cut)
PBBBBP,PPBBPP,PBBBPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PPPPPB,2-2-2(t-cut)
BPBPBB,PPBBPP,PPPBBB,2-2-2(t-cut)
BPBPBB,BBPPBB,BBBBBB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPBPBP,2-2-2(t-cut)
PBBPBB,PPBBPP,BPBPBP,2-2-2(t-cut)
BPBBBB,BBPPBB,PBBPBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BBPPBP,2-2-2(t-cut)
BPBPPP,BBPPBB,PPBPPB,2-2-2(t-cut)
BPPPBB,PPBBPP,BPPBBB,2-2-2(t-cut)
PBBPBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,PPBBBB,2-2-2(t-cut)
PBBBBB,PPBBPP,BBBBBB,2-2-2(t-cut)
BBBBPP,BBPPBB,BBBBPB,2-2-2(t-cut)
PPPPPB,PPBBPP,PPBPPP,2-2-2(t-cut)
PBPPBB,BBPPBB,BBPPBP,2-2-2(t-cut)
BPBPPB,PPBBPP,PPPPPP,2-2-2(t-cut)
PBPBPP,PPBBPP,PPBPBP,2-2-2(t-cut)
PBPBBP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPBPPP,2-2-2(t-cut)
PPBPBP,BBPPBB,PBBBPB,2-2-2(t-cut)
BBPPPB,BBPPBB,PBBBPB,2-2-2(t-cut)
PBBPBP,PPBBPP,PPBBBB,2-2-2(t-cut)
PPBPBP,BBPPBB,PPBPPB,2-2-2(t-cut)
BPBPBB,PPBBPP,BPPBBB,2-2-2(t-cut)
BPPPBP,BBPPBB,BBBPBB,2-2-2(t-cut)
BBPBBP,BBPPBB,PPPBBP,2-2-2(t-cut)
PBBPBB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPPPBP,2-2-2(t-cut)
PPBPPB,BBPPBB,BPPBPB,2-2-2(t-cut)
BBBPPB,PPBBPP,PPPBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,BBBBPB,2-2-2(t-cut)
BBPBPB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
PPBPBB,BBPPBB,BPBBPP,2-2-2(t-cut)
BBPBPB,PPBBPP,BBBBPP,2-2-2(t-cut)
PBPBPP,BBPPBB,BBPPPB,2-2-2(t-cut)
PPPBBB,BBPPBB,BBPPPB,2-2-2(t-cut)
PBBBPP,PPBBPP,PBBPPB,2-2-2(t-cut)
PPPBBP,PPBBPP,BPBBPP,2-2-2(t-cut)
BPPPBP,PPBBPP,BPPBBB,2-2-2(t-cut)
PBBPBP,BBPPBB,BBBPPB,2-2-2(t-cut)
PBBBBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPPBB,2-2-2(t-cut)
PBBBBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPPBB,2-2-2(t-cut)
BBBPBP,BBPPBB,PBPPPB,2-2-2(t-cut)
PBPPPB,PPBBPP,PPPBBB,2-2-2(t-cut)
PBPPPB,BBPPBB,PPPPBB,2-2-2(t-cut)
PPPBBB,PPBBPP,PPBBBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BPPPPP,BBPPBB,BBPPPP,2-2-2(t-cut)
PBPBPB,BBPPBB,BPPPBB,2-2-2(t-cut)
BBBBBP,BBPPBB,BPBBBB,2-2-2(t-cut)
BPPPPB,PPBBPP,PBPPPB,2-2-2(t-cut)
