before,red_not_tidt,after,length
PBPBPP,BBPBBPBBBPBPBBPBBBBPB,PPBPBB,21
BBPBPP,BPBBBPBBPB,PPPBBB,10
BBPBPP,BPBBBPBBPB,PPPBBB,10
PBPPPP,BPBPBBBBPB,PPBPBP,10
BBPBPP,BPBPBPBBPBBBB,PPPPPP,13
BPPBPP,BBBPBBBBPBBBBBPBB,PPBPPB,17
PBBPPP,BBBBBBBPBPBBBBPB,PPBBBP,16
PBBBPP,BBBBPBBBPB,PPPBPP,10
PPBBPP,BBBBPBBPBBB,PPBPPP,11
PBPBPP,BPBPBPBBPB,PPPBBP,10
PPPPPP,BBPBPBBBBPBBBBBB,PPBPPB,16
PPPBPP,BBBBBPBBBB,PPBPPP,10
PPPBPP,BBBBBPBBBB,PPBPPP,10
PPBBPP,BPBPBBPBBPBBPBBBB,PPBBBP,17
PPBBPP,BPBPBBPBBPBBPBBBB,PPBBBP,17
PBBBPP,BBPBPBPBBBPBPBB,PPPBBB,15
PBPPPP,BPBPBBBPBPBB,PPBBBP,12
BBPBPP,BBBBPBPBBPB,PPBBBB,11
BBPPPP,BPBBBPBPBPBB,PPBPPP,12
BBPPPP,BPBBBPBPBPBB,PPBPPP,12
PPPBPP,BBPBBBPBBPBPBBBBB,PPPBPB,17
PPPPPP,BPBBBBBBBBPB,PPBBBP,12
BBBBPP,BPBBBPBBBPBB,PPBPBP,12
BPBBPP,BBBPBBPBPB,PPBBBP,10
BPPBPP,BPBPBBBBPBBBBBPBBPBB,PPPPPP,20
BPPBPP,BPBPBBBBPBBBBBPBBPBB,PPPPPP,20
PBPPPP,BBPBBBBPBBB,PPBPPB,11
PPBPPP,BBPBBPBPBBBPBPBPB,PPPPBB,17
PPBPPP,BBPBBPBPBBBPBPBPB,PPPPBB,17
BPBBPP,BBPBBPBBBBPBB,PPPBBP,13
PPBBPP,BPBBPBBBPB,PPPBPB,10
BPPBPP,BBBPBPBBPB,PPBBBP,10
BPPBPP,BBBPBPBBPB,PPBBBP,10
BPBBPP,BPBPBBPBBPBBBPBPBBBPBB,PPPPPP,22
BPBBPP,BPBPBBPBBPBBBPBPBBBPBB,PPPPPP,22
PBBBPP,BPBBPBBBBB,PPBBPP,10
PPPBPP,BBPBBBBBBB,PPPBBP,10
PPBBPP,BPBPBBBBBBB,PPPBPB,11
BBPPPP,BPBBPBBBBB,PPPPBP,10
BBPPPP,BPBBPBBBBB,PPPPBP,10
PPBBPP,BPBBBBBBBPBPB,PPPBBB,13
PPBPPP,BBBPBBBBBBBPB,PPPBBP,13
PPBPPP,BBBPBBBBBBBPB,PPPBBP,13
PBBPPP,BPBPBPBBBBBB,PPPBBB,12
PBBPPP,BPBPBPBBBBBB,PPPBBB,12
PBPPPP,BBBPBPBPBPBB,PPBBBB,12
BBPBPP,BPBPBBPBBBPB,PPBPPP,12
BBPBPP,BPBPBBPBBBPB,PPBPPP,12
BPBPPP,BPBPBPBBBPB,PPBPPP,11
BPBPPP,BPBPBPBBBPB,PPBPPP,11
PBPPPP,BPBPBBBBBBPB,PPPBBP,12
PBPBPP,BPBBBPBPBB,PPBPBP,10
PPPBPP,BPBBBPBBPBBPBBBBPBPB,PPBBPP,20
BBPPPP,BPBPBBBBPBBB,PPPBBP,12
BBPBPP,BBBBBBPBPBB,PPBBPP,11
PPPBPP,BPBBPBPBPBBBBBBB,PPBBBB,16
PPPBPP,BPBBPBBBPB,PPPPPP,10
PPPPPP,BPBBPBBBBBBPBPB,PPPBPB,15
BBBBPP,BPBBPBPBBBPBBBBB,PPPPPP,16
BPBPPP,BPBPBBBBPB,PPBPBB,10
BPBBPP,BBPBBPBBBBBPBB,PPBBBP,14
BPBPPP,BPBPBBBBPB,PPBPBB,10
BPBBPP,BBPBBPBBBBBPBB,PPBBBP,14
PPPPPP,BPBBBPBPBBBBPBBPBBPB,PPPPPP,20
PPPBPP,BPBBPBPBPBPBPBBBBB,PPPBPP,18
BPPPPP,BBBPBPBBBPB,PPPBPP,11
PBPPPP,BPBBPBPBPBB,PPBBPB,11
BPBBPP,BBPBBBBBBB,PPPPBP,10
PBPPPP,BBPBBBBBBBPBBPBBB,PPPBPP,17
PPBPPP,BPBPBPBPBBBB,PPPBBP,12
PPBPPP,BPBPBPBBBPBB,PPBPPB,12
PBBBPP,BPBBPBBBBBPBPB,PPPPPB,14
BBBBPP,BPBBBBPBBBB,PPPBBP,11
BBBBPP,BBBBBBPBPBPB,PPPPBB,12
PBBBPP,BBBBBBBPBB,PPPBPB,10
PPBBPP,BPBPBBPBBB,PPPBBP,10
PBBPPP,BBPBBBBBBBPBB,PPPPBP,13
BPBPPP,BPBPBBBPBBB,PPBPPB,11
BPPPPP,BPBBBBBBBB,PPPPPB,10
PBPBPP,BBBPBPBPBBPBPB,PPBBBB,14
BBPBPP,BBBBPBBBBBPB,PPPPPB,12
PPBBPP,BPBPBBPBBBPBBBBPBPBBB,PPBPBB,21
BPBPPP,BBBPBBBBPBB,PPPBBP,11
PPPBPP,BBPBBBBBPBPB,PPPPBB,12
PPBPPP,BPBBPBBBBPBB,PPBBPB,12
PPPPPP,BPBBBBBPBBPBPBPBBB,PPBBBB,18
PBPPPP,BPBBBPBPBBPBBPBPBBBPBPB,PPPBPB,23
BBPPPP,BBPBBBPBBPBPB,PPBBBP,13
BBBBPP,BBPBPBBBPB,PPBBBB,10
BPPPPP,BBBBBBBBBPBB,PPBBBB,12
BPBBPP,BBBBPBBPBBB,PPBPPB,11
PPBPPP,BPBBBBBBBBPBPBPBB,PPPBBP,17
BBBPPP,BBBBPBBBBB,PPPPBP,10
PBPPPP,BBBPBBPBBBBBPB,PPBBPP,14
BBBPPP,BPBBPBPBPB,PPBBPP,10
BPPPPP,BPBBPBBBPBBBB,PPBPBB,13
PBPBPP,BBBBBPBBBB,PPPBBP,10
BBPPPP,BBBBPBBPBPBBPBBPBBB,PPBBPB,19
BBPPPP,BBBBPBBPBPBBPBBPBBB,PPBBPB,19
BBPPPP,BBBBPBPBPBPBBB,PPPPPP,14
PBPBPP,BPBBBPBBBBBB,PPBBBP,12
BPBBPP,BPBPBPBBPB,PPPBBP,10
BPBBPP,BPBPBPBBPB,PPPBBP,10
BPBBPP,BPBPBPBBPB,PPPBBP,10
BPBPPP,BBBBPBBBPBPB,PPBPPP,12
PPBPPP,BBBPBBBBPBBPBPBB,PPBPBB,16
PPBPPP,BBBPBBBBPBBPBPBB,PPBPBB,16
PBPBPP,BPBBBPBBBBBBBPBB,PPBBPB,16
BPBBPP,BBPBPBBBBB,PPPBPB,10
BPBBPP,BBPBBBBBPBPB,PPPPPB,12
BPPBPP,BBBBPBBBPB,PPPBBP,10
PPBPPP,BPBPBBPBPBBPBBPBPBBPBBBBB,PPPPPB,25
BBPPPP,BPBPBBPBBBBBBB,PPBPPB,14
BPBBPP,BBPBBBBBBBPB,PPPBPP,12
BPBBPP,BBPBBBBBBBPB,PPPBPP,12
BPPBPP,BBBPBBBBBBBPBPBB,PPPPPP,16
BPPPPP,BBBBPBPBBBBBBBPB,PPBPBB,16
PPBBPP,BBBBBPBPBBPBPB,PPBBBP,14
PBBPPP,BPBBBBPBPB,PPPBPP,10
PBPPPP,BBBBBPBPBPBBBBB,PPBBBP,15
BPPPPP,BPBBPBBPBPB,PPPBPB,11
PPBPPP,BBBBPBPBBBBPBBBBB,PPPPPP,17
PPBPPP,BBBPBPBBBBBPBPBBPBBBPB,PPBPBB,22
PPBPPP,BBBPBPBBBBBPBPBBPBBBPB,PPBPBB,22
PPPBPP,BPBBBBBBPBBPBBB,PPPPBB,15
PPPBPP,BPBBBBBBPBBPBBB,PPPPBB,15
BPBPPP,BBBBPBPBBBBBPBB,PPBBPP,15
BPBPPP,BBBBPBPBBBBBPBB,PPBBPP,15
BPBPPP,BBPBPBBBBPB,PPBPPP,11
PBPBPP,BBPBPBPBBPBBBBPBB,PPBPPB,17
PBBBPP,BPBBBPBBPBB,PPPPPP,11
PBPBPP,BPBBPBPBBBPBBPBBBB,PPPBBB,18
BBPBPP,BPBBBBBPBB,PPPBPB,10
PPPPPP,BPBPBBPBBB,PPBBBB,10
PPPPPP,BPBPBBPBBB,PPBBBB,10
BPPBPP,BBBBPBBBBB,PPBPPB,10
BBPBPP,BBPBBBBBBBBBBPBPBBBBPBPBPBPB,PPPPPB,28
PPBBPP,BBBBBBBBPBBPB,PPPBPB,13
PPBBPP,BBBBBBBBPBBPB,PPPBPB,13
PPPBPP,BBPBPBPBBPBBB,PPPPBP,13
PBPPPP,BBPBBPBPBPBBBBB,PPPBBP,15
BBBPPP,BBBBBPBBPBBPBPBPBB,PPPBPB,18
BBBBPP,BBBBBPBBBPBBBBPBB,PPPPPB,17
PPPBPP,BBPBPBBBPBPBBPBB,PPBBPP,16
PPBPPP,BBBPBPBBBPBBPBBBBPBBPBPBPBBB,PPPPPB,28
BPBPPP,BPBBPBPBBPB,PPPPBB,11
PPPPPP,BBBBBPBBPB,PPPPPB,10
PPBPPP,BBPBPBBBPBPBBBBB,PPPBPB,16
PPBBPP,BBBBBBBPBPB,PPBPPB,11
BPPBPP,BBBBPBBPBB,PPPBBP,10
BPPBPP,BBBBPBBPBB,PPPBBP,10
BPPBPP,BPBBPBPBPB,PPPBBB,10
BPBPPP,BBBPBPBPBBBPB,PPBPPB,13
PPPPPP,BPBBBBBPBB,PPPPBP,10
BBBPPP,BBPBBBPBBPBBBBBBPBBBB,PPBBPP,21
BBBPPP,BBPBBBPBBPBBBBBBPBBBB,PPBBPP,21
BPBPPP,BBBPBBPBBBBBBPBB,PPPBPB,16
BBPBPP,BPBBBPBBBBPBBPBBB,PPBBBB,17
BPBBPP,BBBBPBPBBB,PPBBBP,10
PBBBPP,BBBPBBBBBB,PPPBBB,10
BPBBPP,BBBBPBPBBB,PPBBBP,10
PBBBPP,BBBPBBBBBB,PPPBBB,10
PPPBPP,BPBPBPBPBPB,PPBBPB,11
BPPBPP,BPBBPBPBPB,PPBBBB,10
BPBBPP,BBPBBBBBPBPBBB,PPBBBP,14
BPPBPP,BPBBPBBBBBPBPB,PPBBPB,14
PBBBPP,BBPBBBPBBPBB,PPPBBB,12
BBPBPP,BBPBPBPBBPBB,PPPBBP,12
BBBPPP,BPBPBBBBBB,PPBBPP,10
PPBPPP,BBBBBBBBPBPB,PPPPBP,12
PBPBPP,BBBPBBBBBPBBPBBPBB,PPPPPB,18
PBPBPP,BBBPBBBBBPBBPBBPBB,PPPPPB,18
PBBPPP,BBBPBBBBBPBB,PPPBPP,12
BPBPPP,BBBBPBBBBPB,PPPBPB,11
PBBPPP,BBBPBBPBBB,PPPPPB,10
PBBPPP,BBBPBBPBBB,PPPPPB,10
PBBPPP,BBBPBBPBBB,PPPPPB,10
PPBBPP,BBBBBPBBPBBPBB,PPPBPB,14
BPPBPP,BPBBBPBPBBPBBB,PPPBPP,14
BPPBPP,BPBBBPBPBBPBBB,PPPBPP,14
BPPBPP,BPBBBPBPBBPBBB,PPPBPP,14
BPPBPP,BPBBBPBPBBPBBB,PPPBPP,14
PPBBPP,BPBBBBPBBBPBB,PPPBBP,13
PPPPPP,BBBBBPBBBBBBBB,PPPBBP,14
PPBBPP,BPBBBBPBPBB,PPBBBP,11
BBPPPP,BPBBPBBBPBBPB,PPPPPP,13
BPPBPP,BBPBBBBPBB,PPBBPP,10
BPPBPP,BBPBBBBPBB,PPBBPP,10
BPPBPP,BBPBBBBPBB,PPBBPP,10
PPBPPP,BPBBBPBBBPB,PPBBBB,11
BPBPPP,BBPBPBBBBB,PPPPPP,10
BPBPPP,BBPBPBBBBB,PPPPPP,10
BPBBPP,BBBPBPBPBBPBB,PPBPBP,13
BPBBPP,BBBPBPBPBBPBB,PPBPBP,13
PBPBPP,BBBPBBPBBB,PPPBBP,10
BBBPPP,BBPBPBPBPBBB,PPBBBB,12
BPBBPP,BPBPBPBPBB,PPPBPP,10
PPPPPP,BBBPBPBPBBPBPBBBBB,PPBBPB,18
PPPBPP,BBBBPBPBBB,PPPPPB,10
BPPPPP,BBBBBPBBBPBPBBPBBB,PPPBPB,18
BPBBPP,BBPBBPBPBBBBBPBBBBPBPB,PPBBBP,22
BPPBPP,BPBPBBBBBPB,PPBBPB,11
BPPBPP,BPBPBBBBBPB,PPBBPB,11
PBPBPP,BPBBBBBBBB,PPPBBP,10
PPBPPP,BBBPBBBPBB,PPPBBB,10
PPBBPP,BBPBBBPBBPBPB,PPBPBP,13
PBPBPP,BBBBPBBBBPBPB,PPPBPP,13
PPBBPP,BPBBPBPBPBBB,PPBBBP,12
BPBPPP,BBBBPBBBBBBPBB,PPBPBB,14
BPPBPP,BBBBBBPBPB,PPPBPP,10
PPPBPP,BBBPBPBBBBPBBPBB,PPBPBP,16
PPPPPP,BBPBBBPBPB,PPPBPP,10
BBPBPP,BBPBBPBBBBB,PPPBPB,11
PBPPPP,BBBBPBBPBBPBBBPBBB,PPPPBP,18
PPBPPP,BBBBPBBBBB,PPBBBP,10
BBBBPP,BBBPBBPBBBBBPB,PPBPPP,14
PBPPPP,BBBPBBPBPB,PPPPPB,10
BBPPPP,BPBBBPBBPBBBBPB,PPPBPP,15
BPPPPP,BBBBPBBPBBBPB,PPPPBB,13
BBPPPP,BBBPBBPBPBB,PPPPPP,11
BBBPPP,BBBPBBPBBPBBPBB,PPBBBP,15
BPBPPP,BBBPBPBPBPBBPBPB,PPPPPP,16
BBBBPP,BBBBBBPBPBPBBBBBB,PPPBPB,17
BBPBPP,BBPBBBBBBBBPBBBBBBPBPBPBBBBPB,PPBPBB,29
BBPBPP,BBPBBBBBBBBPBBBBBBPBPBPBBBBPB,PPBPBB,29
BBBPPP,BBBBBBBPBPB,PPBBBP,11
BPBPPP,BBBPBBPBPB,PPBBPP,10
PPBPPP,BBPBPBPBBBB,PPPPBP,11
BBBBPP,BPBBBPBBBPB,PPBPBB,11
PBPBPP,BPBPBBPBPBBBB,PPBPPP,13
PBPBPP,BPBPBBPBPBBBB,PPBPPP,13
PBBPPP,BBPBPBBPBBBBBBBBBPBBPBBPBPBBPBPBBPBBPB,PPPBBB,38
BBPPPP,BBPBBPBBPB,PPPPPP,10
PPPPPP,BBPBBBBPBPBBPBBBPBB,PPPBBP,19
PBPBPP,BPBBBPBPBB,PPBPBP,10
PBPBPP,BPBBBPBPBB,PPBPBP,10
BBBPPP,BPBBBBPBPBBB,PPPPBB,12
PPBBPP,BBPBPBBBPBB,PPBBBB,11
BPBPPP,BBPBBBBBBB,PPBBPP,10
BPBPPP,BPBBBBPBBBBBBB,PPPBPB,14
BBPPPP,BBPBPBBPBB,PPPBPP,10
BBBBPP,BBBPBPBPBBBBPBBPBBPBPB,PPPBPB,22
BBPPPP,BBPBBPBBBBBBPBB,PPPBPB,15
PBPBPP,BPBBBBBPBBBBBB,PPBPPB,14
BBPPPP,BPBBPBPBBB,PPBPPP,10
PBPPPP,BPBBBBPBBPBBB,PPPPPP,13
PPPPPP,BBPBPBBBBBPBB,PPBBPB,13
PPPPPP,BBPBPBBBBBPBB,PPBBPB,13
BBPBPP,BBBBBBBPBPB,PPPPPB,11
PPPPPP,BBPBBBPBBBBBBBBBPBPBPBPBPB,PPBBBB,26
PPBPPP,BBBBBBPBPBBB,PPPBPP,12
PPPBPP,BBBBBBPBBB,PPPPBP,10
BPBPPP,BPBPBBBPBBBB,PPPBBB,12
PPBBPP,BPBBPBBBBBBBPBB,PPPBBP,15
BPPBPP,BBBPBBBBPB,PPPBPP,10
PPPBPP,BPBPBPBPBBBPBBBBBB,PPBBPP,18
PPPBPP,BPBPBPBPBBBPBBBBBB,PPBBPP,18
PPBPPP,BBPBBBPBBBB,PPBPBB,11
PPBPPP,BBPBBBPBBBB,PPBPBB,11
BPBPPP,BBBPBPBPBB,PPPPBP,10
BPBPPP,BPBBBPBPBPBBPBBPBPBBB,PPBBBB,21
BBBBPP,BBBBBBBPBBPB,PPBPBB,12
BBPPPP,BPBPBBPBPB,PPBPPB,10
PPBPPP,BBBPBBBBPBBB,PPBPBP,12
BBPPPP,BBPBBPBBPB,PPPPBP,10
BBPPPP,BBPBBPBBPB,PPPPBP,10
BBBBPP,BPBPBPBBBBBBPB,PPPBPB,14
BPBPPP,BPBBBBPBPB,PPPBBP,10
PPPPPP,BBBBBBPBBBBPBB,PPPPPP,14
BBBBPP,BBPBPBBBBPBBPBB,PPPBBP,15
PBBBPP,BPBBBBBPBBBBPBBPBPBPB,PPPPPP,21
PPBPPP,BBBBPBBBBB,PPBPPP,10
PPBPPP,BBBBPBBBBB,PPBPPP,10
PPPBPP,BBBPBPBPBPBB,PPPPBP,12
PBPBPP,BBBBBBPBPBB,PPBBBP,11
PBPBPP,BPBBPBBPBBPBBBBPBB,PPPPPP,18
PBBPPP,BBBBPBPBBPBPB,PPBBPB,13
PBPPPP,BPBBPBBPBPBPB,PPBPPB,13
PBPPPP,BPBBPBBPBPBPB,PPBPPB,13
PPBBPP,BPBBBBBBBB,PPBBPB,10
PBBPPP,BBBPBPBBBPBBB,PPPPBP,13
PBBPPP,BBBPBPBBBPBBB,PPPPBP,13
PPPPPP,BBBPBBBBPBBPB,PPPPBP,13
BPBBPP,BPBBPBPBBPBB,PPBPPP,12
PBBBPP,BBBBBPBPBBPBBB,PPBBBB,14
PBBBPP,BBBBBPBPBBPBBB,PPBBBB,14
PBBBPP,BBBBBPBPBBPBBB,PPBBBB,14
BPPBPP,BBBPBBBBPBPBBB,PPBPBP,14
PPPPPP,BBBBBBBPBBBPB,PPPPPP,13
BPPBPP,BPBPBBPBBPBBPBPBB,PPPPPP,17
PPBBPP,BBBPBPBBPBB,PPPBBB,11
PPBBPP,BBBPBPBBPBB,PPPBBB,11
PPBBPP,BBBPBPBBPBB,PPPBBB,11
PPBPPP,BPBBBBBBPB,PPBBPB,10
BBBBPP,BBBBPBBBBPBBBBPBBBB,PPPBPB,19
PPBPPP,BPBPBBBBBBBB,PPPBBB,12
PPBPPP,BBPBBPBBBBBBPBPBBB,PPBBBB,18
BPBPPP,BPBBBPBPBPBPBB,PPPPPB,14
BPBPPP,BBBBBBBBPBB,PPPPBP,11
PPBPPP,BBBPBPBBPBBBBBPBPBBBPB,PPPBPB,22
PBBPPP,BBBBPBPBBBPBBPBPBBPBPBPBBBBB,PPPBPP,28
PBBPPP,BBBBPBPBBBPBBPBPBBPBPBPBBBBB,PPPBPP,28
PBBPPP,BBPBBBPBBBPB,PPBPBP,12
BBBBPP,BBBBPBBPBBBBPBBPB,PPBBPB,17
PBPPPP,BBBBBBPBBB,PPPPBB,10
PBPBPP,BPBBPBBBPBBBPB,PPPPBP,14
PPPPPP,BBPBBPBBPB,PPPBPP,10
PBPPPP,BBBPBBPBBBBBB,PPBPPP,13
PBPPPP,BBBPBBPBBBBBB,PPBPPP,13
BBBBPP,BPBBPBPBBBBBBBB,PPBBBB,15
BBPPPP,BBBPBBBPBPB,PPBBPB,11
BBPPPP,BBBPBBBPBPB,PPBBPB,11
PPPPPP,BBBPBBBPBB,PPPBPB,10
PPPBPP,BPBBBPBBBB,PPPBPB,10
PPPBPP,BPBBBPBBBB,PPPBPB,10
BPBPPP,BBBPBBBPBBBPB,PPPPBB,13
BBBPPP,BPBPBPBBBPBBBPBPBBPB,PPBBPB,20
BBBBPP,BPBPBPBBBBBBBPBBPB,PPPBBB,18
BPPBPP,BPBBBBPBPBB,PPPPBP,11
BPPBPP,BPBBBBPBPBB,PPPPBP,11
BPPPPP,BBPBBBPBBPBB,PPBBPP,12
BPPPPP,BBPBBBPBBPBB,PPBBPP,12
PPPBPP,BBBPBBBBPBB,PPBPBB,11
PPPPPP,BPBBBPBBBBB,PPBBBP,11
PPBBPP,BBBBBBBBPBBB,PPPPBB,12
PBBPPP,BBPBBPBPBBBBBBBBPB,PPPPBP,18
PBPPPP,BPBBPBBPBBBBB,PPBPBP,13
PBBPPP,BBPBBBPBBBBPBBPB,PPPBPB,16
PBPBPP,BBBPBBBPBPB,PPPBPB,11
PBBBPP,BBPBBPBPBBBBB,PPPBPB,13
BBPBPP,BPBBBPBPBBBPB,PPBPPP,13
PPPBPP,BPBPBPBPBBB,PPPBBP,11
PPPBPP,BPBPBPBPBBB,PPPBBP,11
BBBBPP,BBBBBBPBBPB,PPPPBP,11
PPBBPP,BPBPBBPBPBBB,PPPPBP,12
PPBPPP,BBBPBBBBPBBPB,PPBBBP,13
PBPPPP,BBPBBBBBBBBB,PPBPBP,12
PBPPPP,BBPBBBBBBBBB,PPBPBP,12
PBPBPP,BPBBBBPBPBBB,PPPPPB,12
PBPBPP,BPBBBBPBPBBB,PPPPPB,12
PPBPPP,BPBPBPBBPBBPBBBBPB,PPBBPB,18
PPBPPP,BPBPBPBBPBBPBBBBPB,PPBBPB,18
PBBBPP,BBPBBBPBPBBB,PPPPPP,12
PBBBPP,BBPBBBPBPBBB,PPPPPP,12
BPBPPP,BBBPBBPBBB,PPPBBP,10
PPPBPP,BBBPBBBBBBPBBBPBBB,PPBBBB,18
PBBPPP,BBPBBBBBPBPBB,PPBBBB,13
PBBPPP,BPBPBBBBBB,PPPBBB,10
BBBBPP,BBBBBBBBBBBB,PPPPPB,12
PPBPPP,BBBBBPBPBB,PPBPBP,10
BBBBPP,BPBBBPBPBPBB,PPPPBP,12
PPPPPP,BPBBPBPBPB,PPBPBP,10
PPPPPP,BPBBPBPBPB,PPBPBP,10
BPPBPP,BPBBPBPBBPBB,PPBPBB,12
PBBBPP,BBPBBBBBPBB,PPPPBP,11
BBBPPP,BPBBBBBBBB,PPPPPP,10
PPBPPP,BBPBBBBBBBB,PPPPBB,11
PPBBPP,BBPBPBBBBPBPBBB,PPPBPB,15
PBBPPP,BPBBBPBPBB,PPBPBB,10
BPPBPP,BBPBBBPBBBB,PPBBPB,11
PBPBPP,BBPBBBBPBBBBB,PPPPBB,13
BPBBPP,BBPBBPBPBBB,PPBPBP,11
PPPPPP,BBBPBBBBBB,PPBPBP,10
PPBPPP,BPBBBPBPBPBBPBPBB,PPPBBP,17
PBBBPP,BBBPBBBPBBPB,PPPBPP,12
BBBBPP,BPBBBBBBPBBPB,PPPPBB,13
BBBPPP,BPBPBBPBBB,PPBBPB,10
BBPPPP,BBBBBPBBBBBPBPBPBBBBBBPB,PPPPBP,24
PPBBPP,BPBBBPBBBBPBB,PPBPBP,13
PBBPPP,BPBBPBPBBBBB,PPBPBB,12
PBBPPP,BPBBPBPBBBBB,PPBPBB,12
PBPPPP,BPBBBBBBPBPBB,PPBBPB,13
PBPPPP,BPBBBBBBPBPBB,PPBBPB,13
PBPPPP,BPBBBBBBPBPBB,PPBBPB,13
BPBBPP,BPBPBPBBPBBB,PPBPBB,12
PBBPPP,BPBBBBBBPB,PPBPPB,10
BBPBPP,BPBBBBBBPBBPB,PPPPPB,13
PPBPPP,BBBBBPBPBPBB,PPBBBB,12
PBBPPP,BBBBBBBPBPBPB,PPPBBB,13
PPPPPP,BBBPBBBBBBBPBB,PPBPPP,14
PBPBPP,BBBBBBPBBBBPBBBPBBBPB,PPBBBB,21
BBPBPP,BBPBBPBPBPB,PPBPPP,11
BPPBPP,BPBBBBBBBBB,PPBBBB,11
BPBPPP,BPBBBBBPBB,PPBBPP,10
BPPBPP,BBBBPBPBBBPBPBBBPBB,PPPPBP,19
PPBBPP,BBBBBBPBPB,PPBBPP,10
BPPPPP,BBPBPBBPBBBBBB,PPBBBP,14
PBBPPP,BBBPBBBBBPBPBBBPBPBB,PPPBBP,20
BBPPPP,BPBBBPBBBBPBBB,PPPPBP,14
PPBBPP,BBBBBBBBBPBBPB,PPPPPP,14
BBPPPP,BBBBBPBBBBB,PPBPBP,11
PBBPPP,BPBBBBBPBBPBPBBB,PPPPBP,16
PPBPPP,BBPBBBPBBB,PPBPPB,10
BBBBPP,BBBBBBBPBPB,PPPPBP,11
PBPBPP,BBPBPBBBBBB,PPPBBP,11
PPBBPP,BPBPBPBBBBBB,PPPBBB,12
BBBPPP,BPBPBBPBBBBB,PPBBBB,12
BBBPPP,BPBPBBPBBB,PPPPPP,10
PPBPPP,BBPBBPBBPBB,PPPBPP,11
BPPBPP,BBPBBPBBBBB,PPPBBP,11
PBPPPP,BBBBBPBPBPBBBPB,PPBBPP,15
BPPBPP,BBPBPBBPBPBBBPBPBPBBBPB,PPPBBB,23
PBPPPP,BBBBBPBPBPBBBPB,PPBBPP,15
PBPPPP,BBPBPBBBBPB,PPPBBB,11
BBPBPP,BBBPBBBBBPBBBB,PPBPPB,14
BBPPPP,BPBBPBBBBBPBBBB,PPPPBP,15
PPBPPP,BBPBPBPBBBBPBBBB,PPPBPP,16
BBBPPP,BPBBBBPBBPBPB,PPBPPP,13
BPPBPP,BPBBBBPBBBBBBBBPBPB,PPPPPB,19
BBPBPP,BBBPBBPBBPBBBB,PPBPPB,14
BBPBPP,BBBPBBPBBPBBBB,PPBPPB,14
BBPPPP,BPBPBBBBBPBPBPBPBPBPBBPBPB,PPPPBB,26
BBPPPP,BPBPBBBBBPBPBPBPBPBPBBPBPB,PPPPBB,26
BBPPPP,BPBPBBBBBPBPBPBPBPBPBBPBPB,PPPPBB,26
PPPBPP,BBBPBBPBPB,PPBBPP,10
PPBPPP,BBPBBBBBBPBB,PPPPBP,12
PPBPPP,BBPBBBBBBPBB,PPPPBP,12
PBBBPP,BBBPBPBBPBBB,PPPBBB,12
BBBBPP,BBPBBBPBPB,PPBPPB,10
BBBBPP,BBPBBBPBPB,PPBPPB,10
BBBBPP,BBPBBBPBPB,PPBPPB,10
PPPBPP,BBBBPBBBBBBPBBBBBBBBPB,PPPBPB,22
PPPBPP,BBBPBBBBBB,PPBPPB,10
PBBBPP,BBBPBBBBBBBB,PPPPBB,12
PBBBPP,BBBPBBBBBBBB,PPPPBB,12
BBPPPP,BBBBBBPBBBBPB,PPBPBB,13
BPPBPP,BBBPBPBPBBBBBPB,PPPPBP,15
PPPBPP,BBPBBPBBBBBBPBPBPBPB,PPPBBB,20
BPPPPP,BPBBPBBBBBB,PPBPPB,11
BPPBPP,BPBPBPBPBBBPB,PPPPPB,13
BBPPPP,BBPBBPBBPBBPBB,PPPPBB,14
BBPPPP,BBPBBPBBPBBPBB,PPPPBB,14
PPPBPP,BPBPBPBPBPBPBPBBPBBPBB,PPBBBP,22
PBPPPP,BBPBPBPBBBPBBBBBBPB,PPBBBP,19
PBPPPP,BBPBPBPBBBPBBBBBBPB,PPBBBP,19
PPBPPP,BBPBPBPBBB,PPPBBP,10
BBBPPP,BBPBBBPBPB,PPPPPP,10
PPBPPP,BBBPBPBBPB,PPPBBP,10
PPBBPP,BPBPBBBBPB,PPBBBB,10
BBPBPP,BBBBBPBBBB,PPPPBB,10
BBPBPP,BBPBBBBBBBBB,PPBPBP,12
BBPBPP,BBPBBBBBBBBB,PPBPBP,12
BBBPPP,BBPBPBPBPBBBBPBBBPB,PPPPBP,19
BPBPPP,BBBBBBBPBPBB,PPBBPP,12
PBPPPP,BBPBBBPBBPBBBBBPBB,PPPPPP,18
PBPPPP,BBBPBPBBPBBBB,PPBPPP,13
PPPBPP,BBPBPBBBBBPBBBBBPBBBB,PPPPBB,21
PPPBPP,BBPBPBBBBBPBBBBBPBBBB,PPPPBB,21
PPPBPP,BBPBPBBBBBPBBBBBPBBBB,PPPPBB,21
PBPPPP,BPBBPBBPBPBBB,PPBPBB,13
PBBBPP,BBPBPBBPBBBBPBBBPBBPBBPBBBBBBBPBBB,PPBPBB,34
PPPPPP,BBBBBBBBPB,PPBBBB,10
PPPPPP,BBBBBBBBPB,PPBBBB,10
BPBBPP,BBPBBBBBPB,PPBPPB,10
BPBBPP,BBPBBBBBPB,PPBPPB,10
BPPPPP,BPBPBBBBBPBBB,PPPBPB,13
BBBPPP,BPBPBPBBBB,PPPBBP,10
BBBBPP,BPBBBBPBBPBB,PPPPBP,12
