before,pingpong,after,length
BBBBBP,PBPBPB,BPBPBB,6
BPPPBB,BPBPBP,PPPBBP,6
PPBBPB,BPBPBP,PPBBPB,6
BPPPPB,BPBPBPBP,PPPPPP,8
PPPPBB,BPBPBPB,BBPBPP,7
BPPPBP,PBPBPB,BPPPBP,6
BBPBBB,BPBPBPBP,PPPPPP,8
PPPBBP,PBPBPB,BPBPPB,6
PBBPBP,PBPBPB,BBBPPP,6
BBPPPP,PBPBPBPBP,PPPPPB,9
BPPBPB,BPBPBPB,BBPBPB,7
BPBPBB,BPBPBP,PBBPPB,6
PPBPBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPBBPB,7
BPBBPB,BPBPBPB,BPPBBB,7
PPBPBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPBBPB,7
BPBBPB,BPBPBPB,BPPBBB,7
BBPBBB,BPBPBPBP,PPBBPB,8
PPPBPP,PBPBPBPBPB,BBPPBP,10
PPPBPP,PBPBPBPBPB,BBPPBP,10
PPPBPP,PBPBPBPBPB,BBPPBP,10
BPBPPB,BPBPBPB,BBPPBP,7
BBPBPP,PBPBPBPB,BPPPBP,8
PPBPBB,BPBPBP,PBPBPP,6
PPBPBP,PBPBPB,BPBBPP,6
PPPBPB,BPBPBP,PPPBPP,6
BBPBBB,BPBPBPB,BBBBPB,7
BPBBPP,PBPBPB,BPPPPB,6
BBBBBP,PBPBPBP,PPBBBB,7
BPBPBB,BPBPBP,PPBPPP,6
BBBPBP,PBPBPBPB,BBBBBP,8
PBBPPB,BPBPBP,PBPPBB,6
PBPBPP,PBPBPB,BBPBPP,6
PPBBBP,PBPBPB,BPPPPB,6
PBPPBB,BPBPBP,PBBBPP,6
BPBBBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBPBP,PBBBBP,9
PBBPPB,BPBPBP,PPPBBP,6
PBBPPB,BPBPBP,PBBBBB,6
PPBBBB,BPBPBP,PBPPBB,6
PBPBBB,BPBPBP,PPPPBP,6
PBPBPP,PBPBPB,BPBBPB,6
BPBBPB,BPBPBPBPB,BBBBPB,9
PPPBBP,PBPBPBPB,BBBBBP,8
PPPBPP,PBPBPB,BBPBPP,6
PBPPBP,PBPBPBPBP,PBBPBB,9
PBPBPP,PBPBPB,BBPPBP,6
PBPPBP,PBPBPBPBP,PBBPBB,9
PBPBPP,PBPBPB,BBPPBP,6
PPPBPP,PBPBPBPB,BBPBBB,8
BPBPBB,BPBPBP,PPPBPP,6
BBBPPB,BPBPBP,PBBPPB,6
PPPBBP,PBPBPB,BBPBBP,6
BPBPBB,BPBPBPBPB,BPPBBB,9
PPPBBP,PBPBPB,BPPBPB,6
PPPPPP,PBPBPB,BBBPBB,6
PPPPPP,PBPBPB,BBBPBB,6
PBPBBB,BPBPBPB,BBPPPB,7
BPPPPB,BPBPBPBPBP,PPPBBP,10
PPPBBP,PBPBPBP,PBPPBB,7
BBBBBP,PBPBPB,BPPPPP,6
BPPBBB,BPBPBP,PBBBPP,6
BPPBBB,BPBPBP,PBBBPP,6
PPBBPB,BPBPBPBP,PBPPBP,8
PBPPBP,PBPBPB,BPBBPP,6
PPBBPB,BPBPBPBP,PBPPBP,8
PBPPBP,PBPBPB,BPBBPP,6
PBPPPB,BPBPBP,PPBBBB,6
PBBBBP,PBPBPB,BBBBBB,6
PBPBBP,PBPBPB,BPPPPB,6
BBPPBP,PBPBPB,BPPBBP,6
BBBPBB,BPBPBPB,BBBBPP,7
PPBPBB,BPBPBP,PPPPBB,6
PPPPBP,PBPBPBP,PPBPPB,7
BPPPBP,PBPBPBPB,BPBBBP,8
BPBBBB,BPBPBPB,BBBPPP,7
BPBBBB,BPBPBPB,BBBPPP,7
BPBBBB,BPBPBPB,BBBPPP,7
BBPPPB,BPBPBP,PPBPBP,6
BBPBPB,BPBPBP,PPBPPB,6
BBPBBP,PBPBPBPBP,PBPPPB,9
BPBBPP,PBPBPBPB,BPPBBB,8
PPPPBB,BPBPBPBP,PPPPBB,8
PPBPBB,BPBPBP,PBBPBB,6
PPPBBB,BPBPBP,PPPPPP,6
BPPPBP,PBPBPBPB,BBPPBB,8
BPBPPB,BPBPBP,PPPBBB,6
PPBBPB,BPBPBPBP,PPPBBB,8
PBPBPP,PBPBPBP,PPPPPB,7
PPBBPB,BPBPBPB,BPPBBP,7
PPPPBB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBP,PBBBPB,6
PBPPBB,BPBPBP,PPBPPP,6
BBPPBP,PBPBPBPBP,PBPPPP,9
PBPBBB,BPBPBP,PPBBPP,6
PPPPBP,PBPBPB,BPBPPB,6
BPBPPB,BPBPBP,PBPBBP,6
PBBPBB,BPBPBPBPB,BBPPPP,9
BBBBBP,PBPBPBPB,BBPBPP,8
PBBBBP,PBPBPB,BBBPPP,6
BPPBBB,BPBPBPBPBPB,BPPBPB,11
BBPPBP,PBPBPB,BBBBPB,6
BBPPBP,PBPBPB,BBBBPB,6
BPBBBB,BPBPBP,PPPPBP,6
PBPPBP,PBPBPB,BBPPPB,6
PBBPPP,PBPBPB,BBBBPB,6
BPBBPB,BPBPBP,PPPPBB,6
PBBPPP,PBPBPB,BPPPPP,6
PBBBBB,BPBPBP,PBBPBB,6
BPBBBB,BPBPBP,PPBBPP,6
PBBBBB,BPBPBP,PBBPBB,6
BPBBBB,BPBPBP,PPBBPP,6
PBPPBB,BPBPBPBP,PPBPPP,8
PBBPPP,PBPBPB,BBBBPB,6
PPPBBB,BPBPBPBPBP,PPPPBB,10
PPPBPP,PBPBPBPB,BBPPPB,8
PPPBPP,PBPBPBPB,BBPPPB,8
BBPPPP,PBPBPBPBP,PBBBBB,9
BBBBBP,PBPBPB,BPPBPP,6
BPBPPB,BPBPBPB,BBPPBB,7
PBBBPB,BPBPBPBP,PBBBBB,8
PBBBPB,BPBPBPBP,PBBBBB,8
BPPPPP,PBPBPBP,PBBBPB,7
BBPBPP,PBPBPBPBP,PBPBBP,9
BBBBBP,PBPBPBP,PBBPPB,7
PBPPBB,BPBPBP,PBPPPP,6
PBPPBP,PBPBPBPB,BPPBBP,8
BPBPBB,BPBPBPB,BBPBPB,7
BPBPBB,BPBPBP,PPPBBP,6
PPBBBB,BPBPBPB,BBPPBP,7
BPBPBP,PBPBPB,BPPBPB,6
BBBPBB,BPBPBPBPB,BPPPBB,9
BBPBPB,BPBPBPBP,PPPPBP,8
PBPPPP,PBPBPBPBPB,BPPBBP,10
BBBPPB,BPBPBPBP,PBBBBP,8
PPPPBB,BPBPBPB,BPBPPB,7
PBPPPP,PBPBPBP,PPPPBP,7
PBBPBP,PBPBPBPB,BPBBPB,8
PPBBPB,BPBPBP,PBPPPP,6
BBPPBP,PBPBPB,BBBBBP,6
BBBBBB,BPBPBP,PBPPBB,6
PBBPBP,PBPBPB,BPBPPB,6
BPPBPB,BPBPBPBPB,BBBPBB,9
BPPBPB,BPBPBPBPB,BBBPBB,9
PPBPBP,PBPBPBPBPBPB,BPBPPP,12
BBBPPP,PBPBPBPBP,PBPPBB,9
BBPBPB,BPBPBP,PBBBPB,6
BBPBBB,BPBPBPBP,PPPBBB,8
BPPPBP,PBPBPBPBPBP,PBPBBP,11
BPPBBB,BPBPBP,PBPPBB,6
PPBBPP,PBPBPB,BPPBBB,6
BPBPBP,PBPBPBP,PPPPPP,7
BBPPBB,BPBPBP,PBPPPB,6
PPPBBB,BPBPBPB,BBPPBP,7
BBPPBP,PBPBPB,BPBBPB,6
BPBBBP,PBPBPBP,PBBPBB,7
PPBPBB,BPBPBPB,BBBPPB,7
PPPBPB,BPBPBPBPB,BBPPBP,9
BPBBBB,BPBPBP,PBBPPB,6
BPBBBB,BPBPBP,PBBPPB,6
PBBBPP,PBPBPB,BBPBPP,6
PPBBPP,PBPBPB,BPPBPP,6
BBBPBB,BPBPBPB,BBBPBP,7
PPPPPB,BPBPBPB,BPPPPP,7
PPBPBB,BPBPBPB,BBPBPP,7
BBBPBP,PBPBPB,BPPPPB,6
PBBBPP,PBPBPB,BBPPPB,6
BPBBPP,PBPBPBPB,BPBPBB,8
PPPPBB,BPBPBP,PPPBBB,6
PPPPBB,BPBPBP,PPPBBB,6
BBBBPB,BPBPBP,PBBPPB,6
BPPPBP,PBPBPBPBP,PBPBPB,9
BPBPBP,PBPBPBP,PPBPPB,7
PPPPPB,BPBPBP,PBBPPB,6
PPPPBP,PBPBPBP,PBBBPB,7
PBPPBB,BPBPBP,PBPPPB,6
BPPBBB,BPBPBPB,BBPPBP,7
PBPPPB,BPBPBP,PPBBBP,6
PPPBBP,PBPBPB,BPBBBP,6
PPPBBP,PBPBPB,BPBBBP,6
BBBPPP,PBPBPB,BBBBBB,6
PBPPPB,BPBPBP,PPPPBB,6
PBPPPB,BPBPBP,PPPPBB,6
PPPPBB,BPBPBPB,BBBPBB,7
PPPPBB,BPBPBPB,BBBPBB,7
BBBBBP,PBPBPB,BPPBBP,6
BPBBBP,PBPBPBPB,BBPPPB,8
PPBPPB,BPBPBPBPB,BBPBBP,9
PPBBBB,BPBPBP,PBBPBB,6
PPBPPB,BPBPBPB,BBBPBP,7
BPBBPP,PBPBPB,BPPBPB,6
PBPBBP,PBPBPBP,PBPPBB,7
BBPBPB,BPBPBPBP,PBPBPB,8
BPBPBP,PBPBPB,BBBBPP,6
PBPPBB,BPBPBPBP,PBBBBB,8
PBBPBP,PBPBPBP,PBPBBP,7
BBBPPB,BPBPBP,PBPPPB,6
BPBPBP,PBPBPB,BPPPBP,6
PPBBPP,PBPBPB,BPPBPP,6
BBBBPB,BPBPBP,PBBPPP,6
BBBBBB,BPBPBP,PBPPPB,6
BPPBPP,PBPBPBP,PBPPPP,7
PPBPBP,PBPBPBP,PBPBPP,7
BBBBBP,PBPBPB,BBPBBB,6
PPPBBB,BPBPBP,PBBBPB,6
PBBBBB,BPBPBPB,BPPBPB,7
BPPBBB,BPBPBP,PPBBBP,6
BBPBBB,BPBPBPBPB,BPBPBP,9
PBPBPB,BPBPBP,PBBBBP,6
BPPPBB,BPBPBP,PBPPPP,6
PPPPBP,PBPBPB,BBPBBB,6
PBBBPB,BPBPBPBP,PBBBPP,8
BPPPBP,PBPBPBP,PBPPPB,7
BBPPBP,PBPBPBP,PBPPPB,7
PPBBBB,BPBPBP,PPBPBB,6
BPBBPP,PBPBPBP,PPPBPP,7
PPPPBB,BPBPBP,PPBPPP,6
BBBPBB,BPBPBP,PPBPBB,6
BBPBBP,PBPBPBP,PPPBPP,7
BBPPPB,BPBPBP,PPBBBP,6
BBBPPP,PBPBPB,BBPPBB,6
BBBBBB,BPBPBPB,BPPPBP,7
PBBPPB,BPBPBP,PPPBBB,6
BBBBBB,BPBPBPBPB,BBPBPP,9
PPBBBP,PBPBPB,BPBPPP,6
PBBBPP,PBPBPBP,PBBPBP,7
BPBPPB,BPBPBP,PBBBBP,6
BPBPBB,BPBPBP,PBPPBB,6
PPBBPB,BPBPBPBPBPB,BPBBPP,11
PBBBPP,PBPBPB,BBBBPP,6
BBBPBP,PBPBPBP,PBBPBP,7
BPPBBB,BPBPBPBPBP,PPBPPB,10
BPBPBB,BPBPBPB,BPBBPB,7
PBBPPP,PBPBPB,BBPPBB,6
PPPBPB,BPBPBP,PPBPBP,6
PPBBPB,BPBPBP,PPBBBB,6
PPBBPB,BPBPBP,PPBBBB,6
PPPPBB,BPBPBP,PBBPPP,6
BBBPBB,BPBPBPB,BBPBBB,7
PPPBBB,BPBPBPB,BPPBBB,7
PPPBPP,PBPBPBP,PBBPPP,7
BPPBPB,BPBPBPBPB,BBBBPP,9
PBBBPP,PBPBPBP,PPBBPB,7
PBPPBB,BPBPBP,PPPBPB,6
PPPBBB,BPBPBPB,BBPBPB,7
BPBPBB,BPBPBPB,BPPBPP,7
BBPPBP,PBPBPBPB,BBPPBB,8
BBPPBP,PBPBPB,BBPPPB,6
BPPPPP,PBPBPBPBP,PBPPBP,9
BBPBPB,BPBPBPB,BPPBBP,7
PBBBBP,PBPBPBP,PBPBBP,7
PPBPPB,BPBPBPBP,PPPPPP,8
BPPPBP,PBPBPB,BBBBPB,6
PBBPPP,PBPBPBP,PPBPBP,7
PPPBBB,BPBPBPB,BPPBBP,7
PBBBBP,PBPBPBP,PPBBPB,7
BPBBBB,BPBPBPB,BBBPBP,7
PBPPBB,BPBPBPB,BBBPPB,7
PBPBBP,PBPBPB,BPBBBB,6
PBPPBB,BPBPBPB,BBBPPB,7
PBPBBP,PBPBPB,BPBBBB,6
PBBPPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PPBBPP,6
PPBPPP,PBPBPBPBP,PBBBBP,9
BBBBPB,BPBPBP,PBBBPP,6
BPBBBB,BPBPBP,PBPPBP,6
PBBBPP,PBPBPBP,PPBPPP,7
BPPBBB,BPBPBP,PBBPPP,6
PPBPBP,PBPBPB,BPPBBP,6
PPPPBB,BPBPBPBPBPB,BPBPPB,11
BBPBBB,BPBPBP,PBBPPB,6
PPBBPP,PBPBPB,BPPPPB,6
BBPBPB,BPBPBP,PPPPBB,6
PPPBBB,BPBPBPB,BPBPPB,7
BPBPBB,BPBPBPBPB,BPPPBB,9
BBPBBB,BPBPBPB,BBBPBB,7
PBPPPP,PBPBPB,BPPPPP,6
PBBPBB,BPBPBP,PBPPBB,6
PPBPBP,PBPBPB,BBBPBB,6
PPBPBP,PBPBPB,BBBPBB,6
PPBBBP,PBPBPBPB,BBBBBB,8
PBPPPP,PBPBPBPBPB,BPBPBB,10
PBBPBB,BPBPBPBP,PPPPPP,8
BPBBPB,BPBPBPBPBP,PBBBPP,10
BPPPPB,BPBPBPB,BPBBPP,7
BPPBPB,BPBPBPBPB,BBBPPP,9
PPPBBP,PBPBPBP,PBBPBB,7
BBBBBB,BPBPBPBPB,BPPBPB,9
PPBBPB,BPBPBP,PPPBPB,6
BBBPPB,BPBPBPB,BBPBPB,7
BPBPBB,BPBPBPB,BBBPBB,7
BBBBPB,BPBPBP,PBPBBB,6
PPBBPP,PBPBPBP,PBBBBB,7
PBPBPP,PBPBPB,BBBPPP,6
BBPPBB,BPBPBP,PBPPBB,6
BPPPBB,BPBPBP,PPPPBB,6
PBPPPB,BPBPBPBPBP,PPPBBP,10
PPBPPB,BPBPBP,PBPPBB,6
BBBPBP,PBPBPBPB,BBBBBB,8
PBBPBP,PBPBPB,BBBBBP,6
PBBPPP,PBPBPBPBP,PBBBPP,9
BPPPPB,BPBPBP,PBBPPP,6
BPBBBB,BPBPBP,PPBPPB,6
PPBPBP,PBPBPBPB,BBPBPP,8
PBPBPP,PBPBPB,BBBBBP,6
BBBBBP,PBPBPB,BBPPBB,6
PPBBPP,PBPBPB,BPPBBP,6
BPPBPP,PBPBPB,BBBBBP,6
BPBBPP,PBPBPB,BBPBPP,6
BBPBPB,BPBPBPB,BPBPPB,7
BBPBPB,BPBPBPB,BPBPPB,7
BBPBPB,BPBPBPB,BPBPPB,7
PBPBBP,PBPBPBP,PBPPPB,7
BPPPPP,PBPBPBPBP,PBBBPB,9
PBBPBB,BPBPBP,PPBPPB,6
PPPBPP,PBPBPB,BPBBPP,6
BPPPBP,PBPBPB,BBPPBB,6
PPPBPP,PBPBPB,BPPPBP,6
PPBBBB,BPBPBP,PPBBPB,6
PPBBBB,BPBPBP,PPBBPB,6
BPPBPB,BPBPBPBPB,BBBBBB,9
BPPBPP,PBPBPBPB,BBPBBB,8
BBPBPB,BPBPBPB,BPPPPP,7
BBBBPB,BPBPBPB,BBPPPB,7
PPBBBB,BPBPBPB,BPBPBB,7
PBPBBP,PBPBPB,BPPBBB,6
PPPBBB,BPBPBPB,BBPPPB,7
BPBBBB,BPBPBP,PBPBPP,6
BPBBBB,BPBPBP,PBPBPP,6
PBPPPB,BPBPBPBP,PBPPPB,8
PPBPBP,PBPBPB,BBBPPP,6
BBPPBB,BPBPBP,PBBPPP,6
BBPBPB,BPBPBP,PPBBBB,6
BBPBBP,PBPBPBP,PBBBPB,7
BPPBBB,BPBPBPBPB,BPPBBB,9
PBBBBP,PBPBPBP,PPPPBP,7
BPBBBP,PBPBPBPB,BBPPBB,8
BPBBBP,PBPBPBPB,BBPPBB,8
PPPBPP,PBPBPB,BPBBPB,6
PPPBPP,PBPBPB,BPBBPB,6
PPPBPP,PBPBPB,BPBBPB,6
BBBBBB,BPBPBPB,BBBBBP,7
BPPPPB,BPBPBP,PBBBBB,6
BBBBPP,PBPBPB,BBPBPP,6
BBPPPP,PBPBPB,BBBPPB,6
PBPBBP,PBPBPB,BBPBPP,6
BPPBBB,BPBPBP,PPBPPB,6
PPPBBB,BPBPBP,PBBBPP,6
PPBPBB,BPBPBP,PPBBBB,6
PPBPPP,PBPBPB,BPPPBB,6
PPPBPB,BPBPBP,PBBBPB,6
BBBBBP,PBPBPB,BBPBPP,6
BPPBBB,BPBPBPBPBPB,BBBBBP,11
PPBBBP,PBPBPBPB,BBBBBB,8
BPBPPP,PBPBPB,BBBPBP,6
PBBPPP,PBPBPB,BPPBPB,6
BBBBBP,PBPBPB,BBPBBB,6
PBBPPP,PBPBPB,BPPBPB,6
BBBBBP,PBPBPB,BBPBBB,6
BPPPBB,BPBPBP,PPPPBP,6
BBPPBP,PBPBPBPBP,PPBPBB,9
PBBBBP,PBPBPB,BBBBPP,6
PPBBBP,PBPBPB,BBPBBP,6
BBPBBP,PBPBPBPBP,PPPBBB,9
PPBBBP,PBPBPBPBP,PBPPPP,9
BBBBBB,BPBPBPB,BBPBBB,7
BPBPPB,BPBPBPBPB,BPPBPP,9
PPBBBP,PBPBPBP,PBBBPP,7
BPPPPP,PBPBPB,BBBPBP,6
PBPBBB,BPBPBPBPB,BBPPBP,9
BPBBBP,PBPBPBPB,BPBBPP,8
PPBBPP,PBPBPB,BBPPBP,6
BPPBPB,BPBPBP,PPBBBP,6
BBPPBP,PBPBPB,BPPPPB,6
PBPPPB,BPBPBP,PPBBBP,6
PPBPPB,BPBPBP,PBBPBP,6
BBPBBP,PBPBPB,BBPBPP,6
PBPPPB,BPBPBP,PPBBBP,6
PPBPPB,BPBPBP,PBBPBP,6
BBPBBP,PBPBPB,BBPBPP,6
BBPPBB,BPBPBPBP,PBPPPP,8
BBPPBB,BPBPBPBP,PBPPPP,8
BBPPBB,BPBPBPBP,PBPPPP,8
BPPBBP,PBPBPBPB,BBPBBB,8
BBPPBB,BPBPBPBP,PBPPPP,8
BPPPBB,BPBPBP,PBBBPB,6
PPBBBB,BPBPBPBP,PBBBPB,8
PPBPBB,BPBPBP,PBBBBP,6
PBBPBP,PBPBPBP,PBBBPB,7
BPPPPB,BPBPBPB,BBPPBB,7
BPPPPB,BPBPBPB,BBPPBB,7
BPBBBB,BPBPBPB,BPBBPB,7
BPPBPB,BPBPBP,PBPPBB,6
BBPBBP,PBPBPB,BPBBPP,6
PPPBPB,BPBPBPBPB,BPBPPP,9
BBBPPB,BPBPBPB,BBPBBB,7
BBBPPB,BPBPBPB,BBPBBB,7
BBPBBP,PBPBPB,BBBPBB,6
PBPBBB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPB,BPBPPB,6
BPBPPB,BPBPBPBP,PBPBBB,8
PBBPPP,PBPBPBPBPBP,PBPBBB,11
PPPBPP,PBPBPBP,PPBPPP,7
PPPPBB,BPBPBPBP,PBBBPP,8
PBBBPP,PBPBPB,BBBPPB,6
BPBBPB,BPBPBP,PBBBPB,6
BPBPPB,BPBPBP,PPPPBP,6
PPBPPP,PBPBPB,BBBPPB,6
BBPPBP,PBPBPB,BBBBPP,6
BPPBPB,BPBPBP,PPBPPP,6
PBPBBB,BPBPBP,PBBBBP,6
PPPPPB,BPBPBPB,BPBBBB,7
PBPPBP,PBPBPBPBPBPB,BBPPBP,12
PBPPBP,PBPBPBPBPBPB,BBPPBP,12
PPBBBP,PBPBPB,BPBBBP,6
BPBPBB,BPBPBPBPB,BPBBPB,9
PBBBBB,BPBPBPBPB,BPPPBP,9
PPBBPB,BPBPBPBP,PPBPPB,8
BPPBBP,PBPBPBPB,BBBPPP,8
BPBPPB,BPBPBP,PBBBBB,6
BBBPBP,PBPBPB,BBBPPB,6
BBBPPB,BPBPBPBP,PPBPPB,8
PBBBBP,PBPBPBP,PBPBPP,7
PPPPPB,BPBPBP,PBPBBB,6
PPPPPB,BPBPBP,PBPBBB,6
PBBPPP,PBPBPB,BBPPBP,6
BPPBBP,PBPBPB,BPPPBP,6
PBBBBB,BPBPBP,PPBPBP,6
BBPBPP,PBPBPBPB,BBBPPB,8
BBBBPB,BPBPBPB,BPPPPB,7
BPPBBP,PBPBPBPBP,PPPBPB,9
PBBBPB,BPBPBPB,BBPBBB,7
BPBPPB,BPBPBPB,BPBBPB,7
BBBPPB,BPBPBPB,BBBPBB,7
BBBBPB,BPBPBPBP,PPPPBB,8
BBPBPB,BPBPBP,PBBBBP,6
BPPBPB,BPBPBP,PPPBPB,6
BBBBBP,PBPBPBP,PPBBPB,7
BBBPBP,PBPBPBPBP,PBBPPP,9
PPPPBB,BPBPBPBPBP,PPBPBB,10
BBBPBB,BPBPBPB,BBPPPP,7
PPBPPP,PBPBPB,BBPPPP,6
PPBPPP,PBPBPB,BBPPPP,6
PPPPPP,PBPBPBPBPBPB,BPBBBP,12
BPPBBB,BPBPBPBPB,BPPPPP,9
BBPBPP,PBPBPBP,PPBBPB,7
BPBPBB,BPBPBPBP,PPPPPB,8
BPBPBB,BPBPBPBPBP,PBPPPP,10
BBBPPB,BPBPBPB,BPPPBP,7
PPBPBP,PBPBPBPBPBP,PBBBPB,11
BPBPPP,PBPBPB,BBPBBB,6
BPPPBP,PBPBPBPB,BPPPBP,8
BBPBPP,PBPBPB,BBPPPP,6
PBBBPB,BPBPBP,PBPPBB,6
PPPBPB,BPBPBP,PBPBBB,6
BPPPPB,BPBPBP,PBPBBB,6
PBBBPP,PBPBPBPB,BPBPBP,8
PBPBPB,BPBPBPB,BPBPBP,7
BPPPPB,BPBPBP,PBPBBB,6
PBBBPP,PBPBPBPB,BPBPBP,8
PBPBPB,BPBPBPB,BPBPBP,7
BPPPPB,BPBPBP,PBPBBB,6
PBBBPP,PBPBPBPB,BPBPBP,8
PBPBPB,BPBPBPB,BPBPBP,7
BPPBPP,PBPBPB,BBPPBP,6
BBBPPP,PBPBPB,BPPPPB,6
BBBPPP,PBPBPB,BPPPPB,6
BBBPBB,BPBPBP,PBBBPP,6
PBPBBB,BPBPBP,PBBPPP,6
PPPPPP,PBPBPBPBP,PBPBPP,9
BPBPBB,BPBPBPB,BBPBBB,7
BBPBBB,BPBPBP,PPBPBB,6
BBBPBB,BPBPBP,PPPBPB,6
BPBBPP,PBPBPBP,PPPPBB,7
BPBBBB,BPBPBPB,BPPBBP,7
PPPPPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBPBP,PPPPBB,8
BBBBBP,PBPBPBPB,BPPBBP,8
BBPBBB,BPBPBP,PBBPBB,6
BPPBBB,BPBPBPB,BBBBPB,7
BPPBBB,BPBPBPB,BBBBPB,7
BPPPBB,BPBPBPB,BBBBPB,7
BBBPBB,BPBPBPB,BPPPBB,7
PPPBBB,BPBPBP,PBPBBB,6
PPPPPP,PBPBPBP,PPBBBB,7
PPPPPP,PBPBPBP,PPBBBB,7
BBPBPP,PBPBPB,BBBPBP,6
BPPBBB,BPBPBPB,BBPPPP,7
BBPBPP,PBPBPB,BBBPBP,6
BPPBBB,BPBPBPB,BBPPPP,7
PBPBBP,PBPBPB,BPPPPP,6
BBPPPP,PBPBPB,BBBBBP,6
PPPPBP,PBPBPB,BPBPBB,6
BBPBBP,PBPBPB,BPBBBB,6
BBPBBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPBPB,BBPBPP,9
BPBBBB,BPBPBPBPBPBP,PPPPPB,12
BPPPPP,PBPBPBPBP,PPPPPB,9
PPPPPB,BPBPBP,PBPPBP,6
BPBBPB,BPBPBPB,BPBBBP,7
PPBBPP,PBPBPB,BBPPBP,6
BBBPPP,PBPBPBPB,BPPPBP,8
BPBBPB,BPBPBPB,BPBBBP,7
BPBBPB,BPBPBPB,BPBBBP,7
PPPPPB,BPBPBPBP,PBPBBB,8
BBBPBP,PBPBPB,BPBBPP,6
PBPPPB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPB,BBBPBB,6
PBBPBB,BPBPBPBPB,BPBPBB,9
PBBPBB,BPBPBPBPB,BPBPBB,9
BPBPBB,BPBPBP,PBPBPP,6
BPBPPP,PBPBPB,BPBBBB,6
PPPBBB,BPBPBP,PBBBPB,6
BBBPPB,BPBPBP,PPBBBP,6
PBPBBB,BPBPBPB,BPPPBP,7
PBBPBP,PBPBPB,BBPPBP,6
PPPBPP,PBPBPBPB,BBPPPP,8
PPBBBP,PBPBPBP,PBPPPB,7
PPBBPB,BPBPBPB,BBPBBP,7
PBBBPB,BPBPBP,PBPPBB,6
BPPPPB,BPBPBP,PPPBPP,6
BPPBBB,BPBPBP,PBPBBB,6
PBBPBP,PBPBPBPB,BPPBPP,8
BBBPPP,PBPBPBP,PPPBBP,7
PBBPPP,PBPBPB,BPBPPP,6
BPBBPP,PBPBPBP,PBBPBP,7
BBPBBP,PBPBPBPB,BPPPPB,8
PPBPBB,BPBPBP,PPPBBP,6
PPPPBP,PBPBPB,BBBPPP,6
PBPBBB,BPBPBP,PPPBBP,6
PBPBBB,BPBPBP,PPPBBP,6
BBBBPP,PBPBPBP,PBBPPB,7
PBBBPP,PBPBPBP,PBPBBB,7
PBBBPP,PBPBPBP,PBPBBB,7
PBBBPP,PBPBPBP,PBPBBB,7
PBBPBB,BPBPBP,PBBBBB,6
BBPPBP,PBPBPBPBPB,BPBBBB,10
PPBBPP,PBPBPB,BBPPBP,6
BBPPPB,BPBPBP,PBBBPP,6
BPPPPB,BPBPBP,PBPBBP,6
BPPPPB,BPBPBP,PBPBBP,6
BBBPPP,PBPBPBPBP,PBPBBB,9
BBBPPP,PBPBPBPBP,PBPBBB,9
PPPPPB,BPBPBPBP,PBPPPP,8
BBBBBP,PBPBPB,BPBBPB,6
BBBPBB,BPBPBPBP,PBPPPP,8
BBBPBB,BPBPBPBP,PBPPPP,8
PPPPBB,BPBPBP,PBPBPB,6
BPBBBB,BPBPBPBPBPB,BPPPBP,11
PPBBBB,BPBPBPB,BBPPBP,7
BPBBBP,PBPBPBPBP,PBBBBP,9
PBBPBP,PBPBPB,BBPPBB,6
BBBPPB,BPBPBP,PBBPPP,6
BBBBPP,PBPBPBP,PBBPBB,7
PPBPBB,BPBPBP,PPBBPB,6
BPPPBP,PBPBPBPB,BPPPBB,8
BPBPPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BBBBBB,6
PBBPPP,PBPBPB,BPPPPB,6
PPPPBB,BPBPBPB,BPBBPB,7
PBBBBP,PBPBPB,BBPBPP,6
PBPPBB,BPBPBP,PBPBBB,6
BPBBBP,PBPBPBP,PPBPPP,7
BPBBBP,PBPBPBP,PPBPPP,7
BBPPBB,BPBPBP,PPPBBP,6
PPPBPB,BPBPBP,PPBBBP,6
PPPPBP,PBPBPBPBP,PPBPPB,9
PPPPBP,PBPBPBPB,BBBBBP,8
BBPBPB,BPBPBPBPBP,PBPPBP,10
PPBBPB,BPBPBPB,BBPPBB,7
PPPBPB,BPBPBP,PBPBPP,6
BPPPBP,PBPBPB,BPBPPB,6
BBPBBP,PBPBPB,BPBBPP,6
BPPPBP,PBPBPBP,PBPBPB,7
BPBPBP,PBPBPB,BBPPBP,6
BPBBBP,PBPBPB,BBBPPB,6
PBBPBP,PBPBPBP,PPBPPP,7
BBBPPP,PBPBPB,BBBPPB,6
BBBBPB,BPBPBPB,BBBPBP,7
PPPPPP,PBPBPB,BPPPPB,6
PPPPPP,PBPBPB,BPPPPB,6
PPBBPB,BPBPBPBPBPB,BPPPBP,11
