before,bantai,after,pattern,direction
BPBBBP,BPPPBBBBBB,PPPPPP,1-3-6,ขึ้น
BPBBPP,BBBBBBBPPPPPBBB,PPPPPB,7-5-3,ลง
PPBBPP,BPPBBB,PBPPBP,1-2-3,ขึ้น
PBBPBB,PBBPPPPPP,BPBPPB,1-2-6,ขึ้น
BBPBPP,BPPBBB,PPPPBP,1-2-3,ขึ้น
PBPBBP,BPPBBB,PPBPBB,1-2-3,ขึ้น
BPPBBP,BBBBBBBPPB,PPBBPB,7-2-1,ลง
PPBPBP,BPPBBB,PPBPBB,1-2-3,ขึ้น
PBBPBB,PBBPPPPPP,BPBPPB,1-2-6,ขึ้น
PBBPBP,BPPBBB,PBBPBP,1-2-3,ขึ้น
PPPPPP,BPPBBB,PPPBPB,1-2-3,ขึ้น
PBPPBB,PPPPPBBP,BBBBBP,5-2-1,ลง
PPPBPB,PBBPPPPPPPP,BBPBBP,1-2-8,ขึ้น
PBPBPB,PPPBBP,BPPPPP,3-2-1,ลง
PPBBPB,PPPPPPPPBBBP,BPBPPP,8-3-1,ลง
PPPPBB,PBBPPPPPPPPP,BPPBBP,1-2-9,ขึ้น
PBPPBB,PPPPBBBP,BPBPPP,4-3-1,ลง
BBPBPB,PPPPBBP,BBBPPB,4-2-1,ลง
PBBBBP,BBBBPPB,PBPBBB,4-2-1,ลง
PPBPBP,BBBPPB,PPBBBP,3-2-1,ลง
BBPBPB,PBBPPPPPPPPP,BBPPPB,1-2-9,ขึ้น
BBBPPP,BBBBPPB,PPBPPP,4-2-1,ลง
BBBBBP,BBBBBBPPB,PBPPBP,6-2-1,ลง
BBBPBB,PBBPPPP,BBBPPB,1-2-4,ขึ้น
PBPBBP,BBBBPPPBB,PPBPBB,4-3-2,ลง
PBBPPB,PBBPPP,BBBBPB,1-2-3,ขึ้น
BBBBPP,BBBBPPB,PPPBPB,4-2-1,ลง
BPBBBB,PBBPPPPPP,BPBBBP,1-2-6,ขึ้น
BPPPBB,PPPPBBP,BBPBPP,4-2-1,ลง
BBBPBB,PBBBPPPP,BBBPPP,1-3-4,ขึ้น
BPPPPB,PPPPBBP,BBBBPP,4-2-1,ลง
PPPBBP,BBBBPPPB,PPBBPB,4-3-1,ลง
BPBBPB,PPPPPPBBP,BPBBBP,6-2-1,ลง
PBBBPB,PPPPPBBP,BBBBPP,5-2-1,ลง
PPPBBP,BBBBPPB,PBBPPP,4-2-1,ลง
BBBPPB,PBBPPPP,BPPBPP,1-2-4,ขึ้น
PPPBPP,BPPBBB,PPPBPB,1-2-3,ขึ้น
PPPPBB,PPPBBP,BBPPPB,3-2-1,ลง
BBBPBB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
BBPPBB,PBBBPPPPPP,BPPBBP,1-3-6,ขึ้น
PBBBPB,PBBPPPPP,BBBPBB,1-2-5,ขึ้น
BBBPBP,BBBBPPB,PPPPPP,4-2-1,ลง
BBBPPB,PPPPPPPPPPBBBBBBBP,BPPBPP,10-7-1,ลง
BPPBPP,BPPBBBBBB,PPPBPB,1-2-6,ขึ้น
PBPBBB,PBBPPP,BBBBBB,1-2-3,ขึ้น
PBBPPP,BBBBBBBBBPPPPB,PPPBPB,9-4-1,ลง
PBPBPP,BPPBBBBB,PBPPBP,1-2-5,ขึ้น
PPPBPB,PPPPPPPPPPPPBBP,BPPPBP,12-2-1,ลง
PPBPPB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BPBPPP,BPPPBBBB,PPPPBP,1-3-4,ขึ้น
BPPPPP,BBBBBPPPPB,PPPBBB,5-4-1,ลง
PBPPPB,PPPPBBBPP,BPBBBB,4-3-2,ลง
BPPBBB,PBBBPPPPPP,BPBPPB,1-3-6,ขึ้น
PPPPPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPBPPP,BBBPPB,PPBPBP,3-2-1,ลง
PBPPBP,BPPPBBBB,PBPBPB,1-3-4,ขึ้น
PBPBBP,BBBBPPPBB,PBBBPB,4-3-2,ลง
PBBBPB,PPPPBBP,BPPBPB,4-2-1,ลง
BPBPBB,PBBPPPPPP,BPBBBP,1-2-6,ขึ้น
BPPBBP,BPPBBB,PBBBPP,1-2-3,ขึ้น
BPPBBB,PBBBPPPP,BBPBBB,1-3-4,ขึ้น
PBBBPP,BBPPPBBBB,PBPBPB,2-3-4,ขึ้น
PBBPBB,PPBBBBPPPPP,BPBBPB,2-4-5,ขึ้น
BBPBPB,PPPPPPPPBBBBBP,BPBPPB,8-5-1,ลง
PBPPPP,BPPBBBBB,PBBPPB,1-2-5,ขึ้น
BBPPBP,BBBPPB,PPPPPB,3-2-1,ลง
PPBBPB,PBBPPPPP,BPBPBP,1-2-5,ขึ้น
BPBPPP,BPPBBB,PPBBBB,1-2-3,ขึ้น
BBPPBP,BBBBBPPPB,PBBBPP,5-3-1,ลง
PPBBPP,BPPPPBBBBBBB,PPBPBB,1-4-7,ขึ้น
PPBBBP,BPPPBBBB,PPBPPB,1-3-4,ขึ้น
BBBBPP,BPPBBBB,PBPBBP,1-2-4,ขึ้น
PBPBBP,BBBBBBPPPPBB,PBPPBB,6-4-2,ลง
BBPBBP,BPPBBB,PBBBPB,1-2-3,ขึ้น
BPPBBB,PBBBPPPPP,BPPBPP,1-3-5,ขึ้น
PPBPPB,PBBPPPPP,BPPPBP,1-2-5,ขึ้น
BPPBBP,BBBBPPPBB,PBBPBP,4-3-2,ลง
PBPPBB,PPPPBBBPP,BPBPBB,4-3-2,ลง
BBPBBP,BPPPBBBB,PBBBPP,1-3-4,ขึ้น
BPBPBP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
BBBPPP,BBBPPB,PBPPPB,3-2-1,ลง
BPBBBB,PBBBPPPP,BBBPBP,1-3-4,ขึ้น
BPPBPP,BPPBBBB,PPPBPB,1-2-4,ขึ้น
PBPBPB,PBBPPPPPP,BBBPPB,1-2-6,ขึ้น
PPPPPP,BBBPPB,PPPBPP,3-2-1,ลง
PBPBBP,BBBPPB,PPBBPB,3-2-1,ลง
BPPBPB,PBBPPP,BBPPBP,1-2-3,ขึ้น
PBPPPP,BBBBPPB,PBBBPB,4-2-1,ลง
PPBBPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BBBPPP,BBPPPBBBB,PBBBBP,2-3-4,ขึ้น
PBBBPB,PBBBPPPPP,BBPBBP,1-3-5,ขึ้น
PBPPPP,BPPBBBBB,PBBPPP,1-2-5,ขึ้น
PBBBBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
BPBPBP,BBBBPPPB,PBBBBP,4-3-1,ลง
BBBBPB,PBBPPPP,BBBBBP,1-2-4,ขึ้น
PPPPBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BBBBBB,PBBPPPP,BPPBPB,1-2-4,ขึ้น
BPBBBP,BBBPPB,PBPBBB,3-2-1,ลง
PBPPPP,BBPPPBBBBBBB,PPPPBB,2-3-7,ขึ้น
BBBBBB,PPPPBBP,BBBBBB,4-2-1,ลง
PBBBPP,BBBBPPB,PPBPPB,4-2-1,ลง
PPBPBB,PBBPPPPPPPPP,BPBPBP,1-2-9,ขึ้น
PBPBPB,PBBPPP,BPBBPB,1-2-3,ขึ้น
PBPBPB,PBBPPPPPPP,BBBPBP,1-2-7,ขึ้น
BBBPBP,BBBPPB,PPBPBP,3-2-1,ลง
BPPPBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BPBBBP,BBBBPPPBB,PPBPPB,4-3-2,ลง
PPBBPP,BPPBBBB,PPPBBP,1-2-4,ขึ้น
BPPPBB,PPPPBBP,BBBPPB,4-2-1,ลง
PPPBBP,BBBPPB,PBPPBB,3-2-1,ลง
BBPBBP,BBBBPPPBB,PPBBPP,4-3-2,ลง
BPPBBP,BBBBBBBBBBPPPPB,PBBPBP,10-4-1,ลง
PPBPPP,BPPBBBBBB,PBBPPB,1-2-6,ขึ้น
BPPBPB,PPPPPBBBP,BPPBPP,5-3-1,ลง
PPBPBP,BBBPPB,PBPPPB,3-2-1,ลง
BPBPPP,BPPBBB,PBPPPP,1-2-3,ขึ้น
BPBBBB,PBBBPPPP,BPBPPP,1-3-4,ขึ้น
BPPBBP,BBBBPPB,PPBBPB,4-2-1,ลง
PBBPBP,BPPBBB,PPBBBP,1-2-3,ขึ้น
PBPBBP,BPPPBBBB,PPBBPB,1-3-4,ขึ้น
PPBPBB,PBBPPP,BBPBPB,1-2-3,ขึ้น
BBPBPP,BPPBBBBB,PPBBPP,1-2-5,ขึ้น
PBPPPP,BBBBPPPB,PPPBBP,4-3-1,ลง
BPPBPB,PBBPPPPPPPPP,BPBPPP,1-2-9,ขึ้น
PPPBBB,PPPPBBBPP,BPBBPP,4-3-2,ลง
PPBBBB,PBBPPPPP,BPBBPB,1-2-5,ขึ้น
PBPPBB,PBBPPPPP,BPBBBP,1-2-5,ขึ้น
BBPPBP,BPPBBB,PBPPBB,1-2-3,ขึ้น
PBBPBB,PPBBBBPPPPPPP,BBPPPB,2-4-7,ขึ้น
PPPPPP,BBPPPBBBB,PPPBPB,2-3-4,ขึ้น
BPBPBB,PBBPPPP,BPPPPB,1-2-4,ขึ้น
PPBBBB,PPPPPPBBBPP,BBPBBP,6-3-2,ลง
BPBBBB,PPPPBBP,BBPPBB,4-2-1,ลง
PPBPBP,BPPBBB,PPPPPB,1-2-3,ขึ้น
PPBPBB,PBBBPPPPP,BBBPPB,1-3-5,ขึ้น
PBBPBP,BPPPBBBB,PPPPBB,1-3-4,ขึ้น
BPPPBP,BBBBBPPB,PBBPBB,5-2-1,ลง
PPBPBB,PBBPPPP,BBPBBB,1-2-4,ขึ้น
BBPBPB,PBBPPPP,BPPBPB,1-2-4,ขึ้น
PBPPBP,BPPBBB,PBPPPP,1-2-3,ขึ้น
BBPBPB,PPPPPBBBPP,BBPBPB,5-3-2,ลง
PBPPBP,BPPBBBB,PPPBBP,1-2-4,ขึ้น
BPBBBP,BBBBBBPPB,PBBBBB,6-2-1,ลง
BBPPBP,BBBBBBPPPPPB,PPPPPB,6-5-1,ลง
PPBPPB,PBBBPPPPP,BBPPPB,1-3-5,ขึ้น
PBPBPP,BPPBBB,PPPPBB,1-2-3,ขึ้น
BPBBPP,BPPBBB,PBBPPB,1-2-3,ขึ้น
BBPBPB,PPPPPBBBPP,BBBPPP,5-3-2,ลง
BPPBBB,PPPPBBP,BBPBPB,4-2-1,ลง
BPBBPB,PBBBPPPPPP,BPPBPB,1-3-6,ขึ้น
BBPBPB,PPPPPBBP,BPPPBB,5-2-1,ลง
PPPBBP,BPPPBBBBBB,PPPBPB,1-3-6,ขึ้น
BPPBBB,PPPBBP,BPBBBP,3-2-1,ลง
PPPBPB,PBBPPPPPP,BPPBBB,1-2-6,ขึ้น
PPPPPP,BPPBBBB,PBPPBB,1-2-4,ขึ้น
PBBBBP,BPPBBB,PPPPPB,1-2-3,ขึ้น
BPPBPB,PBBPPP,BBBBBP,1-2-3,ขึ้น
PBBPPP,BBBBBPPB,PBPBPB,5-2-1,ลง
PPBPBP,BPPBBB,PBBBPP,1-2-3,ขึ้น
PPBBBP,BBBPPB,PPBBBP,3-2-1,ลง
BBBPPB,PPBBBPPPPP,BPPBBB,2-3-5,ขึ้น
BBPBPP,BPPBBB,PPBBPP,1-2-3,ขึ้น
PPBBPP,BBBBBPPB,PPBBPB,5-2-1,ลง
BBPPBP,BPPBBBB,PBPPBP,1-2-4,ขึ้น
PBPPPB,PBBBPPPP,BBBPPP,1-3-4,ขึ้น
PPPPPP,BPPBBBBBBB,PBPPPP,1-2-7,ขึ้น
BBBBPB,PPPPPBBBP,BBBBBB,5-3-1,ลง
BPBBBP,BBBBPPPB,PBBPBB,4-3-1,ลง
PBPBBP,BBBPPB,PBPPBB,3-2-1,ลง
BBPPBP,BPPBBB,PBPPPB,1-2-3,ขึ้น
PBPPPB,PPPPPPBBBP,BPPBBP,6-3-1,ลง
PPPBBB,PPPPBBBP,BPBBBP,4-3-1,ลง
BBBPBP,BBBPPB,PBBBBP,3-2-1,ลง
BBPPBP,BBBBPPB,PPPBPB,4-2-1,ลง
BPPPBP,BBBBBPPB,PPPPPB,5-2-1,ลง
BPPPPP,BPPBBBBBB,PBPBBP,1-2-6,ขึ้น
PBPPPP,BPPBBB,PPBPBB,1-2-3,ขึ้น
PBPPPB,PBBPPP,BPPPBP,1-2-3,ขึ้น
BBPBPP,BPPBBBB,PPPBBP,1-2-4,ขึ้น
PPPPBB,PPPPPBBP,BPPPPP,5-2-1,ลง
PPBBBP,BPPBBBB,PPBBBP,1-2-4,ขึ้น
PBPPPB,PBBPPP,BPPBBB,1-2-3,ขึ้น
PBBPPP,BPPBBBB,PPPBPP,1-2-4,ขึ้น
PBBBBB,PPBBBPPPP,BPPBBP,2-3-4,ขึ้น
BPPPBP,BPPPBBBBBB,PPBBPB,1-3-6,ขึ้น
BBBPBP,BBBPPB,PBPBBB,3-2-1,ลง
PPBPBP,BBBBBBBPPPPBBB,PPPBBP,7-4-3,ลง
BBPPBB,PPPBBP,BBBPBP,3-2-1,ลง
PBBPPB,PPPBBP,BBBBBB,3-2-1,ลง
PPPBBP,BBBBBBBBPPB,PPPPPP,8-2-1,ลง
BBBBBP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BPBPPB,PBBPPPP,BBBBPP,1-2-4,ขึ้น
PPBPBP,BBBBBPPPB,PPPPPP,5-3-1,ลง
BPBBBB,PPPPBBBP,BPPBBP,4-3-1,ลง
BPBBBB,PBBPPPPP,BBPPBP,1-2-5,ขึ้น
BPBPPP,BPPBBB,PPBPBP,1-2-3,ขึ้น
BBBBBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BPBPBP,BBBPPB,PBBBBP,3-2-1,ลง
BBPPBP,BBBBPPB,PPPBPP,4-2-1,ลง
PPBPPP,BBBPPB,PBBPPB,3-2-1,ลง
PPPBPP,BPPBBBB,PPBBBP,1-2-4,ขึ้น
BBBBPP,BBBPPB,PBBBBP,3-2-1,ลง
PPPPPP,BPPBBB,PBPBBP,1-2-3,ขึ้น
PPBBBP,BBBBBBPPB,PBPPPB,6-2-1,ลง
BBPPBP,BPPPBBBB,PBBBBB,1-3-4,ขึ้น
PBPPPP,BPPBBBB,PBPBPB,1-2-4,ขึ้น
PPBPPB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
BPPPPB,PBBBPPPPP,BPBPPP,1-3-5,ขึ้น
PPPBPB,PPPPPBBBBP,BBPBPB,5-4-1,ลง
PPPPBB,PBBPPP,BBPPPP,1-2-3,ขึ้น
BPPPBB,PPPPBBP,BBBPPB,4-2-1,ลง
PBBBPP,BBPPPBBBB,PPBBBB,2-3-4,ขึ้น
BBBPBP,BBBBBBPPPBB,PBBPBB,6-3-2,ลง
PBPPPP,BPPBBB,PBPBBP,1-2-3,ขึ้น
PBBBPB,PPPPBBBP,BBPPBB,4-3-1,ลง
BPBBBP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
BBBBPB,PPPBBP,BBBBPB,3-2-1,ลง
BBBPBP,BPPBBBB,PBPPPB,1-2-4,ขึ้น
PBBBBP,BBBPPB,PPBBPB,3-2-1,ลง
BBBPBP,BBBPPB,PBBBBP,3-2-1,ลง
BPBBBB,PBBPPPPPP,BBPPPP,1-2-6,ขึ้น
PPPPBB,PPPPBBP,BPPBPP,4-2-1,ลง
PBPPBP,BBBBPPB,PPPBPB,4-2-1,ลง
PBPBBP,BPPPBBBBB,PPPPBB,1-3-5,ขึ้น
PBPPPP,BPPBBB,PBBBBP,1-2-3,ขึ้น
BPBBPP,BBBBPPB,PPBPBB,4-2-1,ลง
BBPBBP,BBBBBBBBPPPPPPPB,PPPPBB,8-7-1,ลง
BPPPBB,PBBPPPPPPPPP,BPBPBB,1-2-9,ขึ้น
PPPBPB,PPPBBP,BPBPBP,3-2-1,ลง
PBBBPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BBBBBP,BPPBBBBB,PPPBPB,1-2-5,ขึ้น
BPPPBP,BBBPPB,PPBPBB,3-2-1,ลง
BPPBBP,BPPBBB,PPPBBB,1-2-3,ขึ้น
BPPBPB,PBBPPPP,BPPBBB,1-2-4,ขึ้น
BBPPPP,BPPBBBBB,PBBPBB,1-2-5,ขึ้น
BPBBPP,BPPBBBB,PPBBBP,1-2-4,ขึ้น
PBBBBP,BBBBBPPB,PPBBPB,5-2-1,ลง
BPPBBP,BPPBBBB,PBBPBP,1-2-4,ขึ้น
BPBPPP,BPPPBBBBB,PBBBPP,1-3-5,ขึ้น
BBBPPP,BBBBBBPPB,PPPPBB,6-2-1,ลง
BBBPPB,PPPPBBBPP,BPPPBB,4-3-2,ลง
BPBBBP,BBBBBPPPPBBB,PPPBPP,5-4-3,ลง
BBPPPB,PPPPPBBP,BPPPPB,5-2-1,ลง
PPPBPB,PBBPPP,BBPBBB,1-2-3,ขึ้น
BPPPBB,PPPPPBBP,BBPPPP,5-2-1,ลง
PPPBBP,BBPPPPPPBBBBBBB,PPPPBB,2-6-7,ขึ้น
BBBBBB,PPPPBBBP,BPPBBP,4-3-1,ลง
PBPPBP,BPPPBBBBBBBB,PPPPBB,1-3-8,ขึ้น
BBBBBB,PPPPBBP,BBBBBB,4-2-1,ลง
BBBBPB,PBBPPPP,BBPBBB,1-2-4,ขึ้น
PPPBBP,BBBPPB,PBBBPP,3-2-1,ลง
PPPPBP,BBBBBBBBPPPPB,PPBPPB,8-4-1,ลง
PPBPPB,PBBPPPPP,BBBBPP,1-2-5,ขึ้น
PPBBPP,BPPBBB,PPPPPP,1-2-3,ขึ้น
BBBPBP,BBBPPB,PPPPPB,3-2-1,ลง
BPBPPP,BPPPBBBB,PBBPPP,1-3-4,ขึ้น
PPBBBB,PBBPPPP,BBBBPP,1-2-4,ขึ้น
BPBBBP,BBBBBPPB,PPBPPB,5-2-1,ลง
PPPBPB,PPPBBP,BPPBBP,3-2-1,ลง
BBBPBP,BBBBBBPPB,PPPPBB,6-2-1,ลง
PPBBBB,PBBBPPPP,BBPPBP,1-3-4,ขึ้น
PPPPBB,PPPBBP,BPPPPB,3-2-1,ลง
PPBBPB,PPPPBBP,BBBBBP,4-2-1,ลง
BBPBBP,BBBBPPPB,PBPPBB,4-3-1,ลง
BPPPBP,BPPBBBBBB,PPPPPB,1-2-6,ขึ้น
BBPBBB,PPPBBP,BPPBPB,3-2-1,ลง
BBBBPB,PPPBBP,BBBPBB,3-2-1,ลง
BPPPBP,BPPBBB,PBBBPP,1-2-3,ขึ้น
PPBPBP,BBBPPB,PPPBBP,3-2-1,ลง
PBPPBP,BPPBBBB,PBBBBB,1-2-4,ขึ้น
BPPPPB,PPPPPBBP,BPBBPP,5-2-1,ลง
PPBBPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
PPBPBP,BPPBBBBB,PBBBBP,1-2-5,ขึ้น
BBBPBB,PBBBBPPPPPP,BBBPPB,1-4-6,ขึ้น
PPPPPP,BBBPPB,PBPPPB,3-2-1,ลง
PPPBPB,PPPBBP,BPPBBP,3-2-1,ลง
PBPPBP,BPPBBB,PBBBPB,1-2-3,ขึ้น
BPBBBP,BBBBPPB,PBBPBP,4-2-1,ลง
BBBPBB,PBBBBPPPPPP,BBPBPP,1-4-6,ขึ้น
BPPPPB,PBBPPP,BPPPPP,1-2-3,ขึ้น
PBBPBP,BPPPBBBBB,PPBBBP,1-3-5,ขึ้น
PBBBBB,PPBBBPPPP,BPBBPB,2-3-4,ขึ้น
PBBPBB,PBBBBPPPPPP,BBPPBP,1-4-6,ขึ้น
BPPPPP,BBPPPBBBB,PPPBBB,2-3-4,ขึ้น
BBPBBB,PBBPPPPPPPPPPPPP,BBBBBB,1-2-13,ขึ้น
BPPBBP,BBBBBBBBPPB,PPBBPP,8-2-1,ลง
PBPPBP,BBBBPPPBB,PBPPBB,4-3-2,ลง
BPPBPB,PBBPPPP,BBPPBB,1-2-4,ขึ้น
PBBPBP,BBBBBPPPBB,PBPPPB,5-3-2,ลง
BBPPBB,PBBPPPPPP,BPPBPP,1-2-6,ขึ้น
PPBBPB,PPPPPBBBP,BPBBBP,5-3-1,ลง
BPBPPB,PPPPPPPBBP,BBPBPP,7-2-1,ลง
BPBBPB,PPPPBBP,BBBPBB,4-2-1,ลง
PBPPPP,BBBBPPPPPBBBBBBBB,PBPPPP,4-5-8,ขึ้น
PPBPPP,BPPBBB,PPPPBB,1-2-3,ขึ้น
PBPPBP,BBBPPB,PBPPPP,3-2-1,ลง
BPBBPB,PPPBBP,BPBPBP,3-2-1,ลง
BPPBPP,BPPBBB,PBPBBP,1-2-3,ขึ้น
PBBBPB,PBBPPPPPPP,BBBBBB,1-2-7,ขึ้น
PPBBPP,BBBPPB,PPBBPP,3-2-1,ลง
PBBBPB,PBBPPP,BPBPPP,1-2-3,ขึ้น
PBBPBP,BPPBBBBB,PBBPBP,1-2-5,ขึ้น
BPBBPB,PBBBPPPPP,BBBPPB,1-3-5,ขึ้น
BPBBBB,PBBPPPP,BPPPPB,1-2-4,ขึ้น
BBPPPP,BPPPPBBBBB,PBBBPP,1-4-5,ขึ้น
PBPPPP,BPPBBBBBB,PPPBPB,1-2-6,ขึ้น
PPBBPP,BBBBPPPB,PPBBPB,4-3-1,ลง
BBPPPP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
BPPPBB,PPBBBPPPP,BPPPPP,2-3-4,ขึ้น
BPPPPB,PPPPPBBP,BBBBPB,5-2-1,ลง
PBPPBP,BPPBBBB,PBBBPB,1-2-4,ขึ้น
PBBBBP,BPPBBB,PBBPBP,1-2-3,ขึ้น
BPBPPB,PBBBBPPPPPP,BPPPPB,1-4-6,ขึ้น
PPPPBP,BPPBBBB,PPPPBP,1-2-4,ขึ้น
BPPBBP,BBBPPB,PPBPPP,3-2-1,ลง
PPBPPB,PPPBBP,BBBBBP,3-2-1,ลง
BBPBBP,BPPBBBB,PBBPBB,1-2-4,ขึ้น
PPPPBP,BBBBBBBBBPPB,PBBPPP,9-2-1,ลง
PBBBPB,PPPPPPBBBP,BPBBPB,6-3-1,ลง
PBPBBP,BPPBBBB,PPPBPB,1-2-4,ขึ้น
PBPBBB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BBBBBP,BBBPPB,PBBBPP,3-2-1,ลง
PBBBPP,BBBBPPPB,PPBPPB,4-3-1,ลง
PBBBBP,BBBBPPPBB,PPPPBP,4-3-2,ลง
BBPPBP,BBBBPPPB,PBBBPP,4-3-1,ลง
PBBBPP,BBBBBBBPPPPPPB,PPBBBB,7-6-1,ลง
PPPPBP,BBBBBPPPB,PPBPPP,5-3-1,ลง
PBPBPB,PBBBPPPP,BPPPPP,1-3-4,ขึ้น
BPPPBB,PPPPPBBBBPPP,BPPBBB,5-4-3,ลง
PBBPBP,BPPBBB,PPBPPP,1-2-3,ขึ้น
PPBBBP,BPPBBBBB,PBBBBB,1-2-5,ขึ้น
PBPBPB,PPPPPBBP,BPBPBP,5-2-1,ลง
BPBBBB,PBBPPPP,BPBPBP,1-2-4,ขึ้น
BPBPBP,BBBBBBBPPPPPPBBBB,PPBPBP,7-6-4,ลง
PBPBBP,BBBBPPB,PPBPBB,4-2-1,ลง
PBBBBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
BBBPBB,PBBPPPPPPPP,BBBPBB,1-2-8,ขึ้น
PBPBPP,BPPBBB,PBPBPB,1-2-3,ขึ้น
BBPBPP,BBPPPPBBBBBB,PPPPBP,2-4-6,ขึ้น
PPBBPP,BBBBPPB,PBPPBP,4-2-1,ลง
BBBBPB,PPPBBP,BBBPBP,3-2-1,ลง
PBPPBP,BPPPBBBBB,PBBBPB,1-3-5,ขึ้น
PPBBPP,BPPBBBBBBB,PBPBBB,1-2-7,ขึ้น
BBPPBP,BPPBBB,PBPPPB,1-2-3,ขึ้น
PBBBPB,PPPBBP,BBPBBP,3-2-1,ลง
PBBPBB,PBBPPP,BPPBBB,1-2-3,ขึ้น
BPBPPB,PPPPPPPBBP,BPBBBP,7-2-1,ลง
PBPPBB,PPPPBBP,BPBPBB,4-2-1,ลง
BPBBBP,BPPBBB,PBPBBP,1-2-3,ขึ้น
BBPPBP,BBBPPB,PPPPPP,3-2-1,ลง
PPPBPB,PBBPPPPP,BPPBBP,1-2-5,ขึ้น
PPBBBP,BPPBBB,PBBPPB,1-2-3,ขึ้น
PPBPPB,PPPPPPPPBBBP,BPBPPP,8-3-1,ลง
BBPPPP,BBPPPBBBB,PBBPPB,2-3-4,ขึ้น
BBBBPB,PPPPPPPPBBP,BBPBBB,8-2-1,ลง
PPBBBP,BBBBPPB,PPPPBB,4-2-1,ลง
BBBPPB,PPPPBBP,BPPBBP,4-2-1,ลง
BBPBBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
BPBPBB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBPBPP,BPPBBBB,PPPPPP,1-2-4,ขึ้น
PPBPPB,PBBPPPPP,BPBBBB,1-2-5,ขึ้น
PBPBPB,PBBPPPP,BBBPPP,1-2-4,ขึ้น
PPPBPP,BPPBBBBB,PPPBPP,1-2-5,ขึ้น
BPBPBP,BBBPPB,PPBPBP,3-2-1,ลง
BPPBPB,PPPPBBBP,BPBBBP,4-3-1,ลง
PBBBPB,PPPPPPBBBP,BPPPBB,6-3-1,ลง
BBBBPB,PPPPPPBBBP,BBBBBB,6-3-1,ลง
PPBBBP,BBBBBBPPB,PPBBBB,6-2-1,ลง
BPPBBP,BPPBBBBB,PPBBPP,1-2-5,ขึ้น
PBPBPP,BPPBBB,PBPPPB,1-2-3,ขึ้น
PBBBPB,PPPBBP,BBBBPB,3-2-1,ลง
BBBBPB,PBBBBPPPPPP,BPBBPP,1-4-6,ขึ้น
BBPPBP,BBBPPB,PBBBPP,3-2-1,ลง
BBBBPB,PPPPBBBPP,BPBPPP,4-3-2,ลง
BPPBPB,PPPPPBBP,BPBPBP,5-2-1,ลง
PBPPPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPPBBB,PPPBBP,BBBBPB,3-2-1,ลง
BPBPBP,BPPPBBBBBB,PBBPBP,1-3-6,ขึ้น
BBPPPB,PPPBBP,BBBBPB,3-2-1,ลง
PBPBPB,PBBBPPPPP,BBBBPB,1-3-5,ขึ้น
PBPBBB,PBBBPPPPP,BPPBBP,1-3-5,ขึ้น
BPPBPP,BBBBBBBPPPB,PBBBPP,7-3-1,ลง
BPPPBP,BBBPPB,PPPBPP,3-2-1,ลง
BPBPPB,PBBPPPP,BBPPBP,1-2-4,ขึ้น
PPPBPB,PBBBPPPP,BBPPBP,1-3-4,ขึ้น
PBPBPB,PPPPPBBP,BPBPBB,5-2-1,ลง
BBPBPB,PBBPPPP,BPBBBB,1-2-4,ขึ้น
PPPPBB,PPPBBP,BBBBPB,3-2-1,ลง
PPBBPB,PBBPPPPP,BBBBBP,1-2-5,ขึ้น
BBBBPB,PPPBBP,BPBPBP,3-2-1,ลง
PBBBPB,PPPPPPBBP,BBPBPP,6-2-1,ลง
BBPBBP,BPPPBBBB,PBBBBB,1-3-4,ขึ้น
PPPPPP,BPPPPBBBBB,PPBBBP,1-4-5,ขึ้น
PBPPBB,PBBPPPP,BBBPPB,1-2-4,ขึ้น
PBBPPB,PBBBPPPPP,BBPBPP,1-3-5,ขึ้น
BPBPPP,BBBPPB,PBPBPB,3-2-1,ลง
BPBPBP,BPPPBBBBB,PBPBBP,1-3-5,ขึ้น
BPBBPB,PPPPPPBBBP,BBPPBB,6-3-1,ลง
BPPBBP,BPPBBBB,PBBBPP,1-2-4,ขึ้น
BPBBBP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
PBBBPP,BBBBBPPPPBBB,PPPBPB,5-4-3,ลง
BBPBPB,PPPPBBBP,BBPPBB,4-3-1,ลง
PPBPBP,BPPBBB,PBBPPB,1-2-3,ขึ้น
