before,lukku,after,pairs,length
BPBPBB,BBPP,BPPPBB,2,4
PPBPPP,BBPP,PPBPBP,2,4
PBBPBP,BBPPBB,BBBBPB,3,6
BPPBPP,PPBB,BBPPBB,2,4
PPPPBB,BBPPBB,BBBPPP,3,6
PBBBPB,PPBB,BPPPBB,2,4
BBBPPP,BBPP,PBPPPP,2,4
BBBPPB,PPBB,BBPBBB,2,4
BPPBPB,PPBB,BPBPPB,2,4
BBBPBB,BBPP,PBBPPP,2,4
BBBPPP,BBPP,PPPBPP,2,4
PBPPBP,BBPP,BPPPPP,2,4
PBPBBP,BBPP,PPPBPB,2,4
BPBPPP,BBPP,BPBBBP,2,4
BBBPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBB,PBPPPP,2,4
BBPBBB,PPBBPP,PBPPBB,3,6
BBPPPB,PPBB,BPPPBB,2,4
PBBBPB,PPBB,BPBPPP,2,4
PPBPPP,BBPP,PBBPBB,2,4
BBPBBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPPBPP,2,4
BBBBPP,PPBBPP,PBBBBB,3,6
BPBPBB,BBPP,BPBBPP,2,4
PPBPPB,PPBB,BBPBPP,2,4
PPBPBB,BBPP,PBPPBP,2,4
BPBBBP,BBPP,PPBPPP,2,4
PPPPPB,PPBB,BBPPBB,2,4
PBPPBB,BBPPBBPP,BPPPBB,4,8
BBBBBB,PPBB,BPBPBP,2,4
PPBPBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BBBBBP,2,4
BBBBBB,PPBB,BPPPBB,2,4
BBPBBP,BBPP,PPBBPP,2,4
BPBBPP,PPBBPPBB,BPPPBB,4,8
BBBPBP,BBPPBBPPBB,BBBBBP,5,10
BPBBPB,PPBB,BBPPPP,2,4
PBPPBB,BBPP,PPBPPP,2,4
BPBPBB,BBPPBB,BBBBBP,3,6
BPBPBB,BBPPBB,BBBBBP,3,6
BPPPPB,PPBB,PBPPBP,2,4
BPBPPB,PPBB,PBPBPB,2,4
BPBPPB,PPBB,BBBPPB,2,4
PBBBBB,PPBB,PBPPBB,2,4
PPBBPB,PPBB,PBPBPP,2,4
PPBPBP,BBPPBB,BBBBBB,3,6
PBPBBP,BBPPBB,BPPPBB,3,6
BBPBBB,PPBB,BPBPBP,2,4
BBBPBP,BBPP,PPBPBP,2,4
PBPBPP,PPBB,PBPPPP,2,4
BBPBPP,PPBB,BBBBBP,2,4
PPBPBP,BBPP,PPPPPB,2,4
PBPPPP,PPBB,PBBBPB,2,4
PPBPBP,BBPP,PPPPPB,2,4
PBPPPP,PPBB,PBBBPB,2,4
BPBBBB,BBPP,PPPBBP,2,4
BPPPPP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BBBPPP,2,4
PPPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBBPBB,2,4
PBBBPP,PPBBPP,PPPBPB,3,6
BBPBPB,PPBBPPBB,PBPBPB,4,8
BPBPBP,BBPP,PPBBPP,2,4
BPBBPP,PPBBPP,PPBPBB,3,6
PPPPBB,BBPP,BPBBBB,2,4
BPBBBB,BBPP,BPPBBP,2,4
BBBPPB,PPBBPP,BPPBPB,3,6
BPPPBP,BBPP,PBPBPB,2,4
PPBPBB,BBPP,PPBPBP,2,4
PPBBBP,BBPPBBPP,BPBPPB,4,8
PBBBPB,PPBBPP,PPBPPP,3,6
PPBPPP,BBPPBBPP,PBBBPP,4,8
PPPBBB,PPBB,BPBBPP,2,4
PBPPBP,BBPP,PBBBBP,2,4
PBPBBP,BBPP,BPBPPP,2,4
BPPPPB,PPBBPPBB,BBPBPP,4,8
PBPBBP,BBPP,PBPPBB,2,4
BBPPPB,PPBBPPBBPP,PPBBPP,5,10
PPBBPP,PPBBPPBB,BPBBBB,4,8
BBBPPB,PPBB,BBBBPP,2,4
PPBBBB,BBPP,PPBPPB,2,4
BPPPBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,BPBBBB,3,6
BPBBBB,BBPP,PPPPPB,2,4
PBPPBP,BBPP,PPBPBP,2,4
PPBPBP,BBPP,BPPBPP,2,4
PPBPPP,BBPP,PBBBBP,2,4
PPPPBP,BBPP,PPBBBB,2,4
BPBBPP,PPBB,BBPPPP,2,4
PPPPBB,BBPP,PPBPBB,2,4
BBPBPB,PPBBPPBBPP,PBPBBB,5,10
PPPBPB,PPBB,BPPPPB,2,4
PBBBPP,PPBBPP,BPBPBB,3,6
PPBPBP,BBPP,BPBPBP,2,4
PPBBPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BBPBBP,2,4
BBPBBB,PPBBPP,PPPPBP,3,6
BPPPPP,BBPP,PPPBPB,2,4
BPPPPP,BBPP,BPBBBP,2,4
PPBPPP,BBPP,PBPPPB,2,4
PBBBBB,PPBB,PBBBPB,2,4
BPPPPP,BBPP,PBPPBB,2,4
BBPPPB,PPBB,BBBBPB,2,4
BPPBBB,PPBB,BBPPBB,2,4
BBPPBB,BBPPBB,BPPBBP,3,6
BPPBBB,PPBB,PBPPBB,2,4
PPBBPB,PPBB,BPBBBB,2,4
BPPBPB,PPBB,PBBPBP,2,4
BPPBPP,PPBB,PBPPPP,2,4
BBPBPP,PPBB,BBBPBP,2,4
BBPBBB,PPBB,BPPPPB,2,4
BPBBBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,PPPPBP,3,6
PPPPPB,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PBBBPP,2,4
PPBPBP,BBPP,PBPBBB,2,4
PPBPBP,BBPP,PBPBBB,2,4
BBBBBB,PPBBPP,PBPPBB,3,6
BBPPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBB,PBPBPP,2,4
BBPBPB,PPBB,BBBPBB,2,4
BPBPBB,BBPPBBPP,PBPPPB,4,8
PPBPPP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBBBP,2,4
PPBBPP,PPBB,BPPPBP,2,4
BPPBPB,PPBBPP,PPPBPB,3,6
BPBBBB,BBPP,PPPPBP,2,4
BPPBPB,PPBBPP,PPPBPB,3,6
BPBBBB,BBPP,PPPPBP,2,4
BPPBPB,PPBBPP,PPPBPB,3,6
BPBBBB,BBPP,PPPPBP,2,4
BBPBPP,PPBB,PBBBPP,2,4
PPPBPB,PPBB,PBPBPB,2,4
BPBPBP,BBPP,BPPBPB,2,4
PPBPBP,BBPP,BPBPPB,2,4
BBBBPB,PPBBPP,PBBPPB,3,6
PBBBPP,PPBBPPBB,PBBPBB,4,8
PPBPBB,BBPPBB,BPPBBB,3,6
BPPBBB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBBPBP,2,4
BPPPPP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BBBBBB,2,4
BBPBPB,PPBB,BPBBPP,2,4
PPPBBP,BBPPBB,PBPBPB,3,6
BPBPPP,BBPP,PBBBBP,2,4
BPPPBB,BBPP,PPBPPB,2,4
BPPPPB,PPBB,PBPBPP,2,4
BBPBPB,PPBB,BBBBBB,2,4
PPPBPP,PPBB,BBPBBP,2,4
PBBBBP,BBPP,PPPBBP,2,4
BPPPPP,BBPPBB,PBPBPB,3,6
PPBPBB,BBPP,BPPPPB,2,4
BBBPBP,BBPP,PBPPBP,2,4
BPPBBP,BBPP,PBBPBP,2,4
BPBBPB,PPBBPP,PBBBBB,3,6
PBPPPP,PPBBPP,BPBBBB,3,6
PBPBPP,PPBB,BBPBPP,2,4
BBPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBBPPB,2,4
BBBPPP,BBPPBB,PBPBBP,3,6
PBBBBP,BBPP,BPPPBP,2,4
BBBBBB,BBPPBB,BPPBBB,3,6
BPPBBB,PPBB,BBPBBB,2,4
BBBPBB,BBPP,PBBBBP,2,4
BPPPBB,BBPPBB,PBBPPP,3,6
BPPBBP,BBPP,PPBPPB,2,4
PBBBBP,BBPP,BPBBBP,2,4
PPBPPP,BBPP,PPBBPP,2,4
PPBBPP,PPBBPP,PBBBPB,3,6
PPPPBP,BBPP,PBBPBP,2,4
BPBBBB,BBPP,PBPPPP,2,4
PPPBPB,PPBB,BPBBBB,2,4
BPBBBB,BBPP,PBBBPP,2,4
BBPPPB,PPBB,BPPPPB,2,4
PPPBPB,PPBB,BPPPPB,2,4
PBPPPB,PPBB,PBBBPP,2,4
BPBPBP,BBPP,BPPPBP,2,4
BPBPPB,PPBBPP,PBBBBB,3,6
BBPBPB,PPBBPPBB,BBBBPB,4,8
PPBBBB,BBPP,PPBBPB,2,4
BBBBPP,PPBB,PBPPPP,2,4
PPBPPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BBBPPB,2,4
BBBPPB,PPBB,PBBBBP,2,4
PBBPBB,BBPPBBPP,PPBPPP,4,8
PBPBBP,BBPP,PPPBBP,2,4
BPPPPP,BBPP,PBBBPB,2,4
PPBBBP,BBPPBB,PBPPBP,3,6
BBPPBB,BBPP,PPBPPP,2,4
PPBPPP,BBPP,PBPBPB,2,4
PBPBPP,PPBB,PBPBBP,2,4
PBBPBP,BBPP,PPBPPP,2,4
BBPBBP,BBPP,BPBBBB,2,4
PPBPBB,BBPP,PBBBPP,2,4
PPPBBB,PPBBPPBB,BPBBPP,4,8
PPBBBP,BBPPBBPP,PPBBPP,4,8
BPBBBB,BBPP,BPPPPP,2,4
PPPBBB,PPBB,BPBPPP,2,4
BPBBPP,PPBB,BBBPBB,2,4
PBBPBB,BBPP,BPPBBB,2,4
BBBPPB,PPBB,BBBPBB,2,4
BPPBPB,PPBB,PBBBBP,2,4
PBBPBB,BBPPBBPP,PBBBBB,4,8
BPBBBP,BBPP,PPBPPP,2,4
PPPBPP,PPBBPP,PBBBPP,3,6
PBPBPB,PPBBPP,BPPBPP,3,6
PPPBPB,PPBB,BPPPPP,2,4
BBBBPP,PPBB,PBBBPB,2,4
PBBBPB,PPBBPP,PPPBBB,3,6
BBBPPP,BBPP,BPPBBP,2,4
PBBPPB,PPBBPP,PPPBPP,3,6
PBPPBP,BBPP,PBPBPP,2,4
BPPPBP,BBPP,BPPBBP,2,4
PBBPPB,PPBB,PBBBPB,2,4
BPPPBP,BBPP,BPPBBP,2,4
PBBPPB,PPBB,PBBBPB,2,4
PBBBBB,PPBBPPBBPP,BPBPPB,5,10
BPPPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPP,PPPBPB,3,6
PBPPPP,PPBB,BBBPBB,2,4
BBPBBP,BBPP,PPPPBB,2,4
BPBBPB,PPBB,PBBBPP,2,4
PPPBBB,PPBBPP,BPPPPB,3,6
BPPBPP,PPBB,PBPPPP,2,4
BBBBBB,BBPP,PBBBBB,2,4
PPBBBB,BBPP,BPPPPB,2,4
BPPBPP,PPBB,BBBBPP,2,4
PPBBBB,BBPP,BPPPPB,2,4
BPBBPP,PPBB,BBBBBP,2,4
BBPBBP,BBPPBB,BBPPPB,3,6
BBPPBB,BBPP,PBBPPP,2,4
BBBPPP,BBPP,PPPPPP,2,4
BPBBPP,PPBB,BBBBBP,2,4
BBPBBP,BBPPBB,BBPPPB,3,6
BBPPBB,BBPP,PBBPPP,2,4
BBBPPP,BBPP,PPPPPP,2,4
BBBBPP,PPBBPP,PBPPPP,3,6
BPPPPB,PPBB,BPPBPP,2,4
BBBPPB,PPBB,PBPPPP,2,4
BBPBPP,PPBBPPBB,PBPBBP,4,8
BBBBPP,PPBBPP,PBPPPP,3,6
BPPPPB,PPBB,BPPBPP,2,4
BBBPPB,PPBB,PBPPPP,2,4
BBPBPP,PPBBPPBB,PBPBBP,4,8
BPBPBB,BBPPBBPPBBPPBB,PBPPPP,7,14
BBBPBB,BBPPBBPP,PBBBPP,4,8
PBPPPB,PPBBPP,PBPPBB,3,6
BBPPPB,PPBB,BPPPBP,2,4
PPBPBP,BBPPBB,BBBPBB,3,6
PPBPBP,BBPPBB,BBPBBP,3,6
PBBBBP,BBPP,PPBPPP,2,4
PBBBBP,BBPP,PPPBBP,2,4
BPPBPP,PPBB,PBPPPP,2,4
BPBPPB,PPBB,PBPPPB,2,4
BPBBBB,BBPP,PPBPBB,2,4
BBBBBP,BBPP,BPBPBB,2,4
PPBPBB,BBPPBB,PBBPPB,3,6
BPPBBP,BBPP,BPBBBP,2,4
BPBBBP,BBPPBBPPBB,BBPPBP,5,10
BBPPBB,BBPP,BPBPPB,2,4
BPPPPB,PPBB,PBBPBB,2,4
BBPBBP,BBPPBB,PBPPPB,3,6
PBPBBB,PPBBPPBBPP,PBBPBP,5,10
BBBPBP,BBPP,PBPPBB,2,4
BBPPPB,PPBBPPBBPPBBPP,PBBPPP,7,14
PBBPPP,BBPP,PBPPPP,2,4
PPBBBP,BBPPBB,BBPPBB,3,6
BBPPBB,BBPPBB,PBPPBP,3,6
PBPBBB,PPBB,BPBBPP,2,4
PPPPPB,PPBB,PBBBPB,2,4
BBPBBP,BBPP,PBPBBP,2,4
BPPPBP,BBPPBB,BBPBPB,3,6
PBPBPB,PPBB,BBPBBB,2,4
PPBPBB,BBPP,PPPBPB,2,4
PBBPBB,BBPPBBPP,PPPPBP,4,8
BBBPBB,BBPP,PBBBBB,2,4
BPPPBP,BBPP,PBBPBB,2,4
PBPPBP,BBPPBB,BBBPBB,3,6
BBPBPP,PPBB,PBBPPP,2,4
PPPBBP,BBPP,PBPBPB,2,4
BBBBBP,BBPP,BPBPPB,2,4
BPPBPB,PPBB,BPBPPB,2,4
BPBPPB,PPBB,BBBBBB,2,4
BBPBPP,PPBB,BBBBBB,2,4
BBBBBB,BBPPBB,BPBPBP,3,6
PBPPPP,PPBBPP,PPBPBB,3,6
PBBBPP,PPBB,BBPBBB,2,4
PPPBBB,PPBB,PBPBPP,2,4
PPPBBB,PPBB,PBPBPP,2,4
PBBPBP,BBPP,PPBPPP,2,4
BBBBPB,PPBB,BBPBBP,2,4
BBPBBP,BBPPBB,BPBBBP,3,6
BBPBBP,BBPP,BPBPBP,2,4
BBBBPB,PPBB,BBPBPB,2,4
PPPBBB,PPBB,PBBPPB,2,4
BPPBBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BPBPBP,2,4
BBPPPB,PPBB,BPPBPB,2,4
BBPBPP,PPBB,BBBPPB,2,4
BBBPPB,PPBB,PBPPPP,2,4
BBPPPB,PPBB,BPPBPB,2,4
BBPBPP,PPBB,BBBPPB,2,4
BBBPPB,PPBB,PBPPPP,2,4
BBPPPB,PPBB,BPPBPB,2,4
BBPBPP,PPBB,BBBPPB,2,4
BBBPPB,PPBB,PBPPPP,2,4
BBPBBP,BBPP,BPPBBP,2,4
PBBPPB,PPBBPPBBPP,PPPBPP,5,10
PPPPPB,PPBB,BPBBBB,2,4
BBBPBB,BBPP,PBPPPP,2,4
BPBBBB,BBPP,PBBBBP,2,4
PPPPPP,PPBBPP,PPPPPP,3,6
BBPBBB,PPBB,BBBBBB,2,4
BBBBBB,BBPP,BPPBBP,2,4
BBBPPB,PPBBPP,PPBPPP,3,6
BBPBBB,PPBB,BBBBBB,2,4
BBBBBB,BBPP,BPPBBP,2,4
BBBPPB,PPBBPP,PPBPPP,3,6
BBPBBB,PPBB,BBBBBB,2,4
BBBBBB,BBPP,BPPBBP,2,4
BBBPPB,PPBBPP,PPBPPP,3,6
BBBPBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPPPP,2,4
BPPPPP,BBPP,PPPBPP,2,4
BBBPBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPPPP,2,4
BPPPPP,BBPP,PPPBPP,2,4
BBPBBB,PPBB,PBPPPP,2,4
BPPPPB,PPBBPPBB,PBBPPP,4,8
BPPBBP,BBPP,PBPPBP,2,4
PBBBPP,PPBB,BPPBPP,2,4
BBBPPB,PPBB,PBPBBB,2,4
BPPBPB,PPBB,PBBBBP,2,4
PBBBPP,PPBBPP,PBPPBP,3,6
BPPBPP,PPBB,PBBBPB,2,4
BPBBPB,PPBB,BPPPPP,2,4
PPBBBB,BBPP,BPPPBB,2,4
PBBBPP,PPBB,BPBPPB,2,4
PBBBPB,PPBB,PBPPBP,2,4
PBBBPP,PPBB,BPBPPB,2,4
PBBBPB,PPBB,PBPPBP,2,4
PPPPBB,BBPP,PPPPPB,2,4
PPPPPP,BBPP,PPBPBP,2,4
PPPPBP,BBPP,PBBPBP,2,4
PBPPPB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBBPPB,2,4
BBBPPP,BBPP,BPPBPP,2,4
BBBBPB,PPBB,BPPPBB,2,4
BBBPPP,BBPP,PPBBPP,2,4
PPBBPP,PPBBPP,PBPBBB,3,6
PPBBBB,BBPP,BPPPPP,2,4
PPBPBB,BBPPBB,BBPPPB,3,6
BBPPBB,BBPP,PBBBBB,2,4
BBPPPP,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPBPBP,2,4
BPPBBB,PPBBPP,BPBPPB,3,6
PPPBPP,PPBB,BPPBBB,2,4
PPPBBB,PPBB,BBBPPB,2,4
PBBBBB,PPBB,PBPBBP,2,4
PBPBPB,PPBB,BPBPPP,2,4
PBPBPB,PPBB,BPPBPP,2,4
BBBPPB,PPBB,PBPPPB,2,4
PPBPPP,BBPP,PPBBBB,2,4
PPBBPP,PPBB,BBPBBP,2,4
PBBBBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BBPBBB,2,4
BBBPBB,BBPP,PPBBBB,2,4
BBBBBP,BBPP,PPPBPP,2,4
BPPPBB,BBPP,PBBBPB,2,4
BBBBPB,PPBB,BPPPPB,2,4
BBBBPB,PPBB,BPPPPB,2,4
BBBPBP,BBPP,PPBPBP,2,4
PPBPPB,PPBBPP,PBBBPB,3,6
PBBBBB,PPBBPP,PBBPPP,3,6
PBBPPP,BBPP,PPBBBP,2,4
PPBBPP,PPBB,BPBBBP,2,4
BPPBPB,PPBB,BPPPBP,2,4
PPBBBP,BBPP,PBBBPB,2,4
BPBBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,PBBBPB,2,4
BBPBPP,PPBBPP,BPBPPB,3,6
BPPBPB,PPBBPP,PBBPPP,3,6
PBBPPP,BBPP,PBPBPB,2,4
BPPPPP,BBPPBB,BBPBBB,3,6
BBPBPP,PPBB,BBPPBP,2,4
PPPPBB,BBPP,BPPBBP,2,4
BBBPPB,PPBBPP,BPPPPB,3,6
BBBPBP,BBPP,PPPBBP,2,4
PPBBPB,PPBB,BBBPBP,2,4
PPBPBP,BBPP,PBPBBP,2,4
PBBBPB,PPBBPPBB,PBBBBP,4,8
PBPBBP,BBPP,PPPBBB,2,4
PBBBBP,BBPP,PPBBPB,2,4
BPBBPP,PPBB,PBPPPB,2,4
PPBPBB,BBPPBB,PBPBPB,3,6
BPBPBP,BBPP,BPBBPB,2,4
PBPPPB,PPBB,BPPPBB,2,4
PPBPPP,BBPP,BPBBBP,2,4
PBPBBB,PPBB,BBBBBP,2,4
PPBPPP,BBPPBB,BPPPBB,3,6
PBPBBB,PPBB,BBPPPP,2,4
BBPPBB,BBPP,PPBBBB,2,4
BBBBPP,PPBB,BBPPPP,2,4
PPPPBB,BBPP,PPBPPP,2,4
BPBBPB,PPBBPP,BPPPPB,3,6
PBBBPB,PPBB,BPBPPB,2,4
PBBBPB,PPBB,BBBBBB,2,4
PPBBPP,PPBBPP,BPBPBP,3,6
PPBPBB,BBPP,BPBPPP,2,4
PPBBPP,PPBBPP,BPBPBP,3,6
PPBPBB,BBPP,BPBPPP,2,4
PPPBBB,PPBB,BBBPPP,2,4
BBBBPP,PPBB,BBBPPB,2,4
PBPBPP,PPBBPP,PPPPPP,3,6
PPBPBP,BBPP,BPPPPP,2,4
BPBBBB,BBPP,PBBPBB,2,4
BPBBBB,BBPPBB,BPBPBB,3,6
BBBBBP,BBPP,PBPPBP,2,4
PPBPPB,PPBB,BPPPPB,2,4
PBPBBP,BBPPBB,PBBBBB,3,6
BBBBBP,BBPP,BPBPBB,2,4
PPBPBP,BBPPBB,BBBPBP,3,6
BBBBPB,PPBBPP,BPPPBP,3,6
BBBBBP,BBPP,BPBPBB,2,4
PPBPBP,BBPPBB,BBBPBP,3,6
BBBBPB,PPBBPP,BPPPBP,3,6
PBPPBB,BBPP,PBBBBP,2,4
BPPPBB,BBPP,PBPPPP,2,4
PPPBPP,PPBB,BBBPBP,2,4
BPBBPB,PPBB,BBBBPB,2,4
BBBBPB,PPBB,BPBBBB,2,4
PBBBPB,PPBB,BPPPPP,2,4
BBPPPP,PPBBPP,PBBPPB,3,6
BBBBBB,BBPPBB,BPBBPB,3,6
BBBBPB,PPBBPP,PBPBPP,3,6
PPPBBP,BBPPBB,BBBPBP,3,6
BBPBPP,PPBB,BPBPPP,2,4
PPBBBB,BBPPBB,PBBBBP,3,6
PBBBBP,BBPP,PBBPBP,2,4
PPPPPP,PPBB,BPBBBP,2,4
PBBBPP,PPBB,BBBBBB,2,4
PPPPBP,BBPP,PPBPPP,2,4
PBPBPP,PPBB,BBBPPP,2,4
BBBPPP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BPBPPB,2,4
PPBPBP,BBPPBB,BPBPPB,3,6
PBBBPB,PPBB,BBBPPB,2,4
BPBBPB,PPBB,PBPPPB,2,4
PBPBBP,BBPP,PPBPBP,2,4
BPBPPB,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBBPPB,2,4
PBBPBB,BBPPBB,BPPBBP,3,6
BPPBBB,PPBB,PBPBBP,2,4
PBBPBP,BBPP,PPPBBB,2,4
PPPBBB,PPBB,BBPBPB,2,4
PBBPPP,BBPP,PBPPBB,2,4
BBPPPB,PPBB,BBBBPB,2,4
BBPBBB,PPBBPP,BPPPBP,3,6
PPBPPB,PPBB,BPPBPP,2,4
BBBPPB,PPBB,BPBPPP,2,4
BBBPBP,BBPP,PBPPBP,2,4
BPBPBB,BBPP,PBBPPB,2,4
BPBPPP,BBPP,PPPBPP,2,4
PBPPPB,PPBB,BPPPBP,2,4
PPPBBB,PPBB,BPBPBP,2,4
PBPBPB,PPBBPPBB,BBPBBP,4,8
PPPBBB,PPBB,BPBPBP,2,4
PBPBPB,PPBBPPBB,BBPBBP,4,8
PBBBBB,PPBB,BBPBBB,2,4
BBPBPP,PPBB,BPBBBB,2,4
BBPBPP,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPBPP,2,4
BBPBPB,PPBB,BBPBBP,2,4
BBPBBB,PPBB,BBBPPP,2,4
BBPBPP,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPBPP,2,4
BBPBPB,PPBB,BBPBBP,2,4
BBPBBB,PPBB,BBBPPP,2,4
PBPPPB,PPBB,BBBPPB,2,4
BBBBBB,BBPP,PBBPBP,2,4
BBPBBB,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPPBBB,2,4
PPPBBB,PPBB,BBPPPB,2,4
BBPPBB,BBPP,PBPPBP,2,4
BPBPBB,BBPP,PPBBPB,2,4
BBBBPP,PPBB,PBPBBP,2,4
PBPBBP,BBPPBB,BBPBPB,3,6
BPPPPB,PPBBPP,BPPBPB,3,6
PPBPBP,BBPP,PBPBPP,2,4
PPPPPB,PPBB,BPBBBP,2,4
PPBPBP,BBPP,PBPBPP,2,4
PPPPPB,PPBB,BPBBBP,2,4
PPBPBP,BBPPBB,PBBBPB,3,6
BBPBBP,BBPP,PBPPBP,2,4
PBPPBP,BBPP,BPPBBP,2,4
BBBBBB,BBPP,PPPPPP,2,4
BBBBBB,PPBB,BPPPPB,2,4
BPBPBB,BBPP,PPBPPP,2,4
PPBPBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BBBBPB,2,4
PBBPBP,BBPP,BPPBPP,2,4
PBPBBP,BBPP,PPPBBB,2,4
PBBBPB,PPBB,BPPPBP,2,4
PBBBBP,BBPPBBPPBB,PBPBBB,5,10
PPPPBP,BBPPBB,PBPBBB,3,6
BPBPPP,BBPP,PBBBBB,2,4
BPBBBP,BBPP,BPPPPB,2,4
BPPBPP,PPBBPP,PPBPPB,3,6
BPBBBP,BBPP,BPPPPB,2,4
BPPBPP,PPBBPP,PPBPPB,3,6
PPBBBB,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BBPBBB,2,4
BBPBBP,BBPP,PBPBPB,2,4
BBBBBB,BBPPBB,BBPPPB,3,6
BBPPBB,BBPP,PBBBPB,2,4
BBBPPB,PPBB,PBBPBP,2,4
PBPPPB,PPBBPP,BPPPPP,3,6
PBPPPP,PPBB,BPPBPB,2,4
BPBBPB,PPBBPP,PBBBBP,3,6
BPPPBB,BBPP,PPPPBP,2,4
PBBBBB,PPBB,BBPBBB,2,4
PBBBBB,PPBB,BBBPPB,2,4
BBBPPB,PPBBPP,BPPBBP,3,6
BBBPBB,BBPP,BPPBBB,2,4
BPPBPP,PPBB,BPPBBP,2,4
PPPBBB,PPBBPPBB,BPPBBB,4,8
BPPBBB,PPBB,BPBPPB,2,4
PBBBPB,PPBBPP,PPPPPP,3,6
BBPBPP,PPBBPP,BPPBPP,3,6
PPBPPB,PPBBPP,PBBBBP,3,6
BPPPBB,BBPP,PBBBPP,2,4
PBBPBP,BBPPBBPP,PPPPPB,4,8
PBBPBP,BBPPBB,PBPPPP,3,6
PBBPBP,BBPPBBPP,PPPPPB,4,8
PBBPBP,BBPPBB,PBPPPP,3,6
PPPPPP,PPBB,PBPPBP,2,4
PBPPPP,PPBBPPBB,BPPBPB,4,8
PPBBPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBBBP,2,4
BBBBPB,PPBB,PBPPBB,2,4
BBPBBB,PPBBPP,BPBBBB,3,6
PPBPBB,BBPP,PBBBBP,2,4
BPBPBB,BBPPBB,BBBBPB,3,6
PPBPPP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPPPBB,2,4
PPPBBP,BBPPBB,BPBBBB,3,6
PPPBPB,PPBB,BPBPPB,2,4
PBBBPB,PPBBPP,PPPPBB,3,6
BBPPPP,PPBB,BBPBBB,2,4
BPBPBP,BBPP,PBBBPB,2,4
PBPPPB,PPBB,BBPBBB,2,4
BBBBBB,BBPPBB,BBBBPP,3,6
BBBPBP,BBPP,BPBPPP,2,4
PBPPPP,PPBB,BBBBBP,2,4
BPPPBP,BBPP,PPPBBP,2,4
BPPPPP,BBPP,PBBPPB,2,4
PBBPPP,BBPPBB,PBBPBB,3,6
BBPBBP,BBPP,BPPPBP,2,4
BBPBBB,PPBBPP,PPPPBP,3,6
PPBBBP,BBPP,BPPPPP,2,4
PPBPBB,BBPPBB,PBBBBP,3,6
BBBBPB,PPBB,BPBBBP,2,4
PPBBBP,BBPP,BPPPPP,2,4
PPBPBB,BBPPBB,PBBBBP,3,6
BBBBPB,PPBB,BPBBBP,2,4
PBPBPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BPBPBB,2,4
PBPPPP,PPBB,PBBPBB,2,4
BBPBBP,BBPP,PPBPPB,2,4
PBBBPB,PPBB,PBPPBB,2,4
PPBBPB,PPBBPP,PBPBBP,3,6
PBBBPB,PPBB,PBPPBB,2,4
PPBBPB,PPBBPP,PBPBBP,3,6
PBPPPP,PPBB,PBBPBB,2,4
BBPBBP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BBPBPB,2,4
PBPPPP,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPBPP,2,4
PBPPPP,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPBPP,2,4
PPPBBP,BBPPBBPPBBPP,BPPPBP,6,12
PBPBPP,PPBBPP,PPPBBP,3,6
PBPPPB,PPBB,BPPPBP,2,4
PPBPPB,PPBB,PBBPBB,2,4
PPBPPP,BBPPBB,PBPBBB,3,6
BPBPBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,PBPPBB,3,6
